generation,rank_1,rank_2,swapAccepted
1000,2,4,0
2000,1,3,1
3000,3,4,0
4000,1,2,0
5000,1,4,0
6000,2,3,1
7000,2,4,0
8000,3,4,0
9000,2,3,0
10000,3,4,1
11000,2,3,1
12000,1,3,1
13000,2,3,1
14000,2,3,1
15000,1,4,0
16000,3,4,1
17000,2,4,1
18000,3,4,1
19000,1,4,1
20000,2,3,0
21000,2,3,0
22000,3,4,1
23000,2,3,1
24000,2,4,1
25000,2,4,1
26000,1,4,1
27000,2,3,1
28000,2,4,1
29000,1,2,1
30000,2,3,1
31000,1,2,1
32000,3,4,1
33000,3,4,1
34000,3,4,1
35000,1,4,1
36000,1,4,1
37000,3,4,1
38000,3,4,1
39000,1,4,1
40000,3,4,1
41000,1,4,1
42000,3,4,1
43000,1,3,1
44000,1,4,1
45000,1,4,1
46000,1,4,1
47000,1,4,1
48000,1,3,0
49000,1,3,1
50000,1,3,1
51000,1,3,0
52000,1,4,0
53000,1,4,1
54000,1,2,0
55000,2,4,1
56000,3,4,1
57000,1,2,1
58000,1,3,1
59000,1,3,1
60000,1,4,0
61000,1,2,1
62000,1,2,1
63000,1,2,1
64000,1,3,1
65000,3,4,1
66000,2,3,1
67000,2,4,1
68000,1,4,0
69000,1,3,0
70000,1,3,0
71000,2,4,1
72000,1,4,1
73000,1,3,0
74000,1,3,0
75000,1,4,1
76000,1,3,1
77000,1,4,1
78000,1,2,1
79000,2,4,1
80000,1,4,1
81000,1,4,0
82000,2,4,1
83000,1,2,1
84000,3,4,1
85000,2,4,1
86000,1,4,1
87000,2,3,1
88000,2,3,1
89000,1,4,0
90000,2,4,1
91000,2,3,1
92000,2,4,1
93000,1,3,0
94000,3,4,1
95000,1,3,0
96000,1,2,1
97000,2,3,1
98000,2,4,1
99000,1,2,1
100000,1,2,1
101000,2,3,1
102000,3,4,1
103000,1,3,1
104000,2,3,1
105000,2,3,1
106000,3,4,1
107000,2,4,1
108000,3,4,1
109000,2,4,1
110000,1,3,1
111000,1,2,1
112000,1,4,1
113000,2,3,1
114000,2,3,1
115000,2,3,1
116000,2,4,1
117000,1,2,1
118000,2,3,1
119000,2,3,1
120000,2,3,1
121000,1,2,1
122000,2,3,1
123000,2,4,1
124000,2,4,1
125000,2,4,1
126000,2,3,1
127000,2,3,1
128000,2,3,1
129000,1,2,1
130000,1,4,1
131000,1,4,1
132000,1,4,1
133000,1,3,1
134000,1,3,1
135000,2,4,1
136000,1,2,1
137000,1,2,1
138000,1,4,1
139000,3,4,1
140000,1,3,1
141000,1,3,1
142000,1,2,1
143000,1,4,1
144000,1,4,0
145000,3,4,1
146000,1,3,0
147000,2,4,1
148000,2,4,1
149000,3,4,1
150000,1,3,1
151000,1,2,1
152000,3,4,1
153000,1,2,1
154000,1,3,1
155000,1,4,1
156000,1,4,1
157000,3,4,1
158000,1,3,1
159000,1,2,1
160000,1,2,1
161000,2,4,1
162000,2,3,1
163000,2,3,1
164000,1,2,1
165000,1,2,1
166000,3,4,1
167000,1,2,1
168000,2,3,1
169000,3,4,0
170000,1,4,0
171000,2,3,1
172000,2,3,1
173000,2,3,1
174000,1,3,1
175000,1,4,1
176000,2,3,1
177000,1,3,1
178000,1,4,1
179000,1,4,1
180000,2,3,0
181000,2,3,1
182000,1,2,0
183000,2,3,1
184000,1,4,1
185000,2,4,0
186000,1,2,1
187000,1,3,0
188000,1,3,1
189000,1,2,1
190000,2,4,1
191000,1,3,1
192000,1,2,1
193000,1,3,1
194000,3,4,1
195000,1,2,1
196000,1,4,1
197000,2,3,1
198000,1,3,1
199000,1,3,0
200000,2,3,1
201000,1,2,1
202000,1,4,1
203000,1,4,1
204000,1,2,1
205000,1,3,1
206000,1,4,1
207000,3,4,1
208000,3,4,1
209000,2,3,1
210000,1,2,1
211000,2,4,1
212000,2,3,1
213000,1,2,1
214000,2,4,1
215000,2,4,1
216000,2,4,1
217000,1,2,1
218000,1,4,0
219000,3,4,1
220000,1,3,1
221000,2,4,0
222000,1,4,1
223000,2,4,0
224000,2,4,1
225000,1,3,1
226000,2,3,0
227000,2,3,1
228000,2,4,1
229000,1,2,1
230000,1,2,1
231000,1,3,1
232000,1,2,1
233000,1,3,1
234000,3,4,1
235000,2,4,1
236000,2,3,1
237000,1,2,1
238000,1,3,1
239000,2,3,1
240000,3,4,1
241000,3,4,1
242000,2,3,1
243000,2,3,1
244000,1,4,1
245000,1,4,1
246000,3,4,1
247000,1,4,1
248000,1,2,1
249000,3,4,0
250000,1,3,1
251000,1,2,1
252000,2,4,1
253000,1,2,1
254000,1,2,1
255000,2,3,1
256000,1,3,1
257000,1,3,1
258000,2,3,1
259000,2,3,1
260000,3,4,1
261000,3,4,1
