generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,0.576794,-2.19e+06,1,1
1000,4,-2.07066,-58398.6,3.13053,0.878
2000,5,-6.37743,-3493.26,2.25901,0.834
3000,10,-13.6852,-2415.36,7.31543,0.793
4000,11,-10.7474,-856.01,6.2051,0.831792
5000,14,-2.13791,-886.903,6.55786,0.802639
6000,13,-10.3123,-280.585,7.45059,0.745333
7000,14,-14.4667,-239.902,8.65339,0.716
8000,11,-13.6811,-210.274,5.21493,0.721
9000,11,-9.94144,-184.174,5.43151,0.634
10000,7,-15.2049,-195.744,5.96969,0.773323
11000,7,-22.764,-156.411,4.9128,0.649
12000,6,-31.2729,-86.4932,6.42417,0.539667
13000,5,-16.4644,-96.8596,2.96873,0.443
14000,6,-12.9812,-97.1575,3.81063,0.425
15000,3,-12.5275,-117.547,2.57422,0.533
16000,6,-18.173,-94.3529,5.84116,0.4525
17000,6,-14.1763,-102.835,2.91423,0.446
18000,7,-23.9589,-99.5117,10.2772,0.507
19000,7,-20.343,-102.281,4.96957,0.481
20000,6,-17.0549,-87.2642,0.913333,0.474
21000,5,-1.44879,-109.121,2.8231,0.506
22000,3,-6.95683,-78.4138,2.44392,0.530824
23000,4,-7.53063,-76.9319,4.19531,0.464
24000,4,-3.67469,-99.206,2.1871,0.462
25000,4,-4.79242,-90.5992,1.95746,0.492
26000,7,-20.7191,-81.9313,2.7744,0.4475
27000,6,-23.8359,-61.4559,4.11056,0.471
28000,5,-0.200318,-41.4149,2.80501,0.391
29000,5,0.344867,-49.0805,4.12688,0.418
30000,4,0.335126,-65.7065,2.72126,0.473
31000,5,5.36176,-51.7831,1.57645,0.441
32000,5,4.67178,-47.3429,1.8672,0.408
33000,4,4.905,-33.0924,1.76546,0.398
34000,4,3.42776,-45.7814,2.33372,0.398
35000,5,6.07933,-55.6822,2.16013,0.454385
36000,3,0.428566,-50.3583,4.48203,0.423
37000,4,5.74455,-50.6988,1.55331,0.405
38000,4,-0.360083,-59.6479,2.63662,0.445
39000,4,0.731702,-49.472,1.72315,0.379
40000,4,4.62098,-44.4787,1.60295,0.386
41000,4,3.46431,-61.0329,2.05075,0.404
42000,5,3.58819,-47.9776,1.31436,0.427
43000,3,4.39128,-54.173,2.5642,0.413889
44000,3,3.44565,-51.9251,3.53215,0.43
45000,4,5.50641,-48.9304,3.18537,0.411
46000,3,-3.74987,-48.5294,2.57454,0.4895
47000,3,-4.34075,-63.0273,2.28482,0.392
48000,3,-10.5853,-66.6612,1.06639,0.437783
49000,3,-5.03058,-68.4303,0.760588,0.416
50000,4,-7.01467,-66.2464,2.06589,0.395
51000,3,-7.14161,-61.1062,4.44173,0.413
52000,3,-6.89597,-69.4338,1.25864,0.426
53000,3,-4.13674,-56.6174,2.02835,0.442333
54000,7,-7.75173,-57.0271,7.65482,0.407
55000,4,-1.53148,-32.8295,7.16844,0.4047
56000,4,1.26708,-37.2734,3.86196,0.387
57000,5,2.69431,-29.907,1.81873,0.4152
58000,6,4.17152,-37.0273,3.4541,0.392
59000,10,6.23017,-33.3052,5.55441,0.354
60000,7,4.63621,-48.7442,2.38401,0.386
61000,7,2.85078,-51.8754,5.2613,0.404
62000,3,-0.807579,-63.387,1.87869,0.42125
63000,3,-2.80979,-65.8933,2.07246,0.397
64000,3,-1.34521,-51.6281,2.32338,0.420667
65000,5,5.24496,-59.1477,2.72521,0.436
66000,3,2.70529,-63.555,1.25022,0.441
67000,3,2.19804,-55.3654,2.0349,0.435
68000,4,1.80718,-54.5153,1.57938,0.389
69000,3,3.43321,-60.5221,1.03984,0.422
70000,4,1.72264,-58.7248,1.69485,0.422
71000,3,-3.41342,-60.5408,4.94545,0.418
72000,5,-9.58014,-65.7821,4.28615,0.43145
73000,4,-0.280794,-60.2704,2.93764,0.4155
74000,4,2.12035,-49.1095,2.4676,0.414
75000,5,-4.3112,-43.4629,4.33527,0.41
76000,5,-1.94793,-54.6215,4.39341,0.392
77000,4,-2.66649,-53.2341,2.11626,0.413857
78000,4,2.40159,-58.0433,0.766604,0.42125
79000,4,-0.996725,-58.0777,5.60391,0.416
80000,4,3.43141,-50.4646,2.54856,0.424042
81000,4,4.1389,-41.2236,2.52533,0.385
82000,4,2.85572,-50.5539,2.81632,0.39
83000,3,-0.335311,-62.971,2.43083,0.3895
84000,4,1.50362,-75.4623,0.958107,0.42
85000,3,-2.79996,-63.6236,1.39005,0.426
86000,3,-4.802,-57.9658,1.0004,0.391
87000,4,-3.62666,-67.6369,1.98371,0.425
88000,3,-3.16038,-65.6277,2.05899,0.413
89000,5,-1.32708,-57.0315,3.1238,0.4134
90000,6,-4.94216,-51.147,4.86801,0.418
91000,4,1.63732,-44.3551,3.42935,0.414333
92000,5,2.54755,-32.3896,5.03248,0.394
93000,4,2.75987,-37.4012,2.27976,0.377
94000,4,1.78925,-40.579,2.93968,0.36
95000,4,3.91355,-44.916,1.08797,0.405
96000,4,3.54338,-33.4152,1.7562,0.382
97000,5,3.49781,-41.1433,3.22064,0.352
98000,6,1.63438,-42.1765,2.46997,0.388
99000,4,-7.036,-64.1858,4.56608,0.414455
100000,3,-2.14458,-59.509,1.30142,0.409
101000,4,-5.40615,-61.2939,1.52662,0.402
102000,3,2.91759,-36.3617,3.58896,0.42245
103000,4,3.50286,-51.7659,4.43939,0.396
104000,4,4.36634,-47.6352,2.98156,0.391
105000,5,6.92899,-49.3772,0.800514,0.408
106000,4,2.42807,-38.7024,2.93069,0.438
107000,4,7.30321,-47.3119,1.56865,0.393
108000,4,7.22402,-51.2193,1.40476,0.397
109000,4,5.90119,-58.1699,2.06502,0.399
110000,5,2.37262,-53.7438,6.49674,0.454
111000,5,4.39889,-50.361,0.695936,0.416154
112000,4,1.69944,-51.9024,3.66879,0.396
113000,7,7.45754,-55.6291,1.41051,0.395333
114000,3,1.57855,-54.3517,4.98857,0.4415
115000,7,4.9232,-64.9857,5.50107,0.3975
116000,4,-0.574608,-62.4363,3.47218,0.418423
117000,5,6.35512,-51.2966,2.71491,0.4045
118000,5,4.71845,-51.2134,3.40343,0.428
119000,3,-0.650223,-63.1707,3.87909,0.4068
120000,5,-4.04665,-54.1285,5.49257,0.42525
121000,4,4.9483,-47.805,0.803188,0.424
122000,3,2.67783,-47.1798,2.3964,0.423
123000,3,4.27933,-49.6064,1.09311,0.3886
124000,3,2.41312,-37.1391,1.20987,0.39375
125000,3,0.675325,-46.1841,3.1466,0.376
126000,3,-0.745867,-40.4275,1.96389,0.41972
127000,3,0.184482,-39.2652,2.01073,0.38
128000,4,3.44184,-51.3683,1.14837,0.408667
129000,4,5.01877,-48.3544,2.19317,0.410571
130000,4,2.85316,-46.763,2.39357,0.463
131000,4,4.93687,-39.9583,2.22712,0.39
132000,4,6.86863,-32.3302,0.605083,0.354
133000,4,1.30043,-45.064,4.49214,0.437
134000,3,3.48326,-39.604,2.16236,0.379
135000,4,3.13631,-52.3952,2.65393,0.408
136000,6,4.27047,-48.449,4.37478,0.41
137000,3,-0.0522638,-58.0196,1.09434,0.4066
138000,4,0.314468,-55.9086,3.26566,0.359
139000,4,-3.1424,-46.6219,2.70346,0.406909
140000,5,6.71111,-68.102,2.42471,0.404176
