generation,leftchild,rightchild,abstime,betainit,betashift
0,Drosophila_grimshawi,Drosophila_willistoni,0,0.5,0
1000,Drosophila_grimshawi,Drosophila_willistoni,0,3.1617,0
1000,Drosophila_ananassae,NA,43.2077,0.310568,0.0534694
2000,Drosophila_grimshawi,Drosophila_willistoni,0,1.08848,-0.0135257
2000,Drosophila_willistoni,NA,19.5109,0.338154,-0.0132668
2000,Drosophila_persimilis,NA,30.2485,0.32261,-0.0392408
2000,Drosophila_sechellia,Drosophila_erecta,28.6909,0.0962304,-0.0513478
2000,Drosophila_persimilis,Drosophila_sechellia,3.88444,0.0192146,-0.014496
3000,Drosophila_grimshawi,Drosophila_willistoni,0,0.616679,-0.0135257
3000,Drosophila_grimshawi,NA,25.587,0.0566081,0.0311898
3000,Drosophila_mojavensis,NA,41.5319,0.829056,-0.0568209
3000,Drosophila_sechellia,Drosophila_erecta,24.8381,1.40531,-0.0254937
3000,Drosophila_sechellia,Drosophila_erecta,27.8293,0.181368,-0.0513478
3000,Drosophila_persimilis,Drosophila_sechellia,3.81114,0.0200927,-0.014496
4000,Drosophila_grimshawi,Drosophila_willistoni,0,0.469029,-0.0135257
4000,Drosophila_grimshawi,NA,12.1341,0.301243,0.0374262
4000,Drosophila_sechellia,Drosophila_erecta,28.8811,2.59328,-0.0254937
4000,Drosophila_sechellia,Drosophila_erecta,29.0073,0.14657,-0.0513478
4000,Drosophila_ananassae,NA,17.2041,0.532188,0.0294026
4000,Drosophila_persimilis,Drosophila_sechellia,5.34834,0.0249845,-0.014496
5000,Drosophila_grimshawi,Drosophila_willistoni,0,0.506333,-0.105247
5000,Drosophila_virilis,NA,40.3156,0.414437,0.0450402
5000,Drosophila_sechellia,Drosophila_simulans,45.2427,0.491432,-0.0437221
5000,Drosophila_persimilis,Drosophila_sechellia,7.15018,0.155173,-0.0513478
6000,Drosophila_grimshawi,Drosophila_willistoni,0,13.7512,-0.0917211
6000,Drosophila_willistoni,NA,5.38638,1.53048,-0.018605
6000,Drosophila_persimilis,Drosophila_sechellia,0.492864,0.236467,0.113027
6000,Drosophila_grimshawi,Drosophila_mojavensis,7.54147,0.335658,-0.0580527
6000,Drosophila_sechellia,Drosophila_erecta,17.4703,0.062165,0.109609
