generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,0.576794,-1.84338e+06,1,1
1000,1,-1.86601,-51.9477,0.0247399,0.612
2000,2,-12.313,-36.8524,1.13943,0.6
3000,1,-11.6835,-42.9041,2.38546,0.591
4000,2,-10.8005,-47.3468,0.151362,0.60035
5000,1,-12.1833,-43.7006,0.565259,0.518
6000,2,-8.60834,-39.2212,0.900311,0.529
7000,2,-6.43831,-17.8255,0.852236,0.453
8000,2,-1.75522,-7.70651,1.73059,0.386
9000,4,-6.30086,-31.9972,3.74629,0.568715
10000,2,-5.17067,-27.2803,0.267868,0.549143
11000,4,-6.9328,-26.5887,6.10288,0.519
12000,1,-1.92473,-10.1992,0.819325,0.35775
13000,1,-3.11851,-8.82839,1.13802,0.426
14000,1,-2.73119,-17.6003,1.01282,0.468667
15000,4,-4.03003,-29.7703,1.20671,0.601
16000,1,-1.00016,-23.1151,0.768139,0.58
17000,3,-0.897598,-22.9397,3.12072,0.542
18000,1,0.231953,-22.1631,0.431101,0.565
19000,1,0.519447,-11.3515,1.9052,0.399
20000,1,0.817709,-13.0538,1.22261,0.381
21000,1,1.14547,-9.23289,0.673284,0.376
22000,3,0.816332,-9.47433,2.03004,0.362
23000,3,2.70981,-16.0537,1.87818,0.43
24000,3,0.282343,-14.2142,2.90477,0.4435
25000,1,0.455959,-10.6822,0.857132,0.472
26000,1,0.285462,-12.8015,0.939304,0.429
27000,4,-2.04745,-24.1323,2.96522,0.521129
28000,2,-0.351603,-8.49736,1.29819,0.41675
29000,2,-3.22269,-16.4351,1.71983,0.450333
30000,3,0.979107,-12.8671,1.42962,0.4165
31000,1,-4.74355,-17.4727,0.214751,0.411059
32000,1,-8.46305,-15.9193,0.437363,0.473
33000,1,-4.83507,-10.7835,0.293929,0.4
34000,2,-3.87914,-13.8327,0.617523,0.377
35000,1,-4.30848,-12.1788,0.770376,0.37
36000,1,-3.13794,-11.5102,0.736996,0.385
37000,1,-3.97959,-15.1009,0.370674,0.394
38000,1,-1.00264,-11.9258,0.418859,0.433667
39000,1,-3.05189,-7.13426,0.821705,0.429333
40000,1,-1.12983,-7.09713,0.628855,0.363
41000,2,0.983422,-6.34724,0.381957,0.376
42000,3,-2.21305,-22.0939,3.31127,0.5078
43000,1,-1.01621,-14.6017,0.329364,0.3875
44000,2,-5.45114,-8.2126,1.82612,0.382286
45000,1,-1.45354,-9.64585,1.19808,0.404429
46000,3,0.370318,-13.8565,1.18222,0.364
47000,3,-3.82274,-9.7403,2.40765,0.4005
48000,2,-2.94777,-12.1459,2.25955,0.385
49000,1,-3.06493,-10.9944,0.218302,0.438
50000,1,-1.63287,-4.77645,0.374411,0.366
51000,1,-1.67829,-7.22087,0.36779,0.332
52000,2,-0.601998,-12.1083,1.05042,0.322
53000,1,-3.07722,-15.6697,1.69097,0.364
54000,1,-0.116304,-9.01023,0.152687,0.39425
55000,2,-1.39664,-15.9985,1.75629,0.404636
56000,1,0.0476897,-12.4351,0.288425,0.503
57000,3,0.916593,-15.8611,1.2658,0.428
58000,1,0.728083,-9.10986,1.62012,0.39975
59000,1,1.57461,-10.3482,0.209636,0.4445
60000,4,3.83804,-10.3144,1.91945,0.448
61000,2,-2.668,-10.566,3.63993,0.387
62000,1,0.378249,-13.684,0.461567,0.414
63000,1,-0.22347,-7.14416,0.814382,0.407
64000,1,-3.31792,-6.84627,3.88888,0.378
65000,1,-0.305726,-10.9214,1.14843,0.385
