generation,leftchild,rightchild,abstime,betainit,betashift
0,Drosophila_grimshawi,Drosophila_willistoni,0,0.5,0
1000,Drosophila_grimshawi,Drosophila_willistoni,0,2.08333,-0.0261992
1000,Drosophila_grimshawi,NA,34.9722,0.439401,-0.022238
1000,Drosophila_grimshawi,NA,39.8983,0.486426,-0.0309551
1000,Drosophila_mojavensis,NA,25.2579,0.0320434,-0.0614821
1000,Drosophila_sechellia,Drosophila_erecta,17.69,0.457927,-0.0918351
2000,Drosophila_grimshawi,Drosophila_willistoni,0,4.72032,-0.0949063
2000,Drosophila_grimshawi,NA,16.55,0.0562616,-0.0523025
2000,Drosophila_ananassae,NA,34.0284,0.290503,0.0570266
3000,Drosophila_grimshawi,Drosophila_willistoni,0,0.174906,-0.0687071
4000,Drosophila_grimshawi,Drosophila_willistoni,0,0.48272,-0.0687071
4000,Drosophila_willistoni,NA,38.3242,6.0245,0.00683027
5000,Drosophila_grimshawi,Drosophila_willistoni,0,0.870333,-0.0817563
6000,Drosophila_grimshawi,Drosophila_willistoni,0,0.402004,-0.0817563
7000,Drosophila_grimshawi,Drosophila_willistoni,0,1.71125,-0.0851353
8000,Drosophila_grimshawi,Drosophila_willistoni,0,1.44188,-0.0851353
9000,Drosophila_grimshawi,Drosophila_willistoni,0,1.26335,-0.0851353
9000,Drosophila_persimilis,Drosophila_sechellia,5.88192,0.0304863,0.0576297
10000,Drosophila_grimshawi,Drosophila_willistoni,0,1.02916,-0.0851353
10000,Drosophila_willistoni,NA,16.89,3.17241,-0.0164514
10000,Drosophila_persimilis,Drosophila_sechellia,2.66362,0.0114778,0.0576297
11000,Drosophila_grimshawi,Drosophila_willistoni,0,0.437331,-0.0508232
12000,Drosophila_grimshawi,Drosophila_willistoni,0,0.177265,-0.0273559
13000,Drosophila_grimshawi,Drosophila_willistoni,0,0.122685,-0.0449996
13000,Drosophila_persimilis,NA,37.5474,2.51324,0.0501352
14000,Drosophila_grimshawi,Drosophila_willistoni,0,0.143829,-0.0449996
15000,Drosophila_grimshawi,Drosophila_willistoni,0,0.0910272,-0.0449996
16000,Drosophila_grimshawi,Drosophila_willistoni,0,0.257079,-0.0565361
17000,Drosophila_grimshawi,Drosophila_willistoni,0,0.155959,-0.0565361
17000,Drosophila_sechellia,NA,49.2321,0.407403,0.058641
18000,Drosophila_grimshawi,Drosophila_willistoni,0,0.103649,-0.0863033
18000,Drosophila_sechellia,NA,47.9795,1.98687,0.0152646
19000,Drosophila_grimshawi,Drosophila_willistoni,0,0.162814,-0.0465266
20000,Drosophila_grimshawi,Drosophila_willistoni,0,0.17762,-0.0465266
21000,Drosophila_grimshawi,Drosophila_willistoni,0,0.326645,-0.0564429
21000,Drosophila_sechellia,Drosophila_simulans,45.6125,2.18743,0.0283818
22000,Drosophila_grimshawi,Drosophila_willistoni,0,0.0679173,-0.0533886
22000,Drosophila_sechellia,NA,47.6053,0.165477,-0.00185515
23000,Drosophila_grimshawi,Drosophila_willistoni,0,0.141016,-0.0573929
23000,Drosophila_sechellia,Drosophila_melanogaster,43.9755,0.264431,-0.123766
24000,Drosophila_grimshawi,Drosophila_willistoni,0,0.407893,-0.0564429
24000,Drosophila_grimshawi,Drosophila_mojavensis,2.32334,0.0362296,-0.0975954
25000,Drosophila_grimshawi,Drosophila_willistoni,0,0.334387,-0.0564429
25000,Drosophila_grimshawi,Drosophila_mojavensis,0.311242,0.00550841,-0.0503423
26000,Drosophila_grimshawi,Drosophila_willistoni,0,0.295876,-0.0564429
26000,Drosophila_grimshawi,Drosophila_mojavensis,2.45791,0.0226504,-0.0585745
27000,Drosophila_grimshawi,Drosophila_willistoni,0,0.171173,-0.0564429
27000,Drosophila_willistoni,NA,40.1126,1.45241,0.0370124
28000,Drosophila_grimshawi,Drosophila_willistoni,0,0.0498339,-0.0780349
28000,Drosophila_sechellia,Drosophila_melanogaster,42.459,0.165081,-0.0049727
29000,Drosophila_grimshawi,Drosophila_willistoni,0,0.0170419,-0.0740306
29000,Drosophila_persimilis,NA,22.0394,0.880406,-0.050994
29000,Drosophila_sechellia,Drosophila_melanogaster,42.3321,0.098339,-0.0049727
30000,Drosophila_grimshawi,Drosophila_willistoni,0,0.0422059,-0.0740306
30000,Drosophila_sechellia,Drosophila_melanogaster,40.8265,0.620048,-0.0420552
30000,Drosophila_sechellia,Drosophila_melanogaster,42.3348,0.0838784,-0.0360419
31000,Drosophila_grimshawi,Drosophila_willistoni,0,0.0663721,-0.0740306
31000,Drosophila_sechellia,Drosophila_melanogaster,39.4668,0.163705,-0.0422853
32000,Drosophila_grimshawi,Drosophila_willistoni,0,0.0385174,-0.0740306
32000,Drosophila_sechellia,Drosophila_melanogaster,43.6731,0.185692,-0.0422853
33000,Drosophila_grimshawi,Drosophila_willistoni,0,0.16103,-0.0740306
33000,Drosophila_sechellia,Drosophila_melanogaster,43.7935,0.218435,-0.0422853
34000,Drosophila_grimshawi,Drosophila_willistoni,0,0.020613,-0.0270923
35000,Drosophila_grimshawi,Drosophila_willistoni,0,0.314653,-0.0564429
36000,Drosophila_grimshawi,Drosophila_willistoni,0,0.102973,-0.101731
36000,Drosophila_willistoni,NA,41.3295,0.617077,0.00693017
36000,Drosophila_sechellia,Drosophila_simulans,46.4409,0.196796,-0.00381812
37000,Drosophila_grimshawi,Drosophila_willistoni,0,0.0522007,-0.0832957
37000,Drosophila_persimilis,NA,19.179,0.245414,-0.100095
37000,Drosophila_sechellia,Drosophila_melanogaster,39.7674,0.11668,0.0247473
37000,Drosophila_ananassae,NA,48.6158,0.541646,-0.00309369
38000,Drosophila_grimshawi,Drosophila_willistoni,0,0.182817,-0.101731
38000,Drosophila_sechellia,NA,46.9852,1.30775,0.0666505
39000,Drosophila_grimshawi,Drosophila_willistoni,0,0.171261,-0.101731
39000,Drosophila_sechellia,NA,48.0067,0.105222,0.0666505
40000,Drosophila_grimshawi,Drosophila_willistoni,0,0.0321524,-0.0965157
40000,Drosophila_sechellia,Drosophila_melanogaster,42.1882,0.0461177,-0.0353044
41000,Drosophila_grimshawi,Drosophila_willistoni,0,0.023385,-0.0677893
41000,Drosophila_sechellia,Drosophila_melanogaster,41.4007,0.0395942,-0.0258048
42000,Drosophila_grimshawi,Drosophila_willistoni,0,0.00678821,-0.0665405
42000,Drosophila_sechellia,Drosophila_melanogaster,39.0985,0.0527678,-0.0593408
43000,Drosophila_grimshawi,Drosophila_willistoni,0,0.0285927,-0.000435449
44000,Drosophila_grimshawi,Drosophila_willistoni,0,0.0607701,-0.071756
44000,Drosophila_sechellia,NA,48.6046,0.556086,-0.0337634
45000,Drosophila_grimshawi,Drosophila_willistoni,0,0.0826392,-0.071756
45000,Drosophila_sechellia,NA,46.9599,0.527125,-0.0337634
46000,Drosophila_grimshawi,Drosophila_willistoni,0,0.072664,-0.0645855
46000,Drosophila_sechellia,NA,48.7156,0.394676,-0.0337634
47000,Drosophila_grimshawi,Drosophila_willistoni,0,0.0968297,-0.0645855
47000,Drosophila_sechellia,NA,47.3644,0.660079,0.0359735
48000,Drosophila_grimshawi,Drosophila_willistoni,0,0.0785965,-0.0645855
