generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,0.576794,-690893,1,1
1000,4,-4.08014,-35.0332,1.24793,0.611
2000,2,-7.76483,-33.3036,0.463183,0.554
3000,4,-7.27587,-24.4516,1.43965,0.579
4000,5,-4.71192,-25.8946,4.05341,0.505
5000,3,-1.1942,-18.4818,1.48972,0.511
6000,3,-1.62182,-11.0975,1.38691,0.51958
7000,5,1.87923,-8.62889,2.65966,0.353
8000,4,-1.48821,-21.531,3.07889,0.564554
9000,2,-1.167,-23.1161,2.69502,0.547
10000,4,0.941389,-23.983,1.48108,0.59
11000,2,-0.895067,-23.3486,1.06932,0.57
12000,1,-4.75458,-6.43894,1.47951,0.503958
13000,2,-3.75187,-21.6445,0.951495,0.476
14000,1,-2.78452,-19.5027,0.7026,0.518
15000,4,2.77949,-21.6993,1.93952,0.5585
16000,4,-2.99325,-19.0362,2.32003,0.513
17000,2,0.172558,-16.066,0.700202,0.4422
18000,1,-7.33562,-18.1471,2.41436,0.51125
19000,1,-5.17283,-20.4415,0.907013,0.463
20000,1,-6.18678,-24.3266,0.268261,0.502
21000,2,-0.992152,-17.3981,0.263429,0.51225
22000,1,-1.88301,-8.76509,0.22501,0.3973
23000,1,-0.415739,-16.3042,0.438318,0.580667
24000,1,0.0107121,-15.0993,0.19098,0.506
25000,2,0.222145,-5.48182,1.23897,0.466
26000,1,0.46555,-12.8416,0.196116,0.532
27000,1,0.116373,-3.77251,1.13147,0.3856
28000,2,-2.08177,-12.3742,2.62399,0.5565
29000,2,1.40677,-7.95679,1.91652,0.43975
30000,3,-1.65589,-16.7537,2.0723,0.5805
31000,0,0.322122,-19.727,0.488976,0.558333
32000,2,0.958493,-1.01784,1.57735,0.3932
33000,4,1.51639,-4.22713,3.04195,0.412
34000,1,-1.25631,-5.13154,2.54811,0.415
35000,2,-1.37057,-17.0975,3.25168,0.5656
36000,1,0.733541,0.649778,0.621151,0.444714
37000,1,0.957593,-0.562239,0.172996,0.353
38000,2,-2.40571,-1.50456,2.79426,0.383
39000,4,0.707198,-22.9557,1.18762,0.57275
40000,1,-0.174146,-8.19355,0.0947488,0.543667
41000,1,2.33374,-5.78282,0.101997,0.428
42000,1,1.50559,-12.7244,0.312059,0.550667
43000,1,1.91535,-1.71222,0.22361,0.4306
44000,1,1.16951,2.13578,0.259119,0.38
45000,1,-0.215466,-15.9201,1.39012,0.520667
46000,1,1.44252,-6.11351,0.365844,0.4184
47000,2,-0.210807,-8.68532,2.42574,0.442
48000,1,0.0724986,-0.497538,1.17579,0.483
49000,1,1.31418,-0.504076,0.880908,0.4464
50000,1,-0.130769,-15.6617,1.01928,0.5354
51000,1,0.0903579,-15.8253,0.991232,0.507
52000,1,1.08293,-15.6071,0.300965,0.501
53000,3,-0.501994,-10.6822,2.67229,0.495
54000,1,0.591458,-11.6065,1.3243,0.495
55000,1,-0.451993,-19.016,1.06007,0.512
56000,2,0.337957,-18.7221,1.04315,0.544
57000,0,1.82885,-13.4143,0.072919,0.424667
58000,1,2.14396,-8.86308,1.0935,0.451778
59000,1,0.851907,-7.42068,1.98516,0.388
60000,1,1.78555,-11.2358,0.966898,0.488
61000,2,3.63549,3.89775,0.538791,0.39675
62000,1,1.3542,-20.1734,0.584894,0.492045
63000,2,0.985289,-6.58556,0.703553,0.428429
64000,1,-1.47773,-6.78926,1.51387,0.382
65000,1,2.1209,2.82945,1.05094,0.301
66000,3,-3.54653,-8.11837,1.69482,0.385667
67000,1,1.41428,-5.84393,1.42348,0.409
68000,2,3.04336,-6.35358,0.64427,0.411
69000,1,-2.49764,-11.1775,0.713648,0.4224
70000,2,-0.538411,-4.18382,0.726077,0.465
71000,1,-2.67062,-7.08097,0.400934,0.4
72000,1,0.0560011,-10.4915,0.436123,0.435
73000,2,-0.587522,-7.71375,1.27156,0.421
74000,2,1.73732,-6.81936,0.462407,0.414
75000,1,2.00891,-8.77736,0.636495,0.453
76000,2,1.85884,-5.81196,1.61968,0.441
77000,1,1.35562,-2.89348,1.60725,0.41
78000,1,1.37845,-3.75859,1.54829,0.409
79000,1,-0.607792,-16.8384,0.607002,0.421333
80000,2,-4.12696,-9.96568,1.21565,0.414
81000,2,-0.893319,-5.77424,1.72371,0.38
82000,1,2.65671,-1.59004,0.795329,0.354882
83000,2,3.89101,0.618693,1.08738,0.401
84000,1,2.59617,-2.33979,0.753377,0.35
85000,1,2.15355,-5.44417,0.611287,0.382
86000,1,2.32991,-7.70044,0.513377,0.513
87000,1,-1.78208,-13.2947,0.271721,0.396833
88000,1,-0.762132,-7.09325,0.178576,0.441
89000,2,0.220887,-9.59775,1.14272,0.372
90000,3,-0.567489,-6.66512,0.950194,0.384
91000,0,-0.416193,-12.7931,0.363815,0.5102
92000,1,0.5168,-8.31074,0.760731,0.392
93000,2,5.50906,-2.54013,0.270206,0.4245
94000,1,2.23622,-4.18316,1.60399,0.41
95000,1,1.39306,-8.14582,1.17137,0.459
96000,2,2.74115,-7.10196,1.86274,0.485
97000,1,1.77994,-9.86924,0.173957,0.439158
98000,3,4.10026,-12.6186,1.71152,0.504
99000,1,3.39798,-14.8765,0.432053,0.524
100000,1,0.829901,-0.268233,1.53368,0.443
101000,1,1.18191,-4.91952,0.882896,0.402
102000,1,0.747314,-6.27138,0.0403608,0.45
103000,1,1.85639,-0.525003,0.260782,0.391909
104000,1,0.747507,-8.8346,1.26506,0.447
105000,2,0.414588,-12.127,0.86812,0.461
106000,1,-1.13188,-10.7646,3.06058,0.475114
107000,2,2.12334,-2.43703,0.489131,0.39975
108000,1,1.19263,-0.175166,0.364404,0.379
109000,3,0.193658,-3.42259,3.84602,0.454
110000,2,1.98504,-6.36296,0.813086,0.419
111000,2,-2.46912,-4.2158,4.27483,0.421
112000,1,0.740112,-6.67175,1.06537,0.3935
113000,1,1.45635,-11.0747,0.829558,0.4395
114000,1,3.13188,-3.82415,0.125012,0.4264
115000,2,1.75638,-3.48226,2.51298,0.431
116000,1,3.51161,-9.9072,0.325261,0.4106
117000,1,0.957537,-0.100744,0.761419,0.419
118000,1,1.12038,-3.86355,0.164378,0.4486
119000,1,3.1064,-1.83255,0.811807,0.462
120000,2,2.9355,-0.882883,1.90657,0.436
121000,1,1.90423,-3.13804,1.21058,0.480333
122000,2,1.76762,0.132507,1.95981,0.3945
123000,1,2.48802,1.43533,0.720217,0.258
124000,2,4.44797,-4.46523,0.482473,0.424
125000,2,4.40682,-2.34643,0.754663,0.408
126000,2,2.08799,-3.94939,1.35821,0.4152
127000,2,1.94619,-4.21033,1.15006,0.454
128000,2,1.44024,-5.32316,2.44152,0.416
129000,3,4.17792,-7.52886,2.67033,0.381
130000,1,1.49822,-4.63499,1.60785,0.409
131000,4,1.06752,-2.27336,2.87727,0.395
132000,2,2.37217,-2.86347,1.90418,0.384857
133000,2,3.77981,-0.313519,0.655828,0.393
134000,1,2.15697,3.05307,0.700634,0.304
135000,1,-0.773626,-0.760532,0.897887,0.3505
136000,1,3.08811,-4.87826,0.496735,0.4502
137000,1,1.34037,-3.06031,1.32786,0.41448
138000,1,-2.98951,-4.06066,5.26303,0.423
139000,2,4.4268,-3.17517,0.625136,0.365
140000,2,2.10434,-6.03492,2.25835,0.435
141000,1,3.23412,-3.97023,0.159117,0.413
142000,1,1.30793,3.02661,0.287336,0.342286
143000,1,-0.436172,0.338889,1.09358,0.293
144000,1,1.99261,0.703704,0.428761,0.371
145000,1,-1.72223,-4.41074,1.33048,0.391
146000,5,2.18505,-10.7066,5.35503,0.4362
147000,1,1.78881,-5.21496,1.53728,0.467
148000,1,2.06557,0.246366,1.03468,0.352786
149000,1,2.47078,-1.43976,0.364826,0.342
150000,5,3.40266,-7.84594,1.65355,0.405
151000,1,3.02113,-1.60335,0.643726,0.378
152000,3,-2.32515,-2.25533,2.92516,0.4134
153000,2,3.10705,0.594478,1.19203,0.4095
154000,1,1.23166,-2.75141,0.812155,0.436
155000,1,3.03558,-9.58768,0.303107,0.441421
156000,1,1.71201,-2.59231,0.714243,0.4095
157000,1,1.70718,1.32988,1.33137,0.412
158000,2,3.63656,-1.1125,1.27454,0.402
159000,1,1.60863,-8.39713,0.730353,0.4106
160000,2,3.61879,-9.62891,0.900648,0.387
161000,0,0.934309,-11.3001,0.766409,0.462
162000,2,2.55859,-6.05449,1.79675,0.462286
163000,1,1.63421,-2.09769,0.91361,0.4465
164000,1,1.81131,-5.92988,1.30641,0.438
165000,1,2.93239,-4.31167,0.645169,0.445
166000,1,0.0376913,-11.4284,0.933982,0.50125
167000,4,1.27728,-6.00167,2.24146,0.528
168000,2,1.43324,-5.20665,1.18105,0.501
169000,1,-2.41472,-4.8066,1.26808,0.425
170000,1,-0.345309,-5.48688,0.648558,0.44975
171000,2,2.2052,-2.88596,1.43626,0.4516
172000,3,-0.481051,-6.87412,2.25535,0.414333
173000,1,-5.31539,0.312858,4.03631,0.39025
174000,1,1.47,-1.93521,1.09736,0.4225
175000,2,1.7679,0.0938975,2.55571,0.407
176000,3,2.31025,-2.27516,1.65846,0.399
177000,3,2.88702,-4.82032,1.50008,0.384
178000,2,3.33608,-5.79127,1.90122,0.43
179000,1,2.02023,-2.91494,0.655581,0.488375
180000,1,2.52025,3.31482,1.17729,0.468
181000,2,1.10414,-1.44835,3.12147,0.422
182000,1,-0.0965375,-7.80319,1.21401,0.445917
183000,3,5.6299,-4.98201,0.51959,0.413
184000,2,0.456305,-12.7472,1.80193,0.476
185000,1,1.69612,-6.21187,0.377167,0.371667
186000,1,0.660623,6.48362,0.854217,0.332
187000,2,0.0865826,0.838469,1.40557,0.323
188000,1,2.73426,1.24226,0.164862,0.3935
189000,1,0.884024,-0.158735,0.273755,0.405
190000,3,0.897484,-1.55871,1.0345,0.37
191000,1,2.36629,0.596044,0.27474,0.324
192000,2,0.418325,-3.43379,1.3281,0.427
193000,1,-0.199921,-1.68635,1.3224,0.415167
194000,1,-1.1054,-4.53744,1.54714,0.438
195000,3,2.69668,-1.23406,3.18282,0.4125
196000,0,0.134521,-11.2814,0.152954,0.417333
197000,2,-2.37001,-21.306,2.32141,0.516333
198000,1,1.82882,-4.9584,0.521034,0.425833
199000,0,1.22626,-14.8688,0.72079,0.474333
200000,1,1.81916,-13.9126,1.46812,0.515
201000,1,2.58536,-3.23334,0.930441,0.487
202000,1,1.89396,-4.99115,0.0741088,0.43075
203000,0,0.17724,-12.1056,0.860703,0.489875
204000,0,0.952049,-10.8969,0.0824542,0.532
205000,1,-0.095053,-23.0085,0.359558,0.576
206000,1,2.13162,-12.8666,0.482492,0.56
207000,1,2.29452,1.5739,0.538577,0.417
208000,1,2.23887,0.088485,0.288035,0.337
209000,2,4.27199,-8.56807,0.280485,0.450333
210000,2,2.33655,-10.7128,1.86772,0.500769
211000,2,2.38481,-3.85688,1.32922,0.4
212000,1,2.87951,-4.86288,0.193841,0.436
213000,1,1.84684,-6.00058,1.16309,0.465
214000,1,2.18154,-5.47002,0.515064,0.449
215000,1,2.96913,-3.68413,0.324947,0.42
216000,1,1.23933,-3.91711,1.36842,0.398133
217000,1,1.57267,-4.2594,1.2171,0.431333
218000,1,0.0975152,-14.3054,2.69771,0.471
219000,2,3.6721,-11.9699,0.950093,0.531
220000,3,0.984992,-3.32066,2.2178,0.396909
221000,3,-2.35107,-2.95665,1.98662,0.361
222000,1,1.07242,-4.18822,1.67673,0.3675
223000,1,3.2768,-10.3327,0.412986,0.549
224000,0,1.72049,-17.0796,0.0848023,0.513
225000,2,3.0628,4.55009,0.622808,0.383
226000,1,2.69013,-2.04844,0.453256,0.301
227000,2,3.79492,-2.97457,1.06559,0.395
228000,2,3.74754,-3.46563,1.59017,0.38
229000,1,2.55741,-0.0666451,1.13289,0.453
230000,1,1.5085,-6.75921,1.577,0.395778
231000,1,2.03549,-2.74924,1.25994,0.413
232000,1,1.07763,-1.88977,1.88467,0.372
233000,1,1.62788,-5.06601,1.03824,0.376
234000,3,3.79343,-0.718709,2.95634,0.391
235000,1,2.49035,0.655978,0.0753576,0.41
