generation,leftchild,rightchild,abstime,betainit,betashift
0,Drosophila_grimshawi,Drosophila_willistoni,0,0.582876,0
1000,Drosophila_grimshawi,Drosophila_willistoni,0,15.4908,0
1000,Drosophila_grimshawi,NA,14.6544,0.0949589,-0.0198331
1000,Drosophila_grimshawi,Drosophila_mojavensis,3.31013,0.231394,0.024827
1000,Drosophila_willistoni,NA,7.63453,0.122412,-0.0244059
1000,Drosophila_persimilis,NA,38.948,1.85772,-0.0471023
1000,Drosophila_sechellia,NA,48.5018,0.491901,-0.0150218
1000,Drosophila_persimilis,Drosophila_sechellia,5.41721,0.314995,-0.0133532
2000,Drosophila_grimshawi,Drosophila_willistoni,0,3.91625,0
2000,Drosophila_virilis,NA,47.6962,0.152203,-0.104502
2000,Drosophila_grimshawi,Drosophila_mojavensis,3.56362,0.119067,-0.00952071
2000,Drosophila_sechellia,Drosophila_erecta,29.3172,0.128819,0.0716005
2000,Drosophila_ananassae,NA,47.4911,3.4188,0.11724
2000,Drosophila_persimilis,Drosophila_sechellia,4.46737,0.657323,-0.0133532
3000,Drosophila_grimshawi,Drosophila_willistoni,0,4.00311,0
3000,Drosophila_grimshawi,NA,30.2475,0.185932,0.0410317
3000,Drosophila_grimshawi,Drosophila_mojavensis,3.78723,0.0565688,-0.00952071
3000,Drosophila_willistoni,NA,31.8752,1.71678,-0.0658748
3000,Drosophila_willistoni,NA,48.9599,0.0368816,0.0880325
3000,Drosophila_persimilis,NA,13.0177,1.11767,-0.0751003
3000,Drosophila_sechellia,Drosophila_erecta,36.7916,0.285356,-0.0505883
3000,Drosophila_persimilis,Drosophila_sechellia,4.67561,0.188596,-0.0133532
4000,Drosophila_grimshawi,Drosophila_willistoni,0,1.65261,0
4000,Drosophila_virilis,NA,19.5749,0.232824,-0.00972728
4000,Drosophila_grimshawi,Drosophila_mojavensis,1.22467,0.0711872,-0.00952071
4000,Drosophila_persimilis,NA,22.7048,0.757287,-0.0265678
4000,Drosophila_persimilis,NA,40.2468,0.169681,-0.0294796
4000,Drosophila_sechellia,Drosophila_simulans,45.6884,2.37429,-0.0512965
4000,Drosophila_erecta,NA,45.2818,0.310667,-0.00461795
4000,Drosophila_sechellia,Drosophila_erecta,26.8337,1.66727,-0.0137235
4000,Drosophila_sechellia,Drosophila_erecta,31.3757,0.0801978,-0.0750407
4000,Drosophila_sechellia,Drosophila_erecta,34.0159,0.322029,-0.0505883
4000,Drosophila_persimilis,Drosophila_sechellia,4.67561,0.162123,-0.0133532
5000,Drosophila_grimshawi,Drosophila_willistoni,0,6.64713,-0.0490427
5000,Drosophila_grimshawi,NA,39.8623,1.89889,-0.051085
5000,Drosophila_grimshawi,Drosophila_mojavensis,0.0373031,0.157483,-0.0351657
6000,Drosophila_grimshawi,Drosophila_willistoni,0,2.97967,-0.0490427
6000,Drosophila_grimshawi,Drosophila_mojavensis,1.82009,0.127426,-0.0287775
7000,Drosophila_grimshawi,Drosophila_willistoni,0,5.16814,-0.0490427
7000,Drosophila_virilis,NA,50.0164,0.82865,-0.10254
7000,Drosophila_grimshawi,Drosophila_mojavensis,0.0411537,0.396513,-0.0287775
8000,Drosophila_grimshawi,Drosophila_willistoni,0,5.86121,-0.0490427
8000,Drosophila_virilis,NA,24.3336,2.93752,-0.0319005
8000,Drosophila_grimshawi,Drosophila_mojavensis,0.0496441,0.445464,-0.0287775
8000,Drosophila_ananassae,NA,24.9847,1.34953,0.0381931
9000,Drosophila_grimshawi,Drosophila_willistoni,0,3.351,-0.0490427
9000,Drosophila_virilis,NA,45.9586,0.228937,-0.0312864
10000,Drosophila_grimshawi,Drosophila_willistoni,0,4.4671,-0.0490427
11000,Drosophila_grimshawi,Drosophila_willistoni,0,3.60927,-0.0520827
12000,Drosophila_grimshawi,Drosophila_willistoni,0,0.885037,-0.0621005
12000,Drosophila_sechellia,NA,47.7093,2.88042,0.0172814
13000,Drosophila_grimshawi,Drosophila_willistoni,0,0.691399,-0.0621005
13000,Drosophila_grimshawi,NA,15.6416,0.490363,-0.0550864
13000,Drosophila_grimshawi,NA,32.4651,0.0123621,0.0208961
13000,Drosophila_sechellia,NA,47.2121,3.01695,0.0172814
14000,Drosophila_grimshawi,Drosophila_willistoni,0,0.461473,-0.0621005
14000,Drosophila_sechellia,NA,47.6487,0.857244,-0.0363202
15000,Drosophila_grimshawi,Drosophila_willistoni,0,0.135693,-0.00225644
16000,Drosophila_grimshawi,Drosophila_willistoni,0,0.174188,-0.00225644
17000,Drosophila_grimshawi,Drosophila_willistoni,0,0.446033,-0.0621005
17000,Drosophila_willistoni,NA,41.7253,0.0596577,-0.043435
17000,Drosophila_sechellia,NA,47.0722,0.351114,-0.0494747
18000,Drosophila_grimshawi,Drosophila_willistoni,0,0.154368,0.0236407
19000,Drosophila_grimshawi,Drosophila_willistoni,0,0.48575,-0.0549137
19000,Drosophila_persimilis,Drosophila_sechellia,3.79287,0.884509,-0.036197
20000,Drosophila_grimshawi,Drosophila_willistoni,0,0.744238,-0.0621005
20000,Drosophila_grimshawi,NA,13.7529,0.298136,0.0225109
20000,Drosophila_willistoni,NA,23.3105,0.444773,-0.0674124
