generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,0.493918,-899746,1,1
1000,6,-6.90925,-83.9962,1.99703,0.592
2000,5,-4.6794,-28.8192,2.73541,0.547
3000,7,0.439157,-24.1779,4.1361,0.548
4000,10,7.63494,-25.2518,4.81567,0.53
5000,2,-7.20273,-37.1653,3.47932,0.557888
6000,1,-1.50646,-42.673,1.90629,0.578
7000,2,-3.74193,-39.011,0.829452,0.589
8000,3,-4.54235,-39.8102,1.11387,0.601
9000,1,-1.50053,-44.4388,1.39737,0.583
10000,0,-4.21984,-44.5836,1.34849,0.589
11000,0,-2.11412,-45.5482,0.0391168,0.587
12000,1,-1.2234,-19.9809,0.780506,0.487625
13000,3,1.30623,-20.9995,1.26462,0.443
14000,1,1.01329,-19.0658,0.786456,0.437
15000,0,1.67968,-25.2333,0.260403,0.534298
16000,0,1.76057,-22.2928,0.14102,0.506
17000,2,2.63903,-19.7982,1.09639,0.449
18000,0,-0.390791,-25.0236,2.20144,0.5125
19000,1,1.62826,-24.5129,0.289919,0.567625
20000,6,3.63175,-21.7267,3.04368,0.454667
21000,2,-0.0271646,-22.5558,1.10615,0.518
22000,6,1.5279,-30.8231,4.06818,0.49
23000,1,0.864563,-27.4654,0.967572,0.5565
24000,0,1.15733,-23.1093,0.712599,0.512833
25000,0,1.6159,-20.5371,0.29377,0.454
26000,1,3.28823,-23.7374,0.566074,0.475
27000,3,0.837212,-25.5281,1.25217,0.555572
28000,3,0.930476,-20.1601,0.663334,0.501
29000,1,-1.88563,-25.9781,3.10008,0.500429
30000,0,1.13753,-29.5428,0.539935,0.557714
31000,0,1.22351,-24.3423,0.39564,0.547
32000,2,-1.86961,-17.0839,3.1945,0.481
33000,2,2.35697,-22.4521,1.27985,0.505
34000,1,2.56564,-33.7523,0.0737679,0.525375
35000,1,-2.28059,-8.51036,1.74161,0.434429
36000,2,-1.33383,-11.8486,0.500254,0.351
37000,2,-1.43724,-23.6944,2.49469,0.525333
38000,3,3.31662,-17.6308,2.51378,0.5074
39000,2,4.56694,-19.4327,0.632497,0.456
40000,1,-0.836137,-11.3752,0.232321,0.3655
41000,2,0.420543,-12.879,0.933092,0.39
42000,2,0.121835,-12.8968,0.931284,0.436231
43000,1,0.606376,-14.5784,0.109567,0.375
44000,0,1.16878,-24.5913,0.627447,0.515286
45000,0,1.31223,-29.0119,0.264672,0.496
46000,1,0.357813,-13.9441,0.32239,0.382
47000,4,-0.57292,-20.3227,3.26081,0.40075
48000,1,-0.25496,-16.1182,0.863017,0.467778
49000,5,5.34899,-9.28637,2.07813,0.405
50000,2,1.04757,-15.8651,0.755557,0.4706
51000,2,-1.32398,-20.3885,3.76644,0.427
52000,2,-1.86483,-13.455,1.32044,0.5
53000,2,2.22265,-8.96624,1.4784,0.439
54000,1,1.36908,-13.4658,1.44675,0.403
55000,1,-1.12222,-12.5276,1.64955,0.42
56000,1,-0.158239,-13.066,0.743302,0.357
57000,1,2.09071,-8.11473,0.453207,0.395625
58000,3,-0.817138,-14.7269,2.7357,0.391455
59000,3,0.664476,-9.36977,2.00324,0.35
60000,2,2.38646,-9.18071,1.01282,0.4335
61000,2,-1.12734,-11.9109,0.910989,0.38
62000,2,-1.7238,-12.7462,1.25011,0.348333
63000,1,0.495203,-11.574,2.04926,0.381
64000,4,-4.99742,-13.4006,2.51556,0.3845
65000,1,0.403482,-12.6725,0.123726,0.356889
66000,1,-0.957643,-15.1157,0.948217,0.379
67000,3,2.33828,-17.0658,1.99913,0.386
68000,1,1.23996,-14.9541,0.428686,0.3698
69000,3,1.38731,-5.44906,2.59322,0.375083
70000,1,-2.951,-17.1853,1.2677,0.418333
71000,1,-4.46879,-15.9162,2.79352,0.397
72000,1,0.639196,-16.774,0.245075,0.421
73000,2,0.266956,-13.3932,1.50651,0.435
74000,1,-0.514539,-18.2801,1.00562,0.432
75000,1,0.0196416,-20.3397,0.366714,0.396857
