generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,0.576794,-1.74145e+09,1,1
1000,2,-83.5924,-4785.46,0.479134,0.526474
2000,6,-27.1987,-1166.95,1.55807,0.532
3000,10,-52.7541,-331.935,4.73759,0.516
4000,8,-40.578,-434.576,3.22467,0.525
5000,8,-34.4596,-142.067,4.1397,0.485903
6000,9,-21.7992,-144.447,3.37645,0.506
7000,8,-28.4567,-144.382,5.19551,0.493
8000,13,-25.0614,-131.951,7.17431,0.52
9000,11,-30.5504,-120.21,7.73281,0.487
10000,12,-27.9617,-110.592,6.12165,0.466
11000,9,-41.2376,-104.914,3.55158,0.511499
12000,14,-28.3781,-82.601,6.48627,0.493
13000,9,-20.9036,-84.12,4.34172,0.419
14000,9,-19.0599,-78.4878,8.66137,0.418
15000,6,-17.0228,-78.6973,2.21352,0.41
16000,10,-8.66612,-80.5253,7.22033,0.480833
17000,8,-22.1971,-117.095,2.83,0.484857
18000,10,-5.16203,-80.7654,5.00979,0.41
19000,8,-12.8537,-59.0415,6.17477,0.38
20000,14,-15.1834,-82.2241,9.69568,0.3942
21000,9,-24.6384,-110.054,6.51822,0.43675
22000,12,-30.4716,-107.91,7.21149,0.446
23000,15,-19.2168,-108.594,6.72419,0.453
24000,9,-22.0993,-112.395,4.22728,0.455
25000,6,-8.17501,-52.6623,6.10174,0.396833
26000,7,-7.97898,-48.8686,3.56469,0.414
27000,6,-6.19292,-54.1169,2.33238,0.388
28000,5,-5.29171,-52.8382,3.15674,0.386
29000,9,-0.560789,-66.299,5.20428,0.435444
30000,8,-2.61977,-75.1396,4.48092,0.484556
31000,9,-4.23007,-72.9457,6.06614,0.3725
32000,6,-2.39604,-69.6939,2.5074,0.388
33000,6,-3.86061,-61.6375,3.86918,0.388
34000,7,-23.3023,-110.719,4.07256,0.4406
35000,8,-20.1682,-116.49,2.99583,0.394
36000,7,2.2751,-53.082,4.54592,0.400125
37000,7,-4.31946,-60.3037,3.63876,0.363
38000,6,-0.138666,-63.2032,2.84596,0.395
39000,6,-5.42019,-56.8799,4.76063,0.404
40000,6,-10.1863,-56.4131,6.90548,0.362
41000,7,-4.79728,-59.2102,3.42808,0.358
42000,7,1.6822,-48.2454,3.49774,0.406667
43000,5,4.27645,-50.7503,2.20373,0.418
44000,6,3.02945,-51.8795,3.99306,0.396
45000,7,0.481873,-49.2267,4.61004,0.404
46000,7,0.615072,-46.9388,3.66548,0.417
47000,5,3.57481,-54.5716,1.82205,0.407
48000,11,-3.19617,-70.619,8.5296,0.453944
49000,10,-6.84018,-65.4182,5.17568,0.432
50000,5,-26.9361,-93.4285,4.37841,0.4222
51000,7,-2.40811,-71.2714,3.31189,0.422
52000,6,-4.60813,-72.1444,5.68855,0.472
53000,6,-8.1031,-61.6735,1.66956,0.398167
54000,7,-5.03942,-51.3765,4.16804,0.45
55000,9,-2.31509,-47.1444,7.00261,0.438
56000,5,2.42745,-46.7341,1.69021,0.386
57000,7,-4.37158,-58.584,6.43102,0.383813
