generation,leftchild,rightchild,abstime,betainit,betashift
0,Ustilaginomycetes,Neocallimastigomycetes,0,0.5,0
1000,Ustilaginomycetes,Neocallimastigomycetes,0,2.72558,0.475464
1000,Pucciniomycetes,Microbotryomycetes,490.362,0.079978,0.0698094
1000,Neocallimastigomycetes,Chytridiomycetes,57.5231,0.287071,0.0103788
2000,Ustilaginomycetes,Neocallimastigomycetes,0,9.7328,0.475464
2000,Ustilaginomycetes,Malasseziomycetes,575.804,0.096369,0.0470353
2000,Wallemiomycetes,NA,702.684,1.56372,-0.0606702
2000,Pucciniomycetes,Microbotryomycetes,478.711,0.0521666,0.0698094
2000,Pneumocystidomycetes,NA,847.099,2.10123,0.046619
2000,Schizosaccharomycetes,NA,647.399,1.18461,-0.0437916
2000,Schizosaccharomycetes,NA,728.056,0.0636411,0.0616881
2000,Eurotiomycetes,NA,646.705,1.15433,-0.0450985
2000,Neocallimastigomycetes,NA,974.407,0.2683,0.0837757
2000,Chytridiomycetes,NA,376.507,0.380696,0.081979
2000,Neocallimastigomycetes,Chytridiomycetes,175.891,0.753184,0.0874339
3000,Ustilaginomycetes,Neocallimastigomycetes,0,9.98694,0.675637
3000,Ustilaginomycetes,Malasseziomycetes,570.783,0.0840213,0.144712
3000,Wallemiomycetes,NA,720.588,1.59749,-0.0606702
3000,Pucciniomycetes,Microbotryomycetes,472.393,0.0653158,0.0698094
3000,Pneumocystidomycetes,NA,824.83,1.35829,0.046619
3000,Pneumocystidomycetes,NA,949.386,2.94744,0.0608782
3000,Pneumocystidomycetes,NA,966.331,0.440216,-0.0837468
3000,Saccharomycetes,NA,686.223,0.627381,-0.00464636
3000,Chytridiomycetes,NA,364.24,0.266932,0.081979
4000,Ustilaginomycetes,Neocallimastigomycetes,0,19.2645,0.675637
4000,Ustilaginomycetes,NA,968.7,1.06141,-0.0330948
4000,Ustilaginomycetes,Malasseziomycetes,595.458,0.0493461,0.144712
4000,Tremellomycetes,NA,726.052,0.743692,-0.0604599
4000,Pucciniomycetes,Microbotryomycetes,471.345,0.0511719,0.0698094
4000,Pneumocystidomycetes,Schizosaccharomycetes,446.248,0.866431,0.0221353
5000,Ustilaginomycetes,Neocallimastigomycetes,0,43.2355,0.587529
5000,Ustilaginomycetes,Malasseziomycetes,590.669,0.0441439,0.144712
5000,Pucciniomycetes,Microbotryomycetes,493.44,0.0458647,0.0698094
5000,Pneumocystidomycetes,Schizosaccharomycetes,481.72,0.491511,0.0221353
5000,Leotiomycetes,NA,599.419,6.87217,0.0586095
5000,Neocallimastigomycetes,NA,386.849,0.815682,0.00128496
5000,Neocallimastigomycetes,Chytridiomycetes,71.2503,0.436622,0.0321454
6000,Ustilaginomycetes,Neocallimastigomycetes,0,26.9179,0.0499616
6000,Ustilaginomycetes,Malasseziomycetes,618.179,0.0371485,0.144712
6000,Pucciniomycetes,NA,964.76,0.544154,-0.0369751
6000,Pucciniomycetes,Microbotryomycetes,637.027,0.852078,-0.0212988
6000,Schizosaccharomycetes,NA,639.201,1.09321,-0.0452475
6000,Pneumocystidomycetes,Schizosaccharomycetes,481.72,0.404356,0.0221353
6000,Saccharomycetes,NA,679.614,0.0777284,-0.0303147
6000,Saccharomycetes,NA,929.772,1.78291,-0.0812897
6000,Dothideomycetes,NA,703.923,0.500681,-0.0557803
6000,Leotiomycetes,NA,726.19,0.185346,0.100889
6000,Eurotiomycetes,NA,624.231,3.37507,0.0250846
6000,Neocallimastigomycetes,NA,386.073,0.745323,0.00128496
6000,Neocallimastigomycetes,NA,939.429,0.0020982,-0.0683691
6000,Neocallimastigomycetes,Chytridiomycetes,256.753,0.460583,-0.0534541
7000,Ustilaginomycetes,Neocallimastigomycetes,0,27.9182,0.0499616
7000,Ustilaginomycetes,Malasseziomycetes,648.115,0.0247585,0.0863468
7000,Wallemiomycetes,NA,765.542,4.63568,-0.0519573
7000,Agaricomycetes,NA,752.817,0.084599,-0.0630014
7000,Pucciniomycetes,NA,945.954,0.592321,-0.0369751
7000,Pucciniomycetes,Microbotryomycetes,640.241,0.852078,-0.0212988
7000,Schizosaccharomycetes,NA,568.393,0.430465,0.090799
7000,Schizosaccharomycetes,NA,594.787,0.684312,-0.0452475
7000,Schizosaccharomycetes,NA,878.555,0.426667,-0.0629634
7000,Pneumocystidomycetes,Schizosaccharomycetes,458.786,0.334471,0.0221353
7000,Leotiomycetes,NA,867.722,0.137815,0.0153925
7000,Eurotiomycetes,NA,615.475,2.9215,0.0250846
7000,Dothideomycetes,Sordariomycetes,499.199,1.62818,0.022296
7000,Pneumocystidomycetes,Saccharomycetes,279.598,3.08993,0.0618728
7000,Neocallimastigomycetes,NA,338.544,0.873607,0.00128496
7000,Neocallimastigomycetes,NA,848.562,1.97036,-0.104013
7000,Neocallimastigomycetes,NA,959.95,0.286001,-0.00949699
7000,Neocallimastigomycetes,Chytridiomycetes,264.045,0.802316,-0.0534541
8000,Ustilaginomycetes,Neocallimastigomycetes,0,33.9207,0.050392
8000,Malasseziomycetes,NA,807.854,1.29094,-0.0616158
8000,Ustilaginomycetes,Malasseziomycetes,623.104,0.421109,0.022712
8000,Pucciniomycetes,Microbotryomycetes,607.485,1.04795,-0.0725565
8000,Pneumocystidomycetes,NA,648.403,0.149429,-0.0116238
8000,Pneumocystidomycetes,Schizosaccharomycetes,456.958,0.23665,0.0221353
8000,Eurotiomycetes,NA,793.766,0.107392,0.100889
8000,Leotiomycetes,NA,763.108,0.849368,-0.0273073
8000,Dothideomycetes,Sordariomycetes,526.905,3.89924,-0.0018999
8000,Pneumocystidomycetes,Saccharomycetes,291.025,1.21438,-0.0222764
8000,Neocallimastigomycetes,NA,931.798,0.00401085,-0.0683691
8000,Chytridiomycetes,NA,307.288,0.533467,-0.0250965
8000,Neocallimastigomycetes,Chytridiomycetes,237.574,0.281944,-0.0534541
9000,Ustilaginomycetes,Neocallimastigomycetes,0,16.0967,0.0654659
9000,Ustilaginomycetes,Malasseziomycetes,624.4,0.371495,0.022712
9000,Ustilaginomycetes,Malasseziomycetes,734.154,0.999271,0.0344893
9000,Tremellomycetes,Agaricomycetes,629.218,0.0528403,0.0278718
9000,Neocallimastigomycetes,NA,405.473,0.0996246,-0.0630014
9000,Pucciniomycetes,Microbotryomycetes,613.696,1.44747,-0.0725565
9000,Schizosaccharomycetes,NA,560.702,0.488731,0.00251106
9000,Pneumocystidomycetes,Schizosaccharomycetes,448.295,2.43043,-0.000436575
9000,Pneumocystidomycetes,Schizosaccharomycetes,511.269,0.769379,-0.0524497
9000,Sordariomycetes,NA,785.767,1.2151,0.0442565
9000,Leotiomycetes,NA,941.484,1.55145,0.0594686
9000,Eurotiomycetes,NA,800.009,0.139264,0.0153925
9000,Dothideomycetes,Sordariomycetes,468.347,1.47536,0.0956737
9000,Neocallimastigomycetes,NA,495.071,0.330699,-0.0376568
9000,Neocallimastigomycetes,Chytridiomycetes,301.388,0.141356,-0.0250965
9000,Chytridiomycetes,NA,836.891,1.68269,-0.0410451
9000,Neocallimastigomycetes,Chytridiomycetes,27.9805,4.35426,-0.019273
9000,Neocallimastigomycetes,Chytridiomycetes,269.767,0.711856,0.0792349
9000,Neocallimastigomycetes,Chytridiomycetes,296.136,1.79616,-0.0607067
10000,Ustilaginomycetes,Neocallimastigomycetes,0,16.0967,0.0654659
10000,Ustilaginomycetes,Malasseziomycetes,583.054,0.461309,0.022712
10000,Wallemiomycetes,NA,609.289,0.361149,-0.0661017
10000,Wallemiomycetes,NA,641.513,0.728414,-0.0597496
10000,Tremellomycetes,NA,953.59,0.551071,0.0584788
10000,Tremellomycetes,Agaricomycetes,625.038,0.0372359,0.0278718
10000,Pucciniomycetes,Microbotryomycetes,597.624,1.44747,-0.0725565
10000,Pneumocystidomycetes,Schizosaccharomycetes,430.846,0.821438,-0.000436575
10000,Eurotiomycetes,NA,785.567,0.290719,0.0153925
10000,Dothideomycetes,Sordariomycetes,523.241,0.974698,0.0956737
10000,Neocallimastigomycetes,Chytridiomycetes,47.7435,4.35426,-0.019273
10000,Neocallimastigomycetes,Chytridiomycetes,242.016,0.592504,0.0284246
10000,Neocallimastigomycetes,Chytridiomycetes,301.388,0.141356,-0.0250965
11000,Ustilaginomycetes,Neocallimastigomycetes,0,16.0967,0.0654659
11000,Ustilaginomycetes,Malasseziomycetes,535.026,0.29781,0.142487
11000,Tremellomycetes,Agaricomycetes,580.398,0.0311982,0.0278718
11000,Pucciniomycetes,Microbotryomycetes,619.736,2.82948,-0.0725565
11000,Pneumocystidomycetes,Schizosaccharomycetes,466.632,1.92186,-0.000436575
11000,Leotiomycetes,NA,826.922,0.277672,-0.00845978
11000,Dothideomycetes,Sordariomycetes,517.976,0.878916,0.0956737
11000,Chytridiomycetes,NA,858.004,0.0348467,-0.0676941
11000,Neocallimastigomycetes,Chytridiomycetes,277.325,0.160194,-0.0250965
12000,Ustilaginomycetes,Neocallimastigomycetes,0,11.3984,0.0654659
12000,Ustilaginomycetes,NA,973.107,0.659905,-0.108823
12000,Malasseziomycetes,NA,932.974,3.05259,-0.030448
12000,Malasseziomycetes,NA,967.552,0.110556,0.00534861
12000,Ustilaginomycetes,Malasseziomycetes,542.292,0.641573,0.000221262
12000,Wallemiomycetes,NA,623.171,1.10258,-0.0191209
12000,Wallemiomycetes,NA,690.905,1.74607,0.023008
12000,Tremellomycetes,Agaricomycetes,624.968,0.0226394,0.0278718
12000,Tremellomycetes,NA,689.895,1.06501,-0.0283524
12000,Pucciniomycetes,Microbotryomycetes,628.241,3.38342,-0.0725565
12000,Pneumocystidomycetes,Schizosaccharomycetes,480.307,4.7604,-0.0671656
12000,Saccharomycetes,NA,788.962,0.332043,-0.0404057
12000,Sordariomycetes,NA,874.283,0.420745,0.045591
12000,Dothideomycetes,Sordariomycetes,512.074,0.731676,0.0956737
12000,Neocallimastigomycetes,Chytridiomycetes,116.836,0.869033,-0.0346653
13000,Ustilaginomycetes,Neocallimastigomycetes,0,25.1516,0.146894
13000,Pucciniomycetes,NA,906.269,0.615521,-0.108823
13000,Malasseziomycetes,NA,980.002,0.119658,0.00534861
13000,Ustilaginomycetes,Malasseziomycetes,539.15,0.360254,-0.0105513
13000,Ustilaginomycetes,Malasseziomycetes,673.646,0.42239,-0.0185227
13000,Pucciniomycetes,Microbotryomycetes,581.972,0.886207,-0.0212988
13000,Schizosaccharomycetes,NA,680.731,1.02083,-0.0689061
13000,Pneumocystidomycetes,Schizosaccharomycetes,504.735,2.81925,-0.0671656
13000,Sordariomycetes,Eurotiomycetes,591.968,3.63583,-0.0684463
13000,Dothideomycetes,Sordariomycetes,531.106,0.0364527,0.0132202
13000,Neocallimastigomycetes,Chytridiomycetes,60.4872,3.10511,-0.019273
14000,Ustilaginomycetes,Neocallimastigomycetes,0,21.9705,0.146894
14000,Ustilaginomycetes,Malasseziomycetes,542.97,0.215408,-0.0105513
14000,Wallemiomycetes,NA,747.988,1.97643,0.0418738
14000,Agaricomycetes,NA,654.606,0.89015,0.0520126
14000,Pucciniomycetes,Microbotryomycetes,621.861,0.692477,-0.0212988
14000,Schizosaccharomycetes,NA,650.557,1.64579,-0.0339983
14000,Pneumocystidomycetes,Schizosaccharomycetes,452.785,0.200144,-0.0185227
14000,Sordariomycetes,Eurotiomycetes,591.968,3.63583,-0.0827938
14000,Dothideomycetes,Sordariomycetes,544.957,0.0835887,0.0132202
14000,Neocallimastigomycetes,Chytridiomycetes,60.4872,1.82333,-0.019273
15000,Ustilaginomycetes,Neocallimastigomycetes,0,11.2471,0.0654659
15000,Ustilaginomycetes,Malasseziomycetes,688.854,0.244917,-0.0185227
15000,Agaricomycetes,NA,897.446,0.718882,-0.0523341
15000,Tremellomycetes,Agaricomycetes,621.749,0.0129662,0.0278718
15000,Pucciniomycetes,Microbotryomycetes,617.169,2.64939,-0.0725565
15000,Pneumocystidomycetes,Schizosaccharomycetes,497.671,2.75906,-0.0671656
15000,Eurotiomycetes,NA,888.33,0.817227,0.0483795
15000,Dothideomycetes,Sordariomycetes,539.152,1.02729,0.108865
15000,Neocallimastigomycetes,Chytridiomycetes,110.591,0.062148,0.0234174
15000,Neocallimastigomycetes,Chytridiomycetes,172.842,2.22148,-0.0346653
16000,Ustilaginomycetes,Neocallimastigomycetes,0,29.73,0.0592846
16000,Ustilaginomycetes,Malasseziomycetes,728.023,0.42618,-0.0185227
16000,Agaricomycetes,NA,757.046,1.02932,0.0151485
16000,Pucciniomycetes,Microbotryomycetes,630.544,0.50773,-0.0725565
16000,Saccharomycetes,NA,472.577,0.426531,-0.0458547
16000,Sordariomycetes,Eurotiomycetes,562.391,1.06374,-0.003056
16000,Pneumocystidomycetes,Saccharomycetes,376.706,1.69746,-0.0222764
16000,Neocallimastigomycetes,Chytridiomycetes,188.567,1.45489,-0.0346653
17000,Ustilaginomycetes,Neocallimastigomycetes,0,32.7468,0.146894
17000,Ustilaginomycetes,Malasseziomycetes,641.602,0.723857,-0.0105513
17000,Pucciniomycetes,Microbotryomycetes,610.152,1.30222,-0.0212988
