generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,0.576794,-2626.1,1,1
1000,2,1.86991,-66.8132,1.27518,0.531
2000,1,-0.984501,-30.7456,2.17662,0.531234
3000,3,1.85041,-38.6675,2.14608,0.537
4000,1,3.51147,6.33891,0.481384,0.514871
5000,1,2.85628,7.32877,0.835247,0.529
6000,1,3.04631,9.01197,0.921671,0.487
7000,3,-0.25924,17.6606,3.42946,0.5092
8000,1,3.399,13.8714,0.670162,0.528
9000,1,2.21152,19.3475,1.82878,0.523
10000,1,3.44479,21.1592,0.620714,0.491
11000,1,2.78297,28.0178,1.30356,0.531
12000,1,2.66436,24.5874,0.564128,0.5274
13000,1,2.36126,25.6953,1.56292,0.491
14000,1,3.41116,25.4666,0.498087,0.505
15000,1,2.26367,27.8048,0.604135,0.505
16000,1,1.34148,30.207,1.93136,0.5105
17000,4,4.2024,67.6966,0.978938,0.482736
18000,4,2.18915,65.3209,2.15534,0.432
19000,1,2.17752,47.794,0.551896,0.455
20000,4,1.45425,66.2543,2.85593,0.4325
21000,3,1.41994,69.1978,1.8143,0.451
22000,3,1.53822,74.1251,1.98318,0.408
23000,3,1.83029,73.0852,2.2345,0.438
24000,3,1.50534,75.1306,2.3199,0.424
25000,1,2.10722,43.3919,1.11751,0.462111
26000,4,3.07428,78.7443,1.93242,0.40913
27000,1,1.31835,63.2249,0.701761,0.453
28000,1,0.0503961,63.6864,2.76869,0.432
29000,3,4.107,82.526,0.744417,0.363333
30000,3,4.16918,83.2431,0.833712,0.384
31000,1,2.70342,69.1357,0.278367,0.437333
32000,3,2.11983,88.0443,1.90202,0.38625
33000,3,1.51867,87.3342,1.6364,0.34
34000,3,-0.0445488,85.5109,3.96902,0.352
35000,3,1.54278,86.774,2.27905,0.373
36000,3,2.22531,82.4677,1.21923,0.376
37000,1,0.914001,69.6994,1.49322,0.436
38000,1,1.07614,53.9117,1.48801,0.449
39000,1,1.51683,53.3191,1.02373,0.393
40000,1,2.4389,71.929,0.0913891,0.455
41000,1,1.72717,51.2824,0.751499,0.4555
42000,3,3.68516,91.4718,0.974658,0.311583
43000,1,0.237551,55.4089,2.41844,0.4185
44000,1,1.19916,54.6433,0.765351,0.448
45000,1,0.682106,64.9661,0.950525,0.426
46000,1,1.76857,71.4783,0.650936,0.449
47000,1,1.53681,80.2019,0.872995,0.444857
48000,1,1.36048,90.9893,0.977101,0.375833
49000,1,0.972661,94.926,0.747591,0.396
50000,1,-0.81713,94.0057,0.165314,0.425
51000,1,-0.740596,98.2804,0.331814,0.426
52000,1,-5.34689,96.0718,1.41646,0.415
53000,1,0.837481,71.7353,0.985418,0.443143
54000,2,-4.87358,80.8473,3.22433,0.390278
55000,2,-4.18982,87.5997,1.40803,0.352
56000,0,1.50411,112.026,0.572684,0.409667
57000,2,-2.31951,92.2036,1.5755,0.3715
58000,3,3.01104,83.7396,0.718236,0.384
59000,1,-1.57705,96.2421,2.05698,0.403143
60000,1,2.12574,84.5597,0.49802,0.422429
61000,1,2.35677,87.3581,0.77432,0.4
62000,1,2.05112,81.3153,0.216744,0.416
63000,0,2.05448,101.617,0.0223065,0.389429
64000,1,1.77317,86.3298,0.927057,0.412333
65000,1,2.44839,90.3495,0.715562,0.39
66000,1,2.93838,89.0708,0.659337,0.41875
67000,0,1.92218,110.878,0.154336,0.38675
68000,1,1.36203,90.9349,2.24973,0.3995
69000,1,2.99817,88.0562,0.62412,0.406
70000,1,3.15974,95.2687,0.653811,0.4018
71000,1,2.9764,89.7684,0.82804,0.432
72000,0,2.04097,107.009,0.0355439,0.3796
73000,1,3.01117,86.9314,0.59073,0.422
74000,1,2.09002,91.4231,1.52776,0.426
75000,1,3.38692,91.9401,0.42387,0.41025
76000,1,3.30446,89.0559,0.468097,0.444
77000,0,2.04599,109.575,0.0305181,0.3908
78000,1,2.62255,93.6687,1.1869,0.407333
79000,1,3.28945,99.8752,0.530085,0.409
80000,1,2.71271,104.012,0.919059,0.413
81000,1,2.25732,106.326,1.36992,0.406
82000,1,2.05695,102.353,1.53617,0.369
83000,0,1.57185,100.3,0.48901,0.411
84000,0,1.29047,100.55,0.770267,0.396
85000,0,0.798132,113.562,1.27838,0.379
86000,0,1.37607,113.109,0.700444,0.372
87000,0,2.04909,97.8976,0.0113813,0.41
88000,1,1.40094,95.1858,2.22801,0.3967
89000,0,2.04898,97.9325,0.0116848,0.435
90000,0,0.0566496,101.389,2.004,0.43
91000,1,1.2444,98.8955,2.30085,0.402133
92000,1,3.15095,99.2085,0.320614,0.353
93000,0,0.590531,99.6681,1.47017,0.387333
94000,0,1.56701,99.4619,0.493831,0.416
95000,0,1.83097,99.3022,0.229796,0.403
96000,0,1.30345,98.713,0.757158,0.411
97000,0,1.86481,98.096,0.196063,0.433
98000,0,1.95422,94.9586,0.10617,0.386
99000,0,1.2783,97.4601,0.782294,0.408
100000,0,1.34623,100.541,0.714427,0.435
101000,1,2.43088,96.3041,1.09541,0.394
102000,1,3.1081,96.5222,0.430837,0.403
103000,0,1.82474,96.1798,0.235407,0.415
104000,0,1.83428,101.632,0.226459,0.4
105000,0,1.94754,100.166,0.113113,0.411
106000,0,1.67916,99.7914,0.381349,0.428
107000,1,1.77216,97.8395,0.450175,0.4084
108000,0,1.42551,120.166,0.651002,0.366864
109000,1,1.84421,87.9115,1.65145,0.387
110000,1,2.95094,98.1163,0.606959,0.418
111000,1,0.970053,99.0886,1.27467,0.383
112000,1,2.3969,97.8454,0.58991,0.406
113000,0,1.81086,99.9974,0.250002,0.409429
114000,0,1.89049,99.9712,0.170097,0.43
115000,0,1.47618,121.662,0.600334,0.358857
116000,0,1.63344,116.951,0.443068,0.35
117000,0,1.97183,117.084,0.104688,0.334
118000,0,1.01283,120.124,1.06368,0.382
119000,0,0.700449,117.796,1.37606,0.371
120000,0,1.44995,118.27,0.626561,0.389
121000,0,1.8773,117.908,0.199212,0.333
122000,0,1.99982,121.665,0.0766951,0.368
123000,0,0.911059,119.766,1.16545,0.346
124000,1,2.82837,95.1715,0.67209,0.396167
125000,1,3.32775,92.458,0.18707,0.421
126000,0,1.64031,116.821,0.436207,0.352667
127000,0,0.344213,118.559,1.7323,0.376
128000,1,2.64486,94.0751,1.01366,0.3975
129000,1,2.83037,96.6609,0.828383,0.383
