generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,0.576794,-2864.83,1,1
1000,2,1.69177,-69.6856,0.720269,0.536
2000,13,-4.93752,-44.1498,6.25949,0.524
3000,7,-3.10549,-29.8435,2.77235,0.482
4000,7,-9.07779,0.223069,1.96368,0.504124
5000,6,1.90428,-3.89946,3.08662,0.4455
6000,3,3.29209,-1.81551,2.61604,0.50125
7000,3,0.845658,-2.67456,3.97505,0.471504
8000,3,2.69888,31.4699,1.45393,0.4205
9000,3,4.31227,11.9437,1.3382,0.4665
10000,4,5.90875,21.2329,0.920921,0.456
11000,3,2.78519,45.7068,2.50057,0.408667
12000,4,5.40331,42.0236,1.77757,0.426
13000,3,4.04394,46.8484,1.49579,0.391
14000,4,1.12567,45.6034,4.82084,0.4514
15000,5,-9.52523,45.4753,4.18275,0.411364
16000,2,0.986884,39.0155,2.19196,0.4525
17000,1,-0.533434,42.1267,0.628031,0.47
18000,1,0.499735,52.6871,1.59608,0.457
19000,5,-4.32688,51.4096,2.16347,0.40875
20000,5,-3.08014,54.3689,2.05211,0.398
21000,1,3.27395,66.2001,0.311067,0.474
22000,1,3.1819,68.1753,0.405348,0.458
23000,2,3.18739,63.1165,0.656027,0.4008
24000,2,1.1655,70.0563,2.51552,0.405
25000,1,2.67818,71.4787,1.0662,0.456333
26000,1,3.26798,78.6217,0.351686,0.453417
27000,1,3.43049,76.658,0.175711,0.4645
28000,2,0.884186,46.723,1.94488,0.39325
29000,2,3.85269,70.5841,1.1516,0.3942
30000,1,2.38181,78.387,0.492175,0.452333
31000,2,2.58174,77.1942,0.70665,0.449
32000,1,3.53748,71.1009,0.220607,0.459
33000,1,2.27589,82.5537,0.327346,0.420143
34000,1,1.63003,85.9241,1.11278,0.413
35000,1,2.16543,74.4461,1.18054,0.453333
36000,2,1.79318,52.1697,1.94663,0.403
37000,2,2.76791,51.4872,0.927247,0.397
38000,1,1.74525,85.6918,0.8892,0.4215
39000,2,3.83302,77.7321,0.843248,0.3896
40000,2,4.80019,78.1468,0.240446,0.377
41000,1,2.42321,76.6309,0.497515,0.45
42000,1,2.40034,75.9728,0.339416,0.488
43000,1,1.17561,75.3617,1.52841,0.455
44000,1,0.50461,79.4169,1.43944,0.474
45000,1,1.46739,82.7606,0.495347,0.454
46000,1,2.82077,85.5399,0.62359,0.414875
47000,1,0.742379,89.6896,1.22729,0.447
48000,1,1.7243,85.2417,0.245634,0.414
49000,1,3.04147,88.3667,0.301365,0.416
50000,1,3.35633,89.6882,0.430239,0.404
51000,1,2.17029,87.2374,1.59942,0.434
52000,1,3.52282,89.6955,0.274289,0.381
53000,1,3.2953,88.4589,0.497638,0.433
54000,1,1.25843,87.0217,1.19396,0.397
55000,1,2.35103,87.7322,1.01267,0.415556
56000,1,0.93274,64.5921,1.6168,0.422125
57000,1,2.54779,89.739,0.825726,0.4135
58000,1,1.6743,91.1784,0.742846,0.4145
59000,1,2.32329,91.266,1.03533,0.3925
60000,1,1.38527,92.4891,1.42803,0.405261
61000,1,2.93437,80.6744,0.125028,0.4068
62000,1,1.05878,86.4545,0.86668,0.38975
63000,1,-0.1943,78.8942,1.33987,0.3925
64000,1,1.35738,78.5762,0.381117,0.376
65000,2,0.241764,87.3132,0.552959,0.397
66000,1,-2.27563,87.5594,2.06181,0.423
67000,1,-1.08275,81.9906,0.910016,0.428
68000,1,-3.05456,88.1095,5.09908,0.38
69000,1,2.1925,87.944,0.0922406,0.377
70000,1,2.43972,86.3665,1.05885,0.414
71000,1,2.37411,87.8579,0.538431,0.421
72000,1,2.14097,86.7018,0.620696,0.403
73000,1,0.693355,89.8196,1.41684,0.407
74000,1,1.43276,89.6462,1.22731,0.411
75000,1,1.29367,88.8958,1.05228,0.3976
76000,1,1.57308,91.671,0.608871,0.416
77000,1,1.12665,81.8419,0.536289,0.408385
78000,1,-0.280883,82.825,2.147,0.402
79000,1,1.31406,90.1533,1.03428,0.386333
80000,1,0.144231,92.5603,2.58046,0.399
81000,1,1.3279,86.8925,0.826166,0.404571
82000,1,2.89853,89.4713,0.275613,0.374
83000,1,2.32734,94.3218,0.869302,0.388
84000,1,1.96318,90.3871,0.679731,0.393
85000,1,2.5248,85.7584,1.08316,0.415038
86000,1,3.04372,91.7098,0.635413,0.419
87000,1,2.11513,91.706,1.54882,0.396
88000,1,2.8673,92.062,0.744797,0.428
89000,1,1.82704,91.5339,1.7603,0.422
90000,1,3.20854,92.9297,0.395749,0.378
91000,1,1.8257,84.4115,1.72939,0.431167
92000,1,2.79359,83.7416,0.724932,0.426
93000,1,2.08929,95.4584,1.34338,0.398
94000,0,1.97518,89.7546,0.0534464,0.4265
95000,0,1.26547,87.9447,0.763153,0.43
96000,1,1.03348,87.9333,1.19857,0.402867
97000,0,0.592909,90.2108,0.363303,0.4385
98000,0,0.872665,88.5476,0.0835484,0.461
99000,0,0.245393,89.6013,0.710819,0.429
100000,1,-0.43578,88.686,1.15413,0.4025
101000,1,2.10385,88.0606,0.174962,0.431
