generation,leftchild,rightchild,abstime,betainit,betashift
0,Physcomitrium_patens,Selaginella_moellendorffii,0,0.5,0
1000,Physcomitrium_patens,Selaginella_moellendorffii,0,4.30788,0.282955
1000,Momordica_charantia,Cucurbita_maxima,431.494,0.326693,0.00109613
1000,Beta_vulgaris,Chenopodium_quinoa,449.978,0.0509499,-0.0547529
1000,Lactuca_sativa,Helianthus_annuus,471.242,0.644922,0.00855639
2000,Physcomitrium_patens,Selaginella_moellendorffii,0,10.7043,0.299
2000,Momordica_charantia,Cucurbita_maxima,436.138,0.402709,-0.0129309
2000,Beta_vulgaris,Chenopodium_quinoa,421.572,0.0210297,-0.0547529
2000,Lactuca_sativa,NA,518.573,1.50803,0.0543213
2000,Lactuca_sativa,Helianthus_annuus,452.448,0.880207,0.00855639
2000,Ipomoea_nil,Nicotiana_tabacum,463.154,1.517,0.0878541
3000,Physcomitrium_patens,Selaginella_moellendorffii,0,30.124,0.0405004
3000,Vitis_vinifera,NA,449.75,2.07207,-0.039865
3000,Durio_zibethinus,Citrus_sinensis,427.308,0.130972,-0.0317325
3000,Momordica_charantia,Cucurbita_maxima,429.388,0.564417,-0.0129309
3000,Glycine_max,Vigna_angularis,489.257,0.105021,0.0544549
3000,Quercus_suber,Glycine_max,432.031,2.27833,-0.0809086
3000,Prunus_persica,NA,505.877,0.268758,-0.041934
3000,Ziziphus_jujuba,NA,529.311,1.36477,0.0262808
3000,Beta_vulgaris,Chenopodium_quinoa,429.836,0.0297368,-0.0547529
3000,Beta_vulgaris,Lactuca_sativa,416.476,0.44965,0.045746
3000,Ipomoea_nil,NA,471.179,1.91424,0.0878541
4000,Physcomitrium_patens,Selaginella_moellendorffii,0,30.8591,0.0405004
4000,Physcomitrium_patens,NA,314.296,0.187426,0.0445377
4000,Selaginella_moellendorffii,NA,316.519,1.27457,-0.0300183
4000,Selaginella_moellendorffii,NA,460.07,0.627741,-0.0561331
4000,Durio_zibethinus,Citrus_sinensis,430.768,0.128347,-0.0317325
4000,Momordica_charantia,Cucurbita_maxima,440.47,0.661511,-0.0129309
4000,Glycine_max,Vigna_angularis,502.837,0.0880869,-0.100355
4000,Quercus_suber,Glycine_max,432.031,3.35157,-0.0809086
4000,Beta_vulgaris,Chenopodium_quinoa,426.584,0.0211319,-0.0547529
4000,Beta_vulgaris,Lactuca_sativa,416.476,0.152448,0.045746
5000,Physcomitrium_patens,Selaginella_moellendorffii,0,44.1327,0.0405004
5000,Physcomitrium_patens,NA,137.58,0.0234701,0.003853
5000,Camelina_sativa,Carica_papaya,462.205,1.22371,-0.0699566
5000,Durio_zibethinus,Citrus_sinensis,430.768,0.126857,-0.0317325
5000,Rosa_chinensis,NA,468.943,3.47127,-0.00542336
5000,Hevea_brasiliensis,Manihot_esculenta,504.868,1.59108,0.0283323
5000,Vitis_vinifera,NA,500.076,1.62508,0.0210825
5000,Momordica_charantia,Cucurbita_maxima,441.92,0.442559,-0.0129309
5000,Quercus_suber,Glycine_max,432.753,1.29599,-0.0809086
5000,Pyrus_x_bretschneideri,Prunus_persica,460.537,0.136275,0.0258386
5000,Beta_vulgaris,Chenopodium_quinoa,458.133,0.0270571,-0.0547529
5000,Helianthus_annuus,NA,521.741,0.160497,-0.00534435
5000,Sesamum_indicum,NA,509.419,0.183676,-0.0733392
5000,Capsicum_annuum,NA,517.418,0.0365815,-0.043263
5000,Beta_vulgaris,Lactuca_sativa,416.476,0.131448,0.045746
6000,Physcomitrium_patens,Selaginella_moellendorffii,0,44.1327,0.0405004
6000,Physcomitrium_patens,NA,86.3463,2.0809,-0.00321899
6000,Physcomitrium_patens,NA,146.344,0.758374,0.00524937
6000,Selaginella_moellendorffii,NA,413.934,0.12777,0.00308996
6000,Musa_acuminata,NA,448.705,0.186236,-0.0118875
6000,Carica_papaya,NA,473.12,2.28596,-0.0699566
6000,Rosa_chinensis,NA,469.63,2.07933,0.0170961
6000,Vitis_vinifera,NA,502.986,0.494742,0.0210825
6000,Eucalyptus_grandis,NA,454.457,0.818628,-0.0158649
6000,Durio_zibethinus,Citrus_sinensis,430.768,0.126857,-0.0317325
6000,Momordica_charantia,Cucurbita_maxima,429.984,0.442559,-0.0129309
6000,Quercus_suber,Glycine_max,432.753,1.50484,-0.0809086
6000,Pyrus_x_bretschneideri,Prunus_persica,460.537,0.162709,0.0258386
6000,Rosa_chinensis,NA,514.025,1.12119,-0.0368819
6000,Hevea_brasiliensis,Manihot_esculenta,499.208,1.58446,0.0283323
