generation,leftchild,rightchild,abstime,betainit,betashift
0,Physcomitrium_patens,Selaginella_moellendorffii,0,0.5,0
1000,Physcomitrium_patens,Selaginella_moellendorffii,0,1.77213,-0.0760684
1000,Sesamum_indicum,Ipomoea_nil,444.013,0.41677,0.0233603
1000,Selaginella_moellendorffii,Musa_acuminata,51.5612,5.9798,0.112986
2000,Physcomitrium_patens,Selaginella_moellendorffii,0,7.24255,0.147105
2000,Nelumbo_nucifera,NA,422.807,0.21489,0.0215098
2000,Durio_zibethinus,Gossypium_arboreum,455.519,0.282967,-0.0483013
2000,Cucurbita_maxima,Cucumis_melo,484.324,0.440363,0.0882787
2000,Hevea_brasiliensis,Manihot_esculenta,484.607,0.174529,-0.0721801
2000,Beta_vulgaris,Lactuca_sativa,420.647,0.461247,0.0485636
3000,Physcomitrium_patens,Selaginella_moellendorffii,0,0.792126,-0.0760684
3000,Selaginella_moellendorffii,NA,327.525,0.329001,-0.0052733
3000,Sorghum_bicolor,Zea_mays,498.021,0.983853,0.0435048
3000,Camelina_sativa,Carica_papaya,442.744,0.853164,0.0188108
3000,Cucurbita_maxima,Cucumis_melo,488.272,0.6777,0.065062
3000,Pyrus_x_bretschneideri,Prunus_persica,458.283,2.60245,0.00401574
3000,Hevea_brasiliensis,Manihot_esculenta,446.606,4.40262,-0.0170857
3000,Lactuca_sativa,Helianthus_annuus,468.102,0.265839,-0.00429513
3000,Sesamum_indicum,Ipomoea_nil,447.836,0.081588,0.0577286
3000,Selaginella_moellendorffii,Musa_acuminata,53.0487,32.6462,0.029737
4000,Physcomitrium_patens,Selaginella_moellendorffii,0,0.356156,-0.0117491
4000,Physcomitrium_patens,NA,148.436,0.0794204,0.0419962
4000,Physcomitrium_patens,NA,269.117,0.637639,-0.0081138
4000,Selaginella_moellendorffii,NA,338.687,0.19971,-0.0052733
4000,Selaginella_moellendorffii,NA,358.249,3.56201,0.0416396
4000,Sorghum_bicolor,Zea_mays,491.728,0.813672,0.0435048
4000,Durio_zibethinus,Camelina_sativa,440.418,0.867313,0.0188108
4000,Cucumis_melo,NA,508.088,0.210927,0.00790535
4000,Cucurbita_maxima,Cucumis_melo,480.52,0.671512,0.065062
4000,Prunus_persica,NA,531.231,0.739409,0.0700117
4000,Pyrus_x_bretschneideri,Prunus_persica,457.702,1.89254,0.00401574
4000,Rosa_chinensis,NA,466.2,2.62506,-0.0580271
4000,Hevea_brasiliensis,Manihot_esculenta,453.662,1.90532,-0.0170857
4000,Lactuca_sativa,Helianthus_annuus,444.902,0.274212,-0.00429513
4000,Sesamum_indicum,NA,518.936,0.0681552,0.0867847
4000,Sesamum_indicum,Ipomoea_nil,448.252,0.0604444,0.0577286
4000,Selaginella_moellendorffii,Musa_acuminata,46.8122,32.6462,0.029737
5000,Physcomitrium_patens,Selaginella_moellendorffii,0,0.713275,-0.0117491
5000,Physcomitrium_patens,NA,267.176,0.928809,-0.0081138
5000,Sorghum_bicolor,Zea_mays,499.981,0.506264,0.0435048
5000,Chenopodium_quinoa,NA,505.596,1.80559,0.0059976
5000,Durio_zibethinus,Citrus_sinensis,433.584,0.923995,0.0188108
5000,Cucurbita_maxima,Cucumis_melo,500.96,0.328557,0.00790535
5000,Quercus_suber,NA,503.489,0.211123,-0.102237
5000,Pyrus_x_bretschneideri,Prunus_persica,453.073,1.89254,0.00401574
5000,Hevea_brasiliensis,Manihot_esculenta,428.213,1.40349,-0.0170857
5000,Lactuca_sativa,Helianthus_annuus,448.706,0.313496,-0.00429513
5000,Sesamum_indicum,Ipomoea_nil,446.74,0.0461095,0.0577286
5000,Selaginella_moellendorffii,Musa_acuminata,57.4978,78.7026,0.029737
6000,Physcomitrium_patens,Selaginella_moellendorffii,0,0.37031,-0.0117491
6000,Physcomitrium_patens,NA,254.09,0.938581,-0.0081138
6000,Physcomitrium_patens,NA,438.637,0.960935,0.00757443
6000,Selaginella_moellendorffii,NA,144.068,0.0747876,-0.0324467
6000,Selaginella_moellendorffii,NA,274.047,1.48484,0.0152456
6000,Vitis_vinifera,NA,523.173,1.15965,0.027057
6000,Durio_zibethinus,Citrus_sinensis,433.584,0.923995,0.0188108
6000,Cucurbita_maxima,Cucumis_melo,498.024,0.951285,-0.070464
6000,Quercus_suber,NA,504.364,0.155877,-0.102237
6000,Pyrus_x_bretschneideri,Prunus_persica,453.664,1.89254,0.00401574
6000,Hevea_brasiliensis,Manihot_esculenta,428.795,2.21341,-0.0170857
6000,Lactuca_sativa,Helianthus_annuus,461.173,0.571691,-0.00429513
6000,Sesamum_indicum,Ipomoea_nil,446.74,0.0448795,0.0577286
6000,Amborella_trichopoda,NA,385.783,0.749496,0.0469913
6000,Selaginella_moellendorffii,Musa_acuminata,64.7712,81.6243,0.029737
7000,Physcomitrium_patens,Selaginella_moellendorffii,0,50.1397,0.221381
7000,Physcomitrium_patens,NA,21.9964,0.27181,-0.0443843
7000,Physcomitrium_patens,NA,107.057,0.309377,-0.0984152
7000,Selaginella_moellendorffii,NA,127.326,0.119991,-0.0324467
7000,Selaginella_moellendorffii,NA,522.792,2.53998,-0.0535242
7000,Oryza_sativa,Sorghum_bicolor,470.928,0.300156,0.00532164
7000,Musa_acuminata,Oryza_sativa,402.473,1.3325,-0.0565293
7000,Nelumbo_nucifera,NA,443.786,1.73772,0.127279
7000,Camelina_sativa,Brassica_rapa,465.509,1.30527,-0.0279974
7000,Citrus_sinensis,NA,522.277,0.515575,0.0655331
7000,Durio_zibethinus,Citrus_sinensis,427.685,0.216626,-0.0514436
7000,Momordica_charantia,Cucurbita_maxima,447.456,1.06801,-0.0634415
7000,Quercus_suber,NA,466.054,1.12746,0.015748
7000,Prunus_persica,NA,513.359,1.21853,-0.0340899
7000,Pyrus_x_bretschneideri,Prunus_persica,471.873,2.03463,0.0341713
7000,Rosa_chinensis,NA,494.06,0.000414623,0.0104702
7000,Hevea_brasiliensis,Manihot_esculenta,448.17,0.31796,0.0606997
7000,Lactuca_sativa,NA,531.185,1.38231,-0.00474902
7000,Lactuca_sativa,Sesamum_indicum,422.879,0.317744,-0.0477072
8000,Physcomitrium_patens,Selaginella_moellendorffii,0,50.1397,0.221381
8000,Physcomitrium_patens,NA,241.471,0.309377,-0.0984152
8000,Physcomitrium_patens,NA,478.799,0.72021,0.0238127
8000,Selaginella_moellendorffii,NA,133.679,0.0779665,-0.0324467
8000,Oryza_sativa,Sorghum_bicolor,469.2,0.334621,0.00532164
8000,Physcomitrium_patens,NA,4.53177,0.324581,0.0655331
8000,Selaginella_moellendorffii,NA,228.718,0.562521,-0.00967076
8000,Selaginella_moellendorffii,NA,425.427,2.00381,0.0180095
8000,Oryza_sativa,NA,528.941,0.603651,-0.0903348
8000,Musa_acuminata,Oryza_sativa,383.644,0.112388,-0.0246561
8000,Nelumbo_nucifera,NA,497.519,1.06251,-0.0503039
8000,Camelina_sativa,Brassica_rapa,471.308,1.01385,-0.0279974
8000,Durio_zibethinus,Citrus_sinensis,427.685,0.216626,-0.0514436
8000,Momordica_charantia,Cucurbita_maxima,460.453,1.64622,-0.0634415
8000,Pyrus_x_bretschneideri,Malus_domestica,492.046,0.693982,-0.0503841
8000,Pyrus_x_bretschneideri,Prunus_persica,479.716,1.36538,0.0495531
8000,Pyrus_x_bretschneideri,Prunus_persica,479.346,3.11185,0.0341713
8000,Rosa_chinensis,NA,498.158,0.000539263,0.0104702
8000,Hevea_brasiliensis,Manihot_esculenta,437.255,0.159387,0.0606997
8000,Lactuca_sativa,NA,531.162,2.1143,-0.00474902
8000,Lactuca_sativa,Sesamum_indicum,422.879,0.174255,-0.0477072
9000,Physcomitrium_patens,Selaginella_moellendorffii,0,50.1397,0.221381
9000,Physcomitrium_patens,NA,4.53177,0.397468,0.0655331
9000,Physcomitrium_patens,NA,239.519,0.260013,-0.0984152
9000,Physcomitrium_patens,NA,478.799,0.72021,0.0238127
9000,Oryza_sativa,Sorghum_bicolor,477.977,0.158571,0.00532164
9000,Selaginella_moellendorffii,NA,425.427,2.00381,0.0180095
9000,Musa_acuminata,Oryza_sativa,375.263,0.215298,-0.0246561
9000,Selaginella_moellendorffii,NA,269.194,0.902696,-0.0503039
9000,Nelumbo_nucifera,NA,422.244,0.0914875,0.0364138
9000,Eucalyptus_grandis,NA,446.33,0.116713,0.0171529
9000,Camelina_sativa,Brassica_rapa,466.175,0.677265,-0.0279974
9000,Eucalyptus_grandis,Durio_zibethinus,426.789,0.261433,-0.0514436
9000,Momordica_charantia,Cucurbita_maxima,457.069,1.37492,-0.0634415
9000,Pyrus_x_bretschneideri,Malus_domestica,487.447,0.749932,-0.0503841
9000,Pyrus_x_bretschneideri,Prunus_persica,470.003,0.911615,0.0495531
9000,Hevea_brasiliensis,Manihot_esculenta,431.378,0.146552,0.0606997
9000,Beta_vulgaris,Chenopodium_quinoa,429.435,0.71339,-0.0360546
9000,Lactuca_sativa,NA,531.162,1.79962,-0.00474902
9000,Lactuca_sativa,Sesamum_indicum,422.879,0.190423,-0.0477072
9000,Amborella_trichopoda,NA,398.035,3.37426,0.0428695
10000,Physcomitrium_patens,Selaginella_moellendorffii,0,21.8112,0.221381
10000,Physcomitrium_patens,NA,0.0724948,0.326467,0.0655331
10000,Physcomitrium_patens,NA,479.677,0.787278,0.0238127
10000,Selaginella_moellendorffii,NA,137.155,0.591084,0.0879418
10000,Selaginella_moellendorffii,NA,425.427,2.00381,0.0180095
10000,Brachypodium_distachyon,NA,497.965,0.480435,-0.016026
10000,Oryza_sativa,Sorghum_bicolor,482.552,0.158571,0.00532164
10000,Musa_acuminata,Oryza_sativa,375.263,0.33677,-0.0246561
10000,Eucalyptus_grandis,NA,455.118,0.129413,0.0171529
10000,Camelina_sativa,Brassica_rapa,466.175,0.677265,-0.0279974
