generation,leftchild,rightchild,abstime,betainit,betashift
0,Physcomitrium_patens,Selaginella_moellendorffii,0,0.5,0
1000,Physcomitrium_patens,Selaginella_moellendorffii,0,0.815727,0.0951463
1000,Beta_vulgaris,Chenopodium_quinoa,431.763,0.532573,0.0116808
1000,Lactuca_sativa,Sesamum_indicum,426.493,0.0387081,-0.0433838
2000,Physcomitrium_patens,Selaginella_moellendorffii,0,3.86444,0.0951463
2000,Selaginella_moellendorffii,NA,518.696,0.534011,-0.0314142
2000,Beta_vulgaris,Lactuca_sativa,417.291,0.0244028,-0.0336942
3000,Physcomitrium_patens,Selaginella_moellendorffii,0,34.9679,0.0826101
3000,Beta_vulgaris,Lactuca_sativa,415.583,0.0148397,-0.0336942
4000,Physcomitrium_patens,Selaginella_moellendorffii,0,54.3145,0.0826101
4000,Durio_zibethinus,Citrus_sinensis,427.698,0.427969,0.0502008
4000,Cucurbita_maxima,Cucumis_melo,495.971,0.768555,-0.0924404
4000,Glycine_max,Vigna_angularis,493.511,0.487532,0.0217214
4000,Manihot_esculenta,NA,525.725,0.183631,0.0410367
4000,Hevea_brasiliensis,Manihot_esculenta,459.448,0.447181,-0.0833885
4000,Beta_vulgaris,Lactuca_sativa,415.583,0.0165321,-0.0336942
5000,Physcomitrium_patens,Selaginella_moellendorffii,0,29.2041,0.0318244
5000,Musa_acuminata,Oryza_sativa,417.122,0.368941,-0.0226937
5000,Citrus_sinensis,NA,454.073,0.507945,0.00642418
5000,Eucalyptus_grandis,Durio_zibethinus,426.917,0.185345,0.0293381
5000,Cucurbita_maxima,Cucumis_melo,499.565,0.741213,-0.0924404
5000,Glycine_max,Cicer_arietinum,466.896,0.0539524,0.0365374
5000,Vitis_vinifera,NA,472.63,0.25813,0.0692954
5000,Hevea_brasiliensis,Manihot_esculenta,478.644,1.66885,-0.0353873
5000,Beta_vulgaris,NA,502.213,0.288162,-0.0590202
5000,Beta_vulgaris,Lactuca_sativa,418.911,0.0656938,-0.0370808
6000,Physcomitrium_patens,Selaginella_moellendorffii,0,30.1751,0.0318244
6000,Physcomitrium_patens,NA,3.84372,1.91426,-0.0105003
6000,Physcomitrium_patens,NA,303.036,0.305048,-0.0268104
6000,Musa_acuminata,Oryza_sativa,422.667,0.574231,-0.0226937
6000,Eucalyptus_grandis,Durio_zibethinus,426.917,0.0582264,0.0293381
6000,Cucurbita_maxima,Cucumis_melo,479.888,0.944325,-0.0924404
6000,Glycine_max,Cicer_arietinum,451.691,0.0239304,0.0365374
6000,Hevea_brasiliensis,Manihot_esculenta,490.897,1.78518,-0.0353873
6000,Helianthus_annuus,NA,514.748,1.52,-0.0905552
6000,Beta_vulgaris,Lactuca_sativa,419.563,0.0543367,-0.0370808
6000,Amborella_trichopoda,NA,454.079,0.431368,0.0784957
7000,Physcomitrium_patens,Selaginella_moellendorffii,0,26.267,0.0826101
7000,Physcomitrium_patens,NA,2.11846,1.31032,-0.0105003
7000,Physcomitrium_patens,NA,119.077,0.271323,-0.00664493
7000,Physcomitrium_patens,NA,319.934,0.146944,0.0209179
7000,Theobroma_cacao,NA,506.683,1.31179,-0.0211588
7000,Theobroma_cacao,NA,529.417,1.59153,-0.00938253
7000,Durio_zibethinus,Citrus_sinensis,427.698,0.204875,0.0502008
7000,Momordica_charantia,NA,495.463,0.19431,0.0293315
7000,Glycine_max,Cicer_arietinum,467.927,0.00608404,0.0365374
7000,Prunus_persica,NA,487.037,0.34552,-0.0504656
7000,Rosa_chinensis,NA,436.671,0.577483,-0.118178
7000,Hevea_brasiliensis,Manihot_esculenta,477.869,0.303428,0.0252789
7000,Beta_vulgaris,Lactuca_sativa,415.583,0.0113259,-0.0336942
8000,Physcomitrium_patens,Selaginella_moellendorffii,0,26.267,0.0826101
8000,Physcomitrium_patens,NA,96.7264,0.431771,-0.00664493
8000,Physcomitrium_patens,NA,299.931,0.206087,0.0209179
8000,Physcomitrium_patens,NA,394.583,0.261561,0.0215357
8000,Musa_acuminata,NA,437.892,0.0323672,0.0489419
8000,Theobroma_cacao,NA,498.978,1.31179,-0.0211588
8000,Theobroma_cacao,NA,524.792,1.51187,-0.00938253
8000,Durio_zibethinus,Citrus_sinensis,427.4,0.334826,0.0502008
8000,Momordica_charantia,NA,502.159,0.366053,0.0293315
8000,Glycine_max,Cicer_arietinum,452.618,0.00657449,0.0365374
8000,Pyrus_x_bretschneideri,Malus_domestica,493.92,0.0476363,0.0287644
8000,Pyrus_x_bretschneideri,Prunus_persica,477.08,0.33886,-0.0504656
8000,Hevea_brasiliensis,Manihot_esculenta,494.21,0.235938,0.0252789
8000,Beta_vulgaris,Lactuca_sativa,415.583,0.0265963,-0.0336942
9000,Physcomitrium_patens,Selaginella_moellendorffii,0,15.7792,0.0826101
9000,Physcomitrium_patens,NA,407.882,3.00585,-0.010512
9000,Selaginella_moellendorffii,NA,136.2,0.761694,0.076134
9000,Gossypium_arboreum,NA,516.437,0.078799,0.0279236
9000,Durio_zibethinus,Citrus_sinensis,429.805,0.225278,0.0502008
9000,Cucurbita_maxima,Cucumis_melo,490.975,0.238754,0.0489616
9000,Quercus_suber,Glycine_max,434.884,0.00502052,0.00626415
9000,Pyrus_x_bretschneideri,Prunus_persica,474.081,0.173528,-0.0504656
9000,Hevea_brasiliensis,Manihot_esculenta,494.947,0.235938,0.0252789
9000,Beta_vulgaris,Lactuca_sativa,415.583,0.0349145,-0.0336942
10000,Physcomitrium_patens,Selaginella_moellendorffii,0,10.7608,0.0826101
10000,Physcomitrium_patens,NA,92.9017,0.523674,-0.0281267
10000,Physcomitrium_patens,NA,408.98,3.00585,-0.010512
10000,Oryza_sativa,Sorghum_bicolor,456.824,0.406449,0.0325068
10000,Gossypium_arboreum,NA,519.636,0.0465457,0.0279236
10000,Durio_zibethinus,Citrus_sinensis,431.605,0.122582,0.0919033
10000,Cucurbita_maxima,Cucumis_melo,493.078,0.107186,0.0489616
10000,Quercus_suber,Glycine_max,432.866,0.00583054,0.00626415
10000,Pyrus_x_bretschneideri,Prunus_persica,453.714,1.40132,0.0251787
10000,Pyrus_x_bretschneideri,Prunus_persica,471.543,0.136117,-0.0504656
10000,Rosa_chinensis,NA,432.502,0.600152,0.010967
10000,Hevea_brasiliensis,Manihot_esculenta,474.712,0.189144,0.0252789
10000,Beta_vulgaris,Lactuca_sativa,415.583,0.0342199,-0.0336942
11000,Physcomitrium_patens,Selaginella_moellendorffii,0,8.60537,0.00949579
11000,Physcomitrium_patens,NA,92.3569,0.523674,-0.0281267
11000,Sorghum_bicolor,NA,531.344,2.13121,0.0113023
11000,Sorghum_bicolor,Zea_mays,488.155,0.562505,-0.0198484
11000,Citrus_sinensis,NA,501.823,0.312574,0.0468314
11000,Oryza_sativa,Sorghum_bicolor,456.824,0.406449,0.0325068
11000,Gossypium_arboreum,NA,527.34,0.0599636,0.0279236
11000,Durio_zibethinus,Citrus_sinensis,431.605,0.120057,0.0919033
11000,Momordica_charantia,Cucurbita_maxima,473.092,0.0899424,0.0489616
11000,Quercus_suber,Glycine_max,432.866,0.00441573,0.00626415
11000,Pyrus_x_bretschneideri,Prunus_persica,459.918,0.193359,-0.0504656
11000,Hevea_brasiliensis,Manihot_esculenta,491.046,1.09529,0.010967
11000,Beta_vulgaris,Lactuca_sativa,415.583,0.025795,-0.0336942
12000,Physcomitrium_patens,Selaginella_moellendorffii,0,13.5933,0.0318244
12000,Selaginella_moellendorffii,NA,410.192,2.35698,0.0342189
12000,Sorghum_bicolor,Zea_mays,494.292,0.978264,-0.0038859
12000,Sorghum_bicolor,Zea_mays,507.185,1.17989,0.0113023
12000,Oryza_sativa,Sorghum_bicolor,472.49,0.737639,0.0325068
12000,Musa_acuminata,Oryza_sativa,392.146,0.52542,-0.0226937
12000,Nelumbo_nucifera,NA,431.617,0.116427,0.00359824
12000,Eucalyptus_grandis,Durio_zibethinus,426.619,0.0214674,0.0241613
12000,Momordica_charantia,Cucurbita_maxima,472.644,0.225141,-0.0924404
12000,Quercus_suber,Glycine_max,433.832,0.0328721,0.00626415
12000,Pyrus_x_bretschneideri,Prunus_persica,435.832,0.324363,-0.0250142
12000,Pyrus_x_bretschneideri,Malus_domestica,484.548,0.616034,-0.0213527
12000,Ziziphus_jujuba,NA,485.454,0.206265,0.0293483
12000,Hevea_brasiliensis,Manihot_esculenta,450.471,0.367562,0.0564661
12000,Beta_vulgaris,Lactuca_sativa,415.936,0.0165587,-0.0370808
13000,Physcomitrium_patens,Selaginella_moellendorffii,0,20.1849,0.0318244
13000,Oryza_sativa,Sorghum_bicolor,473.576,0.704718,0.0325068
13000,Musa_acuminata,Oryza_sativa,391.824,0.59042,-0.0226937
13000,Eucalyptus_grandis,Durio_zibethinus,426.619,0.00987136,0.0241613
13000,Momordica_charantia,Cucurbita_maxima,426.532,0.0297587,0.0308038
13000,Momordica_charantia,Cucurbita_maxima,470.045,0.0711235,-0.0924404
13000,Quercus_suber,Glycine_max,429.282,0.0312793,0.00626415
13000,Pyrus_x_bretschneideri,Rosa_chinensis,429.794,0.127623,-0.0250142
13000,Hevea_brasiliensis,Manihot_esculenta,448.311,0.098727,0.0564661
13000,Beta_vulgaris,Lactuca_sativa,415.588,0.0275309,-0.0370808
14000,Physcomitrium_patens,Selaginella_moellendorffii,0,18.5296,0.0318244
14000,Physcomitrium_patens,NA,395.311,1.73988,-0.000186997
14000,Oryza_sativa,Sorghum_bicolor,478.686,0.480756,0.074501
14000,Musa_acuminata,Oryza_sativa,385.425,0.133347,-0.0173227
14000,Eucalyptus_grandis,Durio_zibethinus,426.619,0.00350223,0.0241613
14000,Momordica_charantia,Cucurbita_maxima,426.532,0.034691,0.0308038
14000,Momordica_charantia,Cucurbita_maxima,445.344,0.123238,-0.0924404
14000,Quercus_suber,Glycine_max,429.282,0.0373601,0.00626415
14000,Pyrus_x_bretschneideri,Rosa_chinensis,429.794,0.166407,-0.0250142
14000,Hevea_brasiliensis,Manihot_esculenta,435.265,0.0622838,0.0564661
14000,Beta_vulgaris,Lactuca_sativa,415.588,0.0275485,-0.0370808
15000,Physcomitrium_patens,Selaginella_moellendorffii,0,16.4525,0.0318244
15000,Physcomitrium_patens,NA,346.615,2.20979,-0.00514531
15000,Oryza_sativa,Sorghum_bicolor,468.508,0.415632,0.074501
15000,Musa_acuminata,Oryza_sativa,375.605,0.132331,-0.0173227
15000,Eucalyptus_grandis,NA,438.066,1.96434,-0.0226414
15000,Citrus_sinensis,NA,531.551,2.33223,-0.0325376
15000,Eucalyptus_grandis,Durio_zibethinus,426.619,0.00350223,0.0241613
15000,Momordica_charantia,Cucurbita_maxima,443.062,0.118389,-0.0924404
15000,Vigna_angularis,NA,514.225,0.513536,-0.0346514
15000,Quercus_suber,Glycine_max,429.832,0.0379071,0.00626415
15000,Pyrus_x_bretschneideri,Rosa_chinensis,429.794,0.141527,-0.0250142
15000,Hevea_brasiliensis,Manihot_esculenta,431.976,0.0671479,0.0564661
15000,Beta_vulgaris,Lactuca_sativa,415.588,0.0228747,-0.0370808
16000,Physcomitrium_patens,Selaginella_moellendorffii,0,8.78568,0.0318244
16000,Musa_acuminata,Oryza_sativa,372.893,1.36539,-0.0226937
16000,Vitis_vinifera,NA,441.722,0.210647,-0.0182462
16000,Eucalyptus_grandis,Durio_zibethinus,426.712,0.00623962,0.0293381
16000,Momordica_charantia,Cucurbita_maxima,428.464,0.0761866,-0.0924404
16000,Quercus_suber,Glycine_max,433.037,0.225221,-0.0804688
16000,Pyrus_x_bretschneideri,Prunus_persica,455.712,0.211524,-0.0504656
16000,Ziziphus_jujuba,NA,501.622,2.26597,0.0402602
16000,Beta_vulgaris,Lactuca_sativa,415.3,0.0160963,-0.0370808
17000,Physcomitrium_patens,Selaginella_moellendorffii,0,7.01312,0.0480489
17000,Oryza_sativa,Sorghum_bicolor,447.751,0.707056,0.074501
17000,Musa_acuminata,Oryza_sativa,381.649,0.263319,-0.0173227
17000,Nelumbo_nucifera,NA,422.927,2.83721,-0.00518277
17000,Camelina_sativa,NA,524.562,0.11211,0.0572286
17000,Durio_zibethinus,Citrus_sinensis,433.288,0.040209,0.0878399
17000,Momordica_charantia,Cucurbita_maxima,426.891,0.00981921,0.0763586
17000,Quercus_suber,Glycine_max,431.581,0.0118945,0.00626415
17000,Rosa_chinensis,NA,456.572,1.77078,-0.0378513
17000,Pyrus_x_bretschneideri,Rosa_chinensis,431.719,0.228926,-0.0504656
17000,Ziziphus_jujuba,NA,451.239,0.577955,-0.0154244
17000,Hevea_brasiliensis,Manihot_esculenta,490.648,0.52358,0.0288928
17000,Beta_vulgaris,Lactuca_sativa,415.583,0.0203925,-0.0335959
18000,Physcomitrium_patens,Selaginella_moellendorffii,0,4.95132,0.0480489
18000,Oryza_sativa,Sorghum_bicolor,442.289,0.440974,0.074501
18000,Musa_acuminata,Oryza_sativa,381.649,0.261624,-0.0173227
18000,Nelumbo_nucifera,NA,422.84,2.37354,-0.00518277
18000,Durio_zibethinus,Citrus_sinensis,433.288,0.0356773,0.0878399
18000,Momordica_charantia,Cucurbita_maxima,426.891,0.00618524,0.0763586
18000,Quercus_suber,Glycine_max,431.581,0.0106913,0.00626415
18000,Rosa_chinensis,NA,469.427,1.26093,-0.0378513
18000,Pyrus_x_bretschneideri,Rosa_chinensis,429.066,0.264257,-0.0504656
18000,Hevea_brasiliensis,Manihot_esculenta,488.765,0.204747,0.0288928
18000,Beta_vulgaris,Lactuca_sativa,419.114,0.0124851,-0.0335959
18000,Amborella_trichopoda,NA,523.581,0.994764,0.0182332
19000,Physcomitrium_patens,Selaginella_moellendorffii,0,8.30678,0.0703775
19000,Oryza_sativa,NA,504.686,0.217266,-0.0176882
19000,Ziziphus_jujuba,NA,441.414,1.61463,0.017649
19000,Oryza_sativa,Sorghum_bicolor,455.249,0.526006,-0.0394804
19000,Musa_acuminata,Oryza_sativa,397.704,0.640676,-0.0226937
19000,Vitis_vinifera,NA,467.606,2.80603,0.0355241
19000,Eucalyptus_grandis,Durio_zibethinus,426.625,0.00228943,0.0293381
19000,Momordica_charantia,Cucurbita_maxima,429.641,0.0474492,-0.0924404
19000,Quercus_suber,Glycine_max,434.117,0.778898,-0.0804688
19000,Pyrus_x_bretschneideri,Prunus_persica,458.7,1.48209,-0.0504656
19000,Erythranthe_guttata,NA,471.962,1.16049,-0.0916383
19000,Beta_vulgaris,Lactuca_sativa,420.214,0.0388522,-0.0370808
19000,Amborella_trichopoda,NA,390.893,0.79183,-0.0320434
20000,Physcomitrium_patens,Selaginella_moellendorffii,0,5.86302,0.0703775
20000,Physcomitrium_patens,NA,141.146,1.58402,-0.11129
20000,Oryza_sativa,Sorghum_bicolor,450.106,0.420815,-0.0394804
20000,Musa_acuminata,Oryza_sativa,372.112,0.283399,-0.0226937
