transcript_id,num_exon
XM_007297856.1,2
XM_007297857.1,2
XM_007297858.1,4
XM_007297859.1,2
XM_007297860.1,2
XM_007297861.1,1
XM_007297862.1,1
XM_007297863.1,2
XM_007297864.1,2
XM_007297865.1,1
XM_007297866.1,1
XM_007297867.1,3
XM_007297868.1,2
XM_007297869.1,2
XM_007297870.1,1
XM_007297871.1,1
XM_007297872.1,2
XM_007297873.1,3
XM_007297874.1,2
XM_007297875.1,4
XM_007297876.1,2
XM_007297879.1,9
XM_007297906.1,3
XM_007297910.1,2
XM_007297918.1,3
XM_007297922.1,2
XM_007297926.1,26
XM_007297930.1,1
XM_007297933.1,2
XM_007297943.1,2
XM_007297946.1,1
XM_007297949.1,2
XM_007297956.1,2
XM_007297970.1,3
XM_007297987.1,7
XM_007297992.1,3
XM_007297994.1,3
XM_007298013.1,5
XM_007298015.1,2
XM_007298020.1,2
XM_007298025.1,14
XM_007298030.1,2
XM_007298034.1,2
XM_007298037.1,4
XM_007298039.1,2
XM_007298062.1,6
XM_007298088.1,1
XM_007298318.1,11
XM_007298319.1,5
XM_007298326.1,7
XM_007298330.1,4
XM_007298339.1,4
XM_007298340.1,10
XM_007298342.1,4
XM_007298347.1,11
XM_007298348.1,11
XM_007298353.1,3
XM_007298357.1,2
XM_007298359.1,1
XM_007298361.1,1
XM_007298367.1,6
XM_007298382.1,1
XM_007298383.1,4
XM_007298386.1,1
XM_007298397.1,2
XM_007298398.1,2
XM_007298400.1,2
XM_007298401.1,4
XM_007298403.1,4
XM_007298407.1,1
XM_007298437.1,2
XM_007298443.1,3
XM_007298455.1,7
XM_007298456.1,3
XM_007298460.1,1
XM_007298464.1,3
XM_007298467.1,2
XM_007298468.1,5
XM_007298470.1,5
XM_007298473.1,5
XM_007298475.1,2
XM_007298478.1,4
XM_007298479.1,6
XM_007298489.1,4
XM_007298493.1,2
XM_007298497.1,6
XM_007298498.1,2
XM_007298500.1,2
XM_007298505.1,3
XM_007298507.1,5
XM_007298512.1,3
XM_007298514.1,2
XM_007298516.1,9
XM_007298517.1,2
XM_007298521.1,1
XM_007298522.1,2
XM_007298537.1,1
XM_007298547.1,2
XM_007298549.1,1
XM_007298551.1,7
XM_007298553.1,1
XM_007298568.1,7
XM_007298576.1,2
XM_007298578.1,7
XM_007298579.1,6
XM_007298580.1,4
XM_007298581.1,4
XM_007298586.1,3
XM_007298596.1,1
XM_007298600.1,6
XM_007298601.1,1
XM_007298602.1,5
XM_007298605.1,12
XM_007298608.1,2
XM_007298617.1,3
XM_007298620.1,3
XM_007298645.1,1
XM_007298651.1,2
XM_007298672.1,4
XM_007298675.1,3
XM_007298697.1,2
XM_007298719.1,2
XM_007298721.1,2
XM_007298722.1,4
XM_007298733.1,6
XM_007298736.1,2
XM_007298737.1,2
XM_007298744.1,4
XM_007298747.1,2
XM_007298751.1,2
XM_007298756.1,2
XM_007298761.1,2
XM_007298767.1,1
XM_007298784.1,2
XM_007298832.1,8
XM_007298851.1,4
XM_007298897.1,1
XM_007298905.1,9
XM_007298907.1,4
XM_007298916.1,2
XM_007298918.1,2
XM_007298939.1,2
XM_007298943.1,2
XM_007298945.1,1
XM_007298950.1,6
XM_007298953.1,4
XM_007298996.1,9
XM_007299003.1,3
XM_007299008.1,2
XM_007299011.1,2
XM_007299012.1,2
XM_007299021.1,1
XM_007299024.1,12
XM_007299027.1,3
XM_007299029.1,4
XM_007299033.1,3
XM_007299048.1,4
XM_007299051.1,7
XM_007299057.1,6
XM_007299063.1,3
XM_007299064.1,6
XM_007299067.1,3
XM_007299078.1,7
XM_007299079.1,7
XM_007299092.1,5
XM_007299096.1,2
XM_007299097.1,2
XM_007299098.1,1
XM_007299099.1,1
XM_007299108.1,2
XM_007299118.1,7
XM_007299119.1,4
XM_007299122.1,4
XM_007299129.1,2
XM_007299130.1,1
XM_007299144.1,2
XM_007299145.1,1
XM_007299146.1,7
XM_007299147.1,2
XM_007299148.1,1
XM_007299149.1,6
XM_007299150.1,5
XM_007299151.1,3
XM_007299152.1,3
XM_007299153.1,1
XM_007299154.1,3
XM_007299155.1,1
XM_007299156.1,1
XM_007299157.1,2
XM_007299159.1,4
XM_007299162.1,2
XM_007299163.1,4
XM_007299164.1,2
XM_007299165.1,1
XM_007299168.1,1
XM_007299169.1,3
XM_007299170.1,1
XM_007299171.1,3
XM_007299172.1,1
XM_007299173.1,1
XM_007299174.1,1
XM_007299176.1,2
XM_007299177.1,11
XM_007299178.1,3
XM_007299182.1,3
XM_007299183.1,1
XM_007299185.1,3
XM_007299188.1,4
XM_007299191.1,1
XM_007299196.1,4
XM_007299198.1,6
XM_007299205.1,5
XM_007299206.1,2
XM_007299215.1,2
XM_007299220.1,2
XM_007299222.1,2
XM_007299227.1,1
XM_007299238.1,1
XM_007299241.1,2
XM_007299244.1,1
XM_007299249.1,3
XM_007299257.1,6
XM_007299258.1,2
XM_007299259.1,16
XM_007299261.1,6
XM_007299266.1,11
XM_007299278.1,1
XM_007299281.1,1
XM_007299294.1,6
XM_007299304.1,1
XM_007299312.1,3
XM_007299314.1,8
XM_007299320.1,9
XM_007299321.1,7
XM_007299326.1,6
XM_007299327.1,6
XM_007299338.1,2
XM_007299352.1,4
XM_007299412.1,16
XM_007299442.1,10
XM_007299443.1,10
XM_007299445.1,2
XM_007299450.1,6
XM_007299453.1,4
XM_007299455.1,6
XM_007299460.1,5
XM_007299465.1,3
XM_007299479.1,7
XM_007299487.1,4
XM_007299493.1,3
XM_007299495.1,8
XM_007299497.1,5
XM_007299498.1,3
XM_007299503.1,4
XM_007299505.1,2
XM_007299526.1,2
XM_007299528.1,2
XM_007299529.1,3
XM_007299532.1,2
XM_007299536.1,1
XM_007299540.1,4
XM_007299543.1,3
XM_007299544.1,4
XM_007299545.1,3
XM_007299548.1,4
XM_007299551.1,2
XM_007299552.1,3
XM_007299553.1,4
XM_007299556.1,2
XM_007299560.1,4
XM_007299562.1,3
XM_007299563.1,4
XM_007299564.1,1
XM_007299565.1,4
XM_007299566.1,3
XM_007299567.1,1
XM_007299578.1,4
XM_007299587.1,5
XM_007299592.1,2
XM_007299602.1,10
XM_007299604.1,3
XM_007299615.1,2
XM_007299616.1,3
XM_007299624.1,1
XM_007299630.1,1
XM_007299634.1,7
XM_007299635.1,6
XM_007299638.1,12
XM_007299643.1,3
XM_007299648.1,6
XM_007299650.1,2
XM_007299657.1,4
XM_007299658.1,5
XM_007299659.1,4
XM_007299668.1,3
XM_007299697.1,3
XM_007299699.1,2
XM_007299700.1,6
XM_007299702.1,6
XM_007299705.1,1
XM_007299707.1,4
XM_007299708.1,2
XM_007299722.1,1
XM_007299725.1,2
XM_007299746.1,1
XM_007299759.1,3
XM_007299760.1,1
XM_007299762.1,6
XM_007299764.1,4
XM_007299765.1,3
XM_007299767.1,4
XM_007299768.1,2
XM_007299771.1,4
XM_007299789.1,4
XM_007299793.1,3
XM_007299803.1,5
XM_007299808.1,5
XM_007299816.1,1
XM_007299820.1,3
XM_007299828.1,3
XM_007299830.1,9
XM_007299836.1,3
XM_007299838.1,2
XM_007299848.1,4
XM_007299851.1,12
XM_007299852.1,8
XM_007299856.1,5
XM_007299857.1,6
XM_007299858.1,9
XM_007299862.1,4
XM_007299871.1,5
XM_007299872.1,1
XM_007299894.1,2
XM_007299901.1,3
XM_007299909.1,2
XM_007299910.1,2
XM_007299911.1,1
XM_007299915.1,2
XM_007299924.1,1
XM_007299931.1,2
XM_007299932.1,2
XM_007299933.1,5
XM_007299934.1,3
XM_007299936.1,2
XM_007299937.1,4
XM_007299942.1,6
XM_007299952.1,5
XM_007299953.1,6
XM_007299954.1,8
XM_007299955.1,2
XM_007299956.1,12
XM_007299980.1,2
XM_007299984.1,3
XM_007299989.1,2
XM_007299995.1,3
XM_007299999.1,6
XM_007300007.1,4
XM_007300028.1,3
XM_007300029.1,2
XM_007300044.1,5
XM_007300047.1,1
XM_007300051.1,3
XM_007300065.1,5
XM_007300067.1,4
XM_007300092.1,7
XM_007300101.1,2
XM_007300107.1,13
XM_007300111.1,2
XM_007300118.1,10
XM_007300122.1,3
XM_007300125.1,6
XM_007300126.1,7
XM_007300133.1,1
XM_007300134.1,1
XM_007300143.1,6
XM_007300145.1,2
XM_007300150.1,2
XM_007300151.1,4
XM_007300158.1,4
XM_007300162.1,1
XM_007300163.1,2
XM_007300165.1,1
XM_007300167.1,2
XM_007300171.1,2
XM_007300172.1,2
XM_007300175.1,5
XM_007300176.1,9
XM_007300191.1,2
XM_007300197.1,2
XM_007300200.1,3
XM_007300214.1,2
XM_007300233.1,1
XM_007300240.1,4
XM_007300247.1,2
XM_007300252.1,3
XM_007300263.1,1
XM_007300264.1,1
XM_007300267.1,8
XM_007300268.1,1
XM_007300269.1,4
XM_007300272.1,3
XM_007300273.1,3
XM_007300279.1,3
XM_007300285.1,1
XM_007300286.1,3
XM_007300287.1,1
XM_007300288.1,1
XM_007300289.1,8
XM_007300290.1,2
XM_007300291.1,1
XM_007300292.1,1
XM_007300293.1,1
XM_007300294.1,1
XM_007300295.1,1
XM_007300296.1,1
XM_007300298.1,1
XM_007300300.1,1
XM_007300301.1,5
XM_007300302.1,1
XM_007300303.1,1
XM_007300305.1,4
XM_007300306.1,1
XM_007300309.1,3
XM_007300319.1,2
XM_007300325.1,2
XM_007300328.1,10
XM_007300329.1,5
XM_007300330.1,2
XM_007300335.1,2
XM_007300351.1,2
XM_007300352.1,3
XM_007300353.1,1
XM_007300357.1,4
XM_007300358.1,1
XM_007300378.1,10
XM_007300388.1,2
XM_007300390.1,2
XM_007300392.1,3
XM_007300418.1,4
XM_007300419.1,7
XM_007300420.1,4
XM_007300428.1,6
XM_007300432.1,1
XM_007300453.1,2
XM_007300456.1,3
XM_007300457.1,2
XM_007300463.1,1
XM_007300469.1,2
XM_007300471.1,1
XM_007300479.1,3
XM_007300544.1,11
XM_007300561.1,7
XM_007300570.1,10
XM_007300583.1,4
XM_007300584.1,2
XM_007300585.1,3
XM_007300587.1,3
XM_007300589.1,4
XM_007300597.1,14
XM_007300598.1,5
XM_007300599.1,3
XM_007300600.1,1
XM_007300605.1,9
XM_007300610.1,8
XM_007300620.1,4
XM_007300622.1,13
XM_007300623.1,2
XM_007300629.1,10
XM_007300632.1,7
XM_007300633.1,5
XM_007300634.1,8
XM_007300636.1,8
XM_007300638.1,15
XM_007300639.1,7
XM_007300640.1,14
XM_007300641.1,9
XM_007300643.1,4
XM_007300644.1,6
XM_007300645.1,5
XM_007300651.1,3
XM_007300664.1,4
XM_007300670.1,3
XM_007300671.1,3
XM_007300681.1,8
XM_007300684.1,9
XM_007300688.1,5
XM_007300693.1,6
XM_007300694.1,3
XM_007300700.1,4
XM_007300701.1,5
XM_007300705.1,1
XM_007300716.1,2
XM_007300719.1,2
XM_007300738.1,1
XM_007300741.1,2
XM_007300747.1,3
XM_007300748.1,4
XM_007300749.1,1
XM_007300758.1,8
XM_007300766.1,4
XM_007300779.1,4
XM_007300780.1,4
XM_007300781.1,1
XM_007300786.1,3
XM_007300795.1,27
XM_007300796.1,1
XM_007300806.1,7
XM_007300814.1,1
XM_007300828.1,1
XM_007300836.1,3
XM_007300838.1,2
XM_007300842.1,2
XM_007300843.1,4
XM_007300846.1,4
XM_007300849.1,7
XM_007300851.1,2
XM_007300874.1,2
XM_007300882.1,5
XM_007300886.1,4
XM_007300887.1,3
XM_007300906.1,2
XM_007300918.1,6
XM_007300932.1,3
XM_007300943.1,9
XM_007300997.1,1
XM_007301046.1,6
XM_007301062.1,2
XM_007301063.1,4
XM_007301094.1,7
XM_007301097.1,3
XM_007301099.1,3
XM_007301120.1,1
XM_007301125.1,7
XM_007301151.1,5
XM_007301154.1,5
XM_007301167.1,1
XM_007301170.1,6
XM_007301176.1,4
XM_007301178.1,4
XM_007301179.1,3
XM_007301192.1,6
XM_007301211.1,9
XM_007301228.1,1
XM_007301230.1,5
XM_007301232.1,3
XM_007301236.1,1
XM_007301265.1,9
XM_007301276.1,1
XM_007301279.1,5
XM_007301293.1,2
XM_007301297.1,5
XM_007301309.1,3
XM_007301310.1,2
XM_007301313.1,2
XM_007301316.1,2
XM_007301322.1,6
XM_007301325.1,5
XM_007301338.1,2
XM_007301341.1,1
XM_007301343.1,3
XM_007301356.1,2
XM_007301359.1,7
XM_007301362.1,6
XM_007301364.1,4
XM_007301367.1,3
XM_007301369.1,8
XM_007301376.1,2
XM_007301384.1,3
XM_007301387.1,13
XM_007301391.1,4
XM_007301392.1,1
XM_007301393.1,3
XM_007301394.1,2
XM_007301395.1,3
XM_007301396.1,2
XM_007301399.1,1
XM_007301400.1,2
XM_007301401.1,1
XM_007301402.1,2
XM_007301403.1,12
XM_007301404.1,2
XM_007301405.1,4
XM_007301407.1,1
XM_007301408.1,1
XM_007301409.1,9
XM_007301410.1,10
XM_007301412.1,1
XM_007301414.1,1
XM_007301415.1,1
XM_007301416.1,1
XM_007301418.1,1
XM_007301419.1,1
XM_007301420.1,1
XM_007301421.1,1
XM_007301422.1,3
XM_007301423.1,2
XM_007301424.1,1
XM_007301425.1,2
XM_007301426.1,7
XM_007301427.1,5
XM_007301428.1,2
XM_007301431.1,3
XM_007301436.1,37
XM_007301440.1,2
XM_007301456.1,3
XM_007301462.1,4
XM_007301472.1,4
XM_007301481.1,1
XM_007301483.1,2
XM_007301489.1,2
XM_007301497.1,2
XM_007301500.1,2
XM_007301502.1,1
XM_007301506.1,3
XM_007301507.1,1
XM_007301510.1,3
XM_007301576.1,4
XM_007301577.1,3
XM_007301578.1,2
XM_007301580.1,4
XM_007301595.1,1
XM_007301597.1,5
XM_007301598.1,2
XM_007301603.1,3
XM_007301606.1,8
XM_007301614.1,4
XM_007301615.1,3
XM_007301616.1,3
XM_007301628.1,4
XM_007301629.1,2
XM_007301647.1,3
XM_007301649.1,5
XM_007301651.1,7
XM_007301652.1,12
XM_007301662.1,5
XM_007301663.1,2
XM_007301666.1,4
XM_007301669.1,3
XM_007301675.1,2
XM_007301688.1,2
XM_007301690.1,6
XM_007301694.1,3
XM_007301697.1,5
XM_007301703.1,4
XM_007301707.1,1
XM_007301709.1,3
XM_007301710.1,2
XM_007301714.1,2
XM_007301718.1,1
XM_007301719.1,2
XM_007301721.1,1
XM_007301723.1,6
XM_007301724.1,7
XM_007301726.1,2
XM_007301738.1,8
XM_007301747.1,6
XM_007301758.1,2
XM_007301759.1,2
XM_007301762.1,1
XM_007301763.1,4
XM_007301765.1,2
XM_007301766.1,4
XM_007301773.1,2
XM_007301774.1,2
XM_007301779.1,2
XM_007301803.1,1
XM_007301808.1,1
XM_007301811.1,8
XM_007301824.1,3
XM_007301825.1,2
XM_007301826.1,8
XM_007301830.1,4
XM_007301831.1,2
XM_007301832.1,3
XM_007301841.1,2
XM_007301846.1,3
XM_007301853.1,9
XM_007301854.1,7
XM_007301870.1,1
XM_007301872.1,1
XM_007301880.1,5
XM_007301881.1,4
XM_007301882.1,2
XM_007301885.1,10
XM_007301889.1,4
XM_007301890.1,1
XM_007301891.1,5
XM_007301892.1,4
XM_007301895.1,1
XM_007301896.1,2
XM_007301906.1,5
XM_007301907.1,2
XM_007301908.1,5
XM_007301913.1,5
XM_007301924.1,2
XM_007301928.1,4
XM_007301936.1,3
XM_007301938.1,4
XM_007301962.1,3
XM_007301966.1,3
XM_007301976.1,2
XM_007301986.1,6
XM_007301996.1,2
XM_007301997.1,3
XM_007302003.1,4
XM_007302009.1,3
XM_007302010.1,2
XM_007302011.1,4
XM_007302012.1,1
XM_007302014.1,3
XM_007302015.1,3
XM_007302018.1,4
XM_007302024.1,2
XM_007302031.1,4
XM_007302032.1,11
XM_007302045.1,2
XM_007302049.1,5
XM_007302058.1,1
XM_007302074.1,11
XM_007302076.1,2
XM_007302077.1,2
XM_007302080.1,3
XM_007302084.1,2
XM_007302091.1,5
XM_007302097.1,2
XM_007302099.1,3
XM_007302104.1,2
XM_007302107.1,1
XM_007302110.1,1
XM_007302111.1,4
XM_007302120.1,1
XM_007302121.1,3
XM_007302124.1,2
XM_007302126.1,5
XM_007302130.1,4
XM_007302131.1,2
XM_007302132.1,1
XM_007302133.1,4
XM_007302138.1,2
XM_007302139.1,2
XM_007302153.1,2
XM_007302159.1,3
XM_007302160.1,4
XM_007302162.1,9
XM_007302164.1,3
XM_007302166.1,2
XM_007302167.1,4
XM_007302169.1,3
XM_007302170.1,4
XM_007302176.1,7
XM_007302179.1,3
XM_007302182.1,11
XM_007302183.1,11
XM_007302184.1,14
XM_007302187.1,9
XM_007302188.1,7
XM_007302189.1,7
XM_007302194.1,15
XM_007302196.1,3
XM_007302200.1,4
XM_007302201.1,1
XM_007302202.1,9
XM_007302203.1,4
XM_007302204.1,2
XM_007302205.1,1
XM_007302206.1,1
XM_007302207.1,3
XM_007302208.1,3
XM_007302209.1,1
XM_007302212.1,2
XM_007302213.1,1
XM_007302219.1,8
XM_007302234.1,6
XM_007302241.1,3
XM_007302249.1,2
XM_007302253.1,17
XM_007302255.1,3
XM_007302272.1,2
XM_007302275.1,1
XM_007302277.1,5
XM_007302287.1,6
XM_007302293.1,1
XM_007302297.1,2
XM_007302298.1,5
XM_007302299.1,2
XM_007302301.1,1
XM_007302311.1,1
XM_007302343.1,8
XM_007302438.1,1
XM_007302440.1,4
XM_007302442.1,2
XM_007302444.1,5
XM_007302449.1,2
XM_007302450.1,3
XM_007302454.1,3
XM_007302456.1,3
XM_007302460.1,5
XM_007302463.1,1
XM_007302465.1,2
XM_007302466.1,6
XM_007302467.1,3
XM_007302470.1,2
XM_007302471.1,5
XM_007302472.1,2
XM_007302474.1,3
XM_007302481.1,2
XM_007302484.1,6
XM_007302488.1,4
XM_007302489.1,2
XM_007302497.1,3
XM_007302498.1,2
XM_007302505.1,6
XM_007302510.1,3
XM_007302518.1,2
XM_007302527.1,1
XM_007302529.1,3
XM_007302534.1,2
XM_007302539.1,3
XM_007302540.1,9
XM_007302541.1,3
XM_007302542.1,2
XM_007302556.1,3
XM_007302568.1,8
XM_007302572.1,7
XM_007302578.1,4
XM_007302579.1,7
XM_007302586.1,1
XM_007302587.1,5
XM_007302589.1,5
XM_007302591.1,6
XM_007302592.1,6
XM_007302594.1,6
XM_007302595.1,6
XM_007302597.1,13
XM_007302598.1,7
XM_007302601.1,6
XM_007302604.1,5
XM_007302606.1,4
XM_007302615.1,4
XM_007302618.1,4
XM_007302641.1,1
XM_007302644.1,4
XM_007302648.1,5
XM_007302651.1,3
XM_007302654.1,9
XM_007302657.1,4
XM_007302660.1,2
XM_007302665.1,7
XM_007302671.1,3
XM_007302677.1,1
XM_007302679.1,1
XM_007302688.1,2
XM_007302699.1,4
XM_007302718.1,2
XM_007302751.1,5
XM_007302765.1,4
XM_007302770.1,4
XM_007302773.1,2
XM_007302775.1,5
XM_007302796.1,2
XM_007302799.1,3
XM_007302801.1,3
