transcript_id,num_exon
LOC100552664,2
LOC100554593,2
LOC100555657,4
LOC100560138,2
LOC100560335,2
LOC103278775,7
LOC103278829,2
LOC103279959,2
LOC103279968,3
LOC103279969,3
LOC103279970,2
LOC103279971,2
LOC103279972,2
LOC103279973,2
LOC103279974,2
LOC103279975,2
LOC103279976,2
LOC103280663,2
LOC103280664,2
LOC103280665,2
LOC103280666,2
LOC103280667,2
LOC103280672,2
LOC103280673,2
LOC103280734,2
LOC103280736,2
LOC103280741,2
LOC103280742,2
LOC103280749,2
LOC103280750,2
LOC103280751,2
LOC103280777,2
LOC103280778,2
LOC103280779,2
LOC103280780,2
LOC103281669,6
LOC103282267,2
LOC103282376,2
LOC103282893,2
LOC103282894,1
LOC103282953,1
LOC107983475,2
LOC107983537,2
LOC107983538,2
LOC107983540,10
LOC107983541,2
LOC107983542,2
LOC107983543,2
LOC107983544,2
LOC107983545,1
LOC107983934,1
LOC107983935,1
NM_001293114.1,4
NM_001293115.1,11
NM_001293130.1,2
NR_129808.1,1
NR_129809.1,1
NR_129810.1,1
NR_129811.1,1
NR_129812.1,1
NR_129813.1,1
NR_129814.1,1
NR_129815.1,1
NR_129816.1,1
NR_129817.1,1
NR_129818.1,1
NR_129819.1,1
NR_129820.1,1
NR_129821.1,1
NR_129822.1,1
NR_129823.1,1
NR_129824.1,1
NR_129825.1,1
NR_129826.1,1
NR_129827.1,1
NR_129828.1,1
NR_129829.1,1
NR_129830.1,1
NR_129831.1,1
NR_129832.1,1
NR_129833.1,1
NR_129834.1,1
NR_129835.1,1
NR_129836.1,1
NR_129837.1,1
NR_129838.1,1
NR_129839.1,1
NR_129840.1,1
NR_129841.1,1
NR_129842.1,1
NR_129843.1,1
NR_129844.1,1
NR_129845.1,1
NR_129846.1,1
NR_129847.1,1
NR_129848.1,1
NR_129849.1,1
NR_129850.1,1
NR_129851.1,1
NR_129852.1,1
NR_129853.1,1
NR_129854.1,1
NR_129855.1,1
NR_129856.1,1
NR_129857.1,1
NR_129858.1,1
NR_129859.1,1
NR_129860.1,1
NR_129861.1,1
NR_129862.1,1
NR_129863.1,1
NR_129864.1,1
NR_129865.1,1
NR_129866.1,1
NR_129867.1,1
NR_129868.1,1
NR_129869.1,1
NR_129870.1,1
NR_129871.1,1
NR_129872.1,1
NR_129873.1,1
NR_129874.1,1
NR_129875.1,1
NR_129876.1,1
NR_129877.1,1
NR_129878.1,1
NR_129879.1,1
NR_129880.1,1
NR_129881.1,1
NR_129882.1,1
NR_129883.1,1
NR_129884.1,1
NR_129885.1,1
NR_129886.1,1
NR_129887.1,1
NR_129888.1,1
NR_129889.1,1
NR_129890.1,1
NR_129891.1,1
NR_129892.1,1
NR_129893.1,1
NR_129894.1,1
NR_129895.1,1
NR_129896.1,1
NR_129897.1,1
NR_129898.1,1
NR_129899.1,1
NR_129900.1,1
NR_129901.1,1
NR_129902.1,1
NR_129903.1,1
NR_129904.1,1
NR_129905.1,1
NR_129906.1,1
NR_129907.1,1
NR_129908.1,1
NR_129909.1,1
NR_129910.1,1
NR_129911.1,1
NR_129912.1,1
NR_129913.1,1
NR_129914.1,1
NR_129915.1,1
NR_129916.1,1
NR_129917.1,1
NR_129918.1,1
NR_129919.1,1
NR_129920.1,1
NR_129921.1,1
NR_129922.1,1
NR_129923.1,1
NR_129924.1,1
NR_129925.1,1
NR_129926.1,1
NR_129927.1,1
NR_129928.1,1
NR_129929.1,1
NR_129930.1,1
NR_129931.1,1
NR_129932.1,1
NR_129933.1,1
NR_129934.1,1
NR_129935.1,1
NR_129936.1,1
NR_129937.1,1
NR_129938.1,1
NR_129939.1,1
NR_129940.1,1
NR_129941.1,1
NR_129942.1,1
NR_129943.1,1
NR_129944.1,1
NR_129945.1,1
NR_129946.1,1
NR_129947.1,1
NR_129948.1,1
NR_129949.1,1
NR_129950.1,1
NR_129951.1,1
