gene_id,num_transcript,num_exon,num_uniq_exon
GoarCr001,1,1,1
GoarCr002,1,1,1
GoarCr003,1,1,1
GoarCr004,1,1,1
GoarCr005,1,1,1
GoarCr006,1,1,1
GoarCr007,1,1,1
GoarCr008,1,1,1
GoarCt001,1,1,1
GoarCt002,1,2,2
GoarCt003,1,1,1
GoarCt004,1,1,1
GoarCt005,1,2,2
GoarCt006,1,1,1
GoarCt007,1,1,1
GoarCt008,1,1,1
GoarCt009,1,1,1
GoarCt010,1,1,1
GoarCt011,1,1,1
GoarCt012,1,1,1
GoarCt013,1,1,1
GoarCt014,1,1,1
GoarCt015,1,1,1
GoarCt016,1,1,1
GoarCt017,1,2,2
GoarCt018,1,1,1
GoarCt019,1,2,2
GoarCt020,1,1,1
GoarCt021,1,1,1
GoarCt022,1,1,1
GoarCt023,1,1,1
GoarCt024,1,1,1
GoarCt025,1,1,1
GoarCt026,1,2,2
GoarCt027,1,2,2
GoarCt028,1,1,1
GoarCt029,1,1,1
GoarCt030,1,1,1
GoarCt031,1,1,1
GoarCt032,1,1,1
GoarCt033,1,2,2
GoarCt034,1,2,2
GoarCt035,1,1,1
GoarCt036,1,1,1
GoarCt037,1,1,1
LOC108449926,2,5,4
LOC108449938,3,8,6
LOC108449945,1,2,2
LOC108450000,1,1,1
LOC108450001,1,3,3
LOC108450030,1,2,2
LOC108450037,1,2,2
LOC108450039,1,2,2
LOC108450117,1,2,2
LOC108450164,1,3,3
LOC108450173,3,14,7
LOC108450193,1,2,2
LOC108450241,1,3,3
LOC108450243,1,1,1
LOC108450246,1,2,2
LOC108450256,14,87,17
LOC108450264,1,2,2
LOC108450297,1,2,2
LOC108450312,1,3,3
LOC108450379,1,4,4
LOC108450390,1,2,2
LOC108450404,1,3,3
LOC108450411,4,10,4
LOC108450436,6,26,14
LOC108450438,2,5,4
LOC108450468,1,2,2
LOC108450489,1,4,4
LOC108450535,1,2,2
LOC108450554,1,1,1
LOC108450608,4,22,10
LOC108450618,1,4,4
LOC108450619,1,4,4
LOC108450642,2,12,9
LOC108450643,1,2,2
LOC108450673,1,3,3
LOC108450697,1,3,3
LOC108450719,1,2,2
LOC108450742,1,15,15
LOC108450743,5,29,10
LOC108450772,1,3,3
LOC108450776,1,1,1
LOC108450784,1,2,2
LOC108450808,1,4,4
LOC108450809,1,2,2
LOC108450818,2,4,3
LOC108450821,2,7,4
LOC108450824,1,3,3
LOC108450826,1,2,2
LOC108450836,1,1,1
LOC108450837,1,1,1
LOC108450840,1,5,5
LOC108450846,1,1,1
LOC108450850,1,2,2
LOC108450854,1,2,2
LOC108450869,1,3,3
LOC108450872,1,3,3
LOC108450877,1,3,3
LOC108450878,1,3,3
LOC108450885,1,6,6
LOC108450906,1,1,1
LOC108450926,1,3,3
LOC108450959,1,3,3
LOC108450984,1,7,7
LOC108451034,1,6,6
LOC108451046,1,5,5
LOC108451051,1,6,6
LOC108451063,1,1,1
LOC108451065,1,2,2
LOC108451070,1,2,2
LOC108451074,1,2,2
LOC108451085,1,2,2
LOC108451086,1,4,4
LOC108451088,1,3,3
LOC108451089,1,3,3
LOC108451090,1,2,2
LOC108451105,1,2,2
LOC108451116,1,3,3
LOC108451130,1,1,1
LOC108451136,1,3,3
LOC108451138,1,8,8
LOC108451148,1,2,2
LOC108451156,1,4,4
LOC108451163,1,2,2
LOC108451164,1,1,1
LOC108451170,1,2,2
LOC108451171,1,4,4
LOC108451182,1,1,1
LOC108451183,1,5,5
LOC108451227,1,3,3
LOC108451234,1,5,5
LOC108451239,1,5,5
LOC108451246,1,1,1
LOC108451247,1,1,1
LOC108451264,1,2,2
LOC108451265,1,2,2
LOC108451283,1,1,1
LOC108451293,1,2,2
LOC108451294,1,6,6
LOC108451295,1,3,3
LOC108451317,1,3,3
LOC108451330,1,1,1
LOC108451331,1,1,1
LOC108451334,1,2,2
LOC108451338,1,5,5
LOC108451350,1,3,3
LOC108451358,1,3,3
LOC108451359,1,1,1
LOC108451364,1,2,2
LOC108451376,1,1,1
LOC108451404,1,2,2
LOC108451405,1,5,5
LOC108451414,1,3,3
LOC108451417,1,3,3
LOC108451422,1,3,3
LOC108451433,1,2,2
LOC108451436,1,5,5
LOC108451438,1,2,2
LOC108451441,1,3,3
LOC108451444,1,2,2
LOC108451461,1,4,4
LOC108451462,1,2,2
LOC108451474,1,4,4
LOC108451488,1,1,1
LOC108451492,1,5,5
LOC108451493,1,2,2
LOC108451494,1,4,4
LOC108451526,1,3,3
LOC108451527,1,3,3
LOC108451540,1,4,4
LOC108451558,1,4,4
LOC108451559,1,2,2
LOC108451563,1,5,5
LOC108451566,1,5,5
LOC108451572,1,3,3
LOC108451573,1,1,1
LOC108451578,1,7,7
LOC108451581,1,1,1
LOC108451582,1,3,3
LOC108451593,1,6,6
LOC108451609,1,1,1
LOC108451615,1,7,7
LOC108451625,1,2,2
LOC108451626,1,3,3
LOC108451636,1,16,16
LOC108451637,1,2,2
LOC108451642,1,2,2
LOC108451651,1,4,4
LOC108451654,1,3,3
LOC108451658,1,7,7
LOC108451661,1,1,1
LOC108451668,2,4,3
LOC108451690,1,1,1
LOC108451697,1,2,2
LOC108451702,1,1,1
LOC108451707,1,3,3
LOC108451709,1,4,4
LOC108451710,1,3,3
LOC108451713,1,3,3
LOC108451721,1,2,2
LOC108451734,1,6,6
LOC108451735,1,1,1
LOC108451736,1,3,3
LOC108451738,1,3,3
LOC108451739,1,5,5
LOC108451748,1,2,2
LOC108451759,1,5,5
LOC108451765,17,184,35
LOC108451767,5,52,21
LOC108451768,1,8,8
LOC108451769,1,3,3
LOC108451771,2,8,5
LOC108451807,2,7,4
LOC108451809,1,3,3
LOC108451812,2,5,4
LOC108451818,1,2,2
LOC108451827,1,3,3
LOC108451838,1,2,2
LOC108451852,1,2,2
LOC108451865,1,3,3
LOC108451876,1,3,3
LOC108451901,1,2,2
LOC108451923,1,2,2
LOC108451925,5,17,9
LOC108451927,1,2,2
LOC108451940,1,2,2
LOC108451943,1,2,2
LOC108451956,1,2,2
LOC108451957,1,3,3
LOC108451973,2,6,4
LOC108451975,1,2,2
LOC108451981,1,2,2
LOC108452008,1,2,2
LOC108452023,1,5,5
LOC108452024,2,7,5
LOC108452035,1,4,4
LOC108452042,1,5,5
LOC108452065,3,9,7
LOC108452077,1,2,2
LOC108452094,1,2,2
LOC108452116,1,3,3
LOC108452142,2,4,3
LOC108452148,2,10,6
LOC108452167,1,2,2
LOC108452176,1,2,2
