transcript_id,num_exon
XM_018427611.1,5
XM_018427629.1,4
XM_018427644.1,3
XM_018427660.1,2
XM_018427661.1,2
XM_018427744.1,1
XM_018427760.1,2
XM_018427765.1,1
XM_018427802.1,2
XM_018427806.1,2
XM_018427807.1,2
XM_018427809.1,2
XM_018427811.1,3
XM_018427841.1,1
XM_018427842.1,4
XM_018427843.1,4
XM_018427844.1,1
XM_018427846.1,10
XM_018427847.1,3
XM_018427848.1,3
XM_018427849.1,4
XM_018427850.1,3
XM_018427853.1,3
XM_018427854.1,4
XM_018427855.1,2
XM_018427859.1,7
XM_018427861.1,6
XM_018427862.1,6
XM_018427864.1,10
XM_018427865.1,5
XM_018427866.1,6
XM_018427868.1,11
XM_018427869.1,7
XM_018427871.1,17
XM_018427872.1,4
XM_018427873.1,1
XM_018427875.1,1
XM_018427877.1,3
XM_018427878.1,8
XM_018427880.1,9
XM_018427882.1,2
XM_018427883.1,3
XM_018427884.1,2
XM_018427886.1,3
XM_018427888.1,13
XM_018427889.1,1
XM_018427890.1,3
XM_018427892.1,2
XM_018427893.1,5
XM_018427894.1,4
XM_018427896.1,4
XM_018427897.1,1
XM_018427899.1,4
XM_018427900.1,2
XM_018427902.1,2
XM_018427903.1,2
XM_018427904.1,7
XM_018427905.1,3
XM_018427907.1,8
XM_018427908.1,1
XM_018427910.1,2
XM_018427912.1,2
XM_018427916.1,4
XM_018427917.1,5
XM_018427919.1,18
XM_018427920.1,5
XM_018427921.1,5
XM_018427922.1,8
XM_018427924.1,1
XM_018427925.1,6
XM_018427926.1,15
XM_018427927.1,2
XM_018427928.1,10
XM_018427929.1,3
XM_018427930.1,12
XM_018427931.1,1
XM_018427932.1,4
XM_018427933.1,1
XM_018427934.1,5
XM_018427935.1,3
XM_018427936.1,2
XM_018427938.1,9
XM_018427942.1,2
XM_018427945.1,5
XM_018427950.1,4
XM_018427951.1,6
XM_018427952.1,17
XM_018427953.1,3
XM_018427955.1,3
XM_018427956.1,5
XM_018427957.1,6
XM_018427958.1,1
XM_018427959.1,3
XM_018427960.1,2
XM_018427961.1,2
XM_018427962.1,6
XM_018427963.1,7
XM_018427964.1,4
XM_018427965.1,4
XM_018427966.1,9
XM_018427968.1,7
XM_018427971.1,2
XM_018427973.1,3
XM_018427974.1,2
XM_018427976.1,6
XM_018427977.1,6
XM_018427978.1,6
XM_018427979.1,6
XM_018427980.1,6
XM_018427984.1,2
XM_018427985.1,4
XM_018427988.1,6
XM_018427989.1,3
XM_018427990.1,1
XM_018427992.1,3
XM_018427993.1,7
XM_018427994.1,5
XM_018427997.1,1
XM_018427998.1,2
XM_018427999.1,5
XM_018428001.1,3
XM_018428002.1,6
XM_018428003.1,8
XM_018428004.1,6
XM_018428005.1,2
XM_018428007.1,2
XM_018428008.1,1
XM_018428010.1,13
XM_018428011.1,1
XM_018428013.1,1
XM_018428016.1,2
XM_018428017.1,2
XM_018428019.1,2
XM_018428020.1,4
XM_018428022.1,5
XM_018428023.1,2
XM_018428025.1,5
XM_018428027.1,3
XM_018428028.1,8
XM_018428030.1,4
XM_018428031.1,7
XM_018428033.1,5
XM_018428034.1,6
XM_018428035.1,2
XM_018428037.1,2
XM_018428039.1,5
XM_018428040.1,2
XM_018428043.1,3
XM_018428044.1,4
XM_018428045.1,1
XM_018428047.1,7
XM_018428048.1,4
XM_018428050.1,2
XM_018428051.1,1
XM_018428052.1,3
XM_018428054.1,4
XM_018428055.1,7
XM_018428057.1,3
XM_018428059.1,4
XM_018428060.1,2
XM_018428061.1,11
XM_018428062.1,1
XM_018428063.1,2
XM_018428064.1,1
XM_018428065.1,5
XM_018428066.1,6
XM_018428067.1,2
XM_018428068.1,6
XM_018428070.1,1
XM_018428071.1,3
XM_018428073.1,5
XM_018428074.1,5
XM_018428076.1,7
XM_018428077.1,14
XM_018428080.1,3
XM_018428081.1,2
XM_018428082.1,8
XM_018428084.1,4
XM_018428085.1,1
XM_018428086.1,10
XM_018428087.1,4
XM_018428088.1,2
XM_018428091.1,6
XM_018428093.1,3
XM_018428095.1,8
XM_018428096.1,6
XM_018428098.1,3
XM_018428099.1,7
XM_018428101.1,7
XM_018428102.1,6
XM_018428103.1,4
XM_018428104.1,2
XM_018428105.1,5
XM_018428106.1,3
XM_018428107.1,2
XM_018428109.1,4
XM_018428112.1,10
XM_018428114.1,3
XM_018428116.1,1
XM_018428117.1,2
XM_018428121.1,1
XM_018428123.1,2
XM_018428125.1,5
XM_018428126.1,1
XM_018428128.1,1
XM_018428130.1,5
XM_018428131.1,4
XM_018428132.1,5
XM_018428134.1,2
XM_018428135.1,6
XM_018428136.1,5
XM_018428137.1,4
XM_018428138.1,7
XM_018428139.1,8
XM_018428141.1,6
XM_018428142.1,6
XM_018428143.1,2
XM_018428144.1,8
XM_018428146.1,1
XM_018428147.1,5
XM_018428149.1,3
XM_018428150.1,2
XM_018428151.1,3
XM_018428153.1,1
XM_018428154.1,7
XM_018428155.1,2
XM_018428157.1,1
XM_018428158.1,5
XM_018428162.1,6
XM_018428163.1,3
XM_018428164.1,6
XM_018428166.1,5
XM_018428167.1,1
XM_018428168.1,1
XM_018428169.1,6
XM_018428172.1,4
XM_018428173.1,7
XM_018428175.1,3
XM_018428176.1,4
XM_018428177.1,4
XM_018428179.1,6
XM_018428180.1,4
XM_018428183.1,2
XM_018428185.1,4
XM_018428186.1,2
XM_018428187.1,3
XM_018428188.1,3
XM_018428189.1,6
XM_018428191.1,5
XM_018428192.1,2
XM_018428193.1,1
XM_018428194.1,4
XM_018428197.1,4
XM_018428198.1,2
XM_018428199.1,8
XM_018428200.1,1
XM_018428203.1,6
XM_018428204.1,6
XM_018428205.1,3
XM_018428208.1,8
XM_018428209.1,5
XM_018428211.1,4
XM_018428212.1,6
XM_018428213.1,1
XM_018428214.1,2
XM_018428215.1,1
XM_018428219.1,4
XM_018428221.1,3
XM_018428222.1,12
XM_018428223.1,11
XM_018428226.1,3
XM_018428227.1,1
XM_018428229.1,9
XM_018428230.1,2
XM_018428232.1,2
XM_018428233.1,2
XM_018428235.1,3
XM_018428237.1,1
XM_018428238.1,1
XM_018428239.1,5
XM_018428240.1,5
XM_018428241.1,2
XM_018428244.1,4
XM_018428245.1,11
XM_018428249.1,3
XM_018428250.1,5
XM_018428252.1,1
XM_018428254.1,4
XM_018428255.1,2
XM_018428256.1,1
XM_018428258.1,1
XM_018428261.1,6
XM_018428262.1,2
XM_018428264.1,1
XM_018428265.1,1
XM_018428266.1,6
XM_018428267.1,2
XM_018428268.1,11
XM_018428269.1,12
XM_018428270.1,10
XM_018428271.1,1
XM_018428272.1,3
XM_018428273.1,10
XM_018428275.1,10
XM_018428276.1,3
XM_018428277.1,7
XM_018428278.1,1
