gene_id,num_transcript,num_exon,num_uniq_exon
NEOLI_000002,1,1,1
NEOLI_000009,1,5,5
NEOLI_000019,1,3,3
NEOLI_000036,1,6,6
NEOLI_000038,1,7,7
NEOLI_000051,1,3,3
NEOLI_000052,1,2,2
NEOLI_000061,1,6,6
NEOLI_000062,1,10,10
NEOLI_000069,1,1,1
NEOLI_000077,1,4,4
NEOLI_000078,1,4,4
NEOLI_000081,1,2,2
NEOLI_000083,1,2,2
NEOLI_000089,1,6,6
NEOLI_000092,1,2,2
NEOLI_000098,1,8,8
NEOLI_000109,1,5,5
NEOLI_000115,1,2,2
NEOLI_000120,1,4,4
NEOLI_000121,1,1,1
NEOLI_000123,1,2,2
NEOLI_000126,1,3,3
NEOLI_000127,1,5,5
NEOLI_000130,1,2,2
NEOLI_000140,1,3,3
NEOLI_000143,1,4,4
NEOLI_000146,1,2,2
NEOLI_000163,1,3,3
NEOLI_000169,1,5,5
NEOLI_000173,1,1,1
NEOLI_000174,1,2,2
NEOLI_000175,1,3,3
NEOLI_000189,1,3,3
NEOLI_000192,1,2,2
NEOLI_000193,1,1,1
NEOLI_000201,1,1,1
NEOLI_000204,1,2,2
NEOLI_000227,1,4,4
NEOLI_000229,1,2,2
NEOLI_000230,1,2,2
NEOLI_000236,1,2,2
NEOLI_000241,1,2,2
NEOLI_000258,1,2,2
NEOLI_000266,1,5,5
NEOLI_000270,1,1,1
NEOLI_000287,1,1,1
NEOLI_000291,1,2,2
NEOLI_000295,1,1,1
NEOLI_000303,1,12,12
NEOLI_000309,1,3,3
NEOLI_000313,1,2,2
NEOLI_000320,1,5,5
NEOLI_000322,1,8,8
NEOLI_000323,1,5,5
NEOLI_000330,1,3,3
NEOLI_000332,1,5,5
NEOLI_000333,1,3,3
NEOLI_000351,1,1,1
NEOLI_000360,1,2,2
NEOLI_000365,1,2,2
NEOLI_000367,1,2,2
NEOLI_000368,1,1,1
NEOLI_000372,1,10,10
NEOLI_000379,1,1,1
NEOLI_000380,1,2,2
NEOLI_000385,1,1,1
NEOLI_000386,1,2,2
NEOLI_000392,1,5,5
NEOLI_000397,1,1,1
NEOLI_000398,1,1,1
NEOLI_000403,1,1,1
NEOLI_000404,1,2,2
NEOLI_000408,1,1,1
NEOLI_000409,1,3,3
NEOLI_000410,1,3,3
NEOLI_000450,1,3,3
NEOLI_000460,1,6,6
NEOLI_000462,1,1,1
NEOLI_000476,1,4,4
NEOLI_000478,1,2,2
NEOLI_000481,1,4,4
NEOLI_000482,1,2,2
NEOLI_000484,1,2,2
NEOLI_000488,1,2,2
NEOLI_000489,1,1,1
NEOLI_000492,1,4,4
NEOLI_000493,1,6,6
NEOLI_000495,1,2,2
NEOLI_000499,1,1,1
NEOLI_000501,1,6,6
NEOLI_000516,1,1,1
NEOLI_000517,1,2,2
NEOLI_000526,1,1,1
NEOLI_000527,1,3,3
NEOLI_000529,1,1,1
NEOLI_000531,1,1,1
NEOLI_000532,1,15,15
NEOLI_000536,1,4,4
NEOLI_000539,1,1,1
NEOLI_000540,1,4,4
NEOLI_000547,1,1,1
NEOLI_000548,1,7,7
NEOLI_000560,1,2,2
NEOLI_000578,1,1,1
NEOLI_000580,1,6,6
NEOLI_000581,1,2,2
NEOLI_000585,1,3,3
NEOLI_000594,1,1,1
NEOLI_000595,1,4,4
NEOLI_000601,1,2,2
NEOLI_000608,1,9,9
NEOLI_000612,1,1,1
NEOLI_000617,1,2,2
NEOLI_000618,1,11,11
NEOLI_000623,1,2,2
NEOLI_000624,1,9,9
NEOLI_000629,1,3,3
NEOLI_000631,1,1,1
NEOLI_000633,1,5,5
NEOLI_000638,1,8,8
NEOLI_000650,1,2,2
NEOLI_000658,1,5,5
NEOLI_000660,1,1,1
NEOLI_000662,1,1,1
NEOLI_000667,1,1,1
NEOLI_000674,1,4,4
NEOLI_000692,1,3,3
NEOLI_000695,1,1,1
