gene_id,num_transcript,num_exon,num_uniq_exon
LOC109946241,1,1,1
LOC109946243,2,4,3
LOC109946250,1,5,5
LOC109946253,1,4,4
LOC109946254,1,1,1
LOC109946256,1,2,2
LOC109946258,1,5,5
LOC109946260,1,7,7
LOC109946262,1,4,4
LOC109946264,1,3,3
LOC109946265,1,1,1
LOC109946268,1,1,1
LOC109946270,1,1,1
LOC109946273,1,4,4
LOC109946274,1,2,2
LOC109946276,1,2,2
LOC109946277,1,2,2
LOC109946278,1,4,4
LOC109946279,1,2,2
LOC109946281,2,7,5
LOC109946282,1,3,3
LOC109946283,1,3,3
LOC109946286,1,2,2
LOC109946287,1,2,2
LOC109946288,4,12,6
LOC109946289,2,9,6
LOC109946290,1,3,3
LOC109946291,1,2,2
LOC109946292,1,2,2
LOC109946293,1,2,2
LOC109946294,1,2,2
LOC109946295,1,3,3
LOC109946296,1,2,2
LOC109946297,1,8,8
LOC109946298,3,24,13
LOC109946299,1,2,2
LOC109946300,1,2,2
LOC109946302,1,2,2
LOC109946304,4,22,10
LOC109946306,1,3,3
LOC109946307,1,2,2
LOC109946309,2,4,3
LOC109946310,1,2,2
LOC109946311,1,2,2
LOC109946312,1,3,3
LOC109946314,3,13,7
LOC109946315,1,3,3
LOC109946317,1,3,3
LOC109946318,1,3,3
LOC109946319,1,2,2
LOC109946323,1,3,3
LOC109946371,1,1,1
LOC109946373,1,2,2
LOC109946374,1,2,2
LOC109946376,3,11,7
LOC109946377,1,3,3
LOC109946378,1,2,2
LOC109946379,1,1,1
LOC109946380,1,1,1
LOC109946382,1,2,2
LOC109946383,1,5,5
LOC109946384,1,2,2
LOC109946385,1,3,3
LOC109946386,1,2,2
LOC109946390,1,3,3
LOC109946392,2,7,5
LOC109946396,1,2,2
LOC109946399,1,1,1
LOC109946400,1,4,4
LOC109946402,1,3,3
LOC109946405,1,1,1
LOC109946409,1,1,1
LOC109946411,1,2,2
LOC109946412,2,7,6
LOC109946420,1,2,2
LOC109946422,1,2,2
LOC109946423,1,2,2
LOC109946429,1,2,2
LOC109946431,1,2,2
LOC109946433,1,2,2
LOC109946437,1,2,2
LOC109946438,1,2,2
LOC109946439,1,2,2
LOC109946440,6,23,7
LOC109946442,1,1,1
LOC109946445,1,3,3
LOC109946446,1,2,2
LOC109946447,2,5,4
LOC109946449,1,2,2
LOC109946450,12,38,23
LOC109946452,1,2,2
LOC109946459,1,2,2
LOC109946461,1,2,2
LOC109946463,1,1,1
LOC109946464,1,2,2
LOC109946467,1,2,2
LOC109946471,7,21,14
LOC109946473,1,2,2
LOC109946474,1,3,3
LOC109946475,1,2,2
LOC109946477,1,2,2
LOC109946481,1,2,2
LOC109946482,1,2,2
LOC109946483,1,5,5
LOC109946485,1,2,2
LOC109946486,1,4,4
LOC109946488,1,2,2
LOC109946490,1,2,2
LOC109946493,1,2,2
LOC109946496,1,2,2
LOC109946500,1,2,2
LOC109946501,1,1,1
LOC109946504,1,3,3
LOC109946506,1,2,2
LOC109946508,1,5,5
LOC109946509,1,2,2
LOC109946510,1,3,3
LOC109946511,1,3,3
LOC109946512,1,2,2
LOC109946514,1,2,2
LOC109946515,1,4,4
LOC109946517,1,2,2
LOC109946519,1,1,1
LOC109946522,1,6,6
LOC109946523,1,2,2
LOC109946524,2,4,3
LOC109946530,1,2,2
LOC109946531,1,2,2
LOC109946535,1,3,3
LOC109946537,1,3,3
LOC109946539,1,2,2
LOC109946541,1,3,3
LOC109946544,1,2,2
LOC109946545,1,2,2
LOC109946547,1,4,4
LOC109946548,1,2,2
LOC109946549,1,1,1
LOC109946552,1,2,2
LOC109946553,2,9,6
LOC109946554,1,2,2
LOC109946557,1,2,2
LOC109946559,1,3,3
LOC109946560,1,4,4
LOC109946563,1,2,2
LOC109946565,1,2,2
LOC109946567,1,2,2
LOC109946568,1,2,2
LOC109946570,1,1,1
LOC109946573,1,3,3
LOC109946576,5,24,11
LOC109946577,1,3,3
LOC109946581,1,4,4
