gene_id,num_transcript,num_exon,num_uniq_exon
GLAREA_00001,1,2,2
GLAREA_00002,1,2,2
GLAREA_00003,1,2,2
GLAREA_00004,1,9,9
GLAREA_00005,1,4,4
GLAREA_00006,1,2,2
GLAREA_00007,1,13,13
GLAREA_00008,1,3,3
GLAREA_00009,1,1,1
GLAREA_00010,1,3,3
GLAREA_00011,1,3,3
GLAREA_00012,1,5,5
GLAREA_00013,1,4,4
GLAREA_00014,1,3,3
GLAREA_00015,1,1,1
GLAREA_00016,1,3,3
GLAREA_00018,1,1,1
GLAREA_00019,1,3,3
GLAREA_00020,1,1,1
GLAREA_00022,1,3,3
GLAREA_00023,1,3,3
GLAREA_00024,1,3,3
GLAREA_00027,1,1,1
GLAREA_00028,1,9,9
GLAREA_00029,1,4,4
GLAREA_00030,1,1,1
GLAREA_00033,1,4,4
GLAREA_00034,1,3,3
GLAREA_00035,1,3,3
GLAREA_00036,1,1,1
GLAREA_00037,1,2,2
GLAREA_00038,1,4,4
GLAREA_00039,1,3,3
GLAREA_00040,1,4,4
GLAREA_00041,1,1,1
GLAREA_00042,1,6,6
GLAREA_00043,1,5,5
GLAREA_00044,1,2,2
GLAREA_00045,1,2,2
GLAREA_00046,1,7,7
GLAREA_00048,1,1,1
GLAREA_00051,1,4,4
GLAREA_00053,1,2,2
GLAREA_00054,1,4,4
GLAREA_00055,1,3,3
GLAREA_00056,1,2,2
GLAREA_00057,1,3,3
GLAREA_00058,1,3,3
GLAREA_00059,1,1,1
GLAREA_00060,1,2,2
GLAREA_00061,1,1,1
GLAREA_00062,1,1,1
GLAREA_00065,1,3,3
GLAREA_00066,1,1,1
GLAREA_00067,1,1,1
GLAREA_00068,1,3,3
GLAREA_00069,1,3,3
GLAREA_00070,1,2,2
GLAREA_00071,1,2,2
GLAREA_00072,1,1,1
GLAREA_00073,1,1,1
GLAREA_00074,1,2,2
GLAREA_00075,1,7,7
GLAREA_00076,1,6,6
GLAREA_00077,1,2,2
GLAREA_00078,1,4,4
GLAREA_00080,1,9,9
GLAREA_00081,1,4,4
GLAREA_00083,1,1,1
GLAREA_00084,1,3,3
GLAREA_00085,1,1,1
GLAREA_00086,1,1,1
GLAREA_00087,1,3,3
GLAREA_00095,1,1,1
GLAREA_00098,1,2,2
GLAREA_00099,1,6,6
GLAREA_00100,1,1,1
GLAREA_00101,1,1,1
GLAREA_00102,1,3,3
GLAREA_00103,1,5,5
GLAREA_00104,1,3,3
GLAREA_00105,1,7,7
GLAREA_00106,1,2,2
GLAREA_00107,1,2,2
GLAREA_00108,1,4,4
GLAREA_00109,1,4,4
GLAREA_00110,1,3,3
GLAREA_00111,1,1,1
GLAREA_00112,1,5,5
GLAREA_00113,1,3,3
GLAREA_00114,1,3,3
GLAREA_00115,1,2,2
GLAREA_00116,1,2,2
GLAREA_00117,1,4,4
GLAREA_00118,1,2,2
GLAREA_00119,1,1,1
GLAREA_00120,1,4,4
GLAREA_00121,1,6,6
GLAREA_00122,1,4,4
GLAREA_00123,1,3,3
GLAREA_00125,1,3,3
GLAREA_00126,1,4,4
GLAREA_00127,1,3,3
GLAREA_00128,1,2,2
GLAREA_00129,1,1,1
GLAREA_00130,1,4,4
GLAREA_00131,1,5,5
GLAREA_00132,1,2,2
GLAREA_00133,1,2,2
GLAREA_00134,1,3,3
GLAREA_00136,1,3,3
GLAREA_00137,1,2,2
GLAREA_00138,1,2,2
GLAREA_00139,1,5,5
GLAREA_00140,1,1,1
GLAREA_00141,1,3,3
GLAREA_00142,1,1,1
GLAREA_00144,1,1,1
GLAREA_00145,1,3,3
GLAREA_00146,1,7,7
GLAREA_00147,1,2,2
GLAREA_00148,1,7,7
GLAREA_00149,1,3,3
GLAREA_00150,1,7,7
GLAREA_00151,1,1,1
GLAREA_00152,1,1,1
GLAREA_00153,1,2,2
GLAREA_00154,1,2,2
GLAREA_00155,1,4,4
GLAREA_00157,1,4,4
GLAREA_00158,1,6,6
GLAREA_00159,1,4,4
GLAREA_00160,1,4,4
GLAREA_00161,1,4,4
GLAREA_00162,1,3,3
GLAREA_00163,1,1,1
GLAREA_00164,1,2,2
GLAREA_00165,1,11,11
GLAREA_00166,1,6,6
GLAREA_00167,1,3,3
GLAREA_00168,1,2,2
GLAREA_00169,1,2,2
GLAREA_00170,1,1,1
GLAREA_00171,1,5,5
GLAREA_00173,1,4,4
GLAREA_00174,1,1,1
GLAREA_00175,1,1,1
