transcript_id,num_exon
XM_024820980.1,5
XM_024820981.1,4
XM_024820984.1,4
XM_024820985.1,3
XM_024820986.1,2
XM_024820987.1,3
XM_024820988.1,3
XM_024820989.1,1
XM_024820992.1,5
XM_024820993.1,2
XM_024820994.1,3
XM_024820995.1,1
XM_024820998.1,4
XM_024820999.1,2
XM_024821000.1,7
XM_024821001.1,3
XM_024821002.1,1
XM_024821005.1,2
XM_024821006.1,2
XM_024821007.1,2
XM_024821009.1,2
XM_024821011.1,4
XM_024821017.1,4
XM_024821019.1,1
XM_024821020.1,3
XM_024821021.1,8
XM_024821023.1,6
XM_024821024.1,3
XM_024821025.1,4
XM_024821026.1,3
XM_024821028.1,5
XM_024821029.1,4
XM_024821030.1,4
XM_024821031.1,5
XM_024821033.1,1
XM_024821034.1,1
XM_024821035.1,4
XM_024821038.1,6
XM_024821039.1,1
XM_024821040.1,2
XM_024821042.1,2
XM_024821043.1,4
XM_024821044.1,3
XM_024821045.1,3
XM_024821047.1,1
XM_024821048.1,2
XM_024821049.1,4
XM_024821051.1,1
XM_024821052.1,3
XM_024821055.1,1
XM_024821058.1,3
XM_024821060.1,1
XM_024821065.1,3
XM_024821066.1,3
XM_024821067.1,2
XM_024821069.1,8
XM_024821070.1,5
XM_024821071.1,2
XM_024821072.1,2
XM_024821073.1,4
XM_024821074.1,6
XM_024821075.1,2
XM_024821076.1,2
XM_024821077.1,4
XM_024821079.1,2
XM_024821082.1,1
XM_024821084.1,4
XM_024821086.1,2
XM_024821087.1,3
XM_024821088.1,4
XM_024821089.1,1
XM_024821090.1,3
XM_024821091.1,3
XM_024821092.1,1
XM_024821093.1,8
XM_024821094.1,2
XM_024821095.1,3
XM_024821096.1,2
XM_024821098.1,2
XM_024821099.1,5
XM_024821101.1,6
XM_024821102.1,5
XM_024821103.1,4
XM_024821105.1,2
XM_024821106.1,6
XM_024821108.1,1
XM_024821111.1,8
XM_024821112.1,3
XM_024821113.1,1
XM_024821114.1,2
XM_024821117.1,5
XM_024821118.1,5
XM_024821119.1,2
XM_024821120.1,4
XM_024821121.1,2
XM_024821123.1,2
XM_024821125.1,3
XM_024821130.1,8
XM_024821131.1,3
XM_024821132.1,7
XM_024821133.1,3
XM_024821135.1,1
XM_024821136.1,2
XM_024821138.1,5
