gene_id,num_transcript,num_exon,num_uniq_exon
,24,24,24
A1CF,2,24,13
A4GALT,1,2,2
A4GNT,1,2,2
AAAS,1,16,16
AACS,1,18,18
AADAC,1,5,5
AADAT,8,115,24
AAGAB,1,10,10
AAK1,1,22,22
AANAT,1,4,4
AAR2,2,7,5
AARS1,2,42,22
AARS2,1,22,22
AASDH,9,142,25
AASDHPPT,1,6,6
AASS,2,48,26
AATF,2,23,13
AATK,1,15,15
ABAT,2,32,17
ABCA1,2,93,52
ABCA12,1,49,49
ABCA13,1,65,65
ABCA2,4,200,51
ABCA3,1,34,34
ABCA4,1,51,51
ABCA5,2,76,40
ABCA7,2,102,52
ABCB1,1,28,28
ABCB10,1,13,13
ABCB11,3,80,29
ABCB4,2,55,28
ABCB7,1,16,16
ABCB8,3,46,19
ABCB9,2,24,13
ABCC1,2,64,33
ABCC10,2,44,23
ABCC11,1,32,32
ABCC12,6,158,37
ABCC2,1,32,32
ABCC3,2,60,34
ABCC4,5,148,34
ABCC5,8,163,41
ABCC6,4,122,33
ABCC8,7,270,43
ABCC9,6,225,45
ABCD1,1,10,10
ABCD2,1,10,10
ABCD3,2,46,25
ABCD4,5,89,26
ABCE1,3,54,20
ABCF3,3,61,24
ABCG1,6,108,26
ABCG2,3,48,19
ABCG4,1,14,14
ABCG5,1,13,13
ABCG8,1,13,13
ABHD1,1,10,10
ABHD10,1,5,5
ABHD11,1,6,6
ABHD12,1,13,13
ABHD12B,2,27,15
ABHD13,4,10,8
ABHD14A,2,10,6
ABHD14B,2,8,5
ABHD15,1,2,2
ABHD16A,1,20,20
ABHD16B,9,35,14
ABHD17A,2,11,7
ABHD17B,3,15,7
ABHD17C,1,3,3
ABHD18,1,14,14
ABHD2,1,11,11
ABHD3,3,24,13
ABHD4,2,14,8
ABHD5,3,20,10
ABHD6,7,70,16
ABHD8,1,5,5
ABI1,9,91,13
ABI2,19,213,17
ABI3,2,16,9
ABITRAM,1,6,6
ABL1,3,35,14
ABL2,4,46,16
ABLIM1,15,339,28
ABLIM2,10,210,29
