gene_id,num_transcript,num_exon,num_uniq_exon
BCR32DRAFT_100222,1,4,4
BCR32DRAFT_100678,1,3,3
BCR32DRAFT_100828,1,3,3
BCR32DRAFT_101052,1,11,11
BCR32DRAFT_10110,1,8,8
BCR32DRAFT_101103,1,1,1
BCR32DRAFT_101224,1,2,2
BCR32DRAFT_101851,1,3,3
BCR32DRAFT_102012,1,2,2
BCR32DRAFT_102260,1,5,5
BCR32DRAFT_103135,1,2,2
BCR32DRAFT_103359,1,1,1
BCR32DRAFT_103540,1,21,21
BCR32DRAFT_10401,1,4,4
BCR32DRAFT_104498,1,5,5
BCR32DRAFT_105274,1,2,2
BCR32DRAFT_105508,1,3,3
BCR32DRAFT_105544,1,1,1
BCR32DRAFT_105793,1,23,23
BCR32DRAFT_106313,1,3,3
BCR32DRAFT_106895,1,13,13
BCR32DRAFT_107386,1,2,2
BCR32DRAFT_107834,1,2,2
BCR32DRAFT_107912,1,7,7
BCR32DRAFT_108029,1,1,1
BCR32DRAFT_108072,1,1,1
BCR32DRAFT_108569,1,10,10
BCR32DRAFT_108606,1,5,5
BCR32DRAFT_109687,1,2,2
BCR32DRAFT_109721,1,1,1
BCR32DRAFT_109851,1,2,2
BCR32DRAFT_110046,1,8,8
BCR32DRAFT_110090,1,24,24
BCR32DRAFT_110266,1,2,2
BCR32DRAFT_110597,1,9,9
BCR32DRAFT_111325,1,12,12
BCR32DRAFT_111768,1,3,3
BCR32DRAFT_112000,1,2,2
BCR32DRAFT_112019,1,4,4
BCR32DRAFT_112474,1,10,10
BCR32DRAFT_112561,1,5,5
BCR32DRAFT_113801,1,2,2
BCR32DRAFT_113821,1,6,6
BCR32DRAFT_113856,1,2,2
BCR32DRAFT_113907,1,6,6
BCR32DRAFT_114073,1,4,4
BCR32DRAFT_114427,1,6,6
BCR32DRAFT_114771,1,10,10
BCR32DRAFT_114904,1,1,1
BCR32DRAFT_115150,1,2,2
BCR32DRAFT_115185,1,7,7
BCR32DRAFT_115348,1,1,1
BCR32DRAFT_115439,1,1,1
BCR32DRAFT_11590,1,8,8
BCR32DRAFT_11612,1,3,3
BCR32DRAFT_116701,1,4,4
BCR32DRAFT_117152,1,2,2
BCR32DRAFT_117269,1,10,10
BCR32DRAFT_122163,1,5,5
BCR32DRAFT_12265,1,5,5
BCR32DRAFT_122932,1,1,1
BCR32DRAFT_123190,1,3,3
BCR32DRAFT_123258,1,2,2
BCR32DRAFT_123326,1,1,1
BCR32DRAFT_123942,1,14,14
BCR32DRAFT_124381,1,9,9
BCR32DRAFT_124437,1,21,21
BCR32DRAFT_125314,1,2,2
BCR32DRAFT_125946,1,2,2
BCR32DRAFT_126620,1,17,17
BCR32DRAFT_126624,1,2,2
BCR32DRAFT_126749,1,6,6
BCR32DRAFT_126921,1,7,7
BCR32DRAFT_127362,1,12,12
BCR32DRAFT_128100,1,9,9
BCR32DRAFT_128131,1,5,5
BCR32DRAFT_128291,1,19,19
BCR32DRAFT_128368,1,3,3
BCR32DRAFT_128451,1,2,2
BCR32DRAFT_128635,1,2,2
BCR32DRAFT_129333,1,7,7
BCR32DRAFT_129723,1,1,1
BCR32DRAFT_129752,1,2,2
BCR32DRAFT_12981,1,6,6
BCR32DRAFT_130490,1,7,7
BCR32DRAFT_130516,1,4,4
BCR32DRAFT_131065,1,11,11
BCR32DRAFT_131074,1,3,3
BCR32DRAFT_131528,1,1,1
BCR32DRAFT_13221,1,19,19
BCR32DRAFT_132314,1,10,10
BCR32DRAFT_132774,1,8,8
BCR32DRAFT_132905,1,1,1
BCR32DRAFT_133100,1,6,6
BCR32DRAFT_133254,1,4,4
BCR32DRAFT_133425,1,2,2
BCR32DRAFT_133477,1,2,2
BCR32DRAFT_133839,1,5,5
BCR32DRAFT_133988,1,1,1
BCR32DRAFT_134144,1,9,9
BCR32DRAFT_134187,1,5,5
BCR32DRAFT_134356,1,11,11
BCR32DRAFT_134579,1,8,8
BCR32DRAFT_134840,1,6,6
BCR32DRAFT_1353,1,9,9
BCR32DRAFT_135426,1,1,1
BCR32DRAFT_135648,1,8,8
BCR32DRAFT_135808,1,7,7
BCR32DRAFT_136086,1,1,1
BCR32DRAFT_136130,1,2,2
BCR32DRAFT_136860,1,7,7
BCR32DRAFT_137273,1,5,5
BCR32DRAFT_137449,1,2,2
BCR32DRAFT_137715,1,6,6
BCR32DRAFT_137885,1,15,15
BCR32DRAFT_138226,1,3,3
BCR32DRAFT_138436,1,5,5
BCR32DRAFT_139007,1,2,2
BCR32DRAFT_139234,1,7,7
BCR32DRAFT_1397,1,7,7
BCR32DRAFT_139825,1,1,1
BCR32DRAFT_13983,1,12,12
BCR32DRAFT_140149,1,1,1
BCR32DRAFT_140319,1,2,2
BCR32DRAFT_140520,1,4,4
BCR32DRAFT_141852,1,19,19
BCR32DRAFT_142010,1,3,3
BCR32DRAFT_142330,1,5,5
BCR32DRAFT_142496,1,9,9
BCR32DRAFT_142506,1,1,1
BCR32DRAFT_142575,1,4,4
BCR32DRAFT_142653,1,3,3
BCR32DRAFT_143560,1,4,4
BCR32DRAFT_145147,1,2,2
BCR32DRAFT_145161,1,6,6
BCR32DRAFT_146192,1,14,14
BCR32DRAFT_146509,1,3,3
BCR32DRAFT_14681,1,3,3
BCR32DRAFT_147198,1,19,19
BCR32DRAFT_147575,1,6,6
BCR32DRAFT_14769,1,2,2
BCR32DRAFT_148008,1,12,12
BCR32DRAFT_148634,1,2,2
BCR32DRAFT_149047,1,1,1
BCR32DRAFT_149107,1,1,1
BCR32DRAFT_150114,1,2,2
BCR32DRAFT_150162,1,2,2
BCR32DRAFT_150428,1,8,8
