gene_id,num_transcript,num_exon,num_uniq_exon
BCR36DRAFT_100037,1,5,5
BCR36DRAFT_100206,1,5,5
BCR36DRAFT_100302,1,3,3
BCR36DRAFT_10032,1,4,4
BCR36DRAFT_100375,1,9,9
BCR36DRAFT_10065,1,6,6
BCR36DRAFT_100657,1,8,8
BCR36DRAFT_100739,1,7,7
BCR36DRAFT_100755,1,19,19
BCR36DRAFT_100819,1,2,2
BCR36DRAFT_101259,1,2,2
BCR36DRAFT_101335,1,25,25
BCR36DRAFT_101861,1,1,1
BCR36DRAFT_101952,1,2,2
BCR36DRAFT_102361,1,14,14
BCR36DRAFT_102427,1,4,4
BCR36DRAFT_102632,1,7,7
BCR36DRAFT_102920,1,2,2
BCR36DRAFT_103141,1,2,2
BCR36DRAFT_103306,1,1,1
BCR36DRAFT_103433,1,2,2
BCR36DRAFT_103815,1,7,7
BCR36DRAFT_104005,2,8,8
BCR36DRAFT_104314,1,2,2
BCR36DRAFT_104376,1,5,5
BCR36DRAFT_104619,1,2,2
BCR36DRAFT_104628,1,1,1
BCR36DRAFT_104749,1,3,3
BCR36DRAFT_104771,1,11,11
BCR36DRAFT_105251,1,9,9
BCR36DRAFT_105287,1,12,12
BCR36DRAFT_105297,1,3,3
BCR36DRAFT_105322,1,5,5
BCR36DRAFT_105593,1,6,6
BCR36DRAFT_105662,1,4,4
BCR36DRAFT_105673,1,4,4
BCR36DRAFT_105683,1,3,3
BCR36DRAFT_105957,1,1,1
BCR36DRAFT_106066,1,23,23
BCR36DRAFT_106203,1,4,4
BCR36DRAFT_10626,1,6,6
BCR36DRAFT_106297,1,2,2
BCR36DRAFT_106455,1,12,12
BCR36DRAFT_106603,1,6,6
BCR36DRAFT_106753,1,4,4
BCR36DRAFT_106920,1,21,21
BCR36DRAFT_107186,1,3,3
BCR36DRAFT_10722,1,3,3
BCR36DRAFT_107251,1,3,3
BCR36DRAFT_107379,1,2,2
BCR36DRAFT_107405,1,1,1
BCR36DRAFT_10765,1,3,3
BCR36DRAFT_107800,1,2,2
BCR36DRAFT_107995,1,7,7
BCR36DRAFT_108007,1,3,3
BCR36DRAFT_10818,1,11,11
BCR36DRAFT_10819,1,1,1
