transcript_id,num_exon
NM_001101664.1,4
NM_001101665.1,5
NM_001105213.1,1
NM_001122687.1,2
NM_001122688.1,3
NM_001122689.1,1
NM_001123357.1,10
NM_001123358.1,3
NM_001127613.1,50
NM_001127614.1,8
NM_001127616.1,4
NM_001127618.2,4
NM_001127619.1,7
NM_001127620.1,7
NM_001127623.1,11
NM_001127624.1,22
NM_001127625.1,6
NM_001127626.1,5
NM_001127627.1,5
NM_001166046.1,5
NM_001168262.2,10
NM_001204205.2,4
NM_001204207.1,6
NM_001204460.2,12
NM_001204752.1,4
NM_001204753.1,4
NM_001205010.1,3
NM_001205038.2,4
NM_001205118.2,6
NM_001242705.1,4
NM_001242706.1,8
NM_001242707.1,1
NM_001242709.1,1
NM_001242710.1,1
NM_001242711.1,1
NM_001242715.1,6
NM_001242716.1,4
NM_001242718.1,1
NM_001242720.1,5
NM_001242721.1,1
NM_001242722.1,26
NM_001242723.1,10
NM_001242724.1,10
NM_001242725.1,3
NM_001242727.1,6
NM_001242728.1,3
NM_001242731.1,3
NM_001242733.1,10
NM_001242734.1,27
NM_001242735.1,23
NM_001242736.1,20
NM_001242738.1,5
NM_001242741.1,15
NM_001242744.1,6
NM_001242745.1,88
NM_001242746.1,23
NM_001242747.1,11
NM_001242748.1,3
NM_001242749.1,6
NM_001242751.1,9
NM_001242752.1,3
NM_001242753.1,4
NM_001242754.1,1
NM_001242755.1,29
NM_001242756.1,4
NM_001246852.1,13
NM_001246853.1,22
NM_001253393.2,1
NM_001253394.2,1
NM_001253395.1,1
NM_001253396.2,1
NM_001253397.1,1
NM_001253398.2,1
NM_001253399.1,1
NM_001253400.1,1
NM_001253402.2,1
NM_001253403.2,1
NM_001253404.1,1
NM_001253405.1,1
NM_001253406.2,1
NM_001253407.1,1
NM_001253409.2,1
NM_001253410.1,1
NM_001253411.1,1
NM_001253412.2,1
NM_001253413.2,1
NM_001253414.2,1
NM_001253415.1,2
NM_001253416.1,2
NM_001253417.2,1
NM_001253418.2,1
NM_001253420.2,1
NM_001253421.2,1
NM_001253422.1,1
NM_001253423.1,1
NM_001253424.2,1
NM_001253426.1,1
NM_001253430.2,1
NM_001253431.2,1
NM_001253434.1,2
NM_001253435.1,1
NM_001253437.2,1
NM_001253438.2,1
NM_001253439.2,1
NM_001253441.2,1
NM_001253442.2,1
NM_001253444.2,1
NM_001253445.1,1
NM_001253448.1,1
NM_001253451.2,1
NM_001253453.1,1
NM_001253454.2,1
NM_001253456.2,1
NM_001253457.2,1
NM_001253458.2,1
NM_001253459.1,1
NM_001253461.1,1
NM_001253462.1,1
NM_001253464.2,1
NM_001253465.2,1
NM_001253469.1,1
NM_001253473.2,1
NM_001253482.2,1
NM_001253483.2,1
NM_001253485.1,1
NM_001253486.1,1
NM_001253489.2,1
NM_001253490.1,1
NM_001253493.2,1
NM_001253494.2,1
NM_001253497.1,1
NM_001253500.1,1
NM_001253501.1,1
NM_001253503.1,1
NM_001253504.1,1
NM_001253505.1,1
NM_001253506.1,1
NM_001253508.2,1
NM_001253509.2,1
NM_001253513.2,1
NM_001253515.1,1
NM_001253516.1,1
NM_001253518.1,1
NM_001253519.1,1
NM_001253520.2,1
NM_001253521.1,1
NM_001253522.1,1
NM_001253523.1,1
