transcript_id,num_exon
FBtr0193025,2
FBtr0193026,3
FBtr0193027,2
FBtr0193028,5
FBtr0193029,4
FBtr0193030,4
FBtr0193031,5
FBtr0193033,1
FBtr0193034,1
FBtr0193035,2
FBtr0193036,3
FBtr0193037,2
FBtr0193038,21
FBtr0193039,7
FBtr0193040,2
FBtr0193041,2
FBtr0193042,1
FBtr0193043,1
FBtr0193046,1
FBtr0193047,6
FBtr0193048,1
FBtr0193049,3
FBtr0193050,12
FBtr0193053,2
FBtr0193055,12
FBtr0193058,4
FBtr0193059,2
FBtr0193060,8
FBtr0193062,1
FBtr0193063,12
FBtr0193065,1
FBtr0193066,6
FBtr0193067,2
FBtr0193068,1
FBtr0193070,4
FBtr0193071,2
FBtr0193073,2
FBtr0193074,5
FBtr0193075,2
FBtr0193080,3
FBtr0193083,1
FBtr0193086,1
FBtr0193087,3
FBtr0193089,1
FBtr0193090,2
FBtr0193091,13
FBtr0193094,28
FBtr0193095,1
FBtr0193096,3
FBtr0193097,2
FBtr0193098,5
FBtr0193099,3
FBtr0193100,2
FBtr0193101,10
FBtr0193102,3
FBtr0193103,6
FBtr0193104,3
FBtr0193105,4
FBtr0193107,2
FBtr0193108,3
FBtr0193109,3
FBtr0193110,3
FBtr0193112,14
FBtr0193113,2
FBtr0193114,5
FBtr0193115,4
FBtr0193116,1
FBtr0193117,6
FBtr0193118,6
FBtr0193119,4
FBtr0193120,4
FBtr0193121,2
FBtr0193122,4
FBtr0193123,8
FBtr0193124,8
FBtr0193127,2
FBtr0193128,2
FBtr0193129,2
FBtr0193131,2
FBtr0193133,2
FBtr0193135,3
FBtr0193136,3
FBtr0193137,5
FBtr0193138,2
FBtr0193139,5
FBtr0193140,5
FBtr0193141,5
FBtr0193142,3
FBtr0193144,3
FBtr0193145,5
FBtr0193146,2
FBtr0193147,2
FBtr0193148,17
FBtr0193149,2
FBtr0193151,3
FBtr0193152,5
FBtr0193154,2
FBtr0193155,3
FBtr0193156,12
FBtr0193157,2
FBtr0193158,7
FBtr0193159,3
FBtr0193160,1
FBtr0193161,1
FBtr0193162,2
FBtr0193163,2
FBtr0193164,1
FBtr0193167,10
FBtr0193168,1
FBtr0193169,1
FBtr0193170,1
FBtr0193171,5
FBtr0193172,2
FBtr0193174,3
FBtr0193176,1
FBtr0193177,2
FBtr0193178,4
FBtr0193179,9
FBtr0193181,2
FBtr0193182,2
FBtr0193183,1
FBtr0193184,3
FBtr0193185,1
FBtr0193186,6
FBtr0193187,5
FBtr0193188,1
FBtr0193189,1
FBtr0193190,1
FBtr0193191,1
FBtr0193192,7
FBtr0193193,2
FBtr0193194,5
FBtr0193195,2
FBtr0193198,2
FBtr0193199,1
FBtr0193200,2
FBtr0193201,2
FBtr0193202,1
FBtr0193203,1
FBtr0193204,1
FBtr0193205,1
FBtr0193206,2
FBtr0193208,10
FBtr0193209,7
FBtr0193210,11
FBtr0193211,4
FBtr0193212,1
FBtr0193213,4
FBtr0193214,2
FBtr0193215,7
FBtr0193216,1
FBtr0193218,2
FBtr0193219,12
FBtr0193220,7
FBtr0193221,3
FBtr0193222,2
FBtr0193223,2
FBtr0193225,3
FBtr0193226,3
FBtr0193227,1
FBtr0193228,4
FBtr0193229,1
FBtr0193230,2
FBtr0193231,1
FBtr0193232,4
FBtr0193233,1
FBtr0193234,2
FBtr0193235,1
FBtr0193236,6
FBtr0193238,2
FBtr0193239,1
FBtr0193241,3
FBtr0193242,1
FBtr0193243,5
FBtr0193244,10
FBtr0193245,3
FBtr0193247,3
FBtr0193248,1
FBtr0193249,1
FBtr0193250,1
FBtr0193251,2
FBtr0193252,1
FBtr0193253,4
FBtr0193254,4
FBtr0193255,5
FBtr0193256,6
FBtr0193257,3
FBtr0193258,1
FBtr0193259,3
FBtr0193260,2
FBtr0193261,3
FBtr0193262,3
FBtr0193263,8
FBtr0193264,1
FBtr0193265,10
FBtr0193266,7
FBtr0193267,5
FBtr0193269,1
FBtr0193270,3
FBtr0193272,4
FBtr0193273,9
FBtr0193275,1
FBtr0193276,10
FBtr0193278,1
FBtr0193279,1
FBtr0193280,1
FBtr0193281,2
FBtr0193282,1
FBtr0193283,1
FBtr0193284,1
FBtr0193285,2
FBtr0193286,1
FBtr0193287,13
FBtr0193288,2
FBtr0193289,2
FBtr0193290,3
FBtr0193293,3
FBtr0193294,2
FBtr0193296,4
FBtr0193297,4
FBtr0193299,1
FBtr0193300,7
FBtr0193302,9
FBtr0193303,3
FBtr0193304,2
FBtr0193305,1
FBtr0193306,2
FBtr0193307,4
FBtr0193308,3
FBtr0193310,1
FBtr0193311,7
FBtr0193312,6
FBtr0193313,23
FBtr0193315,2
FBtr0193316,1
FBtr0193317,1
FBtr0193318,4
FBtr0193319,2
FBtr0193320,2
FBtr0193321,1
FBtr0193322,2
FBtr0193323,2
FBtr0193324,4
FBtr0193325,2
FBtr0193326,1
FBtr0193327,1
FBtr0193328,2
FBtr0193329,4
FBtr0193330,2
FBtr0193332,1
FBtr0193333,4
FBtr0193334,1
FBtr0193335,2
FBtr0193336,2
FBtr0193337,11
FBtr0193338,9
FBtr0193339,7
FBtr0193340,1
FBtr0193341,5
FBtr0193342,2
FBtr0193343,3
FBtr0193344,4
FBtr0193345,2
FBtr0193346,4
FBtr0193347,2
FBtr0193348,5
FBtr0193349,4
FBtr0193350,4
FBtr0193351,7
FBtr0193352,5
FBtr0193353,4
FBtr0193354,5
FBtr0193356,6
FBtr0193357,7
FBtr0193358,6
FBtr0193359,4
FBtr0193360,8
FBtr0193361,6
FBtr0193362,5
FBtr0193363,5
FBtr0193364,1
FBtr0193365,1
FBtr0193366,7
FBtr0193367,2
FBtr0193368,2
FBtr0193369,3
FBtr0193370,3
FBtr0193371,5
FBtr0193372,2
FBtr0193375,4
FBtr0193376,3
FBtr0193377,2
FBtr0193378,2
FBtr0193379,2
FBtr0193381,4
FBtr0193382,4
FBtr0193383,1
FBtr0193385,3
FBtr0193389,7
