gene_id,num_transcript,num_exon,num_uniq_exon
KEH12_p01,1,1,1
KEH12_p02,1,1,1
KEH12_p03,1,1,1
KEH12_p04,1,1,1
KEH12_p05,1,1,1
KEH12_p06,1,1,1
KEH12_p07,1,1,1
KEH12_p08,1,1,1
KEH12_p09,1,1,1
KEH12_p10,1,1,1
KEH12_p11,1,1,1
KEH12_p12,1,1,1
KEH12_p13,1,1,1
KEH12_r01,1,1,1
KEH12_r02,1,1,1
KEH12_t01,1,1,1
KEH12_t02,1,1,1
KEH12_t03,1,1,1
KEH12_t04,1,1,1
KEH12_t05,1,1,1
KEH12_t06,1,1,1
KEH12_t07,1,1,1
KEH12_t08,1,1,1
KEH12_t09,1,1,1
KEH12_t10,1,1,1
KEH12_t11,1,1,1
KEH12_t12,1,1,1
KEH12_t13,1,1,1
KEH12_t14,1,1,1
KEH12_t15,1,1,1
KEH12_t16,1,1,1
KEH12_t17,1,1,1
KEH12_t18,1,1,1
KEH12_t19,1,1,1
KEH12_t20,1,1,1
KEH12_t21,1,1,1
KEH12_t22,1,1,1
LOC103171576,3,9,5
LOC103171577,1,11,11
LOC103171578,1,13,13
LOC103171579,1,4,4
LOC103171581,5,20,8
LOC103171584,1,7,7
LOC103171587,1,6,6
LOC103171589,1,3,3
LOC103171590,1,3,3
LOC103171592,1,9,9
LOC103171596,2,29,16
LOC103171597,1,17,17
LOC103171598,1,3,3
LOC103171599,1,4,4
LOC103171600,1,2,2
LOC103171601,1,3,3
LOC103171602,1,1,1
LOC103171604,1,1,1
LOC103171605,1,1,1
LOC103171606,1,1,1
LOC103171607,1,1,1
LOC103171611,1,2,2
LOC103171617,2,28,15
LOC103171621,1,4,4
LOC103171622,1,12,12
LOC103171624,1,2,2
LOC103171626,2,12,7
LOC103171629,2,20,11
LOC103171632,1,6,6
LOC103171633,2,9,6
LOC103171634,1,15,15
LOC103171638,1,4,4
LOC103171639,2,17,10
LOC103171640,1,12,12
LOC103171643,1,7,7
LOC103171644,1,7,7
LOC103171646,1,9,9
LOC103171649,1,15,15
LOC103171653,1,10,10
LOC103171654,1,1,1
LOC103171655,3,5,4
LOC103171656,1,9,9
LOC103171662,1,9,9
LOC103171664,1,8,8
LOC103171665,1,1,1
LOC103171666,1,11,11
LOC103171667,1,3,3
LOC103171668,2,13,8
LOC103171669,1,7,7
LOC103171670,1,3,3
LOC103171671,1,2,2
LOC103171672,1,4,4
LOC103171674,1,6,6
LOC103171675,1,8,8
LOC103171684,2,14,8
LOC103171688,1,10,10
LOC103171690,1,10,10
LOC103171692,2,17,10
LOC103171699,1,1,1
LOC103171700,1,11,11
LOC103171702,1,4,4
LOC103171704,1,5,5
LOC103171707,1,5,5
LOC103171708,1,6,6
LOC103171709,4,159,42
LOC103171713,1,3,3
LOC103171714,1,3,3
LOC103171716,1,6,6
LOC103171717,1,2,2
LOC103171720,1,5,5
LOC103171721,1,2,2
LOC103171722,1,6,6
LOC103171724,2,87,44
LOC103171726,1,8,8
LOC103171727,1,7,7
LOC103171731,1,4,4
LOC103171738,1,6,6
LOC103171740,1,6,6
LOC103171741,1,5,5
LOC103171742,5,15,7
LOC103171745,3,19,9
LOC103171746,2,13,7
LOC103171747,1,3,3
LOC103171748,2,9,6
LOC103171753,1,3,3
LOC103171756,1,2,2
LOC103171757,1,5,5
LOC103171761,2,17,10
LOC103171764,1,1,1
LOC103171766,1,7,7
LOC103171767,1,6,6
LOC103171770,1,1,1
LOC103171773,1,38,38
LOC103171774,1,4,4
LOC103171779,1,25,25
LOC103171780,4,13,6
LOC103171782,1,10,10
LOC103171789,1,6,6
LOC103171790,2,25,14
LOC103171793,1,10,10
LOC103171795,1,3,3
LOC103171796,1,3,3
LOC103171802,1,2,2
LOC103171803,1,2,2
LOC103171806,1,3,3
LOC103171807,1,2,2
LOC103171810,1,4,4
LOC103171817,1,11,11
LOC103171818,1,29,29
LOC103171824,1,6,6
LOC103171825,1,18,18
LOC103171826,1,6,6
LOC103171829,1,8,8
LOC103171835,1,4,4
LOC103171837,1,6,6
LOC103171839,2,9,5
LOC103171842,1,15,15
LOC103171845,1,7,7
LOC103171849,1,2,2
LOC103171851,3,47,18
LOC103171857,3,29,12
LOC103171858,1,5,5
LOC103171861,1,3,3
LOC103171867,1,6,6
LOC103171869,1,4,4
LOC103171870,1,6,6
LOC103171874,1,4,4
LOC103171876,1,3,3
LOC103171877,2,11,7
LOC103171880,2,9,7
LOC103171883,2,6,4
LOC103171884,1,6,6
LOC103171885,1,8,8
LOC103171887,1,5,5
LOC103171890,1,15,15
LOC103171892,1,6,6
LOC103171898,1,6,6
LOC103171899,1,3,3
LOC103171900,1,4,4
LOC103171902,1,3,3
LOC103171903,1,2,2
LOC103171904,1,12,12
LOC103171906,3,37,13
LOC103171914,2,12,7
LOC103171919,1,6,6
LOC103171921,1,6,6
LOC103171922,1,8,8
LOC103171924,1,6,6
LOC103171925,1,5,5
LOC103171928,2,10,7
