gene_id,num_transcript,num_exon,num_uniq_exon
GLAREA_00017,1,1,1
GLAREA_00021,1,2,2
GLAREA_00025,1,3,3
GLAREA_00026,1,1,1
GLAREA_00031,1,1,1
GLAREA_00032,1,2,2
GLAREA_00047,1,4,4
GLAREA_00049,1,2,2
GLAREA_00050,1,1,1
GLAREA_00052,1,1,1
GLAREA_00063,1,2,2
GLAREA_00064,1,3,3
GLAREA_00079,1,2,2
GLAREA_00082,1,1,1
GLAREA_00088,1,3,3
GLAREA_00089,1,2,2
GLAREA_00090,1,2,2
GLAREA_00091,1,2,2
GLAREA_00092,1,2,2
GLAREA_00093,1,2,2
GLAREA_00094,1,2,2
GLAREA_00096,1,1,1
GLAREA_00097,1,2,2
GLAREA_00124,1,2,2
GLAREA_00135,1,1,1
GLAREA_00143,1,1,1
GLAREA_00156,1,2,2
GLAREA_00172,1,3,3
GLAREA_00176,1,1,1
GLAREA_00179,1,1,1
GLAREA_00181,1,1,1
GLAREA_00193,1,3,3
GLAREA_00194,1,1,1
GLAREA_00200,1,1,1
GLAREA_00207,1,2,2
GLAREA_00214,1,1,1
GLAREA_00217,1,1,1
GLAREA_00221,1,1,1
GLAREA_00223,1,1,1
GLAREA_00236,1,2,2
GLAREA_00237,1,4,4
GLAREA_00238,1,2,2
GLAREA_00243,1,4,4
GLAREA_00254,1,2,2
GLAREA_00257,1,3,3
GLAREA_00260,1,2,2
GLAREA_00264,1,1,1
GLAREA_00268,1,1,1
GLAREA_00271,1,1,1
GLAREA_00277,1,1,1
GLAREA_00281,1,2,2
GLAREA_00290,1,2,2
GLAREA_00295,1,2,2
GLAREA_00296,1,1,1
GLAREA_00309,1,1,1
GLAREA_00310,1,1,1
GLAREA_00311,1,1,1
GLAREA_00317,1,1,1
GLAREA_00331,1,6,6
GLAREA_00335,1,1,1
GLAREA_00336,1,1,1
GLAREA_00337,1,1,1
GLAREA_00351,1,1,1
GLAREA_00352,1,1,1
GLAREA_00353,1,2,2
GLAREA_00354,1,1,1
GLAREA_00395,1,1,1
GLAREA_00400,1,1,1
GLAREA_00408,1,3,3
GLAREA_00421,1,3,3
GLAREA_00430,1,1,1
GLAREA_00435,1,1,1
GLAREA_00454,1,1,1
GLAREA_00465,1,1,1
GLAREA_00470,1,4,4
GLAREA_00471,1,1,1
GLAREA_00478,1,7,7
GLAREA_00482,1,1,1
GLAREA_00507,1,1,1
GLAREA_00510,1,3,3
GLAREA_00521,1,1,1
GLAREA_00568,1,1,1
GLAREA_00586,1,1,1
GLAREA_00589,1,1,1
GLAREA_00609,1,1,1
GLAREA_00612,1,1,1
GLAREA_00613,1,4,4
GLAREA_00614,1,3,3
GLAREA_00616,1,1,1
GLAREA_00627,1,1,1
GLAREA_00640,1,1,1
GLAREA_00645,1,1,1
GLAREA_00646,1,1,1
GLAREA_00658,1,1,1
GLAREA_00663,1,4,4
GLAREA_00665,1,1,1
GLAREA_00679,1,1,1
GLAREA_00694,1,2,2
GLAREA_00725,1,1,1
GLAREA_00735,1,2,2
GLAREA_00755,1,1,1
GLAREA_00757,1,2,2
GLAREA_00768,1,2,2
GLAREA_00778,1,1,1
GLAREA_00787,1,4,4
GLAREA_00817,1,1,1
GLAREA_00823,1,5,5
GLAREA_00830,1,1,1
GLAREA_00831,1,2,2
GLAREA_00840,1,1,1
GLAREA_00841,1,1,1
GLAREA_00846,1,3,3
GLAREA_00847,1,3,3
GLAREA_00853,1,2,2
GLAREA_00859,1,1,1
GLAREA_00872,1,1,1
GLAREA_00898,1,1,1
GLAREA_00909,1,1,1
GLAREA_00910,1,2,2
GLAREA_00913,1,2,2
GLAREA_00934,1,1,1
GLAREA_00935,1,2,2
GLAREA_00936,1,1,1
GLAREA_00939,1,1,1
GLAREA_00944,1,1,1
GLAREA_00954,1,2,2
GLAREA_00966,1,1,1
GLAREA_00967,1,1,1
GLAREA_00969,1,2,2
GLAREA_00970,1,2,2
GLAREA_00976,1,1,1
GLAREA_00997,1,2,2
GLAREA_01000,1,1,1
GLAREA_01001,1,1,1
GLAREA_01003,1,1,1
GLAREA_01009,1,1,1
GLAREA_01015,1,2,2
GLAREA_01024,1,1,1
GLAREA_01055,1,3,3
GLAREA_01056,1,1,1
GLAREA_01059,1,3,3
GLAREA_01078,1,2,2
GLAREA_01086,1,2,2
GLAREA_01092,1,1,1
GLAREA_01096,1,2,2
GLAREA_01104,1,3,3
GLAREA_01106,1,2,2
GLAREA_01116,1,2,2
GLAREA_01117,1,1,1
GLAREA_01118,1,2,2
GLAREA_01127,1,5,5
GLAREA_01130,1,3,3
GLAREA_01133,1,1,1
GLAREA_01136,1,1,1
GLAREA_01137,1,1,1
GLAREA_01167,1,2,2
GLAREA_01171,1,1,1
GLAREA_01185,1,3,3
GLAREA_01186,1,2,2
GLAREA_01188,1,2,2
GLAREA_01189,1,6,6
GLAREA_01219,1,2,2
GLAREA_01230,1,1,1
GLAREA_01235,1,2,2
GLAREA_01246,1,4,4
GLAREA_01258,1,6,6
GLAREA_01277,1,3,3
GLAREA_01278,1,1,1
GLAREA_01285,1,1,1
GLAREA_01290,1,1,1
GLAREA_01309,1,2,2
GLAREA_01332,1,2,2
GLAREA_01341,1,1,1
GLAREA_01347,1,2,2
GLAREA_01348,1,1,1
GLAREA_01350,1,1,1
GLAREA_01352,1,1,1
GLAREA_01360,1,2,2
GLAREA_01389,1,2,2
GLAREA_01396,1,1,1
GLAREA_01418,1,1,1
GLAREA_01431,1,1,1
GLAREA_01434,1,2,2
GLAREA_01435,1,6,6
GLAREA_01436,1,2,2
GLAREA_01441,1,3,3
GLAREA_01444,1,1,1
GLAREA_01454,1,1,1
GLAREA_01462,1,1,1
GLAREA_01465,1,2,2
GLAREA_01476,1,3,3
GLAREA_01478,1,4,4
GLAREA_01480,1,1,1
GLAREA_01511,1,1,1
GLAREA_01513,1,2,2
GLAREA_01515,1,3,3
GLAREA_01524,1,2,2
GLAREA_01525,1,3,3
GLAREA_01575,1,1,1
GLAREA_01582,1,1,1
GLAREA_01586,1,1,1
GLAREA_01601,1,1,1
GLAREA_01602,1,2,2
GLAREA_01611,1,2,2
GLAREA_01612,1,3,3
GLAREA_01617,1,1,1
GLAREA_01618,1,1,1
GLAREA_01623,1,1,1
GLAREA_01628,1,1,1
GLAREA_01631,1,1,1
GLAREA_01648,1,2,2
GLAREA_01654,1,1,1
GLAREA_01655,1,1,1
GLAREA_01676,1,2,2
GLAREA_01689,1,1,1
GLAREA_01690,1,1,1
GLAREA_01692,1,3,3
GLAREA_01700,1,1,1
GLAREA_01717,1,2,2
GLAREA_01752,1,3,3
GLAREA_01768,1,3,3
GLAREA_01778,1,3,3
GLAREA_01781,1,1,1
GLAREA_01785,1,1,1
GLAREA_01802,1,3,3
GLAREA_01805,1,4,4
GLAREA_01830,1,1,1
GLAREA_01866,1,1,1
GLAREA_01907,1,3,3
GLAREA_01916,1,1,1
