transcript_id,num_exon
XM_009267429.1,5
XM_009267446.1,1
XM_009267449.1,2
XM_009267467.1,1
XM_009267469.1,2
XM_009267470.1,1
XM_009267482.1,2
XM_009267513.1,2
XM_009267518.1,2
XM_009267531.1,2
XM_009267541.1,3
XM_009267555.1,2
XM_009267563.1,1
XM_009267566.1,2
XM_009267605.1,1
XM_009267667.1,2
XM_009267670.1,2
XM_009267673.1,4
XM_009267681.1,3
XM_009267689.1,2
XM_009267704.1,5
XM_009267713.1,2
XM_009267738.1,3
XM_009267740.1,2
XM_009267745.1,2
XM_009267746.1,2
XM_009267747.1,2
XM_009267771.1,1
XM_009267783.1,2
XM_009267785.1,1
XM_009267792.1,1
XM_009267793.1,3
XM_009267833.1,5
XM_009267871.1,1
XM_009267879.1,2
XM_009267885.1,6
XM_009267894.1,3
XM_009267897.1,1
XM_009267899.1,2
XM_009267902.1,3
XM_009267923.1,2
XM_009267950.1,9
XM_009267952.1,2
XM_009267953.1,6
XM_009267981.1,2
XM_009268092.1,2
XM_009268148.1,2
XM_009268156.1,3
XM_009268168.1,4
XM_009268191.1,2
XM_009268219.1,2
XM_009268248.1,2
XM_009268268.1,2
XM_009268271.1,2
XM_009268281.1,4
XM_009268297.1,4
XM_009268298.1,1
XM_009268299.1,2
XM_009268301.1,2
XM_009268305.1,1
XM_009268306.1,2
XM_009268308.1,2
XM_009268309.1,2
XM_009268321.1,7
XM_009268325.1,1
XM_009268339.1,2
XM_009268400.1,1
XM_009268401.1,1
XM_009268415.1,2
XM_009268445.1,2
XM_009268447.1,3
XM_009268463.1,1
XM_009268479.1,1
XM_009268485.1,1
XM_009268498.1,3
XM_009268519.1,1
XM_009268538.1,3
XM_009268691.1,2
XM_009268711.1,2
XM_009268716.1,2
XM_009268717.1,2
XM_009268735.1,3
XM_009268754.1,2
XM_009268761.1,2
XM_009268812.1,2
XM_009268824.1,1
XM_009268887.1,4
XM_009268893.1,6
XM_009268905.1,4
XM_009268909.1,2
XM_009268923.1,1
XM_009268934.1,2
XM_009268962.1,2
XM_009269014.1,1
XM_009269028.1,1
XM_009269038.1,3
XM_009269067.1,1
XM_009269072.1,2
XM_009269088.1,3
XM_009269110.1,2
XM_009269129.1,4
XM_009269132.1,1
XM_009269143.1,2
XM_009269145.1,2
XM_009269149.1,1
XM_009269158.1,2
XM_009269159.1,1
XM_009269208.1,3
XM_009269212.1,2
XM_009269213.1,3
XM_009269220.1,2
XM_009269230.1,2
XM_009269262.1,1
XM_009269263.1,2
XM_009269268.1,3
XM_009269296.1,3
XM_009269299.1,1
XM_009269354.1,2
XM_009269359.1,2
XM_009269361.1,1
XM_009269392.1,2
XM_009269396.1,1
XM_009269459.1,1
XM_009269463.1,3
XM_009269464.1,4
XM_009269468.1,1
XM_009269469.1,1
XM_009269478.1,2
XM_009269479.1,2
XM_009269497.1,6
XM_009269512.1,2
XM_009269529.1,1
XM_009269540.1,1
XM_009269571.1,2
XM_009269574.1,1
XM_009269580.1,1
XM_009269582.1,1
XM_009269610.1,2
XM_009269614.1,2
XM_009269615.1,3
XM_009269639.1,1
XM_009269641.1,2
XM_009269651.1,1
XM_009269652.1,2
XM_009269658.1,1
XM_009269670.1,2
XM_009269699.1,4
XM_009269704.1,3
XM_009269707.1,8
XM_009269717.1,2
XM_009269727.1,2
XM_009269736.1,4
XM_009269741.1,1
XM_009269748.1,2
XM_009269767.1,1
XM_009269784.1,1
XM_009269786.1,2
XM_009269800.1,1
XM_009269801.1,2
XM_009269813.1,3
XM_009269815.1,2
XM_009269846.1,2
XM_009269851.1,4
XM_009269864.1,2
XM_009269912.1,1
XM_009269926.1,3
XM_009269934.1,2
XM_009269939.1,1
XM_009269948.1,2
XM_009270036.1,2
XM_009270081.1,1
XM_009270084.1,2
XM_009270086.1,2
XM_009270125.1,1
XM_009270126.1,4
XM_009270137.1,2
XM_009270139.1,2
XM_009270146.1,4
XM_009270167.1,2
XM_009270173.1,3
XM_009270181.1,2
XM_009270195.1,2
XM_009270215.1,4
XM_009270221.1,2
XM_009270244.1,2
XM_009270257.1,2
XM_009270258.1,3
XM_009270295.1,2
XM_009270297.1,3
XM_009270331.1,2
XM_009270333.1,2
XM_009270334.1,8
XM_009270335.1,1
XM_009270341.1,1
XM_009270358.1,2
XM_009270388.1,5
XM_009270402.1,2
XM_009270416.1,2
XM_009270417.1,4
XM_009270418.1,4
XM_009270419.1,2
XM_009270420.1,1
XM_009270422.1,3
