transcript_id,num_exon
NM_000014.6,36
NM_000015.3,2
NM_000016.6,12
NM_000017.4,10
NM_000018.4,20
NM_000019.4,12
NM_000020.3,10
NM_000021.4,12
NM_000022.4,12
NM_000023.4,10
NM_000024.6,1
NM_000025.3,2
NM_000026.4,13
NM_000027.4,9
NM_000028.2,34
NM_000030.3,11
NM_000031.6,12
NM_000032.5,11
NM_000033.4,10
NM_000035.4,9
NM_000036.3,16
NM_000037.4,43
NM_000038.6,16
NM_000039.3,4
NM_000040.3,4
NM_000041.4,4
NM_000042.3,8
NM_000043.6,9
NM_000044.6,8
NM_000045.4,8
NM_000046.5,8
NM_000047.3,11
NM_000048.4,17
NM_000049.4,6
NM_000050.4,16
NM_000051.4,63
NM_000052.7,23
NM_000053.4,21
NM_000054.7,4
NM_000055.4,4
NM_000056.5,11
NM_000057.4,22
NM_000059.4,27
NM_000061.3,19
NM_000062.3,8
NM_000063.6,18
NM_000063.6_1,18
NM_000063.6_2,18
NM_000063.6_3,18
NM_000063.6_4,18
NM_000063.6_5,18
NM_000063.6_6,18
NM_000064.4,41
NM_000065.5,18
NM_000066.4,12
NM_000067.3,7
NM_000068.4,48
NM_000069.3,44
NM_000070.3,24
NM_000071.3,17
NM_000072.3,14
NM_000073.3,7
NM_000074.3,5
NM_000075.4,8
NM_000076.2,3
NM_000076.2_1,3
NM_000077.5,3
NM_000078.3,16
NM_000079.4,9
NM_000080.4,12
NM_000081.4,53
NM_000082.4,12
NM_000083.3,23
NM_000084.5,12
NM_000085.5,20
NM_000086.2,15
NM_000087.5,11
NM_000088.4,51
NM_000089.4,52
NM_000090.4,51
NM_000091.5,52
NM_000092.5,48
NM_000093.5,66
NM_000094.4,119
NM_000095.3,19
NM_000096.4,19
NM_000097.7,7
NM_000098.3,5
NM_000099.4,3
NM_000100.4,3
NM_000101.4,6
NM_000102.4,8
NM_000103.4,10
NM_000104.4,3
NM_000106.6,9
NM_000106.6_1,9
NM_000106.6_2,9
NM_000106.6_3,9
NM_000106.6_4,9
NM_000106.6_5,9
NM_000107.3,10
NM_000108.5,14
NM_000109.4,79
NM_000110.4,23
NM_000111.3,21
NM_000112.4,3
NM_000113.3,5
NM_000115.5,8
NM_000116.5,11
NM_000117.3,6
NM_000118.3,14
NM_000119.3,13
NM_000120.4,9
NM_000121.4,8
NM_000122.2,15
NM_000123.4,15
NM_000124.4,21
NM_000125.4,8
NM_000126.4,12
NM_000127.3,11
NM_000128.4,15
NM_000129.4,15
NM_000130.5,25
NM_000131.4,9
NM_000132.4,26
NM_000133.4,8
NM_000134.4,4
NM_000135.4,43
NM_000136.3,15
NM_000137.4,14
NM_000138.5,66
NM_000139.5,7
NM_000140.5,11
NM_000141.5,18
NM_000142.5,18
NM_000143.4,10
NM_000144.5,5
NM_000145.4,10
NM_000146.4,4
NM_000147.5,8
NM_000148.4,4
NM_000149.4,3
NM_000150.4,3
NM_000151.4,5
NM_000152.5,20
NM_000153.4,17
NM_000154.2,8
NM_000155.4,11
NM_000156.6,6
NM_000157.4,11
NM_000157.4_1,11
NM_000158.4,16
NM_000159.4,12
NM_000160.5,14
NM_000160.5_1,14
NM_000161.3,6
NM_000162.5,10
NM_000163.5,10
NM_000164.4,14
NM_000165.5,2
NM_000166.6,2
NM_000167.6,19
NM_000168.6,15
NM_000169.3,7
NM_000170.3,25
NM_000171.4,9
NM_000172.4,9
NM_000173.7,2
NM_000174.5,3
NM_000175.5,18
NM_000175.5_1,9
NM_000176.3,9
NM_000177.5,17
NM_000178.4,13
NM_000179.3,10
NM_000180.4,20
NM_000181.4,12
NM_000182.5,20
NM_000183.3,16
NM_000184.3,3
NM_000185.4,5
NM_000186.4,22
NM_000187.4,14
NM_000188.3,18
NM_000189.5,18
NM_000190.4,14
