gene_id,num_transcript,num_exon,num_uniq_exon
SOCG_00001,1,7,7
SOCG_00002,1,2,2
SOCG_00003,1,1,1
SOCG_00004,1,3,3
SOCG_00005,1,1,1
SOCG_00006,1,1,1
SOCG_00007,1,1,1
SOCG_00008,1,1,1
SOCG_00009,1,2,2
SOCG_00010,1,1,1
SOCG_00011,1,1,1
SOCG_00012,1,1,1
SOCG_00013,1,2,2
SOCG_00014,1,1,1
SOCG_00015,1,1,1
SOCG_00016,1,3,3
SOCG_00017,1,1,1
SOCG_00018,1,2,2
SOCG_00019,1,1,1
SOCG_00020,1,1,1
SOCG_00021,1,2,2
SOCG_00022,1,2,2
SOCG_00023,1,1,1
SOCG_00024,1,1,1
SOCG_00025,1,4,4
SOCG_00026,1,4,4
SOCG_00027,1,3,3
SOCG_00028,1,2,2
SOCG_00029,1,1,1
SOCG_00030,1,2,2
SOCG_00031,1,2,2
SOCG_00032,1,2,2
SOCG_00033,1,1,1
SOCG_00034,1,1,1
SOCG_00035,1,2,2
SOCG_00036,1,2,2
SOCG_00037,1,4,4
SOCG_00038,1,8,8
SOCG_00039,1,4,4
SOCG_00040,1,1,1
SOCG_00041,1,5,5
SOCG_00042,1,1,1
SOCG_00043,1,3,3
SOCG_00044,1,1,1
SOCG_00045,1,1,1
SOCG_00046,1,1,1
SOCG_00047,1,1,1
SOCG_00048,1,4,4
SOCG_00049,1,4,4
SOCG_00050,1,1,1
SOCG_00051,1,1,1
SOCG_00052,1,1,1
SOCG_00053,1,3,3
SOCG_00054,1,2,2
SOCG_00055,1,2,2
SOCG_00056,1,1,1
SOCG_00057,1,3,3
SOCG_00058,1,2,2
SOCG_00059,1,2,2
SOCG_00060,1,1,1
SOCG_00061,1,1,1
SOCG_00062,1,3,3
SOCG_00063,1,1,1
SOCG_00064,1,2,2
SOCG_00065,1,1,1
SOCG_00066,1,6,6
SOCG_00067,1,2,2
SOCG_00068,1,1,1
SOCG_00069,1,1,1
SOCG_00070,1,1,1
SOCG_00071,1,2,2
SOCG_00072,1,1,1
SOCG_00073,1,1,1
SOCG_00074,1,1,1
SOCG_00075,1,6,6
SOCG_00076,1,2,2
SOCG_00077,1,5,5
SOCG_00078,1,2,2
SOCG_00079,1,1,1
SOCG_00080,1,4,4
SOCG_00081,1,3,3
SOCG_00082,1,4,4
SOCG_00083,1,4,4
SOCG_00084,1,5,5
SOCG_00085,1,1,1
SOCG_00086,1,2,2
SOCG_00087,1,1,1
SOCG_00088,1,1,1
