gene_id,num_transcript,num_exon,num_uniq_exon
LOC108449899,1,3,3
LOC108449900,3,15,7
LOC108449901,1,2,2
LOC108449902,2,20,12
LOC108449903,1,7,7
LOC108449904,1,2,2
LOC108449905,1,4,4
LOC108449906,2,6,5
LOC108449907,1,13,13
LOC108449908,1,3,3
LOC108449909,1,3,3
LOC108449910,2,15,9
LOC108449911,1,3,3
LOC108449912,1,5,5
LOC108449913,2,14,9
LOC108449914,1,7,7
LOC108449915,1,3,3
LOC108449916,1,6,6
LOC108449917,1,2,2
LOC108449918,2,12,8
LOC108449919,3,15,7
LOC108449920,1,3,3
LOC108449921,1,5,5
LOC108449922,3,36,14
LOC108449923,1,15,15
LOC108449924,1,4,4
LOC108449925,1,1,1
LOC108449927,4,13,9
LOC108449928,1,1,1
LOC108449929,1,9,9
LOC108449930,2,4,3
LOC108449931,4,8,4
LOC108449932,1,7,7
LOC108449933,1,3,3
LOC108449934,1,2,2
LOC108449935,2,17,11
LOC108449936,2,24,16
LOC108449937,1,13,13
LOC108449939,1,7,7
LOC108449940,2,26,15
LOC108449941,9,106,20
LOC108449942,1,6,6
LOC108449943,3,6,4
LOC108449944,1,4,4
LOC108449946,1,9,9
LOC108449947,2,4,3
LOC108449948,1,3,3
LOC108449949,1,1,1
LOC108449950,1,7,7
LOC108449951,1,5,5
LOC108449952,1,17,17
LOC108449953,1,4,4
LOC108449954,1,1,1
LOC108449955,1,3,3
LOC108449956,1,4,4
LOC108449957,2,16,10
LOC108449958,1,10,10
LOC108449959,1,11,11
LOC108449960,1,11,11
LOC108449961,1,1,1
LOC108449962,2,13,8
LOC108449963,2,11,7
LOC108449964,1,2,2
LOC108449965,2,25,14
LOC108449966,1,2,2
LOC108449967,1,3,3
LOC108449968,1,10,10
LOC108449969,2,41,23
LOC108449970,1,10,10
LOC108449971,1,11,11
LOC108449972,1,4,4
LOC108449973,1,2,2
LOC108449974,1,5,5
LOC108449975,2,28,15
LOC108449976,1,4,4
LOC108449977,1,4,4
LOC108449978,2,4,4
LOC108449979,2,25,14
LOC108449980,1,7,7
LOC108449981,4,53,19
LOC108449982,2,12,8
LOC108449983,1,9,9
LOC108449984,1,4,4
LOC108449985,1,4,4
LOC108449986,1,7,7
LOC108449987,2,6,4
LOC108449988,1,1,1
LOC108449989,1,2,2
LOC108449990,1,10,10
LOC108449991,2,10,7
LOC108449992,1,23,23
LOC108449993,1,2,2
LOC108449994,1,9,9
LOC108449996,2,4,3
LOC108449997,1,1,1
