transcript_id,num_exon
NM_001279882.1,3
NM_001279892.1,8
NM_001279893.1,8
NM_001279894.1,3
NM_001279897.1,5
NM_001279899.1,8
NM_001279901.1,6
NM_001279902.1,8
NM_001279906.1,3
NM_001279907.1,11
NM_001279912.1,9
NM_001279915.1,6
NM_001279920.1,9
NM_001279922.1,2
NM_001279923.1,3
NM_001279929.1,2
NM_001279935.1,3
NM_001279941.1,4
NM_001279943.1,8
NM_001279950.1,3
NM_001279952.1,7
NM_001279955.1,6
NM_001287855.1,2
NM_001289016.1,4
NM_001289017.1,5
NM_001289018.1,4
NM_001301377.1,8
NM_001301379.1,7
NM_001301380.1,5
NM_001301382.1,8
NM_001301383.1,1
NM_001301384.1,10
NM_001301385.1,7
NM_001301386.1,8
NM_001301387.1,7
NM_001301388.1,8
NM_001301389.1,1
NM_001301390.1,8
NM_001301391.1,1
NM_001301392.1,9
NM_001301393.1,7
NM_001301394.1,8
NM_001301395.1,6
NM_001301396.1,6
NM_001301397.1,7
NM_001301398.1,1
NM_001301400.1,7
NM_001301401.1,8
NM_001302863.1,12
NM_001302864.1,7
NM_001302865.1,10
NM_001302866.1,8
NM_001302867.1,8
NM_001302868.1,8
NM_001302869.1,8
NM_001302870.1,6
NM_001302871.1,7
NM_001302872.1,6
NM_001302873.1,3
NM_001302874.1,8
NM_001302875.1,8
NM_001302876.1,9
NM_001302877.1,6
NM_001302878.1,7
NM_001302879.1,7
NM_001302880.1,4
NM_001302881.2,8
NM_001302882.1,9
NM_001303025.1,1
NM_001317347.1,9
NM_001317731.1,1
NM_001317862.1,3
NM_001317863.1,5
NM_001317865.1,3
NM_001317866.1,3
NM_001317867.1,2
NM_001317868.1,8
NM_001317869.1,1
NM_001317870.1,9
NM_001317871.1,9
NM_001317876.1,9
NM_001317877.1,2
NM_001317878.1,4
NM_001317879.1,9
NM_001317880.1,2
NM_001317881.1,1
NM_001317883.1,9
NM_001317884.1,3
NM_001317885.1,4
NM_001317887.1,9
NM_001317888.1,1
NM_001360198.1,8
NM_001360199.1,9
XM_003557055.3,6
XM_003557056.4,7
XM_003557057.4,5
XM_003557058.4,7
XM_003557060.4,1
XM_003557061.4,14
XM_003557062.4,16
XM_003557063.4,3
XM_003557065.4,5
XM_003557067.3,3
XM_003557069.4,5
XM_003557070.4,2
XM_003557071.4,17
XM_003557072.4,2
XM_003557076.4,3
XM_003557078.4,13
XM_003557080.4,2
XM_003557081.4,19
XM_003557082.4,3
XM_003557083.4,2
XM_003557084.4,13
XM_003557085.3,2
