gene_id,num_transcript,num_exon,num_uniq_exon
FBgn0012826,1,1,1
FBgn0012827,1,1,1
FBgn0014820,1,5,5
FBgn0084090,1,1,1
FBgn0181852,1,3,3
FBgn0181857,1,2,2
FBgn0182286,1,5,5
FBgn0182305,1,1,1
FBgn0182345,1,2,2
FBgn0182356,3,11,7
FBgn0182424,1,2,2
FBgn0182425,1,21,21
FBgn0182428,1,24,24
FBgn0182518,1,3,3
FBgn0182539,1,1,1
FBgn0182541,1,1,1
FBgn0182545,1,4,4
FBgn0182556,1,1,1
FBgn0182574,1,5,5
FBgn0182632,1,1,1
FBgn0182685,3,8,7
FBgn0182777,1,2,2
FBgn0182840,1,2,2
FBgn0182846,1,2,2
FBgn0182909,1,15,15
FBgn0183005,1,2,2
FBgn0183090,1,5,5
FBgn0183101,1,1,1
FBgn0183115,1,2,2
FBgn0183117,1,2,2
FBgn0183166,1,2,2
FBgn0183167,1,2,2
FBgn0183207,1,16,16
FBgn0183220,1,2,2
FBgn0183225,1,1,1
FBgn0183242,1,1,1
FBgn0183243,1,1,1
FBgn0183303,1,4,4
FBgn0183331,1,3,3
FBgn0183463,1,2,2
FBgn0183491,1,1,1
FBgn0183494,1,3,3
FBgn0183509,1,2,2
FBgn0183531,1,1,1
FBgn0183533,1,1,1
FBgn0183590,1,4,4
FBgn0183595,1,4,4
FBgn0183658,1,2,2
FBgn0183696,1,2,2
FBgn0183710,1,2,2
FBgn0183751,1,1,1
FBgn0183775,1,2,2
FBgn0183800,1,2,2
FBgn0183804,3,15,7
FBgn0183820,3,7,6
FBgn0184016,1,3,3
FBgn0184017,1,2,2
FBgn0184071,1,2,2
FBgn0184089,1,2,2
FBgn0184102,1,1,1
FBgn0184111,1,1,1
FBgn0184143,1,4,4
FBgn0184163,1,6,6
FBgn0184177,1,2,2
FBgn0184183,1,10,10
FBgn0184225,1,2,2
FBgn0184226,1,2,2
FBgn0184227,1,2,2
FBgn0184230,1,2,2
FBgn0184304,7,34,11
FBgn0184308,1,1,1
FBgn0184309,1,1,1
FBgn0184310,1,1,1
FBgn0184321,1,1,1
FBgn0184456,1,1,1
FBgn0184497,2,7,6
FBgn0184521,1,1,1
FBgn0184525,1,1,1
FBgn0184544,1,1,1
FBgn0184549,1,1,1
FBgn0184550,2,3,3
FBgn0184573,1,1,1
FBgn0184717,1,2,2
FBgn0184807,1,22,22
FBgn0184819,1,3,3
FBgn0184820,2,5,4
FBgn0184834,1,12,12
FBgn0184882,1,2,2
FBgn0184883,1,2,2
FBgn0184914,2,7,6
FBgn0184917,1,2,2
FBgn0185032,1,2,2
FBgn0185221,1,3,3
FBgn0185251,1,2,2
FBgn0185282,1,1,1
FBgn0185374,1,1,1
FBgn0185440,1,3,3
FBgn0185592,1,32,32
FBgn0185758,1,3,3
FBgn0185811,1,2,2
FBgn0185856,1,1,1
FBgn0185946,1,2,2
FBgn0185964,1,1,1
FBgn0185973,1,1,1
FBgn0185998,4,8,6
FBgn0185999,1,1,1
FBgn0186020,2,5,4
FBgn0186074,1,4,4
FBgn0186120,1,6,6
FBgn0186150,1,1,1
FBgn0186229,1,3,3
FBgn0186293,1,2,2
FBgn0186294,1,2,2
