gene_id,num_transcript,num_exon,num_uniq_exon
LOC111982896,1,1,1
LOC111982897,1,1,1
LOC111982898,1,4,4
LOC111982899,1,7,7
LOC111982901,1,6,6
LOC111982902,1,5,5
LOC111982903,1,7,7
LOC111982904,1,2,2
LOC111982905,1,8,8
LOC111982906,5,40,12
LOC111982907,1,8,8
LOC111982908,1,1,1
LOC111982909,1,1,1
LOC111982912,1,1,1
LOC111982913,1,2,2
LOC111982915,1,1,1
LOC111982916,1,2,2
LOC111982918,1,2,2
LOC111982919,1,10,10
LOC111982920,3,14,9
LOC111982921,1,8,8
LOC111982922,1,1,1
LOC111982923,1,1,1
LOC111982924,2,20,11
LOC111982925,1,1,1
LOC111982927,1,5,5
LOC111982929,1,1,1
LOC111982934,1,2,2
LOC111982935,1,1,1
LOC111982936,1,4,4
LOC111982939,1,5,5
LOC111982942,1,4,4
LOC111982943,1,4,4
LOC111982944,1,4,4
LOC111982945,1,2,2
LOC111982946,1,3,3
LOC111982947,1,6,6
LOC111982949,1,2,2
LOC111982950,1,8,8
LOC111982951,5,21,11
LOC111982952,1,6,6
LOC111982954,1,11,11
LOC111982955,1,20,20
LOC111982956,1,5,5
LOC111982957,1,14,14
LOC111982958,1,1,1
LOC111982959,1,1,1
LOC111982960,1,2,2
LOC111982961,1,10,10
LOC111982962,1,6,6
LOC111982963,1,10,10
LOC111982965,1,1,1
LOC111982967,1,12,12
LOC111982969,1,19,19
LOC111982970,1,1,1
LOC111982971,1,5,5
LOC111982972,3,14,7
LOC111982973,1,19,19
LOC111982974,1,3,3
LOC111982975,1,6,6
LOC111982976,1,6,6
LOC111982977,1,14,14
LOC111982978,2,14,9
LOC111982979,1,2,2
LOC111982980,11,265,37
LOC111982982,2,10,7
LOC111982983,1,24,24
LOC111982984,1,2,2
LOC111982985,1,22,22
LOC111982986,1,4,4
LOC111982987,1,2,2
LOC111982988,1,5,5
LOC111982989,1,4,4
LOC111982990,1,11,11
LOC111982992,1,2,2
LOC111982993,1,11,11
LOC111982996,1,5,5
LOC111982999,1,2,2
LOC111983000,1,2,2
LOC111983002,1,2,2
LOC111983004,2,11,7
LOC111983005,5,15,8
LOC111983006,1,8,8
LOC111983007,3,5,5
LOC111983008,1,2,2
LOC111983009,3,13,8
LOC111983010,2,32,18
LOC111983011,1,24,24
LOC111983012,6,108,21
LOC111983013,1,4,4
LOC111983014,2,30,16
LOC111983015,4,20,10
LOC111983016,2,24,14
LOC111983017,1,3,3
LOC111983018,1,3,3
LOC111983019,1,4,4
LOC111983020,2,20,11
LOC111983021,1,5,5
LOC111983022,1,2,2
LOC111983023,1,4,4
LOC111983024,1,6,6
LOC111983025,1,11,11
LOC111983026,2,14,9
LOC111983027,1,8,8
LOC111983028,1,3,3
LOC111983029,1,1,1
LOC111983030,2,13,7
LOC111983031,1,3,3
LOC111983032,1,2,2
LOC111983033,1,8,8
LOC111983035,1,1,1
LOC111983036,1,4,4
LOC111983037,1,1,1
LOC111983038,2,14,8
LOC111983039,1,7,7
LOC111983040,1,6,6
LOC111983041,1,1,1
LOC111983042,1,8,8
LOC111983043,1,4,4
LOC111983045,1,2,2
LOC111983046,1,4,4
LOC111983047,1,8,8
LOC111983048,1,3,3
LOC111983049,1,2,2
LOC111983050,1,3,3
LOC111983051,12,326,43
LOC111983052,1,1,1
LOC111983053,2,20,14
LOC111983054,2,10,6
LOC111983055,2,21,12
LOC111983056,2,6,5
LOC111983057,2,14,8
LOC111983058,1,4,4
LOC111983059,1,7,7
LOC111983060,1,4,4
LOC111983061,4,12,7
LOC111983062,4,8,7
LOC111983063,1,4,4
LOC111983064,1,15,15
LOC111983068,1,2,2
LOC111983069,1,2,2
LOC111983070,1,19,19
LOC111983073,2,6,4
LOC111983074,1,1,1
LOC111983076,1,1,1
LOC111983077,2,21,12
LOC111983078,1,2,2
LOC111983079,7,56,11
LOC111983080,1,13,13
LOC111983081,2,18,11
LOC111983082,1,6,6
LOC111983083,1,9,9
LOC111983086,1,13,13
LOC111983087,1,14,14
LOC111983088,1,6,6
LOC111983089,1,2,2
LOC111983090,1,2,2
LOC111983092,1,5,5
LOC111983095,4,14,7
LOC111983096,1,3,3
LOC111983097,1,4,4
LOC111983098,1,3,3
LOC111983100,1,4,4
LOC111983101,1,5,5
LOC111983103,1,1,1
LOC111983105,1,1,1
LOC111983107,1,2,2
LOC111983108,1,7,7
LOC111983110,2,17,10
LOC111983111,1,19,19
LOC111983112,1,4,4
LOC111983113,1,4,4
LOC111983118,1,5,5
LOC111983119,1,4,4
LOC111983122,1,2,2
LOC111983123,1,16,16
LOC111983124,3,18,8
LOC111983125,1,4,4
LOC111983126,1,2,2
LOC111983127,1,2,2
LOC111983128,1,4,4
LOC111983129,1,5,5
LOC111983132,1,4,4
LOC111983133,1,11,11
LOC111983134,2,37,19
LOC111983135,1,1,1
LOC111983136,1,1,1
LOC111983139,1,1,1
LOC111983140,2,11,7
LOC111983141,4,30,11
LOC111983142,1,2,2
LOC111983143,1,3,3
LOC111983145,1,2,2
LOC111983146,1,6,6
LOC111983148,1,5,5
LOC111983149,1,9,9
LOC111983150,4,21,9
LOC111983151,2,10,6
LOC111983152,1,5,5
LOC111983153,1,1,1
LOC111983154,1,1,1
LOC111983155,1,4,4
LOC111983156,1,2,2
LOC111983157,1,1,1
LOC111983158,1,9,9
LOC111983160,1,4,4
LOC111983161,1,3,3
LOC111983162,1,2,2
LOC111983163,1,8,8
LOC111983164,1,6,6
LOC111983166,1,3,3
LOC111983167,3,44,18
LOC111983169,1,2,2
LOC111983170,1,2,2
LOC111983171,1,6,6
LOC111983172,1,1,1
LOC111983173,1,6,6
