gene_id,num_transcript,num_exon,num_uniq_exon
G647_00001,1,3,3
G647_00002,1,3,3
G647_00003,1,8,8
G647_00004,1,1,1
G647_00005,1,1,1
G647_00006,1,1,1
G647_00007,1,3,3
G647_00008,1,3,3
G647_00009,1,2,2
G647_00010,1,2,2
G647_00011,1,5,5
G647_00012,1,1,1
G647_00013,1,1,1
G647_00014,1,4,4
G647_00015,1,2,2
G647_00016,1,1,1
G647_00017,1,1,1
G647_00018,1,4,4
G647_00019,1,4,4
G647_00020,1,1,1
G647_00021,1,2,2
G647_00023,1,2,2
G647_00024,1,2,2
G647_00025,1,1,1
G647_00026,1,1,1
G647_00029,1,3,3
G647_00030,1,4,4
G647_00032,1,1,1
G647_00034,1,3,3
G647_00035,1,3,3
G647_00036,1,1,1
G647_00037,1,2,2
G647_00038,1,1,1
G647_00039,1,1,1
G647_00040,1,2,2
G647_00041,1,1,1
G647_00042,1,2,2
G647_00043,1,1,1
G647_00044,1,2,2
G647_00045,1,2,2
G647_00046,1,5,5
G647_00047,1,2,2
G647_00048,1,2,2
G647_00049,1,1,1
G647_00050,1,2,2
G647_00051,1,3,3
G647_00052,1,1,1
G647_00053,1,1,1
G647_00054,1,1,1
G647_00055,1,1,1
G647_00056,1,1,1
G647_00057,1,7,7
G647_00058,1,3,3
G647_00059,1,1,1
G647_00060,1,5,5
G647_00061,1,2,2
G647_00062,1,3,3
G647_00063,1,1,1
G647_00064,1,1,1
G647_00065,1,3,3
G647_00066,1,3,3
G647_00067,1,2,2
G647_00068,1,4,4
G647_00069,1,5,5
G647_00070,1,1,1
G647_00071,1,3,3
G647_00072,1,1,1
G647_00073,1,3,3
G647_00074,1,3,3
G647_00075,1,2,2
G647_00078,1,1,1
G647_00079,1,1,1
G647_00080,1,1,1
G647_00081,1,3,3
G647_00082,1,1,1
G647_00083,1,3,3
G647_00084,1,5,5
G647_00085,1,3,3
G647_00086,1,2,2
G647_00087,1,1,1
G647_00088,1,1,1
G647_00089,1,1,1
G647_00090,1,1,1
G647_00091,1,1,1
G647_00092,1,1,1
G647_00093,1,3,3
G647_00094,1,3,3
G647_00095,1,3,3
G647_00096,1,4,4
G647_00097,1,1,1
G647_00098,1,1,1
G647_00099,1,1,1
G647_00100,1,2,2
G647_00101,1,2,2
G647_00102,1,3,3
G647_00103,1,5,5
G647_00104,1,2,2
G647_00105,1,3,3
G647_00106,1,1,1
G647_00107,1,4,4
G647_00108,1,8,8
G647_00109,1,1,1
G647_00110,1,1,1
G647_00111,1,2,2
G647_00112,1,2,2
G647_00113,1,1,1
G647_00114,1,1,1
G647_00115,1,2,2
G647_00116,1,2,2
G647_00117,1,4,4
G647_00118,1,3,3
G647_00119,1,3,3
G647_00120,1,2,2
G647_00122,1,1,1
G647_00123,1,2,2
G647_00124,1,2,2
G647_00125,1,1,1
G647_00126,1,1,1
G647_00127,1,3,3
G647_00128,1,1,1
G647_00129,1,1,1
G647_00130,1,6,6
G647_00131,1,4,4
G647_00132,1,1,1
G647_00133,1,2,2
G647_00134,1,2,2
G647_00135,1,1,1
G647_00136,1,2,2
G647_00137,1,1,1
G647_00138,1,2,2
G647_00139,1,1,1
G647_00140,1,2,2
G647_00141,1,1,1
G647_00142,1,1,1
G647_00143,1,2,2
G647_00144,1,2,2
G647_00145,1,6,6
G647_00146,1,3,3
G647_00147,1,4,4
G647_00148,1,1,1
G647_00149,1,3,3
G647_00150,1,2,2
G647_00151,1,5,5
G647_00152,1,1,1
G647_00153,1,1,1
G647_00154,1,5,5
G647_00155,1,2,2
G647_00156,1,2,2
G647_00157,1,1,1
G647_00158,1,1,1
G647_00159,1,1,1
G647_00160,1,1,1
G647_00161,1,2,2
G647_00162,1,4,4
G647_00163,1,1,1
G647_00164,1,2,2
G647_00165,1,2,2
G647_00166,1,1,1
G647_00167,1,3,3
G647_00168,1,2,2
G647_00169,1,3,3
G647_00170,1,2,2
G647_00171,1,2,2
G647_00172,1,1,1
G647_00173,1,1,1
G647_00174,1,1,1
G647_00175,1,3,3
G647_00176,1,6,6
G647_00177,1,1,1
G647_00178,1,3,3
G647_00179,1,2,2
G647_00180,1,1,1
G647_00181,1,1,1
G647_00182,1,4,4
G647_00183,1,1,1
G647_00184,1,2,2
G647_00185,1,1,1
G647_00186,1,1,1
G647_00187,1,2,2
G647_00188,1,1,1
G647_00189,1,1,1
G647_00190,1,1,1
G647_00191,1,1,1
G647_00192,1,1,1
G647_00193,1,1,1
G647_00194,1,1,1
