transcript_id,num_exon
LOC101269293,2
LOC101269699,2
LOC101270003,5
LOC101270196,2
LOC101270441,2
LOC101270515,2
LOC101271195,2
LOC101271248,2
LOC101271612,2
LOC101271857,2
LOC101272106,2
LOC101272566,4
LOC101273865,6
LOC101274311,2
LOC101274560,2
LOC101275050,5
LOC101277134,5
LOC101277626,8
LOC101277870,2
LOC101278468,2
LOC101279208,3
LOC101280473,2
LOC101286531,3
LOC101287043,3
LOC101287302,2
LOC101287794,2
LOC101287898,3
LOC101288303,2
LOC101288557,4
LOC101288808,2
LOC101289625,2
LOC101289881,3
LOC101290114,2
LOC101290368,2
LOC105748029,3
LOC105748033,12
LOC105748038,7
LOC105748043,8
LOC105748116,2
LOC105748117,3
LOC105748875,2
LOC117198103,4
LOC117199136,2
LOC117199197,2
LOC117200138,2
LOC117200152,3
LOC117202276,2
LOC117202321,2
LOC117203745,2
LOC117203751,4
LOC117203752,2
NM_001279809.1,7
NM_001281964.1,7
NM_001282008.1,6
NM_001282009.1,3
NM_001285515.1,8
NM_001286165.1,3
NM_001286166.1,5
NM_001289801.1,5
NM_001289851.1,4
NM_001289852.1,3
NM_001289868.1,2
NM_001290019.1,5
NM_001290373.1,5
NM_001291097.1,2
NM_001291098.1,2
NM_001291512.1,13
NM_001293724.1,11
NM_001301420.1,5
NM_001301739.1,12
NM_001309477.1,9
NM_001368856.1,2
TRNAA-AGC,1
TRNAA-AGC_1,1
TRNAA-AGC_10,1
TRNAA-AGC_11,1
TRNAA-AGC_12,1
TRNAA-AGC_13,1
TRNAA-AGC_14,1
TRNAA-AGC_15,1
TRNAA-AGC_2,1
TRNAA-AGC_3,1
TRNAA-AGC_4,1
TRNAA-AGC_5,1
TRNAA-AGC_6,1
TRNAA-AGC_7,1
TRNAA-AGC_8,1
TRNAA-AGC_9,1
TRNAA-CGC,1
TRNAA-CGC_1,1
TRNAA-CGC_10,1
TRNAA-CGC_2,1
TRNAA-CGC_3,1
TRNAA-CGC_4,1
TRNAA-CGC_5,1
