transcript_id,num_exon
XM_006690498.1,2
XM_006690499.1,3
XM_006690500.1,4
XM_006690501.1,2
XM_006690502.1,6
XM_006690503.1,9
XM_006690504.1,7
XM_006690505.1,3
XM_006690506.1,2
XM_006690507.1,3
XM_006690508.1,3
XM_006690509.1,8
XM_006690510.1,4
XM_006690511.1,1
XM_006690512.1,3
XM_006690513.1,1
XM_006690514.1,4
XM_006690515.1,3
XM_006690516.1,1
XM_006690517.1,3
XM_006690518.1,2
XM_006690519.1,1
XM_006690520.1,2
XM_006690521.1,3
XM_006690522.1,2
XM_006690523.1,4
XM_006690524.1,2
XM_006690525.1,3
XM_006690526.1,5
XM_006690527.1,2
XM_006690528.1,3
XM_006690529.1,1
XM_006690530.1,2
XM_006690531.1,9
XM_006690532.1,5
XM_006690533.1,8
XM_006690534.1,1
XM_006690535.1,2
XM_006690536.1,2
XM_006690537.1,2
XM_006690538.1,4
XM_006690539.1,4
XM_006690540.1,1
XM_006690541.1,3
XM_006690542.1,1
XM_006690543.1,2
XM_006690545.1,2
XM_006690546.1,3
XM_006690547.1,5
XM_006690548.1,1
XM_006690549.1,10
XM_006690550.1,2
XM_006690551.1,4
XM_006690552.1,1
XM_006690553.1,1
XM_006690554.1,4
XM_006690555.1,1
XM_006690556.1,3
XM_006690557.1,4
XM_006690558.1,3
XM_006690559.1,4
XM_006690560.1,1
XM_006690561.1,1
XM_006690562.1,4
XM_006690563.1,3
XM_006690564.1,1
XM_006690565.1,2
XM_006690566.1,1
XM_006690567.1,1
XM_006690568.1,1
XM_006690569.1,3
XM_006690570.1,2
XM_006690571.1,2
XM_006690572.1,2
XM_006690573.1,2
XM_006690574.1,3
XM_006690575.1,1
XM_006690576.1,2
XM_006690577.1,2
XM_006690578.1,2
XM_006690579.1,1
XM_006690580.1,6
XM_006690581.1,1
XM_006690582.1,4
XM_006690583.1,2
XM_006690584.1,1
XM_006690585.1,5
XM_006690586.1,2
XM_006690587.1,1
XM_006690588.1,2
XM_006690589.1,5
XM_006690590.1,4
XM_006690591.1,5
XM_006690592.1,4
XM_006690593.1,3
XM_006690594.1,1
XM_006690595.1,1
XM_006690596.1,5
XM_006690597.1,6
XM_006690598.1,1
XM_006690599.1,2
XM_006690600.1,2
XM_006690601.1,2
XM_006690602.1,1
XM_006690603.1,3
XM_006690604.1,2
XM_006690605.1,2
XM_006690606.1,1
XM_006690607.1,1
XM_006690608.1,4
XM_006690609.1,1
XM_006690610.1,2
XM_006690611.1,2
