transcript_id,num_exon
XM_024299972.1,1
XM_024299973.1,3
XM_024299974.1,1
XM_024299976.1,1
XM_024299977.2,2
XM_024299979.1,2
XM_024299980.1,1
XM_024299981.1,1
XM_024299982.2,1
XM_024299983.2,1
XM_024299985.2,8
XM_024299986.1,2
XM_024299987.1,1
XM_024299988.1,1
XM_024299989.1,1
XM_024299991.1,4
XM_024299992.1,2
XM_024299995.2,3
XM_024299996.2,2
XM_024299997.1,1
XM_024300000.1,1
XM_024300001.1,1
XM_024300003.1,7
XM_024300004.1,1
XM_024300005.2,3
XM_024300007.1,1
XM_024300011.1,3
XM_024300014.1,1
XM_024300015.2,7
XM_024300017.2,1
XM_024300018.2,1
XM_024300020.1,1
XM_024300021.2,6
XM_024300025.1,1
XM_024300026.1,5
XM_024300027.2,9
XM_024300029.1,2
XM_024300031.2,2
XM_024300034.1,1
XM_024300036.1,1
XM_024300038.1,2
XM_024300039.1,1
XM_024300041.2,1
XM_024300042.2,1
XM_024300044.1,2
XM_024300045.1,6
XM_024300046.1,1
XM_024300047.2,3
XM_024300048.1,2
XM_024300050.2,1
XM_024300051.1,1
XM_024300052.2,2
XM_024300053.1,1
XM_024300054.1,1
XM_024300056.1,5
XM_024300066.1,1
XM_024300067.1,1
XM_024300068.2,8
XM_024300070.1,1
XM_024300071.2,2
XM_024300072.1,1
XM_024300073.1,1
XM_024300074.1,1
XM_024300076.1,1
XM_024300077.2,2
XM_024300079.2,2
XM_024300080.1,3
XM_024300082.1,4
XM_024300083.2,2
XM_024300084.1,2
XM_024300089.1,1
XM_024300090.1,3
XM_024300091.1,2
XM_024300093.2,4
XM_024300094.2,4
XM_024300095.2,4
XM_024300096.2,4
XM_024300098.2,4
XM_024300100.2,4
XM_024300101.2,4
XM_024300102.2,3
XM_024300104.2,3
XM_024300105.2,4
XM_024300106.2,3
XM_024300108.2,4
XM_024300111.2,2
XM_024300112.2,4
XM_024300113.1,4
XM_024300114.1,3
XM_024300115.1,6
XM_024300116.2,9
XM_024300118.1,1
XM_024300119.2,3
XM_024300123.1,1
XM_024300124.1,4
XM_024300125.2,4
XM_024300126.2,4
XM_024300127.2,7
XM_024300128.2,7
XM_024300129.2,7
XM_024300131.2,7
XM_024300132.2,7
XM_024300141.1,1
XM_024300146.1,1
XM_024300148.1,1
XM_024300150.1,5
XM_024300151.2,3
XM_024300153.1,2
XM_024300155.2,1
XM_024300157.1,2
XM_024300160.2,2
XM_024300165.1,3
XM_024300166.1,1
XM_024300170.1,1
XM_024300171.2,2
XM_024300172.1,1
XM_024300175.2,13
XM_024300176.1,6
XM_024300177.1,1
XM_024300180.2,2
XM_024300183.2,4
XM_024300184.1,4
XM_024300186.1,3
XM_024300187.1,3
XM_024300190.1,1
XM_024300191.1,1
XM_024300192.1,8
XM_024300194.2,2
XM_024300197.1,2
XM_024300198.2,1
XM_024300202.2,3
XM_024300204.2,9
XM_024300205.2,5
XM_024300206.1,4
XM_024300207.2,1
XM_024300209.2,2
XM_024300210.2,12
XM_024300212.1,1
XM_024300215.2,6
XM_024300220.2,6
XM_024300221.2,1
XM_024300224.1,2
XM_024300226.2,4
XM_024300228.1,1
XM_024300229.2,1
XM_024300230.2,6
XM_024300231.1,2
XM_024300232.1,5
XM_024300234.1,4
XM_024300235.1,1
XM_024300237.1,2
XM_024300238.2,3
XM_024300240.1,1
XM_024300241.1,4
XM_024300242.1,1
XM_024300244.1,1
XM_024300247.2,9
XM_024300248.2,3
XM_024300249.1,1
XM_024300250.1,1
XM_024300254.1,9
XM_024300255.1,1
XM_024300260.1,6
XM_024300261.1,1
XM_024300262.1,1
XM_024300263.1,2
XM_024300264.1,4
XM_024300265.1,1
XM_024300266.2,2
XM_024300267.1,1
XM_024300271.1,5
XM_024300273.1,5
XM_024300277.1,5
XM_024300278.2,3
XM_024300279.2,12
XM_024300280.2,12
XM_024300281.2,2
XM_024300282.2,2
XM_024300283.2,10
XM_024300284.1,1
XM_024300286.2,3
XM_024300288.2,2
XM_024300289.1,2
XM_024300290.1,2
XM_024300291.2,9
XM_024300292.2,1
XM_024300293.2,5
XM_024300295.2,3
XM_024300296.2,3
XM_024300297.1,3
XM_024300298.2,6
XM_024300299.1,5
XM_024300300.2,4
XM_024300302.2,4
XM_024300303.2,3
XM_024300304.1,11
XM_024300305.1,1
XM_024300309.1,2
XM_024300310.1,1
XM_024300311.2,1
XM_024300312.1,2
XM_024300314.2,1
XM_024300315.2,2
XM_024300316.1,6
XM_024300318.2,2
XM_024300319.1,1
XM_024300320.1,1
XM_024300321.2,4
XM_024300322.2,1
XM_024300325.1,2
XM_024300326.1,1
XM_024300327.2,2
XM_024300328.1,3
XM_024300333.2,1
XM_024300334.1,1
XM_024300335.2,2
XM_024300337.1,1
XM_024300338.2,5
XM_024300340.1,1
XM_024300342.2,9
XM_024300343.1,1
XM_024300344.2,5
XM_024300345.1,2
XM_024300348.2,4
XM_024300349.2,16
XM_024300350.2,15
XM_024300351.2,15
XM_024300354.1,1
XM_024300355.2,2
XM_024300356.2,3
XM_024300357.1,1
XM_024300360.2,3
XM_024300362.1,3
XM_024300363.1,1
XM_024300364.1,2
XM_024300365.1,1
XM_024300367.1,2
XM_024300368.1,5
XM_024300370.2,10
XM_024300372.1,1
XM_024300373.1,1
XM_024300374.1,4
XM_024300376.1,2
XM_024300377.1,3
XM_024300379.1,6
XM_024300380.1,1
XM_024300383.1,1
XM_024300384.1,1
XM_024300386.2,4
XM_024300387.2,2
XM_024300390.1,1
XM_024300392.2,1
XM_024300394.1,1
XM_024300397.2,20
XM_024300398.1,1
XM_024300399.1,1
XM_024300400.1,1
XM_024300401.1,1
XM_024300402.1,1
XM_024300403.1,1
XM_024300404.1,1
XM_024300405.1,1
XM_024300406.1,1
XM_024300407.1,1
XM_024300409.1,2
XM_024300410.2,3
XM_024300411.1,5
XM_024300412.2,2
XM_024300413.1,3
XM_024300418.1,1
XM_024300419.1,1
XM_024300420.1,10
XM_024300423.1,1
XM_024300424.1,2
XM_024300426.2,1
XM_024300427.1,1
XM_024300428.1,4
XM_024300429.1,1
XM_024300431.1,6
XM_024300432.1,1
XM_024300433.1,2
XM_024300434.1,1
XM_024300435.2,4
XM_024300436.2,4
XM_024300438.1,7
XM_024300439.2,11
XM_024300441.1,5
XM_024300445.1,1
XM_024300446.1,1
