gene_id,num_transcript,num_exon,num_uniq_exon
FBgn0013068,1,2,2
FBgn0013077,1,2,2
FBgn0013137,1,4,4
FBgn0068558,1,1,1
FBgn0068561,1,1,1
FBgn0197471,1,10,10
FBgn0197474,1,2,2
FBgn0197492,1,7,7
FBgn0197524,1,2,2
FBgn0197536,1,7,7
FBgn0197565,1,2,2
FBgn0197566,1,1,1
FBgn0197614,1,4,4
FBgn0197720,3,18,8
FBgn0197746,1,3,3
FBgn0197754,1,4,4
FBgn0197768,2,4,4
FBgn0197828,1,4,4
FBgn0197988,1,3,3
FBgn0197998,1,6,6
FBgn0197999,1,5,5
FBgn0198014,1,1,1
FBgn0198032,1,3,3
FBgn0198094,1,2,2
FBgn0198157,1,1,1
FBgn0198185,3,8,5
FBgn0198190,1,7,7
FBgn0198191,1,2,2
FBgn0198193,1,7,7
FBgn0198196,1,2,2
FBgn0198207,1,2,2
FBgn0198218,1,2,2
FBgn0198296,1,3,3
FBgn0198344,2,4,3
FBgn0198346,1,5,5
FBgn0198383,1,1,1
FBgn0198384,1,2,2
FBgn0198391,1,3,3
FBgn0198398,1,3,3
FBgn0198406,1,1,1
FBgn0198468,1,7,7
FBgn0198509,2,3,3
FBgn0198552,3,6,4
FBgn0198593,1,2,2
FBgn0198623,1,2,2
FBgn0198712,1,2,2
FBgn0198767,1,4,4
FBgn0198826,1,2,2
FBgn0198911,1,1,1
FBgn0198922,1,2,2
FBgn0198938,1,3,3
FBgn0198943,1,2,2
FBgn0198971,1,3,3
FBgn0199016,1,11,11
FBgn0199030,1,2,2
FBgn0199047,1,1,1
FBgn0199054,1,3,3
FBgn0199141,1,1,1
FBgn0199145,1,1,1
FBgn0199146,1,2,2
FBgn0199216,1,1,1
FBgn0199246,1,3,3
FBgn0199304,1,2,2
FBgn0199305,1,1,1
FBgn0199317,2,4,3
FBgn0199324,1,8,8
FBgn0199326,1,2,2
FBgn0199353,1,2,2
FBgn0199413,3,8,5
FBgn0199416,1,1,1
FBgn0199462,1,2,2
FBgn0199505,2,4,4
FBgn0199549,1,1,1
FBgn0199561,2,7,5
FBgn0199632,1,3,3
FBgn0199655,1,2,2
FBgn0199680,1,1,1
FBgn0199681,1,1,1
FBgn0199682,1,1,1
FBgn0199687,1,1,1
FBgn0199745,1,1,1
FBgn0199758,1,2,2
FBgn0199820,1,1,1
FBgn0199828,2,4,4
FBgn0199857,1,4,4
FBgn0199874,1,2,2
FBgn0199877,1,2,2
FBgn0199878,1,2,2
FBgn0199879,1,2,2
FBgn0199882,1,1,1
FBgn0199906,1,2,2
FBgn0199914,1,2,2
FBgn0199930,1,2,2
FBgn0199977,1,1,1
FBgn0200004,1,1,1
FBgn0200005,1,2,2
FBgn0200006,1,2,2
FBgn0200007,1,2,2
FBgn0200013,2,6,4
FBgn0200014,1,2,2
FBgn0200105,1,7,7
FBgn0200137,1,2,2
FBgn0200163,1,2,2
FBgn0200166,1,1,1
FBgn0200263,1,6,6
FBgn0200265,2,7,6
FBgn0200339,1,1,1
FBgn0200343,1,4,4
FBgn0200380,1,2,2
FBgn0200395,1,1,1
FBgn0200403,1,3,3
FBgn0200436,1,1,1
FBgn0200480,1,2,2
FBgn0200512,1,2,2
FBgn0200513,1,2,2
FBgn0200613,1,3,3
FBgn0200679,1,2,2
FBgn0200699,1,3,3
FBgn0200714,1,2,2
FBgn0200777,1,5,5
FBgn0200894,1,2,2
FBgn0200954,2,15,9
FBgn0201147,5,13,7
FBgn0201225,1,1,1
FBgn0201289,2,6,4
FBgn0201304,1,1,1
FBgn0201335,1,2,2
FBgn0201344,1,5,5
FBgn0201356,1,2,2
FBgn0201391,1,1,1
FBgn0201399,1,3,3
FBgn0201448,1,7,7
FBgn0201480,1,2,2
FBgn0201500,1,3,3
FBgn0201518,1,3,3
FBgn0201622,1,2,2
FBgn0201689,1,4,4
FBgn0201708,3,18,8
FBgn0201714,1,2,2
FBgn0201791,1,1,1
FBgn0201806,1,2,2
FBgn0201828,1,1,1
FBgn0201873,1,5,5
FBgn0201891,1,6,6
FBgn0201905,1,3,3
FBgn0201907,1,1,1
FBgn0201922,1,3,3
FBgn0201946,1,14,14
FBgn0201996,1,2,2
FBgn0202020,1,2,2
FBgn0202076,1,10,10
FBgn0202090,1,2,2
FBgn0202096,1,2,2
FBgn0202097,1,2,2
FBgn0202113,1,4,4
FBgn0202118,1,2,2
FBgn0202124,1,1,1
FBgn0202139,1,1,1
FBgn0202146,1,3,3
FBgn0202158,2,4,3
FBgn0202178,1,2,2
FBgn0202222,1,1,1
FBgn0202224,1,1,1
FBgn0202240,1,3,3
FBgn0202268,1,1,1
FBgn0202299,1,3,3
FBgn0202346,1,3,3
FBgn0202347,1,2,2
FBgn0202353,1,2,2
FBgn0202355,1,2,2
FBgn0202369,1,2,2
FBgn0202396,1,23,23
FBgn0202462,1,2,2
FBgn0202472,1,2,2
FBgn0202496,1,3,3
FBgn0202516,1,3,3
FBgn0202533,1,8,8
FBgn0202556,1,2,2
FBgn0202579,1,2,2
FBgn0202590,1,2,2
FBgn0202595,1,2,2
FBgn0202611,1,7,7
FBgn0202615,1,3,3
FBgn0202633,1,1,1
FBgn0202638,1,2,2
FBgn0202653,1,2,2
FBgn0202687,1,2,2
FBgn0202721,1,2,2
FBgn0202759,1,8,8
FBgn0202760,1,1,1
FBgn0202762,1,1,1
FBgn0202775,1,7,7
FBgn0202817,1,1,1
FBgn0202884,1,1,1
FBgn0202912,1,2,2
FBgn0202913,1,2,2
FBgn0202959,1,2,2
FBgn0202972,1,3,3
FBgn0202993,2,5,4
FBgn0202996,1,2,2
FBgn0203018,1,3,3
FBgn0203030,1,1,1
FBgn0203037,1,2,2
FBgn0203039,1,2,2
FBgn0203068,1,1,1
FBgn0203100,1,3,3
FBgn0203105,1,13,13
FBgn0203113,1,4,4
FBgn0203123,1,1,1
FBgn0203126,3,14,8
FBgn0203175,1,3,3
FBgn0203205,1,1,1
FBgn0203206,1,1,1
FBgn0203245,4,12,8
FBgn0203267,1,19,19
FBgn0203287,1,3,3
FBgn0203441,1,2,2
FBgn0203512,1,6,6
FBgn0203517,1,1,1
FBgn0203545,1,1,1
FBgn0203550,1,6,6
FBgn0203561,2,4,4
FBgn0203630,1,1,1
FBgn0203656,1,4,4
FBgn0203658,1,1,1
FBgn0203684,1,9,9
FBgn0203687,1,10,10
FBgn0203698,1,3,3
FBgn0203708,1,2,2
FBgn0203738,3,27,11
FBgn0203755,1,2,2
FBgn0203788,1,2,2
FBgn0203834,2,5,4
FBgn0203895,1,2,2
FBgn0203967,1,2,2
FBgn0203969,1,2,2
FBgn0203977,1,3,3
FBgn0204042,1,3,3
FBgn0204090,1,2,2
FBgn0204107,2,5,4
FBgn0204152,1,2,2
FBgn0204167,1,2,2
FBgn0204178,1,2,2
FBgn0204180,1,3,3
FBgn0204182,1,4,4
FBgn0204188,2,4,4
FBgn0204204,1,2,2
FBgn0204214,1,3,3
FBgn0204223,1,2,2
FBgn0204276,1,2,2
FBgn0204312,1,4,4
FBgn0204320,1,9,9
FBgn0204321,1,2,2
FBgn0204391,1,2,2
FBgn0204434,1,2,2
FBgn0204439,1,6,6
FBgn0204494,1,2,2
FBgn0204496,1,2,2
FBgn0204498,1,2,2
FBgn0204523,1,1,1
FBgn0204534,1,2,2
FBgn0204551,1,4,4
FBgn0204553,1,1,1
FBgn0204564,1,1,1
FBgn0204585,1,2,2
FBgn0204609,1,2,2
FBgn0204759,1,3,3
FBgn0204795,1,2,2
FBgn0204873,1,4,4
FBgn0204875,3,6,5
FBgn0204909,1,2,2
FBgn0204912,2,5,4
FBgn0204913,1,2,2
FBgn0205008,1,1,1
FBgn0205012,1,3,3
FBgn0205040,1,1,1
FBgn0205109,1,1,1
FBgn0205156,1,2,2
FBgn0205200,5,20,9
FBgn0205202,1,3,3
FBgn0205231,1,1,1
FBgn0205236,1,2,2
FBgn0205292,1,1,1
FBgn0205328,2,4,3
FBgn0205352,1,2,2
FBgn0205356,2,7,5
FBgn0205452,1,1,1
FBgn0205455,1,1,1
FBgn0205545,1,3,3
FBgn0205569,1,3,3
FBgn0205572,1,2,2
FBgn0205642,1,2,2
FBgn0205646,1,1,1
FBgn0205648,1,5,5
FBgn0205678,1,2,2
FBgn0205691,1,7,7
FBgn0205727,1,3,3
FBgn0205737,1,1,1
FBgn0205764,1,2,2
FBgn0205788,1,2,2
FBgn0205822,1,2,2
FBgn0205834,1,2,2
FBgn0205919,1,3,3
FBgn0205973,1,4,4
FBgn0206013,2,4,4
FBgn0206106,2,5,4
FBgn0206107,1,1,1
FBgn0206195,1,1,1
FBgn0206256,5,10,5
FBgn0206320,1,6,6
FBgn0206343,3,8,5
FBgn0206396,1,2,2
FBgn0206447,1,2,2
FBgn0206458,1,3,3
FBgn0206519,1,2,2
FBgn0206613,1,2,2
FBgn0206618,1,2,2
FBgn0206693,1,1,1
FBgn0206694,1,1,1
FBgn0206716,1,3,3
FBgn0206769,1,1,1
FBgn0206786,1,5,5
FBgn0206843,1,2,2
FBgn0206897,1,1,1
FBgn0206951,1,1,1
FBgn0206954,1,2,2
FBgn0206975,1,2,2
FBgn0206999,1,8,8
FBgn0207025,1,2,2
FBgn0207027,1,2,2
FBgn0207080,1,2,2
FBgn0207081,2,5,4
FBgn0207091,1,2,2
FBgn0207150,1,2,2
FBgn0207157,1,10,10
FBgn0207162,1,1,1
FBgn0207289,1,3,3
FBgn0207414,1,1,1
FBgn0207619,2,14,8
FBgn0207627,1,3,3
FBgn0207738,1,3,3
FBgn0207847,1,2,2
FBgn0207851,1,2,2
FBgn0207890,1,1,1
FBgn0207937,1,2,2
FBgn0207971,2,6,5
FBgn0208022,1,3,3
FBgn0208034,1,2,2
FBgn0208106,1,2,2
FBgn0208112,1,2,2
FBgn0208142,1,3,3
FBgn0208143,1,3,3
FBgn0208161,1,3,3
FBgn0208222,1,2,2
FBgn0208234,1,4,4
FBgn0208332,1,1,1
FBgn0208348,1,5,5
FBgn0208354,1,1,1
FBgn0208391,1,1,1
FBgn0208393,1,3,3
FBgn0208394,1,4,4
FBgn0208425,1,4,4
FBgn0208426,1,3,3
FBgn0208461,1,2,2
FBgn0208475,1,4,4
FBgn0208503,1,2,2
FBgn0208668,1,3,3
FBgn0208718,1,2,2
FBgn0208728,1,2,2
FBgn0208743,1,1,1
FBgn0208747,1,2,2
FBgn0208768,1,8,8
FBgn0208819,1,1,1
FBgn0209044,1,2,2
FBgn0209051,1,1,1
FBgn0209064,1,5,5
FBgn0209110,3,7,5
FBgn0209264,1,1,1
FBgn0209350,1,4,4
FBgn0209427,2,7,5
FBgn0209532,1,3,3
FBgn0209578,1,4,4
FBgn0209599,1,6,6
FBgn0209611,1,3,3
FBgn0209616,1,1,1
FBgn0209764,1,3,3
FBgn0209765,1,2,2
FBgn0209772,1,2,2
FBgn0209776,1,5,5
FBgn0209777,1,5,5
FBgn0209785,1,1,1
FBgn0209839,1,7,7
FBgn0209894,2,23,14
FBgn0209895,2,4,3
FBgn0209906,1,1,1
FBgn0210011,1,2,2
FBgn0210026,1,5,5
FBgn0210118,1,2,2
FBgn0210132,1,2,2
FBgn0210142,1,2,2
FBgn0210168,1,2,2
FBgn0210201,1,3,3
FBgn0210251,1,13,13
FBgn0210275,1,1,1
FBgn0210351,1,1,1
FBgn0210359,1,1,1
FBgn0210462,1,5,5
FBgn0210523,1,7,7
FBgn0210552,2,9,6
FBgn0210612,1,2,2
FBgn0210624,1,2,2
FBgn0210658,1,6,6
FBgn0210787,1,3,3
FBgn0210792,1,1,1
FBgn0210796,1,1,1
FBgn0210802,1,1,1
FBgn0210844,1,2,2
FBgn0210929,1,2,2
FBgn0210930,2,9,6
FBgn0211012,1,1,1
FBgn0211033,1,2,2
FBgn0211077,1,1,1
FBgn0211106,1,2,2
FBgn0211147,1,1,1
FBgn0211169,1,2,2
FBgn0211227,1,2,2
FBgn0211228,1,2,2
FBgn0211302,1,1,1
FBgn0211314,1,3,3
FBgn0211395,1,1,1
FBgn0211467,1,1,1
FBgn0211475,1,5,5
FBgn0211576,1,2,2
FBgn0211585,1,1,1
FBgn0211611,1,2,2
FBgn0211618,1,1,1
FBgn0211672,1,2,2
FBgn0211673,1,2,2
FBgn0211710,1,2,2
FBgn0211713,1,2,2
FBgn0211734,2,9,7
FBgn0211771,1,2,2
FBgn0256559,1,1,1
FBgn0256560,1,1,1
FBgn0256561,1,1,1
FBgn0256562,1,1,1
FBgn0256563,1,1,1
FBgn0256564,1,1,1
FBgn0256565,1,1,1
FBgn0256566,1,1,1
FBgn0256567,1,1,1
FBgn0256568,1,1,1
FBgn0256569,1,1,1
FBgn0256570,1,1,1
FBgn0256571,1,1,1
FBgn0256572,1,1,1
FBgn0256573,1,1,1
FBgn0256574,1,1,1
FBgn0256575,1,1,1
FBgn0256576,1,1,1
FBgn0256577,1,1,1
FBgn0256578,1,1,1
FBgn0256579,1,1,1
FBgn0256580,1,1,1
FBgn0256581,1,1,1
FBgn0256582,1,1,1
FBgn0256583,1,1,1
FBgn0256584,1,1,1
FBgn0256585,1,1,1
FBgn0256586,1,1,1
FBgn0256587,1,1,1
FBgn0256588,1,1,1
FBgn0256589,1,1,1
FBgn0256590,1,1,1
FBgn0256591,1,1,1
