gene_id,num_transcript,num_exon,num_uniq_exon
LOC107838686,1,2,2
LOC107838688,1,1,1
LOC107838690,2,4,4
LOC107838691,1,5,5
LOC107838692,1,2,2
LOC107838693,1,17,17
LOC107838694,3,9,6
LOC107838695,1,2,2
LOC107838696,1,3,3
LOC107838699,1,3,3
LOC107838702,1,1,1
LOC107838705,1,10,10
LOC107838706,1,2,2
LOC107838707,1,7,7
LOC107838708,3,65,26
LOC107838709,1,2,2
LOC107838710,1,17,17
LOC107838711,3,55,23
LOC107838712,1,11,11
LOC107838713,2,6,5
LOC107838714,1,4,4
LOC107838715,1,3,3
LOC107838716,1,2,2
LOC107838717,1,3,3
LOC107838718,1,2,2
LOC107838719,2,3,3
LOC107838720,1,2,2
LOC107838721,2,14,8
LOC107838722,1,4,4
LOC107838723,1,14,14
LOC107838724,1,2,2
LOC107838725,5,40,14
LOC107838726,1,4,4
LOC107838727,1,8,8
LOC107838728,4,32,10
LOC107838729,1,8,8
LOC107838730,5,30,10
LOC107838731,2,14,9
LOC107838733,1,7,7
LOC107838734,1,7,7
LOC107838735,1,2,2
LOC107838736,1,1,1
LOC107838737,2,20,12
LOC107838738,1,10,10
LOC107838739,1,4,4
LOC107838740,1,3,3
LOC107838741,2,38,20
LOC107838742,2,6,4
LOC107838743,1,6,6
LOC107838744,1,1,1
LOC107838745,1,1,1
LOC107838746,1,3,3
LOC107838747,3,11,6
LOC107838748,1,6,6
LOC107838749,2,22,12
LOC107838750,1,7,7
LOC107838751,1,5,5
LOC107838752,3,48,18
LOC107838753,1,3,3
LOC107838754,2,5,5
LOC107838755,2,7,5
LOC107838756,1,11,11
LOC107838757,1,3,3
LOC107838758,1,16,16
LOC107838759,1,2,2
LOC107838760,2,5,4
LOC107838761,1,2,2
LOC107838762,2,12,7
LOC107838763,1,6,6
LOC107838764,1,3,3
LOC107838765,1,7,7
LOC107838766,2,28,15
LOC107838767,1,3,3
LOC107838768,1,3,3
LOC107838769,1,8,8
LOC107838770,3,12,6
LOC107838771,2,4,4
LOC107838772,1,1,1
LOC107838773,3,13,7
LOC107838774,1,1,1
LOC107838775,1,4,4
LOC107838777,1,2,2
LOC107838778,1,4,4
LOC107838779,1,4,4
LOC107838780,3,23,9
LOC107838781,1,8,8
LOC107838782,2,24,13
LOC107838783,1,2,2
LOC107838784,1,3,3
LOC107838785,1,3,3
LOC107838786,1,23,23
LOC107838787,4,20,8
LOC107838788,1,30,30
LOC107838790,1,5,5
LOC107838791,1,7,7
LOC107838792,1,2,2
LOC107838794,2,5,3
LOC107838795,1,2,2
LOC107838796,1,7,7
LOC107838797,1,2,2
LOC107838798,2,12,7
LOC107838799,1,7,7
LOC107838800,1,5,5
LOC107838801,1,5,5
LOC107838802,1,2,2
LOC107838804,1,1,1
LOC107838805,1,13,13
LOC107838806,2,8,6
LOC107838807,1,10,10
LOC107838809,4,23,12
LOC107838812,6,62,16
LOC107838813,2,18,10
LOC107838814,5,41,13
LOC107838815,2,4,3
LOC107838816,5,41,15
LOC107838817,3,36,16
LOC107838818,1,2,2
LOC107838819,2,26,15
LOC107838820,1,4,4
LOC107838821,4,89,27
LOC107838822,1,1,1
LOC107838823,1,11,11
LOC107838824,2,15,9
LOC107838826,1,6,6
LOC107838827,2,5,4
LOC107838828,1,4,4
LOC107838829,2,22,12
LOC107838830,2,21,13
LOC107838831,1,5,5
LOC107838832,1,5,5
LOC107838834,3,36,18
LOC107838835,1,3,3
LOC107838837,2,26,16
LOC107838839,1,13,13
LOC107838841,9,45,13
LOC107838842,1,14,14
LOC107838843,1,22,22
LOC107838844,4,16,7
LOC107838845,2,26,14
LOC107838847,1,5,5
LOC107838848,1,2,2
LOC107838850,1,5,5
LOC107838851,1,7,7
LOC107838852,3,13,8
LOC107838853,4,36,12
LOC107838854,1,3,3
LOC107838855,3,15,9
LOC107838856,1,27,27
LOC107838858,1,5,5
LOC107838859,1,4,4
LOC107838860,1,4,4
LOC107838861,1,5,5
LOC107838863,1,1,1
LOC107838864,1,7,7
LOC107838865,1,1,1
LOC107838866,1,7,7
LOC107838868,1,3,3
LOC107838870,1,15,15
LOC107838872,6,72,20
LOC107838873,1,9,9
LOC107838875,1,10,10
LOC107838879,1,32,32
LOC107838880,3,28,11
LOC107838881,1,5,5
LOC107838884,5,18,7
LOC107838885,2,15,8
LOC107838886,1,2,2
LOC107838888,2,29,17
LOC107838890,1,15,15
LOC107838891,2,14,8
LOC107838892,2,10,7
LOC107838893,1,17,17
LOC107838895,1,15,15
LOC107838896,3,35,15
LOC107838897,2,18,10
LOC107838898,3,39,15
LOC107838900,1,4,4
LOC107838901,1,1,1
LOC107838902,2,10,7
LOC107838903,8,122,26
LOC107838904,1,2,2
LOC107838906,2,22,13
LOC107838907,2,6,5
LOC107838908,2,9,6
LOC107838909,1,4,4
LOC107838910,1,3,3
LOC107838912,17,175,29
LOC107838913,1,6,6
LOC107838915,1,2,2
LOC107838916,1,2,2
LOC107838917,1,4,4
LOC107838919,3,25,13
LOC107838920,6,22,10
LOC107838921,2,17,11
LOC107838922,1,6,6
LOC107838923,2,14,9
LOC107838924,1,7,7
LOC107838925,4,14,7
LOC107838926,1,6,6
LOC107838927,8,24,10
LOC107838928,13,115,20
LOC107838929,1,1,1
LOC107838930,3,31,13
LOC107838931,1,2,2
LOC107838932,4,48,15
LOC107838933,1,2,2
LOC107838934,1,9,9
LOC107838935,2,6,5
LOC107838936,2,19,12
LOC107838940,3,34,13
LOC107838941,4,28,11
LOC107838944,1,4,4
LOC107838945,1,1,1
LOC107838946,4,147,41
LOC107838947,1,3,3
LOC107838948,1,12,12
LOC107838949,1,1,1
LOC107838950,1,27,27
LOC107838951,5,95,25
LOC107838952,1,6,6
LOC107838953,1,4,4
LOC107838954,2,11,7
LOC107838957,1,1,1
LOC107838958,1,1,1
LOC107838959,1,10,10
LOC107838960,8,108,24
LOC107838961,1,7,7
LOC107838962,4,35,13
LOC107838963,2,11,8
LOC107838966,1,10,10
LOC107838967,5,22,11
LOC107838968,2,37,20
LOC107838969,1,5,5
LOC107838970,1,1,1
LOC107838971,1,19,19
LOC107838972,1,5,5
LOC107838973,1,2,2
LOC107838975,1,5,5
LOC107838976,3,15,8
LOC107838977,2,6,5
LOC107838978,6,19,9
LOC107838979,1,20,20
LOC107838981,1,9,9
LOC107838982,1,19,19
LOC107838983,3,14,9
LOC107838984,1,4,4
LOC107838985,2,24,14
LOC107838986,1,4,4
LOC107838987,3,33,13
LOC107838988,2,20,12
LOC107838989,4,38,11
LOC107838990,1,2,2
LOC107838991,5,72,20
LOC107838992,1,1,1
LOC107838993,2,4,3
LOC107838995,1,10,10
LOC107838997,3,23,12
LOC107838999,2,30,16
LOC107839000,2,6,4
LOC107839001,1,3,3
LOC107839002,1,3,3
LOC107839003,2,13,9
LOC107839005,2,14,8
LOC107839007,1,9,9
LOC107839009,2,14,8
LOC107839010,1,1,1
LOC107839011,1,6,6
LOC107839013,5,28,12
LOC107839015,2,12,9
LOC107839016,3,8,6
LOC107839017,1,4,4
LOC107839021,2,15,9
LOC107839022,1,8,8
LOC107839023,2,30,17
LOC107839024,1,8,8
LOC107839025,2,18,10
LOC107839029,1,12,12
LOC107839030,7,71,18
LOC107839031,1,4,4
LOC107839032,3,29,12
LOC107839033,5,93,26
LOC107839034,1,2,2
LOC107839037,1,25,25
LOC107839039,2,14,8
LOC107839040,1,10,10
LOC107839041,1,10,10
LOC107839042,1,4,4
LOC107839043,1,1,1
LOC107839044,1,4,4
LOC107839045,1,2,2
LOC107839047,4,42,18
LOC107839048,1,3,3
LOC107839049,1,9,9
LOC107839050,1,3,3
