transcript_id,num_exon
FBtr0114771,1
FBtr0114796,1
FBtr0114806,1
FBtr0114811,2
FBtr0114826,2
FBtr0114879,2
FBtr0114950,6
FBtr0115001,2
FBtr0115006,2
FBtr0115008,1
FBtr0115083,4
FBtr0115119,2
FBtr0115207,2
FBtr0115244,5
FBtr0115258,6
FBtr0115285,2
FBtr0115292,3
FBtr0115310,1
FBtr0115383,3
FBtr0115446,1
FBtr0115448,1
FBtr0115450,1
FBtr0115461,2
FBtr0115562,2
FBtr0115578,2
FBtr0115589,11
FBtr0115689,1
FBtr0115690,1
FBtr0115691,1
FBtr0115794,3
FBtr0115826,2
FBtr0115855,4
FBtr0115983,2
FBtr0116196,2
FBtr0116255,2
FBtr0116258,2
FBtr0116263,3
FBtr0116289,4
FBtr0116312,3
FBtr0116313,3
FBtr0116440,3
FBtr0116466,2
FBtr0116572,2
FBtr0116766,5
FBtr0116814,5
FBtr0116823,1
FBtr0116840,1
FBtr0116864,1
FBtr0116970,2
FBtr0116996,3
FBtr0117005,2
FBtr0117038,11
FBtr0117129,1
FBtr0117134,1
FBtr0117180,1
FBtr0117232,1
FBtr0117233,1
FBtr0117257,2
FBtr0117281,3
FBtr0117366,1
FBtr0117438,2
FBtr0117478,1
FBtr0117551,1
FBtr0117712,1
FBtr0117781,3
FBtr0117785,2
FBtr0117815,5
FBtr0117827,6
FBtr0117866,1
FBtr0117947,2
FBtr0118007,7
FBtr0118016,2
FBtr0118071,3
FBtr0118115,2
FBtr0118116,2
FBtr0118173,1
FBtr0118318,1
FBtr0118392,1
FBtr0118540,6
FBtr0118590,3
FBtr0118605,1
FBtr0118606,1
FBtr0118615,1
FBtr0118681,7
FBtr0118778,1
FBtr0118779,1
FBtr0118780,1
FBtr0118998,2
FBtr0119058,3
FBtr0119085,5
FBtr0119124,3
FBtr0119236,4
FBtr0119294,2
FBtr0119313,2
FBtr0119315,1
FBtr0119362,3
FBtr0119388,9
FBtr0119408,2
FBtr0119426,2
FBtr0119459,4
FBtr0119483,1
FBtr0119488,2
FBtr0119590,2
FBtr0119593,2
FBtr0119663,1
FBtr0119672,1
FBtr0119701,2
FBtr0119705,4
FBtr0119733,1
FBtr0120010,2
FBtr0120084,1
FBtr0120164,2
FBtr0120241,3
FBtr0120244,2
FBtr0120286,2
FBtr0120310,2
FBtr0120510,4
FBtr0120517,1
FBtr0120536,1
FBtr0120569,4
FBtr0120593,1
FBtr0120671,2
FBtr0120672,2
FBtr0120680,4
FBtr0120709,3
FBtr0120713,1
FBtr0120714,2
FBtr0120731,4
FBtr0120737,4
FBtr0120824,1
FBtr0120965,1
FBtr0121049,3
FBtr0121112,1
FBtr0121222,3
FBtr0121250,6
FBtr0121348,2
FBtr0121363,2
FBtr0121488,7
FBtr0121562,2
FBtr0121577,6
FBtr0121647,2
FBtr0121680,4
FBtr0121726,4
FBtr0121760,5
FBtr0121761,5
FBtr0121871,2
FBtr0121879,2
FBtr0121943,3
FBtr0121969,2
FBtr0122007,4
FBtr0122014,7
FBtr0122030,2
FBtr0122058,3
FBtr0122072,1
FBtr0122092,2
FBtr0122125,3
FBtr0122173,2
FBtr0122246,2
FBtr0122300,2
FBtr0122305,1
FBtr0122403,3
FBtr0122422,3
FBtr0122515,2
FBtr0122641,2
FBtr0122649,2
FBtr0122660,4
FBtr0122680,4
FBtr0122705,2
FBtr0122706,1
FBtr0122715,1
FBtr0122716,1
FBtr0122717,1
FBtr0122742,6
FBtr0123004,3
FBtr0123006,3
FBtr0123075,1
FBtr0123204,1
FBtr0123275,4
FBtr0123288,3
FBtr0123313,1
FBtr0123337,3
FBtr0123455,15
FBtr0123505,2
FBtr0123529,2
FBtr0123531,6
FBtr0123536,6
FBtr0123609,2
FBtr0123612,3
FBtr0123622,4
FBtr0123714,2
FBtr0123748,3
FBtr0123749,3
FBtr0123806,2
FBtr0123839,1
FBtr0123913,2
FBtr0123929,2
FBtr0124017,1
FBtr0124044,2
FBtr0124045,2
FBtr0124050,2
FBtr0124113,1
FBtr0124203,2
FBtr0124235,2
FBtr0124237,2
FBtr0124243,2
FBtr0124244,2
FBtr0124246,2
FBtr0124247,2
FBtr0124248,2
FBtr0124264,6
FBtr0124276,3
FBtr0124291,1
FBtr0124313,1
FBtr0124342,3
FBtr0124378,2
FBtr0124388,3
FBtr0124437,3
FBtr0124470,2
FBtr0124513,3
FBtr0124530,1
FBtr0124617,2
FBtr0124618,2
FBtr0124649,4
FBtr0124670,3
FBtr0124671,1
FBtr0124714,1
FBtr0124720,1
FBtr0124749,2
FBtr0124751,1
FBtr0124828,3
FBtr0124846,1
FBtr0124856,7
FBtr0124932,1
FBtr0124959,1
FBtr0125002,3
FBtr0125005,2
FBtr0125076,2
FBtr0125077,1
FBtr0125079,2
FBtr0125081,2
FBtr0125142,2
FBtr0125181,2
FBtr0125267,3
FBtr0125342,2
FBtr0125352,1
FBtr0125384,1
FBtr0125468,2
FBtr0125469,2
FBtr0125471,2
FBtr0125482,2
FBtr0125483,2
FBtr0125484,2
FBtr0125486,2
FBtr0125519,2
FBtr0125529,3
FBtr0125597,2
FBtr0125598,3
FBtr0125654,2
FBtr0125690,3
FBtr0125747,1
FBtr0125748,2
FBtr0125764,2
FBtr0125766,2
FBtr0125812,1
FBtr0125825,3
FBtr0125828,2
FBtr0125829,1
FBtr0125937,2
FBtr0125970,4
FBtr0126002,1
FBtr0126047,2
FBtr0126048,5
FBtr0126050,2
FBtr0126052,1
FBtr0126057,1
FBtr0126099,1
FBtr0126110,2
FBtr0126128,2
FBtr0126178,2
FBtr0126196,2
FBtr0126213,1
FBtr0126216,1
FBtr0126221,1
FBtr0126242,3
FBtr0126254,1
FBtr0126329,1
FBtr0126348,2
FBtr0126407,2
FBtr0126420,2
FBtr0126435,2
FBtr0126461,2
FBtr0126480,7
FBtr0126495,3
FBtr0126616,2
FBtr0126618,2
FBtr0126647,1
FBtr0126830,1
FBtr0126835,2
FBtr0126901,2
FBtr0126904,3
FBtr0126912,2
FBtr0126935,4
FBtr0127019,2
FBtr0127023,1
FBtr0127028,1
FBtr0127074,2
FBtr0127115,3
FBtr0127116,2
FBtr0127126,2
FBtr0127142,1
FBtr0127172,1
FBtr0127193,1
FBtr0127204,2
FBtr0127208,8
FBtr0127277,2
FBtr0127289,2
FBtr0127385,2
FBtr0127400,1
FBtr0127415,1
FBtr0127423,1
FBtr0127487,1
FBtr0127499,1
FBtr0127533,3
FBtr0127560,1
FBtr0127597,7
FBtr0127598,6
FBtr0127599,6
FBtr0127706,2
FBtr0128025,1
FBtr0128044,1
FBtr0128045,2
FBtr0128153,2
FBtr0128155,1
FBtr0128161,1
FBtr0128196,1
FBtr0128201,2
FBtr0128271,2
FBtr0128322,3
FBtr0128374,2
FBtr0128375,2
FBtr0128376,2
FBtr0128483,1
FBtr0128536,2
FBtr0128544,3
FBtr0128549,2
FBtr0128617,2
FBtr0128626,2
FBtr0128639,2
FBtr0128673,1
FBtr0128753,1
FBtr0128771,2
FBtr0128788,2
FBtr0128794,2
FBtr0128804,3
FBtr0128812,4
FBtr0128869,1
FBtr0128870,2
FBtr0128871,2
FBtr0128873,2
FBtr0128879,2
FBtr0128880,2
FBtr0128918,2
FBtr0128922,2
FBtr0128970,6
FBtr0129047,2
FBtr0129048,2
FBtr0129120,3
FBtr0129234,1
FBtr0129249,2
FBtr0129267,1
FBtr0129272,1
FBtr0129284,2
FBtr0129302,2
FBtr0129430,2
FBtr0129509,2
FBtr0129510,5
FBtr0129530,2
FBtr0129585,2
FBtr0129599,2
FBtr0129688,3
FBtr0129719,4
FBtr0129779,2
FBtr0129796,3
FBtr0129800,1
FBtr0129804,2
FBtr0129849,1
FBtr0129882,2
FBtr0129942,1
FBtr0129946,1
FBtr0129974,1
FBtr0290342,1
FBtr0290343,1
FBtr0290344,1
FBtr0290345,1
FBtr0290346,1
FBtr0290347,1
FBtr0290348,1
FBtr0290349,1
FBtr0290350,1
FBtr0290351,1
FBtr0290352,1
FBtr0290353,1
FBtr0290354,1
FBtr0290355,1
FBtr0290356,1
FBtr0290357,1
FBtr0290358,1
FBtr0290359,1
FBtr0290360,1
FBtr0290361,1
FBtr0290362,1
FBtr0290363,1
FBtr0290364,1
FBtr0290365,1
FBtr0290366,1
FBtr0290367,1
FBtr0290368,1
FBtr0290369,1
FBtr0290370,1
FBtr0290371,1
FBtr0290372,1
FBtr0290373,1
FBtr0290374,1
FBtr0290375,1
FBtr0290376,1
FBtr0290377,1
FBtr0290378,1
FBtr0290379,1
FBtr0290380,1
FBtr0290381,1
FBtr0290382,1
FBtr0290383,1
FBtr0290384,1
FBtr0290385,1
FBtr0290386,1
FBtr0290387,1
FBtr0290388,1
FBtr0290389,1
FBtr0290390,1
FBtr0290391,1
FBtr0290392,1
FBtr0290393,1
FBtr0290394,1
FBtr0290395,1
FBtr0290396,1
FBtr0290397,1
FBtr0290398,1
