gene_id,num_transcript,num_exon,num_uniq_exon
A1CF,4,49,15
A2ML1,9,319,46
A4GALT,1,1,1
A4GNT,4,28,20
AAAS,1,16,16
AACS,1,18,18
AADAT,5,74,19
AAED1,2,11,6
AAGAB,1,10,10
AAK1,7,136,23
AAMDC,2,8,5
AAMP,2,21,13
AANAT,1,4,4
AAR2,1,3,3
AARS,2,42,23
AARS2,1,22,22
AARSD1,1,12,12
AASDHPPT,2,11,6
AASS,1,24,24
AATF,4,46,16
AATK,3,33,13
ABAT,3,48,18
ABCA1,2,100,51
ABCA12,2,110,57
ABCA13,1,66,66
ABCA2,5,249,53
ABCA3,1,31,31
ABCA4,1,50,50
ABCA5,4,163,43
ABCA7,2,99,51
ABCB10,1,13,13
ABCB11,5,121,31
ABCB6,1,19,19
ABCB7,1,16,16
ABCB8,1,15,15
ABCB9,1,12,12
ABCC1,2,63,33
ABCC10,4,87,25
ABCC12,1,31,31
ABCC2,1,19,19
ABCC4,4,119,35
ABCC5,5,80,35
ABCC8,4,153,40
ABCC9,7,274,47
ABCD2,2,17,10
ABCD3,2,47,26
ABCD4,9,163,26
ABCE1,2,36,19
ABCF1,2,58,30
ABCF2,1,14,14
ABCF3,1,21,21
ABCG1,1,15,15
ABCG4,4,58,18
ABCG5,1,14,14
ABCG8,2,25,13
ABHD1,9,67,18
ABHD10,1,5,5
ABHD11,7,40,11
ABHD12,1,13,13
ABHD12B,3,39,15
ABHD13,2,4,3
ABHD14A,1,5,5
ABHD14B,1,4,4
ABHD15,1,3,3
ABHD16A,4,77,25
ABHD16B,1,1,1
ABHD17A,1,4,4
ABHD17B,2,8,5
ABHD17C,1,3,3
ABHD18,4,45,18
ABHD2,1,11,11
ABHD3,1,9,9
ABHD4,2,14,8
ABHD5,2,14,8
ABHD6,5,49,15
ABHD8,1,6,6
ABI1,13,131,17
ABI2,7,75,20
ABI3,2,16,9
ABI3BP,1,63,63
ABL1,2,22,12
ABL2,5,61,17
ABLIM1,13,308,35
ABLIM2,9,177,31
ABLIM3,10,227,29
ABRA,1,2,2
ABRACL,5,16,7
ABT1,1,4,4
ABTB1,1,12,12
ABTB2,1,17,17
ACAA1,1,12,12
ACAA2,1,10,10
ACACA,9,494,62
ACACB,7,368,61
ACAD10,1,20,20
ACAD11,1,20,20
ACAD8,1,10,10
ACAD9,1,18,18
ACADL,2,23,13
ACADM,1,14,14
ACADS,6,56,19
ACADSB,2,22,12
ACADVL,2,39,20
ACAN,7,134,26
ACAP1,1,20,20
ACAP2,3,68,27
ACAP3,6,151,31
ACAT1,1,12,12
ACAT2,1,9,9
ACBD3,1,8,8
ACBD4,2,22,12
ACBD5,5,70,19
ACBD6,2,16,9
ACBD7,1,4,4
ACCS,1,15,15
ACD,3,41,15
ACE,1,25,25
ACE2,1,18,18
ACER1,2,14,9
ACER2,1,10,10
ACER3,1,11,11
ACHE,2,10,6
ACIN1,4,71,21
ACKR1,1,2,2
ACKR2,1,2,2
ACKR3,4,9,6
ACKR4,2,5,4
ACLY,3,86,30
ACMSD,3,28,13
ACO1,2,42,22
ACO2,1,18,18
ACOD1,3,16,8
ACOT11,4,67,19
ACOT12,3,46,19
ACOT7,3,29,11
ACOT8,1,6,6
ACOT9,6,96,19
ACOX1,4,53,17
ACOX2,4,58,17
ACP1,2,12,7
ACP2,1,10,10
ACP5,3,15,7
ACP6,2,21,12
ACP7,1,9,9
ACRBP,1,6,6
ACSBG1,5,63,18
ACSBG2,2,30,16
ACSF2,1,16,16
ACSF3,4,39,16
ACSL1,4,87,25
ACSL3,3,47,18
ACSL4,6,105,20
ACSL5,4,87,24
ACSL6,6,126,28
ACSM3,1,14,14
ACSS1,1,14,14
ACSS2,4,73,20
ACSS3,4,61,20
ACTA1,1,7,7
ACTA2,1,9,9
ACTB,1,8,8
ACTBL2,2,3,3
ACTC1,1,6,6
ACTG2,2,18,10
ACTL6A,1,14,14
ACTL6B,2,28,15
ACTL7A,1,1,1
ACTL9,1,1,1
ACTN1,5,107,25
ACTN2,5,105,25
ACTN4,2,42,22
ACTR10,1,13,13
ACTR1A,1,11,11
ACTR2,1,9,9
ACTR3,1,12,12
ACTR3B,6,75,19
ACTR6,1,11,11
ACTR8,1,13,13
ACTRT3,3,6,4
ACVR1,9,91,19
ACVR1B,1,8,8
ACVR1C,1,10,10
ACVR2A,1,11,11
ACVR2B,4,44,14
ACVRL1,1,11,11
ACY1,3,45,17
ACY3,2,14,10
ACYP1,5,13,7
ACYP2,9,36,15
ADA,1,11,11
ADAD1,6,83,21
ADAD2,1,8,8
ADAL,3,29,14
ADAM10,1,16,16
ADAM11,2,50,26
ADAM12,2,48,25
ADAM15,1,30,30
ADAM17,1,19,19
ADAM19,1,23,23
ADAM22,13,402,45
ADAM23,7,180,32
ADAM28,2,48,26
ADAM33,2,48,25
ADAM8,2,45,24
ADAMTS1,1,8,8
ADAMTS10,4,88,28
ADAMTS12,3,71,26
ADAMTS13,4,126,33
ADAMTS14,4,88,27
ADAMTS15,1,7,7
ADAMTS16,4,91,27
ADAMTS17,2,47,25
ADAMTS18,2,43,24
ADAMTS19,3,69,26
ADAMTS2,1,21,21
ADAMTS20,1,39,39
ADAMTS3,1,22,22
ADAMTS4,1,9,9
ADAMTS5,1,8,8
ADAMTS6,3,71,27
ADAMTS7,1,24,24
ADAMTS8,1,8,8
ADAMTS9,1,41,41
ADAMTSL1,10,298,40
ADAMTSL2,6,118,28
ADAMTSL3,2,60,35
ADAMTSL4,2,34,19
ADAP1,3,32,13
ADAP2,5,51,16
ADAR,4,60,19
ADARB1,8,98,18
ADARB2,1,10,10
ADAT1,3,27,11
ADAT2,1,6,6
ADAT3,1,2,2
ADCK1,9,97,17
ADCK2,6,53,14
ADCK5,1,15,15
ADCY1,1,21,21
ADCY10,1,36,36
ADCY2,3,74,27
ADCY3,2,41,22
ADCY4,4,102,31
ADCY5,1,22,22
ADCY6,1,23,23
ADCY7,1,27,27
ADCY8,1,20,20
ADCY9,2,20,11
ADCYAP1,1,5,5
ADCYAP1R1,1,14,14
ADD1,8,127,24
ADD2,1,15,15
ADD3,9,143,22
ADGB,6,212,39
ADGRA1,4,48,23
ADGRA2,2,37,20
ADGRA3,2,37,19
ADGRB1,2,63,33
ADGRB2,1,4,4
ADGRB3,4,125,36
ADGRD1,2,51,27
ADGRD2,3,73,27
ADGRE5,2,31,16
ADGRF3,1,12,12
ADGRF5,8,164,26
ADGRG1,1,14,14
ADGRG2,1,33,33
ADGRG3,1,12,12
ADGRG4,4,107,29
ADGRG5,2,26,14
ADGRG6,5,125,29
ADGRL1,6,133,29
ADGRL2,9,208,34
ADGRL3,12,283,31
ADGRL4,6,100,24
ADGRV1,1,90,90
ADHFE1,4,56,19
ADI1,2,8,5
ADIPOQ,2,6,4
ADIPOR1,2,15,10
ADIPOR2,2,16,9
ADK,3,33,13
ADM,1,4,4
ADM2,3,6,4
ADNP,5,23,8
ADNP2,2,9,6
ADO,1,1,1
ADORA1,1,2,2
ADORA2A,1,3,3
ADORA2B,4,14,9
ADPGK,1,7,7
ADPRH,2,8,5
ADPRHL1,4,31,13
ADPRHL2,1,5,5
ADPRM,1,3,3
ADRA1A,2,7,5
ADRA1B,2,4,4
ADRA1D,1,2,2
ADRA2A,1,1,1
ADRA2C,1,1,1
ADRB1,1,1,1
ADRB2,1,2,2
ADRB3,1,3,3
ADRM1,1,9,9
ADSL,3,38,15
ADSS,3,39,15
ADSSL1,1,12,12
ADTRP,1,6,6
AEBP1,2,39,20
AEBP2,2,17,11
AES,2,12,7
AFAP1,5,89,22
AFAP1L1,1,19,19
AFAP1L2,4,78,23
AFDN,18,598,44
AFF1,9,202,34
AFF2,3,63,23
AFF3,1,22,22
AFF4,1,22,22
AFG3L2,2,34,18
AFMID,1,9,9
AFTPH,4,33,12
AGA,2,18,11
AGAP1,5,95,23
AGBL1,1,23,23
AGBL2,7,120,22
AGFG1,7,91,20
AGFG2,6,69,15
AGGF1,2,28,15
AGK,2,32,19
AGL,4,135,39
AGMAT,1,7,7
