gene_id,num_transcript,num_exon,num_uniq_exon
A1BG,2,16,9
A1CF,4,48,15
A2M,2,71,38
A2ML1,5,172,41
A3GALT2,1,4,4
A4GALT,8,23,10
A4GNT,1,3,3
AAAS,4,62,19
AACS,4,69,19
AADAC,1,6,6
AADACL2,1,5,5
AADACL3,1,4,4
AADACL4,1,4,4
AADAT,3,40,17
AAED1,2,11,6
AAGAB,6,59,15
AAK1,9,186,25
AAMDC,7,30,13
AAMP,2,22,14
AANAT,7,35,14
AAR2,3,12,7
AARD,1,2,2
AARS,1,21,21
AARS2,2,42,24
AARSD1,3,35,14
AASDH,14,198,23
AASDHPPT,2,12,7
AASS,7,157,33
AATF,1,12,12
AATK,13,177,25
ABAT,7,114,27
ABCA1,6,298,54
ABCA10,2,70,41
ABCA12,1,53,53
ABCA13,6,356,67
ABCA2,4,194,52
ABCA3,2,61,34
ABCA4,1,49,49
ABCA5,5,192,45
ABCA6,7,263,47
ABCA7,11,500,57
ABCA8,4,147,41
ABCA9,20,750,62
ABCB1,1,30,30
ABCB10,3,37,14
ABCB11,2,54,29
ABCB4,4,113,34
ABCB5,1,27,27
ABCB6,4,71,22
ABCB7,3,46,19
ABCB8,5,78,22
ABCB9,17,232,27
ABCC1,15,463,37
ABCC10,18,381,44
ABCC11,1,30,30
ABCC12,8,231,43
ABCC2,6,187,40
ABCC3,2,57,33
ABCC4,5,149,36
ABCC5,7,159,38
ABCC8,11,422,46
ABCC9,7,272,44
ABCD1,1,10,10
ABCD2,3,29,12
ABCD3,9,193,33
ABCD4,25,432,28
ABCE1,2,36,21
ABCF1,5,123,33
ABCF2,3,46,19
ABCF3,3,58,27
ABCG1,9,133,25
ABCG2,6,96,23
ABCG4,3,44,17
ABCG5,2,24,14
ABCG8,5,66,17
ABHD1,2,17,9
ABHD10,1,5,5
ABHD11,7,38,16
ABHD11-AS1,1,4,4
ABHD12,6,69,20
ABHD12B,1,13,13
ABHD13,1,2,2
ABHD14A,3,15,7
ABHD14B,2,7,4
ABHD15,1,2,2
ABHD16A,4,76,24
ABHD16B,1,1,1
ABHD17A,2,9,6
ABHD17B,3,15,7
ABHD17C,1,3,3
ABHD18,13,140,24
ABHD2,5,60,19
ABHD3,5,36,15
ABHD4,2,14,8
ABHD5,1,7,7
ABHD6,6,56,16
ABHD8,1,5,5
ABI1,18,183,14
ABI2,27,293,23
ABI3,8,62,14
ABI3BP,50,3188,69
ABL1,3,34,14
ABL2,9,106,22
ABLIM1,39,789,41
ABLIM2,36,697,41
ABLIM3,8,174,26
ABO,17,110,22
ABR,8,161,31
ABRA,1,2,2
ABRACL,1,3,3
ABRAXAS1,2,16,10
ABRAXAS2,1,9,9
ABT1,1,3,3
ABTB1,8,94,23
ABTB2,1,17,17
ACAA1,2,23,13
ACAA2,4,40,13
ACACA,11,602,69
ACACB,9,471,62
ACAD10,14,302,32
ACAD11,2,40,22
ACAD8,12,134,23
ACAD9,4,69,21
ACADL,3,33,15
ACADM,3,34,16
ACADS,1,10,10
ACADSB,2,22,12
ACADVL,6,113,23
ACAN,1,19,19
ACAP1,4,86,25
ACAP2,13,323,34
ACAP3,1,15,15
ACAT1,1,12,12
ACAT2,1,9,9
ACBD3,2,16,9
ACBD4,18,180,27
ACBD5,19,241,23
ACBD6,6,55,15
ACBD7,2,9,8
ACCS,5,72,20
ACCSL,2,28,16
ACD,1,13,13
ACE,4,87,29
ACE2,2,33,19
ACER1,1,6,6
ACER2,5,33,18
ACER3,3,32,13
ACHE,11,59,16
ACIN1,8,137,25
ACKR1,1,2,2
ACKR2,2,4,3
ACKR3,4,9,7
ACKR4,1,2,2
ACLY,7,196,35
ACMSD,6,60,16
ACO1,3,61,24
ACO2,1,18,18
ACOD1,1,5,5
ACOT11,8,130,25
ACOT12,3,44,17
ACOT13,2,6,5
ACOT2,3,11,6
ACOT4,1,3,3
ACOT6,1,4,4
ACOT7,3,27,11
ACOT8,2,11,7
ACOT9,1,10,10
ACOX1,4,57,19
ACOX2,4,59,20
ACOX3,7,125,22
ACOXL,1,20,20
ACP1,5,29,12
ACP2,2,21,14
ACP4,1,11,11
ACP5,4,27,10
ACP6,2,20,11
ACP7,5,65,18
ACPP,3,30,13
ACR,2,10,6
ACRBP,1,12,12
ACRV1,4,16,7
ACSBG1,1,14,14
ACSBG2,8,113,24
ACSF2,1,16,16
ACSF3,14,143,25
ACSL1,14,293,36
ACSL3,3,48,18
ACSL4,8,124,27
ACSL5,3,63,23
ACSL6,11,231,30
ACSM1,1,15,15
ACSM2A,3,44,18
ACSM2B,3,42,16
ACSM3,4,53,19
ACSM4,1,14,14
ACSM5,2,28,16
