transcript_id,num_exon
FBtr0209987,3
FBtr0209992,2
FBtr0210685,1
FBtr0210687,1
FBtr0210703,1
FBtr0210721,5
FBtr0210779,1
FBtr0210832,2
FBtr0210927,2
FBtr0210993,2
FBtr0210999,2
FBtr0211160,1
FBtr0211165,2
FBtr0211251,5
FBtr0211276,2
FBtr0211327,2
FBtr0211386,1
FBtr0211405,1
FBtr0211406,1
FBtr0211633,2
FBtr0211662,1
FBtr0211680,2
FBtr0211704,1
FBtr0211829,2
FBtr0211867,2
FBtr0211992,2
FBtr0212192,2
FBtr0212356,2
FBtr0212406,2
FBtr0212407,2
FBtr0212408,2
FBtr0212491,1
FBtr0212492,1
FBtr0212493,1
FBtr0212504,1
FBtr0212639,1
FBtr0212704,1
FBtr0212708,1
FBtr0212734,1
FBtr0213007,3
FBtr0213103,3
FBtr0213223,2
FBtr0213450,2
FBtr0213482,1
FBtr0213576,1
FBtr0213644,3
FBtr0214189,1
FBtr0214198,1
FBtr0214223,2
FBtr0214224,1
FBtr0214245,2
FBtr0214378,1
FBtr0214523,2
FBtr0214524,2
FBtr0214660,1
FBtr0214775,2
FBtr0214828,1
FBtr0214833,2
FBtr0214956,1
FBtr0215002,2
FBtr0215078,2
FBtr0215087,2
FBtr0215130,2
FBtr0215407,1
FBtr0215652,1
FBtr0216063,2
FBtr0216173,2
FBtr0216248,1
FBtr0216249,1
FBtr0216259,2
FBtr0216507,2
FBtr0216669,2
FBtr0216956,1
FBtr0217080,2
FBtr0217334,2
FBtr0217396,3
FBtr0217406,1
FBtr0217448,1
FBtr0218713,2
FBtr0218817,1
FBtr0218873,1
FBtr0218918,1
FBtr0219035,3
FBtr0219041,2
FBtr0219049,1
FBtr0219085,2
FBtr0219138,1
FBtr0219265,2
FBtr0219312,2
FBtr0219323,3
FBtr0219481,3
FBtr0219507,2
FBtr0219843,2
FBtr0219848,2
FBtr0220132,2
FBtr0220411,1
FBtr0221840,2
FBtr0221844,2
FBtr0221903,2
FBtr0222147,1
FBtr0222148,2
FBtr0222150,1
FBtr0222372,3
FBtr0222374,2
FBtr0222390,1
FBtr0222437,2
FBtr0222443,1
FBtr0222789,2
FBtr0222953,1
FBtr0222996,1
FBtr0222997,1
FBtr0223035,2
FBtr0223087,3
FBtr0223138,1
FBtr0223165,1
FBtr0223177,1
FBtr0223634,1
FBtr0223635,1
FBtr0223882,3
FBtr0223964,2
FBtr0224000,1
FBtr0224092,2
FBtr0224244,2
FBtr0224562,2
FBtr0224805,2
FBtr0224986,2
FBtr0225078,1
FBtr0225156,2
FBtr0225305,2
FBtr0225306,2
FBtr0225374,2
FBtr0225397,2
FBtr0225404,1
FBtr0225531,2
FBtr0225798,1
FBtr0225844,1
FBtr0225849,1
FBtr0347614,2
FBtr0347615,2
FBtr0347621,3
FBtr0347625,8
FBtr0347629,3
FBtr0347633,2
FBtr0347647,1
FBtr0347648,1
FBtr0347651,1
FBtr0347655,2
FBtr0347667,3
FBtr0347668,3
FBtr0347670,2
FBtr0347676,1
FBtr0347677,10
FBtr0347681,3
FBtr0347684,2
FBtr0347686,2
FBtr0347692,2
FBtr0347705,16
FBtr0347706,11
FBtr0347709,2
FBtr0347712,3
FBtr0347719,5
