transcript_id,num_exon
LOC106482055,5
LOC106484835,3
LOC106486235,2
LOC106488036,5
LOC106489013,2
LOC106489014,3
LOC106491041,3
LOC106491042,1
LOC106496885,5
LOC106497168,6
LOC106498839,2
LOC106498840,5
LOC106498841,12
LOC106498842,1
LOC106498843,4
LOC106498844,1
LOC106498845,2
LOC106498846,4
LOC106498847,2
LOC106498848,2
LOC106498850,2
LOC106498851,4
LOC106498853,2
LOC106498854,2
TRNAA-AGC,1
TRNAA-AGC_1,1
TRNAA-AGC_2,1
TRNAA-AGC_3,1
TRNAA-AGC_4,1
TRNAA-AGC_5,1
TRNAA-AGC_6,1
TRNAA-AGC_7,1
TRNAA-AGC_8,1
TRNAA-CGC,1
TRNAA-UGC,1
TRNAA-UGC_1,1
TRNAA-UGC_10,1
TRNAA-UGC_2,1
TRNAA-UGC_3,1
TRNAA-UGC_4,1
TRNAA-UGC_5,1
TRNAA-UGC_6,1
TRNAA-UGC_7,1
TRNAA-UGC_8,1
TRNAA-UGC_9,1
TRNAC-GCA,1
TRNAC-GCA_1,1
TRNAC-GCA_2,1
TRNAC-GCA_3,1
TRNAC-GCA_4,1
TRNAC-GCA_5,1
TRNAC-GCA_6,1
TRNAC-GCA_7,1
TRNAD-GUC,1
TRNAD-GUC_1,1
TRNAD-GUC_2,1
TRNAD-GUC_3,1
TRNAD-GUC_4,1
TRNAD-GUC_5,1
TRNAD-GUC_6,1
TRNAD-GUC_7,1
TRNAE-CUC,1
TRNAE-CUC_1,1
TRNAE-CUC_2,1
TRNAE-CUC_3,1
TRNAE-CUC_4,1
TRNAE-CUC_5,1
TRNAE-UUC,1
TRNAE-UUC_1,1
TRNAE-UUC_2,1
TRNAE-UUC_3,1
TRNAE-UUC_4,1
TRNAF-GAA,1
TRNAF-GAA_1,1
TRNAF-GAA_2,1
TRNAF-GAA_3,1
TRNAG-CCC,1
TRNAG-CCC_1,1
TRNAG-CCC_2,1
TRNAG-CCC_3,1
TRNAG-GCC,1
TRNAG-GCC_1,1
TRNAG-GCC_10,1
TRNAG-GCC_11,1
TRNAG-GCC_12,1
TRNAG-GCC_13,1
TRNAG-GCC_14,1
TRNAG-GCC_15,1
TRNAG-GCC_2,1
TRNAG-GCC_3,1
TRNAG-GCC_4,1
TRNAG-GCC_5,1
TRNAG-GCC_6,1
TRNAG-GCC_7,1
TRNAG-GCC_8,1
TRNAG-GCC_9,1
TRNAG-UCC,1
TRNAG-UCC_1,1
TRNAH-GUG,1
TRNAH-GUG_1,1
TRNAH-GUG_2,1
TRNAH-GUG_3,1
TRNAI-AAU,1
TRNAI-AAU_1,1
TRNAI-AAU_2,1
TRNAI-AAU_3,1
TRNAI-UAU,2
TRNAK-CUU,1
TRNAK-CUU_1,1
TRNAK-CUU_2,1
TRNAK-CUU_3,1
TRNAK-CUU_4,1
TRNAK-CUU_5,1
TRNAK-CUU_6,1
TRNAK-UUU,1
TRNAK-UUU_1,1
TRNAK-UUU_2,1
TRNAL-AAG,1
TRNAL-AAG_1,1
TRNAL-AAG_2,1
TRNAL-AAG_3,1
TRNAL-AAG_4,1
TRNAL-AAG_5,1
TRNAL-AAG_6,1
TRNAL-CAA,2
TRNAL-CAA_1,2
TRNAL-CAA_2,2
TRNAL-CAG,1
TRNAL-CAG_1,1
TRNAL-CAG_2,1
TRNAL-CAG_3,1
TRNAL-CAG_4,1
TRNAL-CAG_5,1
TRNAL-CAG_6,1
TRNAL-UAA,1
TRNAL-UAA_1,1
TRNAL-UAG,1
TRNAM-CAU,1
TRNAM-CAU_1,1
TRNAM-CAU_2,1
TRNAM-CAU_3,1
TRNAM-CAU_4,1
TRNAM-CAU_5,1
TRNAM-CAU_6,1
TRNAN-GUU,1
TRNAN-GUU_1,1
TRNAN-GUU_2,1
TRNAN-GUU_3,1
TRNAN-GUU_4,1
TRNAN-GUU_5,1
TRNAP-AGG,1
TRNAP-AGG_1,1
TRNAP-AGG_2,1
TRNAP-AGG_3,1
TRNAP-AGG_4,1
TRNAP-AGG_5,1
TRNAP-AGG_6,1
TRNAP-AGG_7,1
TRNAP-CGG,1
TRNAP-CGG_1,1
TRNAP-CGG_2,1
TRNAP-CGG_3,1
TRNAP-CGG_4,1
TRNAP-CGG_5,1
TRNAP-CGG_6,1
TRNAP-CGG_7,1
TRNAP-UGG,1
TRNAP-UGG_1,1
TRNAP-UGG_2,1
TRNAP-UGG_3,1
TRNAP-UGG_4,1
TRNAP-UGG_5,1
TRNAP-UGG_6,1
TRNAP-UGG_7,1
TRNAQ-CUG,1
TRNAQ-CUG_1,1
TRNAQ-UUG,1
TRNAQ-UUG_1,1
TRNAQ-UUG_2,1
TRNAR-ACG,1
TRNAR-ACG_1,1
TRNAR-ACG_2,1
TRNAR-ACG_3,1
TRNAR-ACG_4,1
TRNAR-ACG_5,1
TRNAR-CCG,1
TRNAR-CCG_1,1
TRNAR-CCU,1
TRNAR-CCU_1,1
TRNAR-CCU_2,1
TRNAR-UCG,1
TRNAR-UCG_1,1
TRNAR-UCG_2,1
TRNAR-UCG_3,1
TRNAR-UCG_4,1
TRNAR-UCU,2
TRNAR-UCU_1,2
TRNAR-UCU_2,1
TRNAR-UCU_3,1
TRNAR-UCU_4,2
TRNAS-AGA,1
TRNAS-AGA_1,1
TRNAS-AGA_2,1
TRNAS-AGA_3,1
TRNAS-CGA,1
TRNAS-CGA_1,1
TRNAS-GCU,1
TRNAS-GCU_1,1
TRNAS-GCU_2,1
TRNAS-GCU_3,1
TRNAS-GCU_4,1
TRNAS-GCU_5,1
TRNAS-GCU_6,1
TRNAS-UGA,1
TRNAS-UGA_1,1
TRNAS-UGA_2,1
TRNAS-UGA_3,1
TRNAS-UGA_4,1
TRNASTOP-UCA,1
TRNAT-AGU,1
TRNAT-AGU_1,1
TRNAT-AGU_2,1
TRNAT-AGU_3,1
TRNAT-AGU_4,1
TRNAT-UGU,1
TRNAT-UGU_1,1
TRNAT-UGU_2,1
TRNAV-AAC,1
TRNAV-AAC_1,1
TRNAV-AAC_2,1
TRNAV-AAC_3,1
TRNAV-AAC_4,1
TRNAV-AAC_5,1
TRNAV-AAC_6,1
TRNAV-CAC,1
TRNAV-CAC_1,1
TRNAV-CAC_2,1
TRNAV-CAC_3,1
TRNAV-GAC,1
TRNAV-UAC,1
TRNAV-UAC_1,1
TRNAV-UAC_2,1
TRNAV-UAC_3,1
TRNAW-CCA,1
TRNAW-CCA_1,1
TRNAW-CCA_2,1
TRNAW-CCA_3,1
TRNAW-CCA_4,1
TRNAY-GUA,2
XM_013939489.1,1
XM_013939490.1,10
XM_013939491.1,10
XM_013939492.1,3
XM_013939493.1,3
XM_013939494.1,66
XM_013939495.1,23
XM_013939496.1,4
XM_013939497.1,9
XM_013939498.1,13
XM_013939499.1,8
XM_013939500.1,2
XM_013939501.1,2
XM_013939502.1,2
XM_013939503.1,1
XM_013939504.1,2
XM_013939505.1,3
XM_013939506.1,5
XM_013939507.1,7
XM_013939508.1,44
XM_013939509.1,17
XM_013939510.1,18
XM_013939511.1,15
XM_013939512.1,18
XM_013939513.1,19
XM_013939514.1,16
XM_013939515.1,2
XM_013939516.1,10
XM_013939517.1,9
XM_013939518.1,4
XM_013939519.1,41
XM_013939520.1,8
XM_013939521.1,4
XM_013939522.1,7
XM_013939523.1,5
XM_013939524.1,14
XM_013939525.1,7
XM_013939526.1,2
XM_013939527.1,5
XM_013939528.1,8
XM_013939529.1,7
XM_013939530.1,5
XM_013939531.1,5
XM_013939532.1,5
XM_013939533.1,5
XM_013939534.1,2
XM_013939535.1,3
XM_013939536.1,2
XM_013939537.1,4
XM_013939538.1,11
XM_013939539.1,3
XM_013939540.1,17
XM_013939541.1,6
XM_013939542.1,24
XM_013939543.1,1
XM_013939544.1,4
XM_013939545.1,12
XM_013939546.1,12
XM_013939547.1,4
XM_013939548.1,16
XM_013939549.1,3
XM_013939550.1,7
XM_013939551.1,8
XM_013939552.1,3
XM_013939553.1,6
XM_013939554.1,18
XM_013939555.1,5
XM_013939556.1,7
XM_013939557.1,5
XM_013939558.1,15
XM_013939559.1,12
XM_013939560.1,12
XM_013939561.1,12
XM_013939562.1,9
XM_013939563.1,6
XM_013939564.1,19
XM_013939565.1,6
XM_013939566.1,4
XM_013939567.1,2
XM_013939568.1,7
XM_013939569.1,5
XM_013939570.1,2
XM_013939571.1,4
XM_013939572.1,2
XM_013939573.1,6
XM_013939574.1,7
XM_013939575.1,4
XM_013939576.1,7
XM_013939577.1,3
XM_013939578.1,6
XM_013939579.1,49
XM_013939580.1,7
XM_013939581.1,7
XM_013939582.1,2
XM_013939583.1,7
XM_013939584.1,13
XM_013939585.1,1
XM_013939586.1,1
XM_013939587.1,3
XM_013939588.1,5
XM_013939589.1,5
XM_013939590.1,11
XM_013939591.1,11
XM_013939592.1,10
XM_013939593.1,10
XM_013939594.1,17
XM_013939595.1,45
XM_013939596.1,1
XM_013939597.1,7
