transcript_id,num_exon
XM_001828075.2,3
XM_001828077.2,6
XM_001828079.2,2
XM_001828081.1,2
XM_001828082.2,6
XM_001828085.2,9
XM_001828086.2,11
XM_001828088.1,8
XM_001828089.2,7
XM_001828098.2,7
XM_001828099.1,2
XM_001828107.2,6
XM_001828108.2,2
XM_001828111.2,8
XM_001828113.1,3
XM_001828114.2,2
XM_001828115.2,2
XM_001828116.2,1
XM_001828117.2,4
XM_001828118.2,2
XM_001828119.2,10
XM_001828121.1,7
XM_001828122.2,10
XM_001828125.2,7
XM_001828127.2,4
XM_001828134.2,3
XM_001828135.2,10
XM_001828136.1,9
XM_001828139.2,9
XM_001828140.2,4
XM_001828141.1,4
XM_001828151.1,10
XM_001828154.1,8
XM_001828155.2,2
XM_001828158.2,13
XM_001828159.2,4
XM_001828160.1,4
XM_001828161.1,1
XM_001828162.1,4
XM_001828166.1,2
XM_001828167.1,4
XM_001828168.2,16
XM_001828169.2,2
XM_001828170.2,14
XM_001828171.2,5
XM_001828172.2,9
XM_001828173.2,3
XM_001828174.2,23
XM_001828175.2,10
XM_001828176.2,4
XM_001828177.2,5
XM_001828178.2,7
XM_001828179.1,12
XM_001828180.2,13
XM_001828182.1,4
XM_001828184.1,4
XM_001828185.2,4
XM_001828186.2,1
XM_001828188.1,1
XM_001828190.1,3
XM_001828191.2,6
XM_001828192.1,5
XM_001828193.1,3
XM_001828194.2,3
XM_001828195.1,2
XM_001828196.2,2
XM_001828197.1,3
XM_001828198.2,3
XM_001828199.2,7
XM_001828200.2,4
XM_001828202.2,15
XM_001828203.2,1
XM_001828204.1,3
XM_001828205.2,12
XM_001828206.2,1
XM_001828207.2,12
XM_001828208.2,5
XM_001828209.1,1
XM_001828210.2,11
XM_001828211.2,1
XM_001828212.2,15
XM_001828213.2,16
XM_001828214.2,6
XM_001828215.1,3
XM_001828216.2,11
XM_001828217.2,4
XM_001828218.2,9
XM_001828219.2,6
XM_001828220.1,4
XM_001828221.1,7
XM_001828222.1,5
XM_001828223.2,11
XM_001828225.2,7
XM_001828227.1,12
XM_001828228.2,8
XM_001828229.1,2
XM_001828230.1,4
XM_001828231.2,4
XM_001828232.2,5
XM_001828236.1,7
XM_001828237.1,5
XM_001828238.1,4
XM_001828239.2,10
XM_001828240.2,16
XM_001828241.2,2
XM_001828243.2,9
XM_001828244.2,10
XM_001828245.2,11
XM_001828246.2,8
XM_001828247.1,12
XM_001828248.2,9
XM_001828249.2,17
XM_001828250.2,19
XM_001828251.2,2
XM_001828252.1,1
XM_001828253.2,4
XM_001828254.2,9
XM_001828255.2,4
XM_001828263.1,3
XM_001828265.2,19
XM_001828266.2,10
XM_001828267.2,4
XM_001828268.1,11
XM_001828269.1,1
XM_001828270.2,13
XM_001828273.2,1
XM_001828274.2,6
XM_001828275.2,8
XM_001828280.1,3
XM_001828282.1,5
XM_001828283.1,2
XM_001828285.1,2
XM_001828287.1,2
XM_001828289.2,14
XM_001828290.2,5
XM_001828291.1,4
XM_001828293.2,6
XM_001828295.1,4
XM_001828296.2,6
XM_001828297.2,5
XM_001828298.2,7
XM_001828299.1,5
XM_001828300.2,4
XM_001828302.1,5
XM_001828303.1,7
XM_001828306.2,6
XM_001828307.2,26
XM_001828308.2,14
XM_001828310.1,2
XM_001828311.2,5
XM_001828313.1,5
XM_001828314.1,5
XM_001828316.2,6
XM_001828317.2,6
XM_001828318.1,3
XM_001828319.1,7
XM_001828320.2,5
XM_001828321.2,7
XM_001828322.2,4
XM_001828323.2,8
XM_001828324.2,6
XM_001828325.2,9
XM_001828326.2,1
XM_001828327.2,11
XM_001828328.1,8
XM_001828329.1,3
XM_001828330.2,2
XM_001828331.2,11
XM_001828332.2,5
XM_001828333.2,6
XM_001828334.2,7
XM_001828335.1,11
XM_001828337.2,5
XM_001828338.2,3
XM_001828340.1,1
XM_001828344.1,4
XM_001828345.1,8
XM_001828346.2,7
XM_001828347.2,10
XM_001828348.1,3
XM_001828352.1,2
XM_001828353.1,2
XM_001828354.1,5
XM_001828355.2,2
XM_001828356.2,1
XM_001828357.2,6
XM_001828358.2,8
XM_001828359.2,8
XM_001828360.1,12
XM_001828361.2,7
XM_001828362.2,10
XM_001828364.1,1
XM_001828365.2,4
XM_001828367.1,2
XM_001828368.2,5
XM_001828369.1,5
XM_001828370.2,8
XM_001828371.2,5
XM_001828372.2,5
XM_001828373.2,4
XM_001828374.2,4
XM_001828375.1,5
XM_001828379.1,4
XM_001828380.2,3
XM_001828381.2,16
XM_001828382.2,6
XM_001828383.2,9
XM_001828384.2,14
XM_001828385.2,5
XM_001828386.2,4
XM_001828387.2,8
XM_001828388.1,2
XM_001828391.2,4
XM_001828395.2,4
XM_001828396.2,6
XM_001828397.1,4
XM_001828398.2,6
XM_001828400.2,8
XM_001828401.1,3
XM_001828402.2,9
XM_001828403.2,6
XM_001828404.2,13
XM_001828405.2,3
XM_001828406.2,3
XM_001828407.2,5
XM_001828408.2,2
XM_001828409.2,4
XM_001828411.2,7
XM_001828412.1,3
XM_001828413.2,7
XM_001828414.1,5
XM_001828415.2,6
XM_001828416.2,4
XM_001828418.1,6
XM_001828419.1,1
XM_001828420.2,9
XM_001828421.2,4
XM_001828423.2,2
XM_001828424.1,3
XM_001828425.1,2
XM_001828427.2,2
XM_001828428.1,3
XM_001828429.2,3
XM_001828430.2,1
XM_001828431.2,14
XM_001828434.1,10
XM_001828435.2,10
XM_001828436.2,11
XM_001828437.2,5
XM_001828439.2,7
XM_001828440.1,5
XM_001828442.2,5
XM_001828443.2,8
XM_001828444.2,16
XM_001828445.2,7
XM_001828446.2,10
XM_001828447.2,4
XM_001828448.1,4
XM_001828450.2,6
XM_001828451.2,9
XM_001828452.2,6
XM_001828453.2,4
XM_001828454.2,6
XM_001828455.2,8
XM_001828456.1,2
XM_001828457.2,6
XM_001828458.2,3
XM_001828459.2,31
XM_001828460.2,6
XM_001828461.2,4
XM_001828462.1,10
XM_001828463.2,5
XM_001828464.2,4
XM_001828465.1,9
XM_001828466.2,6
XM_001828467.2,10
XM_001828468.2,11
XM_001828469.2,4
XM_001828470.1,3
XM_001828471.2,4
XM_001828472.2,9
XM_001828473.1,3
XM_001828474.1,5
XM_001828476.1,3
XM_001828477.1,10
XM_001828478.2,14
XM_001828479.2,6
XM_001828501.2,5
XM_001828502.2,10
XM_001828507.2,7
XM_001828508.2,4
XM_001828509.2,3
XM_001828510.2,19
XM_001828511.2,5
XM_001828512.2,12
XM_001828513.2,37
XM_001828514.2,4
XM_001828517.2,3
XM_001828518.1,3
XM_001828519.2,3
XM_001828520.2,12
XM_001828521.1,4
XM_001828522.1,5
XM_001828523.2,3
XM_001828524.1,4
XM_001828525.2,15
XM_001828526.2,8
XM_001828527.2,9
XM_001828530.2,5
XM_001828531.2,6
XM_001828535.2,9
XM_001828536.2,6
XM_001828537.1,5
XM_001828539.2,5
XM_001828540.2,6
XM_001828541.1,4
XM_001828542.2,6
XM_001828544.2,7
XM_001828545.2,3
XM_001828547.2,8
XM_001828548.1,9
XM_001828549.2,9
XM_001828550.1,3
XM_001828551.1,2
XM_001828552.1,5
XM_001828553.2,6
XM_001828555.2,5
XM_001828558.2,6
XM_001828559.2,6
XM_001828560.2,12
XM_001828561.1,5
XM_001828563.2,7
XM_001828564.2,7
XM_001828565.2,7
XM_001828566.2,3
XM_001828567.2,9
XM_001828568.2,6
XM_001828569.2,1
XM_001828571.1,7
XM_001828572.2,9
XM_001828573.2,9
XM_001828574.2,7
XM_001828575.2,13
XM_001828576.2,4
XM_001828577.2,7
XM_001828578.2,7
XM_001828579.2,3
XM_001828580.1,3
XM_001828581.2,7
XM_001828582.2,3
XM_001828583.2,6
XM_001828584.2,4
XM_001828585.1,13
XM_001828586.2,5
XM_001828587.2,5
XM_001828588.2,10
XM_001828589.2,7
XM_001828590.1,2
XM_001828591.1,3
XM_001828592.1,9
XM_001828593.2,13
XM_001828594.2,6
XM_001828595.2,2
XM_001828596.1,2
XM_001828597.2,10
XM_001828598.2,4
XM_001828599.2,21
XM_001828600.2,6
XM_001828601.2,8
XM_001828602.2,5
XM_001828603.2,8
XM_001828605.2,6
XM_001828606.2,4
XM_001828607.2,6
XM_001828608.2,13
XM_001828609.2,5
XM_001828610.1,5
XM_001828611.2,3
XM_001828612.2,2
XM_001828613.1,2
XM_001828614.2,6
XM_001828615.1,3
XM_001828616.2,3
XM_001828617.2,6
XM_001828618.2,3
XM_001828619.2,9
XM_001828620.2,2
XM_001828621.2,2
XM_001828622.1,6
XM_001828623.2,7
XM_001828624.2,10
XM_001828625.2,7
XM_001828626.2,9
XM_001828629.1,4
XM_001828630.2,5
XM_001828632.2,4
XM_001828633.2,5
XM_001828634.2,16
XM_001828635.2,15
XM_001828638.2,3
XM_001828639.2,4
XM_001828640.2,5
XM_001828641.2,7
XM_001828642.1,4
XM_001828643.2,2
XM_001828644.2,6
XM_001828645.2,6
XM_001828646.2,6
XM_001828647.2,18
XM_001828648.2,5
XM_001828649.2,6
XM_001828650.2,4
XM_001828651.2,17
XM_001828652.2,8
XM_001828653.2,6
XM_001828654.2,11
XM_001828655.2,6
XM_001828656.2,4
XM_001828657.2,5
XM_001828658.2,8
XM_001828659.2,2
XM_001828660.2,4
XM_001828661.2,5
XM_001828662.1,10
XM_001828663.2,43
XM_001828664.2,8
XM_001828665.2,11
XM_001828666.2,12
XM_001828667.2,2
XM_001828668.2,2
XM_001828669.2,9
XM_001828670.1,4
XM_001828673.2,5
XM_001828676.1,5
XM_001828677.2,3
XM_001828678.2,3
XM_001828679.2,9
XM_001828680.2,8
XM_001828681.2,6
XM_001828682.2,3
XM_001828684.2,8
XM_001828685.2,12
XM_001828686.2,8
XM_001828687.2,6
XM_001828688.2,4
XM_001828689.1,3
XM_001828691.1,2
XM_001828692.2,11
XM_001828693.2,3
XM_001828694.1,5
XM_001828695.1,5
XM_001828696.2,11
XM_001828698.2,2
XM_001828699.1,2
XM_001828700.2,3
XM_001828701.2,7
XM_001828702.2,5
XM_001828703.2,7
XM_001828705.2,4
XM_001828706.2,9
XM_001828707.2,11
XM_001828708.2,5
XM_001828710.2,6
XM_001828711.2,8
XM_001828713.2,2
XM_001828714.2,4
XM_001828716.1,1
XM_001828717.1,4
XM_001828718.2,5
XM_001828719.1,4
XM_001828721.2,4
XM_001828722.2,3
XM_001828723.2,5
XM_001828724.2,9
XM_001828727.1,5
XM_001828728.2,5
XM_001828729.2,11
XM_001828730.2,7
XM_001828732.2,12
XM_001828733.1,18
XM_001828734.2,2
XM_001828735.2,5
XM_001828736.2,5
XM_001828737.2,1
XM_001828738.2,4
XM_001828739.2,5
XM_001828740.2,5
XM_001828741.1,3
XM_001828742.2,3
XM_001828743.2,21
XM_001828744.2,7
XM_001828745.1,9
XM_001828746.1,3
XM_001828747.2,6
XM_001828748.2,10
XM_001828749.2,12
XM_001828750.2,18
XM_001828751.2,3
XM_001828752.2,9
XM_001828753.2,2
XM_001828754.1,6
XM_001828755.1,10
XM_001828756.2,8
XM_001828759.1,1
XM_001828760.1,4
XM_001828761.2,3
XM_001828763.2,5
XM_001828764.2,5
XM_001828765.1,3
XM_001828766.2,6
XM_001828767.1,3
XM_001828768.2,6
XM_001828769.2,8
XM_001828770.1,2
XM_001828771.1,2
XM_001828773.2,4
XM_001828774.2,5
XM_001828775.2,3
XM_001828776.2,8
XM_001828778.2,7
XM_001828779.2,3
XM_001828780.2,6
XM_001828781.2,10
XM_001828782.2,14
XM_001828783.2,5
XM_001828784.2,5
XM_001828785.2,21
XM_001828786.2,7
XM_001828787.2,11
XM_001828788.2,7
XM_001828789.2,15
XM_001828790.2,5
XM_001828791.2,5
XM_001828792.1,5
XM_001828795.2,3
XM_001828796.2,7
XM_001828797.1,2
XM_001828798.2,5
XM_001828799.1,4
XM_001828801.2,10
XM_001828802.2,4
XM_001828803.2,5
XM_001828804.1,2
XM_001828805.1,5
XM_001828806.2,5
XM_001828807.1,6
XM_001828808.2,3
XM_001828809.2,18
XM_001828810.2,4
XM_001828811.2,7
XM_001828812.2,6
XM_001828813.2,6
XM_001828814.2,5
XM_001828815.1,5
XM_001828816.2,3
XM_001828817.1,4
XM_001828818.2,2
XM_001828819.2,7
XM_001828820.1,5
XM_001828821.1,5
XM_001828822.1,4
XM_001828823.2,5
XM_001828824.2,2
XM_001828825.2,13
XM_001828826.2,13
XM_001828827.2,10
XM_001828828.1,5
XM_001828829.2,8
XM_001828830.2,3
XM_001828831.2,4
XM_001828832.2,7
XM_001828833.2,3
XM_001828834.1,6
XM_001828835.2,6
XM_001828836.1,5
XM_001828837.1,3
XM_001828838.2,11
XM_001828839.2,3
XM_001828840.2,1
XM_001828841.2,4
XM_001828842.2,14
XM_001828843.2,10
XM_001828844.2,4
XM_001828845.2,2
XM_001828846.2,6
XM_001828847.2,4
XM_001828848.2,2
XM_001828849.2,6
XM_001828850.2,6
XM_001828851.2,1
XM_001828852.1,3
XM_001828853.2,7
XM_001828854.2,3
XM_001828855.2,11
XM_001828856.2,10
XM_001828858.2,9
XM_001828859.2,11
XM_001828860.2,8
XM_001828861.1,7
XM_001828862.2,4
XM_001828863.2,4
XM_001828864.2,7
XM_001828867.2,8
XM_001828869.2,3
XM_001828870.2,6
XM_001828871.2,11
XM_001828872.2,6
XM_001828873.1,2
XM_001828874.2,5
XM_001828876.2,23
XM_001828877.2,15
XM_001828878.2,3
XM_001828880.2,3
XM_001828881.1,10
XM_001828882.2,6
XM_001828883.2,9
XM_001828884.2,4
XM_001828885.2,5
XM_001828886.2,10
XM_001828887.2,6
XM_001828888.2,5
XM_001828889.2,4
XM_001828890.2,10
XM_001828891.2,14
XM_001828892.1,7
XM_001828893.2,3
XM_001828894.2,13
XM_001828895.1,2
XM_001828896.1,4
XM_001828897.1,2
XM_001828898.2,2
XM_001828899.1,1
XM_001828900.2,4
XM_001828901.1,5
XM_001828902.2,8
XM_001828903.2,1
XM_001828904.2,5
XM_001828906.2,4
XM_001828907.2,8
XM_001828908.2,2
XM_001828911.2,20
XM_001828912.1,3
XM_001828913.1,4
XM_001828914.2,2
XM_001828915.2,3
XM_001828917.2,3
XM_001828918.2,11
XM_001828919.2,9
XM_001828920.1,4
XM_001828921.2,7
XM_001828924.2,9
