gene_id,num_transcript,num_exon,num_uniq_exon
P174DRAFT_100064,1,5,5
P174DRAFT_100079,1,4,4
P174DRAFT_10274,1,4,4
P174DRAFT_103863,1,3,3
P174DRAFT_104142,1,2,2
P174DRAFT_104981,1,3,3
P174DRAFT_105095,1,3,3
P174DRAFT_105102,1,1,1
P174DRAFT_106256,1,5,5
P174DRAFT_106455,1,2,2
P174DRAFT_106517,1,3,3
P174DRAFT_10673,1,1,1
P174DRAFT_107618,1,4,4
P174DRAFT_107627,1,2,2
P174DRAFT_107698,1,7,7
P174DRAFT_107837,1,3,3
P174DRAFT_10823,1,1,1
P174DRAFT_108431,1,2,2
P174DRAFT_108655,1,2,2
P174DRAFT_10874,1,2,2
P174DRAFT_108911,1,2,2
P174DRAFT_109419,1,4,4
P174DRAFT_110485,1,4,4
P174DRAFT_11071,1,1,1
P174DRAFT_110743,1,3,3
P174DRAFT_110792,1,8,8
P174DRAFT_111098,1,6,6
P174DRAFT_111158,1,3,3
P174DRAFT_111354,1,4,4
P174DRAFT_111527,1,3,3
P174DRAFT_111828,1,5,5
P174DRAFT_112081,1,4,4
P174DRAFT_112082,1,4,4
P174DRAFT_112114,1,5,5
P174DRAFT_112596,1,1,1
P174DRAFT_112600,1,1,1
P174DRAFT_112641,1,4,4
P174DRAFT_113745,1,6,6
P174DRAFT_113773,1,1,1
P174DRAFT_114158,1,2,2
P174DRAFT_114311,1,2,2
P174DRAFT_115393,1,4,4
P174DRAFT_115599,1,3,3
P174DRAFT_115611,1,3,3
P174DRAFT_116250,1,1,1
P174DRAFT_116331,1,2,2
P174DRAFT_116572,1,4,4
P174DRAFT_117067,1,1,1
P174DRAFT_117143,1,3,3
P174DRAFT_117535,1,1,1
P174DRAFT_117830,1,3,3
P174DRAFT_118200,1,1,1
P174DRAFT_119070,1,3,3
P174DRAFT_119546,1,3,3
P174DRAFT_119703,1,2,2
P174DRAFT_120043,1,8,8
P174DRAFT_12126,1,5,5
P174DRAFT_121933,1,2,2
P174DRAFT_122050,1,2,2
P174DRAFT_122386,1,4,4
P174DRAFT_123278,1,6,6
P174DRAFT_123638,1,2,2
P174DRAFT_124690,1,2,2
P174DRAFT_125023,1,4,4
P174DRAFT_125626,1,2,2
P174DRAFT_126413,1,1,1
P174DRAFT_126591,1,4,4
P174DRAFT_126744,1,2,2
P174DRAFT_126809,1,3,3
P174DRAFT_127072,1,4,4
P174DRAFT_127228,1,1,1
P174DRAFT_127316,1,3,3
P174DRAFT_127508,1,3,3
P174DRAFT_128127,1,1,1
P174DRAFT_128287,1,8,8
P174DRAFT_129096,1,2,2
P174DRAFT_129910,1,3,3
P174DRAFT_130049,1,2,2
P174DRAFT_130153,1,2,2
P174DRAFT_130625,1,5,5
P174DRAFT_13079,1,6,6
P174DRAFT_130924,1,5,5
P174DRAFT_131409,1,4,4
P174DRAFT_132236,1,2,2
P174DRAFT_132314,1,6,6
P174DRAFT_132514,1,1,1
P174DRAFT_132975,1,8,8
P174DRAFT_133166,1,3,3
P174DRAFT_133177,1,1,1
P174DRAFT_133529,1,2,2
P174DRAFT_136490,1,5,5
P174DRAFT_137369,1,5,5
P174DRAFT_137859,1,2,2
P174DRAFT_138209,1,4,4
P174DRAFT_138416,1,2,2
P174DRAFT_138635,1,2,2
P174DRAFT_139032,1,3,3
P174DRAFT_141202,1,8,8
P174DRAFT_141680,1,3,3
P174DRAFT_141711,1,7,7
P174DRAFT_14175,1,3,3
P174DRAFT_142130,1,1,1
P174DRAFT_142509,1,2,2
P174DRAFT_143757,1,5,5
P174DRAFT_1438,1,2,2
P174DRAFT_144606,1,3,3
P174DRAFT_145305,1,11,11
P174DRAFT_145315,1,3,3
P174DRAFT_145487,1,1,1
P174DRAFT_146632,1,3,3
P174DRAFT_147082,1,2,2
P174DRAFT_147083,1,1,1
P174DRAFT_147521,1,3,3
P174DRAFT_147547,1,2,2
P174DRAFT_148110,1,3,3
P174DRAFT_148630,1,2,2
P174DRAFT_149547,1,4,4
P174DRAFT_14975,1,2,2
P174DRAFT_150030,1,5,5
P174DRAFT_150100,1,5,5
P174DRAFT_15140,1,3,3
P174DRAFT_151485,1,3,3
P174DRAFT_153475,1,3,3
P174DRAFT_154075,1,2,2
P174DRAFT_154441,1,6,6
P174DRAFT_155500,1,2,2
P174DRAFT_157507,1,2,2
P174DRAFT_158225,1,2,2
P174DRAFT_158290,1,4,4
P174DRAFT_158563,1,5,5
P174DRAFT_158621,1,2,2
P174DRAFT_158772,1,3,3
P174DRAFT_158773,1,3,3
P174DRAFT_15885,1,3,3
P174DRAFT_159419,1,3,3
P174DRAFT_159437,1,2,2
P174DRAFT_15992,1,3,3
P174DRAFT_160078,1,6,6
P174DRAFT_162386,1,3,3
P174DRAFT_162578,1,2,2
P174DRAFT_162586,1,2,2
P174DRAFT_163935,1,3,3
P174DRAFT_164214,1,4,4
P174DRAFT_165111,1,2,2
P174DRAFT_167233,1,4,4
P174DRAFT_167653,1,3,3
P174DRAFT_168111,1,4,4
P174DRAFT_168511,1,3,3
P174DRAFT_168578,1,1,1
P174DRAFT_169887,1,3,3
P174DRAFT_169981,1,4,4
P174DRAFT_170596,1,6,6
P174DRAFT_170831,1,4,4
P174DRAFT_170842,1,3,3
P174DRAFT_171099,1,3,3
P174DRAFT_172641,1,1,1
P174DRAFT_174352,1,1,1
P174DRAFT_17564,1,5,5
P174DRAFT_175799,1,2,2
P174DRAFT_17594,1,4,4
P174DRAFT_177379,1,1,1
P174DRAFT_178128,1,6,6
P174DRAFT_178217,1,2,2
P174DRAFT_1790,1,3,3
P174DRAFT_179676,1,3,3
P174DRAFT_179692,1,1,1
P174DRAFT_179915,1,2,2
P174DRAFT_180347,1,6,6
P174DRAFT_180980,1,5,5
P174DRAFT_181277,1,4,4
P174DRAFT_181628,1,9,9
P174DRAFT_182023,1,3,3
P174DRAFT_182190,1,3,3
P174DRAFT_183123,1,3,3
P174DRAFT_183728,1,3,3
P174DRAFT_183871,1,2,2
P174DRAFT_184093,1,4,4
P174DRAFT_184787,1,3,3
P174DRAFT_185561,1,2,2
P174DRAFT_186655,1,2,2
P174DRAFT_186715,1,2,2
P174DRAFT_187328,1,4,4
P174DRAFT_188260,1,5,5
P174DRAFT_18895,1,6,6
P174DRAFT_189974,1,4,4
P174DRAFT_190469,1,2,2
P174DRAFT_19100,1,1,1
P174DRAFT_191784,1,2,2
P174DRAFT_191882,1,3,3
P174DRAFT_192985,1,6,6
P174DRAFT_193848,1,2,2
P174DRAFT_193901,1,5,5
P174DRAFT_194093,1,1,1
P174DRAFT_194327,1,3,3
P174DRAFT_194473,1,5,5
P174DRAFT_194889,1,4,4
P174DRAFT_195045,1,3,3
P174DRAFT_195620,1,7,7
P174DRAFT_195783,1,4,4
P174DRAFT_195988,1,2,2
P174DRAFT_197590,1,1,1
P174DRAFT_197595,1,2,2
P174DRAFT_198127,1,3,3
P174DRAFT_198631,1,2,2
P174DRAFT_198665,1,3,3
P174DRAFT_199329,1,3,3
P174DRAFT_200425,1,1,1
P174DRAFT_200635,1,5,5
P174DRAFT_200753,1,1,1
P174DRAFT_201295,1,5,5
P174DRAFT_201602,1,3,3
P174DRAFT_203073,1,6,6
P174DRAFT_203680,1,2,2
P174DRAFT_203750,1,4,4
P174DRAFT_204153,1,6,6
P174DRAFT_204379,1,5,5
P174DRAFT_204474,1,3,3
P174DRAFT_204954,1,2,2
P174DRAFT_205271,1,2,2
P174DRAFT_206029,1,2,2
P174DRAFT_206150,1,4,4
P174DRAFT_207686,1,10,10
P174DRAFT_207790,1,1,1
P174DRAFT_209245,1,1,1
P174DRAFT_210624,1,4,4
P174DRAFT_21063,1,3,3
P174DRAFT_21076,1,4,4
P174DRAFT_210982,1,3,3
P174DRAFT_211362,1,2,2
P174DRAFT_213486,1,5,5
P174DRAFT_21365,1,4,4
P174DRAFT_213966,1,2,2
P174DRAFT_214175,1,2,2
P174DRAFT_214203,1,3,3
P174DRAFT_215108,1,4,4
P174DRAFT_215332,1,3,3
P174DRAFT_215497,1,3,3
P174DRAFT_216062,1,1,1
P174DRAFT_216131,1,1,1
P174DRAFT_216266,1,2,2
P174DRAFT_216300,1,2,2
P174DRAFT_217585,1,3,3
P174DRAFT_217650,1,2,2
P174DRAFT_217793,1,5,5
P174DRAFT_217832,1,1,1
P174DRAFT_218460,1,3,3
P174DRAFT_218736,1,4,4
P174DRAFT_219758,1,3,3
P174DRAFT_220098,1,4,4
P174DRAFT_22017,1,5,5
P174DRAFT_220428,1,3,3
P174DRAFT_221031,1,3,3
P174DRAFT_221259,1,4,4
P174DRAFT_221834,1,5,5
P174DRAFT_22409,1,5,5
P174DRAFT_224427,1,10,10
P174DRAFT_224635,1,4,4
P174DRAFT_225166,1,2,2
P174DRAFT_22624,1,3,3
P174DRAFT_226816,1,3,3
P174DRAFT_227086,1,2,2
P174DRAFT_227453,1,2,2
P174DRAFT_228040,1,4,4
P174DRAFT_229293,1,1,1
P174DRAFT_229884,1,1,1
P174DRAFT_229985,1,2,2
P174DRAFT_230120,1,12,12
P174DRAFT_230213,1,1,1
P174DRAFT_23145,1,1,1
P174DRAFT_233620,1,2,2
P174DRAFT_23377,1,2,2
P174DRAFT_23444,1,4,4
P174DRAFT_234621,1,2,2
P174DRAFT_235347,1,3,3
P174DRAFT_237302,1,3,3
P174DRAFT_237374,1,1,1
P174DRAFT_238051,1,1,1
P174DRAFT_238068,1,3,3
P174DRAFT_238843,1,3,3
P174DRAFT_239361,1,5,5
P174DRAFT_239590,1,1,1
P174DRAFT_239942,1,9,9
P174DRAFT_240424,1,5,5
P174DRAFT_24050,1,1,1
P174DRAFT_240866,1,4,4
P174DRAFT_241287,1,2,2
P174DRAFT_241491,1,3,3
P174DRAFT_242176,1,4,4
P174DRAFT_243779,1,3,3
P174DRAFT_243834,1,3,3
P174DRAFT_244239,1,5,5
P174DRAFT_24539,1,4,4
P174DRAFT_245693,1,8,8
P174DRAFT_246749,1,3,3
P174DRAFT_24676,1,4,4
P174DRAFT_24716,1,6,6
P174DRAFT_247690,1,4,4
P174DRAFT_248335,1,1,1
P174DRAFT_248448,1,7,7
P174DRAFT_248890,1,1,1
P174DRAFT_24968,1,3,3
P174DRAFT_25,1,1,1
P174DRAFT_250740,1,20,20
P174DRAFT_251621,1,1,1
P174DRAFT_251701,1,3,3
P174DRAFT_25316,1,1,1
P174DRAFT_253191,1,8,8
P174DRAFT_254228,1,1,1
P174DRAFT_254901,1,4,4
P174DRAFT_254931,1,2,2
P174DRAFT_255561,1,4,4
P174DRAFT_256124,1,1,1
P174DRAFT_256649,1,6,6
P174DRAFT_256658,1,4,4
P174DRAFT_256868,1,2,2
P174DRAFT_257819,1,1,1
P174DRAFT_257880,1,5,5
P174DRAFT_258604,1,3,3
P174DRAFT_25865,1,5,5
P174DRAFT_258868,1,3,3
P174DRAFT_259090,1,2,2
P174DRAFT_259446,1,6,6
P174DRAFT_26,1,1,1
P174DRAFT_260084,1,2,2
P174DRAFT_260130,1,4,4
P174DRAFT_26090,1,7,7
P174DRAFT_263630,1,2,2
P174DRAFT_263812,1,6,6
P174DRAFT_263916,1,5,5
P174DRAFT_26428,1,4,4
P174DRAFT_264792,1,3,3
P174DRAFT_264868,1,6,6
P174DRAFT_26541,1,1,1
P174DRAFT_26550,1,2,2
P174DRAFT_265755,1,2,2
P174DRAFT_266753,1,2,2
P174DRAFT_266817,1,2,2
P174DRAFT_268383,1,3,3
P174DRAFT_268477,1,5,5
P174DRAFT_268627,1,1,1
P174DRAFT_268873,1,3,3
P174DRAFT_270313,1,2,2
P174DRAFT_270449,1,2,2
P174DRAFT_270500,1,3,3
P174DRAFT_271157,1,5,5
P174DRAFT_271853,1,2,2
P174DRAFT_271885,1,1,1
P174DRAFT_272758,1,2,2
P174DRAFT_272883,1,2,2
P174DRAFT_273178,1,5,5
P174DRAFT_274269,1,1,1
P174DRAFT_274298,1,3,3
P174DRAFT_276654,1,8,8
P174DRAFT_276686,1,4,4
P174DRAFT_276975,1,4,4
P174DRAFT_27804,1,4,4
P174DRAFT_278282,1,3,3
P174DRAFT_278425,1,3,3
P174DRAFT_278430,1,3,3
P174DRAFT_27850,1,3,3
P174DRAFT_278570,1,3,3
P174DRAFT_278769,1,8,8
P174DRAFT_278779,1,6,6
P174DRAFT_278878,1,1,1
P174DRAFT_279937,1,3,3
P174DRAFT_280132,1,2,2
P174DRAFT_28014,1,3,3
P174DRAFT_281110,1,4,4
P174DRAFT_282109,1,4,4
P174DRAFT_282122,1,6,6
P174DRAFT_282586,1,3,3
P174DRAFT_284153,1,1,1
P174DRAFT_28434,1,3,3
P174DRAFT_284701,1,3,3
P174DRAFT_285850,1,1,1
P174DRAFT_286037,1,2,2
P174DRAFT_286249,1,1,1
P174DRAFT_286655,1,1,1
P174DRAFT_286868,1,2,2
P174DRAFT_286928,1,1,1
P174DRAFT_286932,1,3,3
P174DRAFT_287260,1,2,2
P174DRAFT_287474,1,2,2
P174DRAFT_287498,1,3,3
P174DRAFT_287752,1,2,2
P174DRAFT_288693,1,6,6
P174DRAFT_288974,1,2,2
P174DRAFT_288999,1,1,1
P174DRAFT_289109,1,6,6
P174DRAFT_289442,1,3,3
P174DRAFT_289479,1,1,1
P174DRAFT_289839,1,2,2
P174DRAFT_290739,1,2,2
