gene_id,num_transcript,num_exon,num_uniq_exon
,1,24,24
LOC105915316,1,2,2
LOC105915417,2,5,4
LOC105915570,2,10,6
LOC105915599,1,18,18
LOC105915703,1,5,5
LOC105915713,2,6,5
LOC105915795,2,8,7
LOC105915811,1,3,3
LOC105915848,1,4,4
LOC105915862,1,2,2
LOC105915889,1,2,2
LOC105915955,1,4,4
LOC105916123,1,4,4
LOC105916255,1,3,3
LOC105916290,1,2,2
LOC105916410,1,4,4
LOC105916433,1,4,4
LOC105916459,1,2,2
LOC105916490,1,3,3
LOC105916496,1,2,2
LOC105916508,1,4,4
LOC105916526,1,1,1
LOC105916536,1,3,3
LOC105916579,1,2,2
LOC105916580,1,1,1
LOC105916597,1,3,3
LOC105917008,2,6,4
LOC105917053,3,14,8
LOC105917091,3,16,8
LOC105917163,2,10,6
LOC105917429,1,3,3
LOC105917463,2,13,7
LOC105917467,1,4,4
LOC105917470,2,10,7
LOC105917471,2,8,6
LOC105917485,2,11,7
LOC105917658,1,3,3
LOC105917664,1,9,9
LOC105917691,1,2,2
LOC105917880,2,8,5
LOC105917893,1,11,11
LOC105917954,1,2,2
LOC105917973,1,5,5
LOC105918141,7,52,12
LOC105918266,3,12,6
LOC105918315,2,14,9
LOC105918333,1,3,3
LOC105918334,1,1,1
LOC105918372,1,5,5
LOC105918388,4,133,36
LOC105918402,1,5,5
LOC105918460,1,4,4
LOC105918575,2,22,13
LOC105918578,1,11,11
LOC105918580,1,3,3
LOC105919010,1,2,2
LOC105919023,1,7,7
LOC105919041,1,3,3
LOC105919251,1,10,10
LOC105919272,1,4,4
LOC105919278,1,1,1
LOC105919420,1,5,5
LOC105919421,1,2,2
LOC105919450,3,11,6
LOC105919489,4,16,8
LOC105919547,1,4,4
LOC105919649,1,1,1
LOC105919938,1,4,4
LOC105920099,1,4,4
LOC105920106,1,2,2
LOC105920138,1,5,5
LOC105920158,9,58,11
LOC105920175,2,44,23
LOC105920182,1,7,7
LOC105920207,1,7,7
LOC105920268,1,6,6
LOC105920388,2,13,8
LOC105920458,1,3,3
LOC105920675,1,4,4
LOC105920872,1,9,9
LOC105920928,3,27,11
LOC105920984,1,7,7
LOC105921019,1,7,7
LOC105921057,1,5,5
LOC105921113,1,3,3
LOC105921151,1,3,3
LOC105921186,1,4,4
LOC105921213,1,3,3
LOC105921214,1,2,2
LOC105921240,1,5,5
LOC105921251,1,3,3
LOC105921256,1,14,14
LOC105921344,1,5,5
LOC105921354,1,3,3
LOC105921432,1,8,8
LOC105921524,1,2,2
LOC105921631,1,3,3
LOC105921688,1,4,4
LOC105921730,2,13,7
LOC105921747,1,4,4
LOC105921763,1,8,8
LOC105921766,2,9,6
LOC105921770,1,3,3
LOC105921826,1,18,18
LOC105921842,1,4,4
LOC105921843,2,8,5
LOC105921884,1,2,2
LOC105921913,1,15,15
LOC105921924,1,1,1
LOC105921979,1,3,3
LOC105922102,1,1,1
LOC105922104,1,1,1
LOC105922119,2,11,7
LOC105922120,2,8,5
LOC105922141,4,42,12
LOC105922150,1,6,6
LOC105922190,1,5,5
LOC105922207,1,7,7
LOC105922225,1,5,5
LOC105922228,1,12,12
LOC105922269,1,4,4
LOC105922305,2,11,7
LOC105922320,1,8,8
LOC105922325,1,7,7
LOC105922327,1,9,9
LOC105922357,1,2,2
LOC105922375,1,3,3
LOC105922377,1,3,3
LOC105922379,2,11,7
LOC105922390,9,54,17
LOC105922402,1,3,3
LOC105922418,1,6,6
LOC105922422,2,9,6
LOC105922466,1,3,3
LOC105922467,1,3,3
LOC105922480,1,4,4
