gene_id,num_transcript,num_exon,num_uniq_exon
ASPZODRAFT_1004338,1,2,2
ASPZODRAFT_100574,1,2,2
ASPZODRAFT_1026323,1,3,3
ASPZODRAFT_1031131,1,2,2
ASPZODRAFT_1031493,1,2,2
ASPZODRAFT_1031809,1,2,2
ASPZODRAFT_104753,1,2,2
ASPZODRAFT_105425,1,4,4
ASPZODRAFT_1056534,1,1,1
ASPZODRAFT_1079328,1,3,3
ASPZODRAFT_1083190,1,2,2
ASPZODRAFT_1087476,1,1,1
ASPZODRAFT_1089974,1,1,1
ASPZODRAFT_1095652,1,2,2
ASPZODRAFT_1105215,1,1,1
ASPZODRAFT_1114005,1,2,2
ASPZODRAFT_1115264,1,1,1
ASPZODRAFT_112373,1,3,3
ASPZODRAFT_1130721,1,2,2
ASPZODRAFT_1142167,1,2,2
ASPZODRAFT_11477,1,2,2
ASPZODRAFT_11545,1,1,1
ASPZODRAFT_11589,1,2,2
ASPZODRAFT_11601,1,1,1
ASPZODRAFT_11754,1,1,1
ASPZODRAFT_1183748,1,2,2
ASPZODRAFT_1187186,1,4,4
ASPZODRAFT_1187691,1,1,1
ASPZODRAFT_1187784,1,1,1
ASPZODRAFT_1187816,1,2,2
ASPZODRAFT_1206591,1,1,1
ASPZODRAFT_12071,1,2,2
ASPZODRAFT_1208258,1,2,2
ASPZODRAFT_1208966,1,1,1
ASPZODRAFT_1212431,1,1,1
ASPZODRAFT_1213081,1,2,2
ASPZODRAFT_1216560,1,1,1
ASPZODRAFT_1217821,1,2,2
ASPZODRAFT_1219056,1,2,2
ASPZODRAFT_1223669,1,1,1
ASPZODRAFT_1229082,1,4,4
ASPZODRAFT_12294,1,2,2
ASPZODRAFT_1229786,1,3,3
ASPZODRAFT_1231398,1,2,2
ASPZODRAFT_1231765,1,1,1
ASPZODRAFT_123415,1,2,2
ASPZODRAFT_1235397,1,3,3
ASPZODRAFT_12396,1,2,2
ASPZODRAFT_124475,1,2,2
ASPZODRAFT_1245681,1,2,2
ASPZODRAFT_1246996,1,5,5
ASPZODRAFT_1252739,1,3,3
ASPZODRAFT_125791,1,2,2
ASPZODRAFT_1260174,1,2,2
ASPZODRAFT_126299,1,1,1
ASPZODRAFT_126372,1,1,1
ASPZODRAFT_126503,1,1,1
ASPZODRAFT_126504,1,2,2
ASPZODRAFT_126551,1,2,2
ASPZODRAFT_126607,1,2,2
ASPZODRAFT_126612,1,3,3
