gene_id,num_transcript,num_exon,num_uniq_exon
,1,24,24
ABCA7,1,47,47
ADNP,1,4,4
AIFM3,12,221,37
AIM2,1,4,4
ANGPTL8,1,4,4
ANKRD40CL,1,3,3
APOBEC4,1,2,2
ARGLU1,2,7,6
ARHGAP22,3,16,11
ASIP,9,34,25
ASNSD1,1,6,6
ATOX1,1,5,5
ATP5F1E,1,3,3
ATP5ME,1,4,4
BBIP1,2,7,6
BHMG1,6,89,21
BIK,4,18,8
BRD3OS,1,3,3
CAMK2N2,1,2,2
CBLL2,1,5,5
CCDC153,1,8,8
CCDC163,1,4,4
CCDC192,1,7,7
CCDC194,1,4,4
CCDC197,1,9,9
CCDC200,1,4,4
CCDC62,1,13,13
CCL17,1,5,5
CCL27,1,4,4
CD24,1,2,2
CD52,1,2,2
CD59,1,2,2
CD96,1,15,15
CEBPZOS,1,5,5
CEND1,3,6,4
CES4A,1,8,8
CHCHD2,1,2,2
CIDEA,4,21,8
CLTCL1,2,5,5
CMC4,3,8,5
CPHXL,1,4,4
CPLX2,3,13,6
CREBL2,5,22,12
CSNKA2IP,1,4,4
CTXN1,1,2,2
CTXND1,1,1,1
CUNH10orf143,5,24,14
CUNH13orf42,1,4,4
CUNH17orf113,1,2,2
CUNH1orf232,1,4,4
CUNH20orf141,1,3,3
CUNH20orf204,5,18,11
CUNH22orf24,1,5,5
CUNH2orf15,1,2,2
CUNH2orf66,1,2,2
CUNH2orf92,1,6,6
CUNH3orf35,1,6,6
CUNH3orf49,1,3,3
CUNH4orf3,1,3,3
CUNH4orf54,1,3,3
CUNH5orf51,2,13,9
CUNH6orf201,1,3,3
CUNH6orf226,1,1,1
CYSTM1,1,3,3
DCUN1D2,17,74,31
DEFB115,1,2,2
DEFB123,1,2,2
DEFB124,1,2,2
DEFB128,1,2,2
DEFB136,1,2,2
DERPC,2,7,4
DMKN,2,23,13
DPPA3,1,3,3
DUXB,1,8,8
EDN3,1,2,2
EFCAB13,1,9,9
ENHO,1,2,2
EVA1B,2,5,4
FAM200B,1,1,1
FAM220A,1,3,3
FAM25A,2,11,8
FAM50B,1,10,10
FAM71C,1,1,1
FATE1,1,5,5
FCAR,3,14,8
FCRLA,2,12,8
FILIP1L,2,4,3
FMC1,2,4,4
FREM3,1,7,7
FXYD2,2,12,8
G0S2,1,2,2
GHITM,3,14,7
GJE1,1,3,3
GNB1L,3,21,9
GNG12,4,15,8
GNG13,2,6,4
GNG14,1,3,3
GNG2,2,7,5
GNG5,1,3,3
GNG7,2,11,7
GNG8,3,8,5
GNGT2,2,10,6
GPBP1L1,4,48,16
GPR75,1,1,1
GSG1L2,1,5,5
GTF2H4,2,28,16
GYPA,3,19,9
HAUS1,2,17,11
HIGD1C,1,4,4
HILPDA,1,3,3
HMGA1,5,28,10
HMGN2,1,6,6
HNRNPA1,1,10,10
HOXB4,1,2,2
HTD2,1,5,5
HYLS1,6,20,9
IGFLR1,1,5,5
IL17D,1,2,2
IPCEF1,11,143,23
IQCJ,1,5,5
IQCM,1,16,16
IZUMO2,1,2,2
KCNMB1,1,4,4
KIAA0040,4,10,5
KIAA0754,1,2,2
KLK15,1,3,3
KLK8,1,4,4
KRTDAP,2,11,7
LAIR1,14,118,19
LBHD2,1,4,4
LELP1,1,2,2
LENEP,1,2,2
LEPROT,1,4,4
LMLN2,1,18,18
LOC101269215,1,2,2
LOC101269220,1,2,2
LOC101269276,1,1,1
LOC101269293,1,2,2
LOC101269313,1,1,1
LOC101269368,1,4,4
LOC101269397,1,1,1
LOC101269427,1,1,1
LOC101269457,1,1,1
LOC101269467,1,2,2
LOC101269476,1,4,4
LOC101269594,1,3,3
LOC101269609,1,1,1
LOC101269623,1,1,1
LOC101269687,1,1,1
LOC101269699,1,2,2
LOC101269756,1,2,2
LOC101269777,1,1,1
LOC101269780,1,7,7
LOC101269792,1,1,1
LOC101269794,1,2,2
LOC101269835,1,1,1
LOC101269848,1,1,1
LOC101269853,1,1,1
LOC101269916,1,1,1
LOC101269986,1,2,2
LOC101270003,1,5,5
LOC101270024,1,2,2
LOC101270069,1,1,1
LOC101270113,1,1,1
LOC101270141,1,2,2
LOC101270156,1,1,1
LOC101270196,1,2,2
LOC101270272,1,2,2
LOC101270382,2,3,3
LOC101270433,1,2,2
LOC101270441,1,2,2
LOC101270462,1,2,2
LOC101270469,1,1,1
LOC101270475,1,4,4
LOC101270503,1,7,7
LOC101270515,1,2,2
LOC101270551,1,3,3
LOC101270628,1,1,1
LOC101270670,1,1,1
LOC101270711,1,1,1
LOC101270725,1,2,2
LOC101270757,1,1,1
LOC101270775,1,1,1
LOC101270908,1,1,1
LOC101270916,1,1,1
LOC101270927,1,1,1
LOC101271018,1,2,2
LOC101271032,1,1,1
LOC101271068,1,1,1
LOC101271080,1,1,1
LOC101271174,1,2,2
LOC101271195,1,2,2
LOC101271230,1,1,1
LOC101271240,1,1,1
LOC101271248,1,2,2
LOC101271249,1,2,2
LOC101271299,1,1,1
LOC101271327,1,1,1
LOC101271350,1,2,2
LOC101271355,1,1,1
LOC101271392,1,1,1
LOC101271413,1,3,3
LOC101271488,1,2,2
LOC101271612,1,2,2
LOC101271666,1,3,3
LOC101271671,1,1,1
LOC101271679,1,1,1
LOC101271715,1,1,1
LOC101271717,1,2,2
LOC101271752,1,1,1
LOC101271755,1,1,1
LOC101271790,1,1,1
LOC101271821,1,1,1
LOC101271836,1,1,1
LOC101271857,1,2,2
LOC101271883,1,1,1
LOC101271922,1,1,1
LOC101271970,1,2,2
LOC101272022,1,1,1
LOC101272024,1,4,4
LOC101272034,1,1,1
LOC101272090,1,5,5
LOC101272106,1,2,2
LOC101272208,1,1,1
LOC101272241,1,1,1
LOC101272259,1,1,1
LOC101272312,1,4,4
LOC101272318,1,1,1
LOC101272328,1,1,1
LOC101272342,1,1,1
LOC101272398,1,1,1
LOC101272402,1,1,1
LOC101272423,1,3,3
LOC101272427,1,1,1
LOC101272461,1,2,2
LOC101272506,1,3,3
LOC101272566,1,4,4
LOC101272569,1,4,4
LOC101272611,1,1,1
LOC101272644,1,3,3
LOC101272691,1,2,2
LOC101272726,1,1,1
LOC101272756,1,3,3
LOC101272762,1,2,2
LOC101272841,1,3,3
LOC101272856,1,2,2
LOC101272865,1,6,6
LOC101272868,1,2,2
LOC101272892,1,2,2
LOC101272893,1,2,2
LOC101272950,1,4,4
LOC101272971,1,2,2
LOC101272979,1,1,1
LOC101273053,1,2,2
LOC101273060,1,1,1
LOC101273065,3,6,4
LOC101273066,1,1,1
LOC101273113,1,3,3
LOC101273149,1,5,5
LOC101273151,1,3,3
LOC101273308,1,1,1
LOC101273310,1,1,1
LOC101273318,1,5,5
LOC101273320,1,6,6
LOC101273344,1,2,2
LOC101273346,1,1,1
LOC101273421,1,1,1
LOC101273467,1,2,2
LOC101273486,1,2,2
LOC101273532,1,1,1
LOC101273572,1,1,1
LOC101273620,1,2,2
LOC101273646,1,1,1
LOC101273667,1,3,3
LOC101273690,1,7,7
LOC101273702,1,1,1
LOC101273710,1,3,3
LOC101273766,1,1,1
LOC101273819,1,1,1
LOC101273879,1,1,1
LOC101273895,1,2,2
LOC101273940,1,1,1
LOC101273981,1,3,3
LOC101273987,1,1,1
LOC101274002,1,2,2
LOC101274007,1,1,1
LOC101274044,1,5,5
LOC101274047,1,1,1
LOC101274150,1,1,1
LOC101274177,1,2,2
LOC101274196,1,1,1
LOC101274217,1,1,1
LOC101274311,1,2,2
LOC101274320,1,1,1
LOC101274351,1,4,4
LOC101274396,1,2,2
LOC101274423,1,2,2
LOC101274429,1,2,2
LOC101274494,1,1,1
LOC101274512,1,1,1
LOC101274536,1,5,5
LOC101274542,1,4,4
LOC101274546,1,4,4
LOC101274589,1,2,2
LOC101274636,1,1,1
LOC101274692,1,1,1
LOC101274725,1,1,1
LOC101274788,1,1,1
LOC101274945,1,2,2
LOC101274946,1,2,2
LOC101274964,1,2,2
LOC101274981,1,1,1
LOC101275003,1,1,1
LOC101275055,1,1,1
LOC101275058,1,1,1
LOC101275059,1,1,1
LOC101275074,2,3,3
LOC101275177,1,1,1
LOC101275193,1,1,1
LOC101275199,1,1,1
LOC101275207,1,1,1
LOC101275220,1,3,3
LOC101275320,1,1,1
LOC101275323,1,1,1
LOC101275381,1,7,7
LOC101275393,1,2,2
LOC101275411,1,1,1
LOC101275484,1,1,1
LOC101275498,1,4,4
LOC101275554,1,1,1
LOC101275628,1,1,1
LOC101275747,1,1,1
LOC101275800,1,1,1
LOC101275802,1,1,1
LOC101275827,1,1,1
LOC101275861,1,1,1
LOC101275886,1,1,1
LOC101275908,1,1,1
LOC101275959,1,1,1
LOC101275969,1,3,3
LOC101275972,1,1,1
LOC101276003,1,3,3
LOC101276030,1,1,1
LOC101276047,1,1,1
LOC101276057,1,2,2
LOC101276098,2,8,5
LOC101276108,1,2,2
LOC101276126,1,2,2
LOC101276219,1,2,2
LOC101276241,2,4,3
LOC101276276,1,1,1
LOC101276365,1,1,1
LOC101276400,1,13,13
LOC101276463,1,1,1
LOC101276477,1,1,1
LOC101276516,1,1,1
LOC101276601,1,1,1
LOC101276620,1,1,1
LOC101276628,1,5,5
LOC101276629,1,4,4
LOC101276696,2,4,4
LOC101276725,1,1,1
LOC101276773,1,3,3
LOC101276814,1,2,2
LOC101276834,1,4,4
LOC101276854,1,2,2
LOC101276870,1,2,2
LOC101276878,1,2,2
LOC101276888,1,1,1
LOC101276941,1,1,1
LOC101276951,1,5,5
LOC101276957,1,1,1
LOC101276971,1,1,1
LOC101276975,3,18,7
LOC101277005,1,1,1
LOC101277023,1,3,3
LOC101277057,1,1,1
LOC101277074,1,1,1
LOC101277091,1,1,1
LOC101277112,1,1,1
LOC101277134,1,5,5
LOC101277140,1,4,4
LOC101277174,1,10,10
LOC101277189,1,1,1
LOC101277251,1,9,9
LOC101277306,1,2,2
LOC101277317,1,1,1
LOC101277342,1,2,2
LOC101277344,1,1,1
LOC101277385,1,1,1
LOC101277386,1,1,1
LOC101277422,1,2,2
LOC101277477,1,1,1
LOC101277481,1,3,3
LOC101277490,1,1,1
LOC101277499,1,1,1
LOC101277549,1,1,1
LOC101277566,1,4,4
LOC101277591,1,2,2
LOC101277605,1,3,3
LOC101277618,1,2,2
LOC101277623,1,5,5
LOC101277626,1,8,8
LOC101277632,1,1,1
LOC101277707,1,1,1
LOC101277739,1,1,1
LOC101277820,1,1,1
LOC101277863,1,2,2
LOC101277870,1,2,2
LOC101277929,1,2,2
LOC101277942,1,1,1
LOC101277948,1,2,2
LOC101278018,1,2,2
LOC101278027,1,2,2
LOC101278059,1,3,3
