transcript_id,num_exon
XM_006389636.2,8
XM_006389637.2,1
XM_006389641.2,4
XM_006389642.2,3
XM_006389643.2,1
XM_006389644.2,22
XM_006389645.2,11
XM_006389648.2,7
XM_006389649.2,7
XM_006389650.2,3
XM_006389651.2,9
XM_006389652.2,11
XM_006389653.2,2
XM_006389655.2,7
XM_006389656.2,1
XM_006389658.2,12
XM_006389660.2,20
XM_006389661.2,14
XM_006389662.2,8
XM_006389663.2,2
XM_006389665.2,2
XM_006389666.2,3
XM_006389667.2,7
XM_006389668.2,1
XM_006389669.2,2
XM_006389672.2,9
XM_006389674.2,18
XM_006389675.2,18
XM_006389676.2,14
XM_006389677.2,9
XM_006389680.2,11
XM_006389681.2,2
XM_006389682.2,11
XM_006389684.2,4
XM_006389685.2,7
XM_006389687.2,24
XM_006389688.2,1
XM_006389690.2,5
XM_006389692.2,2
XM_006389693.2,3
XM_006389694.1,2
XM_006389696.2,5
XM_006389697.1,6
XM_006389699.2,2
XM_006389700.2,3
XM_006389702.2,9
XM_006389704.2,7
XM_006389705.2,3
XM_006389707.2,10
XM_006389709.2,6
XM_006389710.2,3
XM_006389711.2,4
XM_006389713.2,16
XM_006389714.2,4
XM_006389715.2,5
XM_006389716.2,5
XM_006389717.2,1
XM_006389718.2,3
XM_006389719.2,2
XM_006389720.2,2
XM_006389721.2,7
XM_006389723.2,9
XM_006389725.2,12
XM_006389727.2,5
XM_006389728.2,26
XM_006389730.2,8
XM_006389731.2,1
XM_006389732.2,1
XM_006389733.2,4
XM_006389735.2,7
XM_006389736.2,1
XM_006389737.2,2
XM_006389738.2,9
XM_006389739.2,25
XM_006389743.2,1
XM_006389744.2,1
XM_006389745.2,3
XM_006389746.2,9
XM_006389747.2,1
XM_006389748.2,11
XM_006389749.2,12
XM_006389750.2,2
XM_006389751.1,1
XM_006389752.2,3
XM_006389753.2,5
XM_006389754.2,5
XM_006389755.2,1
XM_006389756.2,10
XM_006389757.2,4
XM_006389758.2,12
XM_006389759.2,12
XM_006389760.2,6
XM_006389761.2,10
XM_006389762.2,3
XM_006389763.2,3
XM_006389764.2,4
XM_006389766.2,3
XM_006389767.1,1
XM_006389768.2,5
XM_006389769.2,6
XM_006389770.2,13
XM_006389771.2,9
XM_006389772.2,2
XM_006389774.2,13
XM_006389775.2,4
XM_006389776.2,4
XM_006389778.2,2
XM_006389779.2,7
XM_006389780.2,1
XM_006389781.2,2
XM_006389782.2,2
XM_006389783.2,5
XM_006389784.2,10
XM_006389785.2,3
XM_006389786.2,7
XM_006389787.2,3
XM_006389788.2,4
XM_006389789.2,9
XM_006389791.2,8
XM_006389792.2,2
XM_006389794.2,6
XM_006389797.2,21
XM_006389798.2,3
XM_006389799.2,2
XM_006389800.1,2
XM_006389805.2,22
XM_006389806.2,4
XM_006389807.2,7
XM_006389809.2,6
XM_006389810.2,3
XM_006389811.2,9
XM_006389814.2,19
XM_006389815.2,7
XM_006389816.2,1
XM_006389817.2,14
XM_006389818.2,6
XM_006389820.2,14
XM_006389821.2,2
XM_006389822.2,1
XM_006389823.2,3
XM_006389824.2,5
XM_006389825.2,15
XM_006389826.2,8
XM_006389827.2,20
XM_006389828.2,6
XM_006389829.2,3
XM_006389830.2,1
XM_006389831.1,4
XM_006389833.2,11
XM_006389834.2,1
XM_006389836.2,2
XM_006389837.2,2
XM_006389838.2,2
XM_006389839.2,46
XM_006389840.2,9
XM_006389841.2,9
XM_006389843.2,4
XM_006389846.2,12
XM_006389847.2,2
XM_006389849.2,12
XM_006389851.2,4
XM_006389853.2,3
XM_006389854.2,2
XM_006389856.2,13
XM_006389857.1,1
XM_006389858.2,3
XM_006389859.2,3
XM_006389860.2,5
XM_006389861.2,1
XM_006389862.2,3
XM_006389863.2,1
XM_006389866.2,4
XM_006389867.2,9
XM_006389868.2,12
XM_006389869.2,8
XM_006389870.2,18
XM_006389871.2,3
XM_006389872.2,2
XM_006389873.1,15
XM_006389875.2,17
XM_006389876.2,10
XM_006389877.2,7
XM_006389878.2,15
XM_006389879.2,15
XM_006389881.2,9
XM_006389882.2,20
XM_006389884.2,4
XM_006389885.2,3
XM_006389886.2,5
XM_006389889.2,8
XM_006389890.2,1
XM_006389891.2,1
XM_006389892.2,1
XM_006389894.2,4
XM_006389896.2,8
XM_006389897.2,4
XM_006389898.2,16
XM_006389900.2,6
XM_006389901.2,2
XM_006389902.2,6
XM_006389903.2,10
XM_006389905.2,8
XM_006389906.2,4
XM_006389907.2,5
XM_006389908.2,5
XM_006389909.2,3
XM_006389910.2,5
XM_006389911.2,18
XM_006389912.2,3
XM_006389913.2,7
XM_006389915.2,11
XM_006389916.2,5
XM_006389917.2,4
XM_006389918.2,6
XM_006389919.2,2
XM_006389920.2,3
XM_006389921.2,3
XM_006389923.2,9
XM_006389924.2,1
XM_006389925.1,3
XM_006389926.2,3
XM_006389927.2,11
XM_006389928.2,11
XM_006389929.2,2
XM_006389930.2,2
XM_006389931.2,3
XM_006389933.2,3
XM_006389934.2,2
XM_006389935.2,1
XM_006389936.2,4
XM_006389937.2,16
XM_006389938.2,6
XM_006389941.2,2
