gene_id,num_transcript,num_exon,num_uniq_exon
SCHCODRAFT_10023,1,4,4
SCHCODRAFT_10024,1,2,2
SCHCODRAFT_10069,1,12,12
SCHCODRAFT_10071,1,7,7
SCHCODRAFT_10121,1,3,3
SCHCODRAFT_10151,1,4,4
SCHCODRAFT_10169,1,2,2
SCHCODRAFT_10193,1,2,2
SCHCODRAFT_10210,1,2,2
SCHCODRAFT_102215,1,3,3
SCHCODRAFT_102216,1,1,1
SCHCODRAFT_102217,1,2,2
SCHCODRAFT_102219,1,6,6
SCHCODRAFT_102220,1,10,10
SCHCODRAFT_102221,1,2,2
SCHCODRAFT_102222,1,1,1
SCHCODRAFT_102223,1,1,1
SCHCODRAFT_102227,1,5,5
SCHCODRAFT_102228,1,3,3
SCHCODRAFT_102229,1,6,6
SCHCODRAFT_102230,1,7,7
SCHCODRAFT_102234,1,2,2
SCHCODRAFT_102236,1,2,2
SCHCODRAFT_102238,1,1,1
SCHCODRAFT_102239,1,9,9
SCHCODRAFT_102248,1,3,3
SCHCODRAFT_102252,1,3,3
SCHCODRAFT_102254,1,2,2
SCHCODRAFT_102257,1,2,2
SCHCODRAFT_102260,1,2,2
SCHCODRAFT_102263,1,4,4
SCHCODRAFT_102264,1,1,1
SCHCODRAFT_102277,1,1,1
SCHCODRAFT_102280,1,5,5
SCHCODRAFT_102281,1,2,2
SCHCODRAFT_102282,1,1,1
SCHCODRAFT_102283,1,6,6
SCHCODRAFT_102284,1,6,6
SCHCODRAFT_102287,1,5,5
SCHCODRAFT_102292,1,6,6
SCHCODRAFT_102295,1,13,13
SCHCODRAFT_102300,1,5,5
SCHCODRAFT_102303,1,1,1
SCHCODRAFT_102306,1,6,6
SCHCODRAFT_102307,1,5,5
SCHCODRAFT_102310,1,2,2
SCHCODRAFT_102311,1,4,4
SCHCODRAFT_102312,1,1,1
SCHCODRAFT_102315,1,1,1
SCHCODRAFT_102316,1,2,2
SCHCODRAFT_102318,1,13,13
SCHCODRAFT_102319,1,5,5
SCHCODRAFT_102320,1,2,2
SCHCODRAFT_102325,1,1,1
SCHCODRAFT_102336,1,1,1
SCHCODRAFT_102341,1,4,4
SCHCODRAFT_102345,1,9,9
SCHCODRAFT_102351,1,5,5
SCHCODRAFT_102353,1,7,7
SCHCODRAFT_102364,1,8,8
SCHCODRAFT_102369,1,2,2
SCHCODRAFT_10237,1,6,6
SCHCODRAFT_102373,1,9,9
SCHCODRAFT_102377,1,1,1
SCHCODRAFT_102378,1,2,2
SCHCODRAFT_102385,1,3,3
SCHCODRAFT_102388,1,4,4
SCHCODRAFT_102392,1,2,2
SCHCODRAFT_102393,1,2,2
SCHCODRAFT_102394,1,1,1
SCHCODRAFT_102398,1,4,4
SCHCODRAFT_102399,1,4,4
SCHCODRAFT_102403,1,2,2
SCHCODRAFT_102404,1,2,2
SCHCODRAFT_102405,1,2,2
SCHCODRAFT_102406,1,2,2
SCHCODRAFT_102408,1,2,2
SCHCODRAFT_102409,1,3,3
SCHCODRAFT_102411,1,5,5
SCHCODRAFT_102415,1,6,6
SCHCODRAFT_102420,1,10,10
SCHCODRAFT_102428,1,11,11
SCHCODRAFT_102430,1,4,4
SCHCODRAFT_102431,1,3,3
SCHCODRAFT_102434,1,3,3
SCHCODRAFT_102435,1,9,9
SCHCODRAFT_102438,1,3,3
SCHCODRAFT_102446,1,2,2
SCHCODRAFT_102448,1,3,3
SCHCODRAFT_102454,1,7,7
SCHCODRAFT_102455,1,2,2
SCHCODRAFT_102458,1,3,3
SCHCODRAFT_102466,1,3,3
SCHCODRAFT_102469,1,2,2
SCHCODRAFT_102470,1,6,6
SCHCODRAFT_102471,1,5,5
SCHCODRAFT_102472,1,7,7
SCHCODRAFT_102473,1,9,9
SCHCODRAFT_102474,1,5,5
SCHCODRAFT_102500,1,4,4
SCHCODRAFT_102504,1,2,2
SCHCODRAFT_102508,1,3,3
SCHCODRAFT_102510,1,1,1
SCHCODRAFT_102516,1,2,2
SCHCODRAFT_102517,1,4,4
SCHCODRAFT_102521,1,10,10
SCHCODRAFT_102524,1,2,2
SCHCODRAFT_102525,1,1,1
SCHCODRAFT_102529,1,1,1
SCHCODRAFT_102531,1,8,8
SCHCODRAFT_102539,1,1,1
SCHCODRAFT_102544,1,1,1
SCHCODRAFT_102547,1,5,5
SCHCODRAFT_102553,1,1,1
SCHCODRAFT_102557,1,7,7
SCHCODRAFT_102560,1,9,9
SCHCODRAFT_102563,1,2,2
SCHCODRAFT_102565,1,4,4
SCHCODRAFT_102569,1,2,2
SCHCODRAFT_102572,1,1,1
SCHCODRAFT_102573,1,2,2
SCHCODRAFT_102574,1,2,2
SCHCODRAFT_102575,1,5,5
SCHCODRAFT_102584,1,9,9
SCHCODRAFT_102609,1,13,13
SCHCODRAFT_102611,1,4,4
SCHCODRAFT_102615,1,2,2
SCHCODRAFT_102624,1,9,9
SCHCODRAFT_102625,1,9,9
SCHCODRAFT_102630,1,4,4
SCHCODRAFT_102647,1,3,3
SCHCODRAFT_102649,1,3,3
SCHCODRAFT_10265,1,2,2
SCHCODRAFT_102651,1,6,6
SCHCODRAFT_102652,1,4,4
SCHCODRAFT_102653,1,5,5
SCHCODRAFT_102656,1,10,10
SCHCODRAFT_102660,1,5,5
SCHCODRAFT_102661,1,6,6
SCHCODRAFT_102688,1,5,5
SCHCODRAFT_102701,1,1,1
SCHCODRAFT_102704,1,4,4
SCHCODRAFT_102708,1,4,4
SCHCODRAFT_102717,1,9,9
SCHCODRAFT_102719,1,4,4
SCHCODRAFT_102725,1,2,2
SCHCODRAFT_102738,1,8,8
SCHCODRAFT_102741,1,6,6
SCHCODRAFT_102744,1,10,10
SCHCODRAFT_102745,1,6,6
SCHCODRAFT_102746,1,4,4
SCHCODRAFT_102756,1,10,10
SCHCODRAFT_102757,1,4,4
SCHCODRAFT_10277,1,2,2
SCHCODRAFT_102770,1,5,5
SCHCODRAFT_102772,1,8,8
SCHCODRAFT_102774,1,6,6
SCHCODRAFT_102775,1,3,3
SCHCODRAFT_102782,1,4,4
SCHCODRAFT_102784,1,10,10
SCHCODRAFT_102785,1,2,2
SCHCODRAFT_102788,1,2,2
SCHCODRAFT_102795,1,2,2
SCHCODRAFT_102796,1,2,2
SCHCODRAFT_102803,1,1,1
SCHCODRAFT_102807,1,2,2
SCHCODRAFT_102818,1,6,6
SCHCODRAFT_102822,1,3,3
SCHCODRAFT_102823,1,4,4
SCHCODRAFT_102826,1,1,1
SCHCODRAFT_102832,1,16,16
SCHCODRAFT_102833,1,3,3
SCHCODRAFT_102836,1,3,3
SCHCODRAFT_102846,1,6,6
SCHCODRAFT_102847,1,5,5
SCHCODRAFT_102848,1,5,5
SCHCODRAFT_102849,1,1,1
SCHCODRAFT_102853,1,1,1
SCHCODRAFT_102854,1,1,1
SCHCODRAFT_102857,1,9,9
SCHCODRAFT_102874,1,4,4
SCHCODRAFT_102877,1,2,2
SCHCODRAFT_102878,1,4,4
SCHCODRAFT_10288,1,5,5
SCHCODRAFT_102890,1,2,2
SCHCODRAFT_102892,1,3,3
SCHCODRAFT_102900,1,5,5
SCHCODRAFT_102909,1,3,3
SCHCODRAFT_102913,1,3,3
SCHCODRAFT_102915,1,4,4
SCHCODRAFT_10292,1,10,10
SCHCODRAFT_102920,1,1,1
SCHCODRAFT_102927,1,6,6
SCHCODRAFT_102929,1,8,8
SCHCODRAFT_102934,1,6,6
SCHCODRAFT_102935,1,4,4
SCHCODRAFT_102942,1,14,14
SCHCODRAFT_102948,1,9,9
SCHCODRAFT_102949,1,2,2
SCHCODRAFT_102950,1,1,1
SCHCODRAFT_102954,1,5,5
SCHCODRAFT_102955,1,2,2
SCHCODRAFT_102957,1,2,2
SCHCODRAFT_102961,1,2,2
SCHCODRAFT_102971,1,9,9
SCHCODRAFT_102973,1,1,1
SCHCODRAFT_102978,1,10,10
SCHCODRAFT_102980,1,2,2
SCHCODRAFT_102990,1,2,2
SCHCODRAFT_102999,1,5,5
SCHCODRAFT_103001,1,6,6
SCHCODRAFT_103012,1,13,13
SCHCODRAFT_10302,1,3,3
SCHCODRAFT_103020,1,8,8
SCHCODRAFT_103030,1,6,6
SCHCODRAFT_103036,1,10,10
SCHCODRAFT_103055,1,3,3
SCHCODRAFT_103056,1,9,9
SCHCODRAFT_103062,1,5,5
SCHCODRAFT_103063,1,5,5
SCHCODRAFT_103067,1,2,2
SCHCODRAFT_103069,1,3,3
SCHCODRAFT_103070,1,10,10
SCHCODRAFT_103072,1,1,1
SCHCODRAFT_103077,1,3,3
SCHCODRAFT_103081,1,7,7
SCHCODRAFT_103086,1,11,11
SCHCODRAFT_103089,1,5,5
SCHCODRAFT_103113,1,15,15
SCHCODRAFT_103114,1,4,4
SCHCODRAFT_103119,1,4,4
SCHCODRAFT_103120,1,3,3
SCHCODRAFT_103121,1,4,4
SCHCODRAFT_103124,1,4,4
SCHCODRAFT_103126,1,2,2
SCHCODRAFT_103128,1,3,3
SCHCODRAFT_103131,1,3,3
SCHCODRAFT_103135,1,16,16
SCHCODRAFT_103145,1,2,2
SCHCODRAFT_103147,1,5,5
SCHCODRAFT_103150,1,1,1
SCHCODRAFT_103151,1,7,7
SCHCODRAFT_103152,1,6,6
SCHCODRAFT_103160,1,4,4
SCHCODRAFT_103164,1,2,2
SCHCODRAFT_103176,1,2,2
SCHCODRAFT_103177,1,8,8
SCHCODRAFT_103181,1,4,4
SCHCODRAFT_103182,1,1,1
SCHCODRAFT_103183,1,1,1
SCHCODRAFT_103185,1,1,1
SCHCODRAFT_103192,1,12,12
SCHCODRAFT_103202,1,1,1
SCHCODRAFT_103214,1,1,1
SCHCODRAFT_103221,1,10,10
SCHCODRAFT_103222,1,1,1
SCHCODRAFT_103223,1,1,1
SCHCODRAFT_103225,1,11,11
SCHCODRAFT_103226,1,3,3
SCHCODRAFT_103232,1,17,17
SCHCODRAFT_103234,1,9,9
SCHCODRAFT_103235,1,9,9
SCHCODRAFT_103243,1,2,2
SCHCODRAFT_103246,1,4,4
SCHCODRAFT_103247,1,1,1
SCHCODRAFT_103248,1,1,1
SCHCODRAFT_103249,1,1,1
SCHCODRAFT_103253,1,4,4
SCHCODRAFT_103255,1,2,2
SCHCODRAFT_103259,1,1,1
SCHCODRAFT_10326,1,3,3
SCHCODRAFT_103273,1,4,4
SCHCODRAFT_103277,1,4,4
SCHCODRAFT_103280,1,4,4
SCHCODRAFT_103284,1,1,1
SCHCODRAFT_103289,1,3,3
SCHCODRAFT_103299,1,1,1
SCHCODRAFT_103301,1,3,3
SCHCODRAFT_103307,1,5,5
SCHCODRAFT_103308,1,4,4
SCHCODRAFT_103312,1,8,8
