transcript_id,num_exon
XM_014082022.1,1
XM_014082024.1,1
XM_014082025.1,2
XM_014082027.1,3
XM_014082028.1,1
XM_014082039.1,2
XM_014082052.1,2
XM_014082060.1,1
XM_014082083.1,1
XM_014082094.1,2
XM_014082097.1,4
XM_014082114.1,1
XM_014082117.1,4
XM_014082124.1,2
XM_014082125.1,1
XM_014082141.1,2
XM_014082142.1,2
XM_014082165.1,1
XM_014082175.1,2
XM_014082177.1,3
XM_014082187.1,2
XM_014082188.1,1
XM_014082199.1,1
XM_014082206.1,1
XM_014082207.1,1
XM_014082210.1,1
XM_014082232.1,2
XM_014082251.1,1
XM_014082255.1,2
XM_014082257.1,1
XM_014082286.1,1
XM_014082294.1,1
XM_014082298.1,2
XM_014082305.1,3
XM_014082309.1,2
XM_014082310.1,1
XM_014082321.1,4
XM_014082323.1,3
XM_014082324.1,3
XM_014082325.1,3
XM_014082327.1,2
XM_014082329.1,2
XM_014082341.1,2
XM_014082344.1,1
XM_014082352.1,2
XM_014082353.1,1
XM_014082354.1,1
XM_014082355.1,1
XM_014082374.1,1
XM_014082375.1,1
XM_014082383.1,1
XM_014082384.1,1
XM_014082385.1,2
XM_014082386.1,2
XM_014082388.1,2
XM_014082394.1,3
XM_014082396.1,1
XM_014082402.1,1
XM_014082426.1,2
XM_014082429.1,2
XM_014082433.1,4
XM_014082434.1,4
XM_014082438.1,1
XM_014082449.1,1
XM_014082452.1,3
XM_014082456.1,2
XM_014082459.1,2
XM_014082463.1,2
XM_014082471.1,1
XM_014082473.1,2
XM_014082482.1,3
XM_014082497.1,1
XM_014082498.1,3
XM_014082509.1,3
XM_014082510.1,2
XM_014082519.1,1
XM_014082523.1,3
XM_014082524.1,1
XM_014082525.1,1
XM_014082527.1,1
XM_014082530.1,1
XM_014082531.1,1
XM_014082533.1,1
XM_014082535.1,1
XM_014082538.1,1
XM_014082546.1,1
XM_014082550.1,1
XM_014082551.1,2
XM_014082552.1,2
XM_014082553.1,1
XM_014082554.1,1
XM_014082555.1,1
XM_014082557.1,2
XM_014082558.1,2
XM_014082560.1,4
XM_014082576.1,3
XM_014082584.1,1
XM_014082585.1,2
XM_014082587.1,3
XM_014082598.1,6
XM_014082611.1,3
XM_014082612.1,1
XM_014082615.1,3
XM_014082616.1,1
XM_014082617.1,2
XM_014082628.1,1
XM_014082629.1,4
XM_014082640.1,5
XM_014082649.1,3
XM_014082663.1,5
XM_014082667.1,4
XM_014082677.1,3
XM_014082682.1,1
XM_014082690.1,4
XM_014082691.1,3
XM_014082696.1,5
XM_014082709.1,1
XM_014082724.1,1
XM_014082727.1,2
XM_014082750.1,2
XM_014082754.1,2
