gene_id,num_transcript,num_exon,num_uniq_exon
,1,24,24
A1BG,8,86,17
A1CF,3,34,15
A2M,1,36,36
A2ML1,2,72,37
A3GALT2,1,5,5
A4GALT,10,33,15
A4GNT,1,2,2
AAAS,2,32,17
AACS,2,36,19
AADAC,1,8,8
AADACL3,5,24,10
AADAT,6,81,19
AAED1,2,12,8
AAGAB,4,42,15
AAK1,14,293,31
AAMDC,1,4,4
AAMP,2,22,13
AANAT,1,4,4
AAR2,5,21,9
AARS,2,42,22
AARS2,3,65,24
AASDH,7,97,22
AASDHPPT,1,6,6
AASS,4,90,27
AATF,2,24,14
AATK,6,80,20
ABAT,2,32,17
ABCA1,3,150,53
ABCA10,1,38,38
ABCA12,3,162,58
ABCA13,1,64,64
ABCA2,1,50,50
ABCA3,2,66,34
ABCA4,4,191,52
ABCA5,1,39,39
ABCA6,1,40,40
ABCA8,8,300,49
ABCA9,5,194,42
ABCB1,4,109,34
ABCB10,4,53,18
ABCB11,3,75,33
ABCB4,5,120,33
ABCB5,1,28,28
ABCB6,1,19,19
ABCB7,2,31,16
ABCB8,3,48,20
ABCB9,3,36,14
ABCC1,2,62,32
ABCC10,1,23,23
ABCC11,3,89,32
ABCC12,5,146,32
ABCC2,4,125,36
ABCC3,1,31,31
ABCC4,4,126,35
ABCC5,8,135,38
ABCC6,1,31,31
ABCC8,1,40,40
ABCC9,8,330,51
ABCD1,1,10,10
ABCD2,1,11,11
ABCD3,7,171,32
ABCD4,8,133,29
ABCE1,1,18,18
ABCF1,3,75,28
ABCF2,2,30,16
ABCF3,1,21,21
ABCG1,1,16,16
ABCG2,1,17,17
ABCG4,5,72,20
ABCG5,2,26,15
ABCG8,1,13,13
ABHD1,1,9,9
ABHD10,1,5,5
ABHD11,3,18,10
ABHD12,2,26,14
ABHD12B,1,13,13
ABHD13,2,6,4
ABHD14B,1,4,4
ABHD15,1,2,2
ABHD16A,2,39,20
ABHD16B,1,1,1
ABHD17A,1,5,5
ABHD17B,3,15,7
ABHD17C,1,3,3
ABHD18,2,23,13
ABHD2,3,33,14
ABHD3,1,9,9
ABHD4,3,21,9
ABHD5,1,7,7
ABHD6,4,40,13
ABHD8,3,16,8
ABI1,16,166,16
ABI2,16,176,22
ABI3,2,16,10
ABI3BP,1,66,66
ABL1,2,22,12
ABL2,1,12,12
ABLIM1,25,599,40
ABLIM2,23,464,29
ABLIM3,7,155,25
ABR,9,180,35
ABRA,1,2,2
ABRACL,2,6,4
ABRAXAS1,4,32,12
ABRAXAS2,1,9,9
ABT1,1,3,3
ABTB1,2,24,14
ABTB2,2,34,18
ACAA1,1,12,12
ACAA2,1,13,13
ACACA,17,915,68
ACACB,5,252,59
ACAD10,2,25,13
ACAD11,1,20,20
ACAD8,1,11,11
ACAD9,1,19,19
ACADL,2,21,11
ACADM,1,12,12
ACADS,1,10,10
ACADSB,4,43,16
ACADVL,2,39,22
ACAN,1,21,21
ACAP1,1,22,22
ACAP2,9,223,28
ACAP3,1,25,25
ACAT1,3,37,15
ACAT2,1,10,10
ACBD3,2,16,9
ACBD4,11,109,20
ACBD5,5,73,18
ACBD6,8,64,20
ACBD7,3,12,6
ACCS,3,47,19
ACCSL,1,14,14
ACD,4,50,17
ACE,2,39,26
ACE2,2,38,23
ACER1,1,8,8
ACER2,1,6,6
ACER3,3,31,14
ACHE,6,32,15
ACIN1,7,124,25
ACKR1,1,2,2
ACKR2,4,19,10
ACKR3,5,11,7
ACKR4,1,2,2
ACLY,3,86,30
ACMSD,3,27,13
ACO1,1,21,21
ACO2,1,19,19
ACOD1,1,5,5
ACOT11,4,65,21
ACOT12,5,75,20
ACOT13,1,3,3
ACOT4,1,3,3
ACOT6,1,3,3
ACOT7,2,18,10
ACOT8,5,27,10
ACOT9,3,48,18
ACOX1,3,42,17
ACOX2,3,46,18
ACOX3,3,52,19
ACP1,3,17,11
ACP2,5,55,15
ACP4,1,12,12
ACP5,3,18,8
ACP6,1,10,10
ACP7,1,13,13
ACPP,3,33,15
ACR,1,5,5
ACRBP,2,19,11
ACRV1,2,8,5
ACSBG1,4,60,22
ACSF2,2,28,19
ACSF3,4,38,15
ACSL1,8,176,33
ACSL3,5,80,22
ACSL4,3,47,19
ACSL5,1,21,21
ACSL6,6,127,28
ACSM3,5,72,20
ACSM5,4,55,17
ACSS1,2,28,15
ACSS2,2,37,20
ACSS3,1,16,16
ACTA1,1,7,7
ACTA2,1,9,9
ACTB,1,6,6
ACTBL2,1,1,1
ACTC1,1,7,7
ACTG1,1,5,5
ACTG2,1,9,9
ACTL10,1,3,3
ACTL6A,3,43,16
ACTL6B,1,14,14
ACTL7A,1,1,1
ACTL7B,1,2,2
ACTL8,1,3,3
ACTL9,1,1,1
ACTN1,8,172,29
ACTN2,2,42,23
ACTN3,1,21,21
ACTN4,5,106,24
ACTR10,2,26,14
ACTR1A,1,11,11
ACTR1B,1,11,11
ACTR2,2,19,10
ACTR3,1,13,13
ACTR3B,8,88,18
ACTR5,1,9,9
ACTR6,1,11,11
ACTR8,5,65,17
ACTRT1,1,3,3
ACTRT2,1,1,1
ACTRT3,1,2,2
ACVR1,5,51,14
ACVR1B,2,19,11
ACVR1C,1,9,9
ACVR2A,2,23,13
ACVR2B,3,33,14
ACVRL1,2,18,12
ACY3,1,11,11
ACYP1,2,6,4
ACYP2,2,8,5
ADA,2,23,13
ADA2,5,54,19
ADAD1,4,50,16
ADAD2,2,21,12
ADAL,2,22,12
ADAM10,1,16,16
ADAM11,4,100,32
ADAM12,3,69,27
ADAM15,19,407,36
ADAM17,1,19,19
ADAM19,1,23,23
ADAM2,3,62,26
ADAM22,26,812,42
