gene_id,num_transcript,num_exon,num_uniq_exon
GLOTRDRAFT_100009,1,2,2
GLOTRDRAFT_100012,1,2,2
GLOTRDRAFT_100021,1,11,11
GLOTRDRAFT_10003,1,4,4
GLOTRDRAFT_100144,1,2,2
GLOTRDRAFT_100221,1,2,2
GLOTRDRAFT_100240,1,2,2
GLOTRDRAFT_100338,1,3,3
GLOTRDRAFT_100382,1,2,2
GLOTRDRAFT_100463,1,4,4
GLOTRDRAFT_100564,1,2,2
GLOTRDRAFT_100566,1,1,1
GLOTRDRAFT_100599,1,6,6
GLOTRDRAFT_10067,1,3,3
GLOTRDRAFT_100675,1,16,16
GLOTRDRAFT_100709,1,2,2
GLOTRDRAFT_100730,1,3,3
GLOTRDRAFT_100761,1,3,3
GLOTRDRAFT_100775,1,6,6
GLOTRDRAFT_100806,1,3,3
GLOTRDRAFT_100890,1,2,2
GLOTRDRAFT_100926,1,3,3
GLOTRDRAFT_100933,1,3,3
GLOTRDRAFT_100937,1,2,2
GLOTRDRAFT_100963,1,5,5
GLOTRDRAFT_100984,1,9,9
GLOTRDRAFT_100985,1,5,5
GLOTRDRAFT_100995,1,5,5
GLOTRDRAFT_100997,1,2,2
GLOTRDRAFT_101048,1,4,4
GLOTRDRAFT_101210,1,5,5
GLOTRDRAFT_101250,1,2,2
GLOTRDRAFT_101286,1,3,3
GLOTRDRAFT_101372,1,2,2
GLOTRDRAFT_101379,1,1,1
GLOTRDRAFT_101402,1,1,1
GLOTRDRAFT_101403,1,2,2
GLOTRDRAFT_101525,1,1,1
GLOTRDRAFT_101579,1,5,5
GLOTRDRAFT_101612,1,1,1
GLOTRDRAFT_101632,1,2,2
GLOTRDRAFT_10171,1,4,4
GLOTRDRAFT_101763,1,4,4
GLOTRDRAFT_101803,1,3,3
GLOTRDRAFT_101828,1,2,2
GLOTRDRAFT_101829,1,14,14
GLOTRDRAFT_101830,1,4,4
GLOTRDRAFT_101855,1,4,4
GLOTRDRAFT_101857,1,6,6
GLOTRDRAFT_101862,1,2,2
GLOTRDRAFT_101957,1,2,2
GLOTRDRAFT_102104,1,1,1
GLOTRDRAFT_10237,1,3,3
GLOTRDRAFT_102906,1,3,3
GLOTRDRAFT_10349,1,2,2
GLOTRDRAFT_10449,1,1,1
GLOTRDRAFT_104549,1,6,6
GLOTRDRAFT_10508,1,2,2
GLOTRDRAFT_10545,1,13,13
GLOTRDRAFT_10551,1,1,1
GLOTRDRAFT_105699,1,2,2
GLOTRDRAFT_106329,1,1,1
GLOTRDRAFT_106465,1,2,2
GLOTRDRAFT_107177,1,1,1
GLOTRDRAFT_107256,1,1,1
GLOTRDRAFT_107284,1,6,6
GLOTRDRAFT_107416,1,10,10
GLOTRDRAFT_107716,1,5,5
GLOTRDRAFT_107964,1,2,2
GLOTRDRAFT_10852,1,2,2
GLOTRDRAFT_108852,1,1,1
GLOTRDRAFT_108884,1,1,1
GLOTRDRAFT_108932,1,1,1
GLOTRDRAFT_108950,1,1,1
GLOTRDRAFT_108954,1,1,1
GLOTRDRAFT_109028,1,1,1
GLOTRDRAFT_109032,1,1,1
GLOTRDRAFT_10908,1,1,1
GLOTRDRAFT_109139,1,2,2
GLOTRDRAFT_109142,1,3,3
GLOTRDRAFT_109154,1,1,1
GLOTRDRAFT_109165,1,1,1
GLOTRDRAFT_109184,1,1,1
GLOTRDRAFT_109185,1,2,2
GLOTRDRAFT_109210,1,1,1
GLOTRDRAFT_109290,1,1,1
GLOTRDRAFT_109293,1,2,2
GLOTRDRAFT_109345,1,3,3
GLOTRDRAFT_109396,1,1,1
GLOTRDRAFT_109417,1,1,1
GLOTRDRAFT_109421,1,4,4
GLOTRDRAFT_109424,1,1,1
GLOTRDRAFT_109457,1,3,3
GLOTRDRAFT_109522,1,1,1
GLOTRDRAFT_109546,1,1,1
GLOTRDRAFT_109547,1,1,1
GLOTRDRAFT_109622,1,1,1
GLOTRDRAFT_10964,1,14,14
GLOTRDRAFT_109704,1,4,4
GLOTRDRAFT_109736,1,2,2
GLOTRDRAFT_109757,1,1,1
GLOTRDRAFT_109799,1,1,1
GLOTRDRAFT_109851,1,2,2
GLOTRDRAFT_109863,1,2,2
GLOTRDRAFT_109880,1,1,1
GLOTRDRAFT_109884,1,5,5
GLOTRDRAFT_109886,1,2,2
GLOTRDRAFT_109892,1,3,3
GLOTRDRAFT_109894,1,2,2
GLOTRDRAFT_109918,1,1,1
GLOTRDRAFT_109991,1,1,1
GLOTRDRAFT_110023,1,4,4
GLOTRDRAFT_110130,1,1,1
GLOTRDRAFT_110141,1,1,1
GLOTRDRAFT_11015,1,1,1
GLOTRDRAFT_110186,1,1,1
GLOTRDRAFT_11019,1,1,1
GLOTRDRAFT_110286,1,2,2
GLOTRDRAFT_110287,1,3,3
GLOTRDRAFT_110290,1,1,1
GLOTRDRAFT_110295,1,1,1
GLOTRDRAFT_110322,1,1,1
GLOTRDRAFT_110327,1,3,3
GLOTRDRAFT_110328,1,1,1
GLOTRDRAFT_110347,1,5,5
GLOTRDRAFT_110351,1,2,2
GLOTRDRAFT_110357,1,2,2
GLOTRDRAFT_110398,1,1,1
GLOTRDRAFT_110490,1,1,1
GLOTRDRAFT_110544,1,2,2
GLOTRDRAFT_110598,1,2,2
GLOTRDRAFT_110604,1,2,2
GLOTRDRAFT_110619,1,1,1
GLOTRDRAFT_110653,1,1,1
GLOTRDRAFT_110660,1,4,4
GLOTRDRAFT_110692,1,1,1
GLOTRDRAFT_110715,1,1,1
GLOTRDRAFT_110729,1,1,1
GLOTRDRAFT_11074,1,1,1
GLOTRDRAFT_110779,1,4,4
GLOTRDRAFT_110857,1,1,1
GLOTRDRAFT_11089,1,2,2
GLOTRDRAFT_110940,1,1,1
GLOTRDRAFT_110953,1,4,4
GLOTRDRAFT_110969,1,3,3
GLOTRDRAFT_110978,1,3,3
GLOTRDRAFT_110989,1,1,1
GLOTRDRAFT_111024,1,1,1
GLOTRDRAFT_111043,1,2,2
