transcript_id,num_exon
XM_007861906.1,15
XM_007861907.1,6
XM_007861909.1,3
XM_007861910.1,6
XM_007861911.1,2
XM_007861912.1,3
XM_007861913.1,1
XM_007861914.1,13
XM_007861915.1,2
XM_007861916.1,4
XM_007861918.1,1
XM_007861919.1,1
XM_007861921.1,1
XM_007861922.1,1
XM_007861923.1,2
XM_007861924.1,2
XM_007861925.1,3
XM_007861928.1,1
XM_007861929.1,6
XM_007861930.1,7
XM_007861931.1,4
XM_007861932.1,3
XM_007861933.1,2
XM_007861934.1,4
XM_007861935.1,5
XM_007861936.1,3
XM_007861937.1,5
XM_007861938.1,1
XM_007861939.1,1
XM_007861940.1,5
XM_007861941.1,3
XM_007861942.1,2
XM_007861943.1,7
XM_007861944.1,2
XM_007861945.1,4
XM_007861946.1,2
XM_007861947.1,1
XM_007861949.1,1
XM_007861951.1,1
XM_007861952.1,1
XM_007861953.1,2
XM_007861954.1,4
XM_007861960.1,8
XM_007861961.1,1
XM_007861969.1,3
XM_007861971.1,15
XM_007861973.1,2
XM_007861977.1,3
XM_007861982.1,11
XM_007861985.1,3
XM_007861989.1,2
XM_007862004.1,3
XM_007862008.1,7
XM_007862015.1,11
XM_007862027.1,2
XM_007862040.1,6
XM_007862043.1,1
XM_007862054.1,4
XM_007862058.1,2
XM_007862070.1,15
XM_007862076.1,3
XM_007862079.1,3
XM_007862081.1,7
XM_007862082.1,4
XM_007862084.1,1
XM_007862087.1,9
XM_007862091.1,1
XM_007862097.1,2
XM_007862109.1,2
XM_007862115.1,3
XM_007862116.1,3
XM_007862118.1,1
XM_007862123.1,5
XM_007862131.1,3
XM_007862153.1,6
XM_007862169.1,2
XM_007862214.1,6
XM_007862257.1,2
XM_007862264.1,2
XM_007862267.1,4
XM_007862274.1,1
XM_007862282.1,4
XM_007862306.1,3
XM_007862309.1,2
XM_007862323.1,1
XM_007862324.1,1
XM_007862327.1,1
XM_007862332.1,2
XM_007862349.1,2
XM_007862384.1,9
XM_007862388.1,2
XM_007862403.1,1
XM_007862404.1,6
XM_007862415.1,3
XM_007862416.1,3
XM_007862437.1,4
XM_007862467.1,8
XM_007862475.1,4
XM_007862486.1,1
XM_007862544.1,1
XM_007862596.1,4
XM_007862616.1,3
XM_007862618.1,1
XM_007862626.1,1
XM_007862638.1,1
XM_007862650.1,1
XM_007862655.1,1
XM_007862660.1,1
XM_007862670.1,5
XM_007862769.1,1
XM_007862773.1,6
XM_007862776.1,1
XM_007862784.1,4
XM_007862810.1,5
XM_007862831.1,3
XM_007862869.1,2
XM_007862892.1,2
XM_007862909.1,1
XM_007862920.1,2
XM_007862926.1,3
XM_007862942.1,1
XM_007862961.1,2
XM_007862963.1,1
XM_007862993.1,1
XM_007862994.1,2
XM_007863014.1,9
XM_007863028.1,1
XM_007863047.1,4
XM_007863055.1,6
XM_007863058.1,2
XM_007863084.1,2
XM_007863086.1,4
XM_007863087.1,3
XM_007863092.1,4
XM_007863112.1,1
XM_007863124.1,3
XM_007863135.1,1
XM_007863137.1,2
XM_007863154.1,2
XM_007863191.1,6
XM_007863220.1,3
XM_007863234.1,2
XM_007863236.1,2
XM_007863259.1,5
XM_007863294.1,4
XM_007863298.1,5
XM_007863299.1,5
XM_007863302.1,5
XM_007863303.1,4
XM_007863306.1,3
XM_007863311.1,5
XM_007863324.1,2
XM_007863329.1,1
XM_007863337.1,2
XM_007863341.1,1
XM_007863344.1,13
XM_007863366.1,1
XM_007863408.1,1
XM_007863417.1,1
XM_007863418.1,5
XM_007863419.1,8
XM_007863420.1,1
XM_007863421.1,2
XM_007863423.1,1
XM_007863424.1,3
XM_007863425.1,2
XM_007863426.1,4
XM_007863427.1,1
XM_007863428.1,1
XM_007863429.1,3
XM_007863431.1,1
XM_007863432.1,1
XM_007863433.1,1
XM_007863434.1,1
XM_007863435.1,1
XM_007863436.1,4
XM_007863437.1,4
XM_007863438.1,4
XM_007863440.1,1
XM_007863441.1,1
XM_007863442.1,4
XM_007863443.1,4
XM_007863444.1,1
XM_007863446.1,4
XM_007863448.1,1
XM_007863449.1,1
XM_007863450.1,3
XM_007863451.1,2
XM_007863452.1,4
XM_007863453.1,1
XM_007863454.1,2
XM_007863455.1,4
XM_007863456.1,2
XM_007863457.1,7
XM_007863458.1,4
XM_007863459.1,2
XM_007863460.1,1
XM_007863462.1,2
XM_007863463.1,11
XM_007863464.1,2
XM_007863465.1,1
XM_007863467.1,7
XM_007863469.1,1
XM_007863471.1,15
XM_007863473.1,6
XM_007863480.1,3
XM_007863489.1,3
XM_007863492.1,8
XM_007863498.1,3
XM_007863499.1,5
XM_007863503.1,5
XM_007863504.1,4
XM_007863513.1,1
XM_007863515.1,1
XM_007863521.1,1
XM_007863522.1,8
XM_007863542.1,3
XM_007863547.1,2
XM_007863555.1,16
XM_007863556.1,3
XM_007863561.1,1
XM_007863564.1,3
XM_007863575.1,4
XM_007863578.1,4
XM_007863587.1,3
XM_007863602.1,2
XM_007863603.1,2
XM_007863605.1,3
XM_007863608.1,2
XM_007863609.1,1
XM_007863619.1,5
XM_007863628.1,4
XM_007863630.1,3
XM_007863739.1,4
XM_007863741.1,2
XM_007863745.1,4
XM_007863747.1,2
XM_007863749.1,3
XM_007863755.1,1
XM_007863759.1,2
XM_007863761.1,3
XM_007863762.1,2
XM_007863763.1,2
XM_007863765.1,5
XM_007863767.1,2
XM_007863768.1,1
XM_007863769.1,3
XM_007863772.1,1
XM_007863775.1,3
XM_007863777.1,2
XM_007863780.1,6
XM_007863782.1,9
XM_007863784.1,12
XM_007863788.1,4
XM_007863789.1,4
XM_007863797.1,3
XM_007863798.1,4
XM_007863800.1,7
XM_007863809.1,3
XM_007863826.1,6
XM_007863844.1,3
XM_007863858.1,10
XM_007863900.1,1
XM_007863932.1,2
XM_007863937.1,3
XM_007863938.1,2
XM_007863940.1,1
XM_007863944.1,2
XM_007863957.1,2
XM_007863994.1,1
XM_007863997.1,2
XM_007863998.1,1
XM_007864004.1,2
XM_007864010.1,10
XM_007864012.1,1
XM_007864016.1,3
XM_007864050.1,7
XM_007864054.1,2
XM_007864062.1,5
XM_007864091.1,2
XM_007864126.1,3
XM_007864137.1,4
XM_007864149.1,1
XM_007864161.1,4
XM_007864162.1,1
XM_007864221.1,2
XM_007864255.1,4
XM_007864267.1,3
XM_007864293.1,2
XM_007864323.1,10
XM_007864324.1,1
XM_007864330.1,1
XM_007864338.1,2
XM_007864365.1,2
XM_007864374.1,4
XM_007864390.1,1
XM_007864435.1,6
XM_007864446.1,9
XM_007864462.1,2
XM_007864465.1,4
XM_007864470.1,2
XM_007864472.1,3
XM_007864473.1,2
XM_007864478.1,2
XM_007864482.1,4
XM_007864483.1,3
XM_007864488.1,3
XM_007864497.1,2
XM_007864502.1,1
XM_007864505.1,4
XM_007864507.1,3
XM_007864516.1,15
XM_007864517.1,3
XM_007864521.1,2
XM_007864526.1,2
XM_007864529.1,1
XM_007864530.1,5
XM_007864533.1,2
XM_007864541.1,2
XM_007864542.1,3
XM_007864546.1,2
XM_007864548.1,4
XM_007864549.1,3
XM_007864550.1,2
XM_007864551.1,1
XM_007864552.1,6
XM_007864556.1,7
XM_007864557.1,3
XM_007864559.1,3
XM_007864562.1,1
XM_007864566.1,2
XM_007864588.1,9
XM_007864589.1,4
XM_007864590.1,1
XM_007864591.1,4
XM_007864592.1,1
XM_007864593.1,3
XM_007864594.1,1
XM_007864595.1,3
XM_007864597.1,12
XM_007864599.1,19
XM_007864600.1,2
XM_007864601.1,5
XM_007864602.1,2
XM_007864603.1,5
XM_007864606.1,8
XM_007864607.1,1
XM_007864608.1,12
XM_007864609.1,3
XM_007864610.1,2
XM_007864611.1,1
XM_007864612.1,3
XM_007864613.1,2
XM_007864614.1,1
