transcript_id,num_exon
AF357341,1
AF357428,1
Gm22650,1
Gm23363,1
Gm23450,1
Gm24148,1
Gm24195,1
Gm24195_1,1
Gm24572,1
Gm24572_1,1
Gm24595,1
Gm24627,1
Gm24627_1,1
Gm25285,1
Gm25285_1,1
Gm25500,1
Gm25500_1,1
Gm25641,1
Gm25641_1,1
Gm27740,1
Gm27740_1,1
Gm27775,1
Gm27775_1,1
Gm38670,1
Gm38670_1,1
Gm38671,1
Gm38671_1,1
Gm51264,1
Gm51265,1
Gm51266,1
Gm51267,1
Gm51268,1
Gm51268_1,1
Gm51269,1
Gm51270,1
Gm51271,1
Gm51272,1
Gm51273,1
Gm51274,1
Gm51274_1,1
Gm51275,1
Gm51276,1
Gm51276_1,1
Gm51277,1
Gm51278,1
Gm51278_1,1
Gm51279,1
Gm51279_1,1
Gm51280,1
Gm51280_1,1
Gm51281,1
Gm51281_1,1
Gm51282,1
Gm51283,1
Gm51283_1,1
Gm51284,1
Gm51285,1
Gm51285_1,1
Gm51286,1
Gm51287,1
Gm51287_1,1
Gm51288,1
Gm51288_1,1
Gm51289,1
Gm51289_1,1
Gm51290,1
Gm51290_1,1
Gm51291,1
Gm51291_1,1
Gm51292,1
Gm51293,1
Gm51294,1
Gm51294_1,1
Gm51295,1
Gm51296,1
Gm51296_1,1
Gm51297,1
Gm51297_1,1
Gm7003,1
Igha,4
Ighd,7
Ighd1-1,1
Ighd2-3,1
Ighd2-4,1
Ighd2-5,1
Ighd2-6,1
Ighd2-7,1
Ighd2-8,1
Ighd3-1,1
Ighd3-2,1
Ighd4-1,1
Ighd5-1,1
Ighd5-2,1
Ighd5-3,1
Ighd5-4,1
Ighd5-5,1
Ighd5-6,1
Ighd5-7,1
Ighd5-8,1
Ighd6-1,1
Ighd6-2,1
Ighe,6
Ighg1,6
Ighg2b,6
Ighg2c,4
Ighg3,6
Ighj1,1
Ighj2,1
Ighj3,1
Ighj4,1
Ighm,6
Ighv1-1,1
Ighv1-10,1
Ighv1-11,1
Ighv1-12,1
Ighv1-13,1
Ighv1-14,1
Ighv1-15,1
Ighv1-16,1
Ighv1-17,1
Ighv1-17-1,1
Ighv1-18,1
Ighv1-19,1
Ighv1-19-1,1
Ighv1-2,1
Ighv1-20,1
Ighv1-21,1
Ighv1-21-1,1
Ighv1-22,1
Ighv1-23,1
Ighv1-24,1
Ighv1-25,1
Ighv1-26,1
Ighv1-27,1
Ighv1-28,1
Ighv1-29,1
Ighv1-3,1
Ighv1-30,1
Ighv1-31,1
Ighv1-32,1
Ighv1-33,2
Ighv1-34,1
Ighv1-35,1
Ighv1-36,1
Ighv1-37,1
Ighv1-38,1
Ighv1-39,1
Ighv1-4,1
Ighv1-40,1
Ighv1-41,1
Ighv1-42,2
Ighv1-43,1
Ighv1-44,1
Ighv1-45,1
Ighv1-46,1
Ighv1-47,1
Ighv1-48,1
Ighv1-49,1
