gene_id,num_transcript,num_exon,num_uniq_exon
UREG_00154,1,1,1
UREG_00156,1,2,2
UREG_00157,1,3,3
UREG_00178,1,2,2
UREG_00181,1,3,3
UREG_00186,1,2,2
UREG_00190,1,2,2
UREG_00194,1,1,1
UREG_00200,1,1,1
UREG_00202,1,2,2
UREG_00222,1,2,2
UREG_00244,1,3,3
UREG_00250,1,2,2
UREG_00251,1,2,2
UREG_00258,1,1,1
UREG_00264,1,3,3
UREG_00285,1,2,2
UREG_00287,1,2,2
UREG_00292,1,2,2
UREG_00293,1,1,1
UREG_00298,1,2,2
UREG_00303,1,2,2
UREG_00306,1,2,2
UREG_00317,1,2,2
UREG_00318,1,2,2
UREG_00324,1,1,1
UREG_00328,1,2,2
UREG_00334,1,4,4
UREG_00340,1,2,2
UREG_00373,1,3,3
UREG_00399,1,1,1
UREG_00410,1,1,1
UREG_00413,1,1,1
UREG_00422,1,3,3
UREG_00436,1,2,2
UREG_00467,1,1,1
UREG_00476,1,3,3
UREG_00490,1,3,3
UREG_00492,1,2,2
UREG_00493,1,1,1
UREG_00495,1,1,1
UREG_00496,1,3,3
UREG_00510,1,3,3
UREG_00512,1,2,2
UREG_00527,1,1,1
UREG_00530,1,1,1
UREG_00546,1,3,3
UREG_00555,1,1,1
UREG_00581,1,2,2
UREG_00582,1,3,3
UREG_00586,1,1,1
UREG_00587,1,1,1
UREG_00589,1,5,5
UREG_00593,1,2,2
UREG_00596,1,2,2
UREG_00651,1,2,2
UREG_00657,1,2,2
UREG_00682,1,9,9
UREG_00685,1,3,3
UREG_00693,1,1,1
UREG_00699,1,1,1
UREG_00702,1,3,3
UREG_00718,1,2,2
UREG_00728,1,3,3
UREG_00737,1,2,2
UREG_00746,1,3,3
UREG_00747,1,2,2
UREG_00768,1,1,1
UREG_00809,1,1,1
UREG_00840,1,3,3
UREG_00844,1,3,3
UREG_00848,1,2,2
UREG_00849,1,1,1
UREG_00858,1,3,3
UREG_00859,1,1,1
UREG_00864,1,2,2
UREG_00870,1,6,6
UREG_00883,1,2,2
UREG_00884,1,5,5
UREG_00886,1,3,3
UREG_00901,1,1,1
UREG_00928,1,1,1
UREG_00929,1,2,2
UREG_00945,1,1,1
UREG_00951,1,2,2
UREG_00957,1,3,3
UREG_00989,1,5,5
UREG_01020,1,2,2
UREG_01030,1,2,2
UREG_01040,1,1,1
UREG_01041,1,2,2
UREG_01045,1,2,2
UREG_01052,1,2,2
UREG_01061,1,3,3
UREG_01063,1,2,2
UREG_01077,1,3,3
UREG_01092,1,1,1
UREG_01093,1,3,3
UREG_01095,1,1,1
UREG_01122,1,3,3
UREG_01124,1,2,2
UREG_01125,1,3,3
UREG_01127,1,2,2
UREG_01156,1,3,3
UREG_01173,1,2,2
UREG_01178,1,1,1
UREG_01186,1,2,2
UREG_01202,1,3,3
UREG_01211,1,1,1
UREG_01213,1,2,2
UREG_01214,1,1,1
UREG_01241,1,3,3
UREG_01253,1,1,1
UREG_01256,1,3,3
UREG_01261,1,2,2
UREG_01271,1,2,2
UREG_01292,1,1,1
UREG_01314,1,3,3
UREG_01316,1,2,2
UREG_01318,1,3,3
UREG_01321,1,3,3
UREG_01335,1,2,2
UREG_01337,1,1,1
UREG_01354,1,2,2
UREG_01370,1,3,3
UREG_01374,1,2,2
UREG_01375,1,1,1
UREG_01380,1,2,2
UREG_01404,1,2,2
UREG_01428,1,2,2
UREG_01437,1,2,2
UREG_01458,1,2,2
UREG_01470,1,2,2
UREG_01541,1,4,4
UREG_01558,1,1,1
UREG_01561,1,1,1
UREG_01619,1,1,1
UREG_01624,1,7,7
