transcript_id,num_exon
LOC102367731,6
LOC102367990,7
LOC102368105,3
LOC102368453,4
LOC102369004,8
LOC102369193,2
LOC102369261,3
LOC102369513,7
LOC102369624,4
LOC102369794,2
LOC102370031,7
LOC102370508,7
LOC102370695,4
LOC102371109,2
LOC102371798,2
LOC102371958,3
LOC102372035,2
LOC102372282,2
LOC102372538,2
LOC102372703,2
LOC102372952,1
LOC102372965,2
LOC102373252,8
LOC102373372,2
LOC102373619,2
LOC102373719,4
LOC102373792,2
LOC102373798,2
LOC102373966,2
LOC102373980,3
LOC102374218,2
LOC102374224,4
LOC102374470,2
LOC102374719,2
LOC102375252,3
LOC102375442,2
LOC102375516,2
LOC102375846,2
LOC102376008,2
LOC102376095,2
LOC102376258,2
LOC102376431,2
LOC102376683,2
LOC102376756,3
LOC102376936,2
LOC102377000,2
LOC102377166,2
LOC102377466,3
LOC102377705,2
LOC102377949,2
LOC102378189,2
LOC102378427,2
LOC102378669,3
LOC102378919,3
LOC102379167,2
LOC102379176,2
LOC102379658,2
LOC102380614,2
LOC102380869,2
LOC102381111,2
LOC102381210,2
LOC102381276,2
LOC102381369,3
LOC102381611,2
LOC102381960,2
LOC102382045,3
LOC102382117,4
LOC102382125,3
LOC102382288,2
LOC102382362,2
LOC102382612,2
LOC102382855,2
LOC102383100,2
LOC102383189,3
LOC102383339,2
LOC102383682,3
LOC102383926,2
LOC102384658,5
LOC102384833,5
LOC102385425,4
LOC102385910,2
LOC102386333,2
LOC102386458,5
LOC102387976,2
LOC102388151,5
LOC102388324,3
LOC102388580,3
LOC102388650,4
LOC102388832,2
LOC106721850,4
LOC106721851,2
LOC106721852,2
LOC106721853,2
LOC106721967,2
LOC106723093,3
LOC106723157,1
LOC106723166,2
LOC106723167,2
LOC106723168,2
LOC106723169,3
LOC106723182,1
LOC106723231,2
LOC106723286,6
LOC106723290,2
LOC106723293,2
LOC106723294,3
LOC106723295,4
LOC106723296,2
LOC106723297,2
LOC106723298,2
LOC106723305,3
LOC106723332,2
LOC106723343,3
LOC106723344,2
LOC106723401,2
LOC106723413,2
LOC106723418,2
LOC106723419,3
LOC106723420,2
LOC106723434,2
LOC106723474,4
LOC106723499,2
LOC106723502,2
LOC112547894,2
LOC112547895,2
LOC112547896,2
LOC112547898,3
LOC112547900,2
LOC112548341,2
LOC112548512,2
LOC112548533,2
LOC112548534,2
LOC112548653,2
LOC112548655,2
LOC112548758,3
LOC112548760,2
LOC112548761,2
LOC112548762,2
LOC112548768,2
LOC112548781,4
LOC112548783,2
LOC112548824,4
LOC112548826,2
LOC112548827,1
LOC112548868,3
LOC112548871,2
LOC112548932,2
LOC112548940,2
LOC112548967,2
LOC112548969,4
LOC112548971,2
LOC112548972,4
LOC112549043,2
LOC112549070,2
LOC112549071,2
LOC112549073,3
LOC112549090,1
LOC112549106,2
LOC112549117,2
LOC112549288,2
LOC112549289,3
LOC112549611,2
LOC112549616,3
LOC112549932,2
TRNAA-AGC,1
TRNAA-AGC_1,1
TRNAA-AGC_10,1
TRNAA-AGC_11,1
TRNAA-AGC_2,1
TRNAA-AGC_3,1
TRNAA-AGC_4,1
TRNAA-AGC_5,1
TRNAA-AGC_6,1
TRNAA-AGC_7,1
TRNAA-AGC_8,1
TRNAA-AGC_9,1
TRNAA-CGC,1
TRNAA-CGC_1,1
TRNAA-CGC_2,1
TRNAA-CGC_3,1
TRNAA-UGC,1
TRNAA-UGC_1,1
TRNAA-UGC_10,1
TRNAA-UGC_11,1
TRNAA-UGC_12,1
TRNAA-UGC_13,1
TRNAA-UGC_14,1
TRNAA-UGC_15,1
TRNAA-UGC_2,1
TRNAA-UGC_3,1
TRNAA-UGC_4,1
TRNAA-UGC_5,1
TRNAA-UGC_6,1
TRNAA-UGC_7,1
TRNAA-UGC_8,1
TRNAA-UGC_9,1
TRNAC-ACA,1
TRNAC-ACA_1,1
TRNAC-ACA_2,1
TRNAC-GCA,1
TRNAC-GCA_1,1
TRNAC-GCA_10,1
TRNAC-GCA_11,1
TRNAC-GCA_12,1
TRNAC-GCA_13,1
TRNAC-GCA_14,1
TRNAC-GCA_15,1
TRNAC-GCA_16,1
TRNAC-GCA_17,1
TRNAC-GCA_2,1
TRNAC-GCA_3,1
TRNAC-GCA_4,1
TRNAC-GCA_5,1
TRNAC-GCA_6,1
TRNAC-GCA_7,1
TRNAC-GCA_8,1
TRNAC-GCA_9,1
TRNAD-AUC,1
TRNAD-GUC,1
TRNAD-GUC_1,1
TRNAD-GUC_10,1
TRNAD-GUC_2,1
TRNAD-GUC_3,1
TRNAD-GUC_4,1
TRNAD-GUC_5,1
TRNAD-GUC_6,1
TRNAD-GUC_7,1
TRNAD-GUC_8,1
TRNAD-GUC_9,1
TRNAE-CUC,1
TRNAE-CUC_1,1
TRNAE-CUC_2,1
TRNAE-CUC_3,1
TRNAE-CUC_4,1
TRNAE-CUC_5,1
TRNAE-CUC_6,1
TRNAE-CUC_7,1
TRNAE-UUC,1
TRNAE-UUC_1,1
TRNAE-UUC_2,1
TRNAE-UUC_3,1
TRNAE-UUC_4,1
TRNAE-UUC_5,1
TRNAE-UUC_6,1
TRNAE-UUC_7,1
TRNAF-GAA,1
TRNAF-GAA_1,1
TRNAF-GAA_10,1
TRNAF-GAA_11,1
TRNAF-GAA_12,1
TRNAF-GAA_2,1
TRNAF-GAA_3,1
TRNAF-GAA_4,1
TRNAF-GAA_5,1
TRNAF-GAA_6,1
TRNAF-GAA_7,1
TRNAF-GAA_8,1
TRNAF-GAA_9,1
TRNAG-CCC,1
TRNAG-CCC_1,1
TRNAG-CCC_10,1
TRNAG-CCC_11,1
TRNAG-CCC_12,1
TRNAG-CCC_13,1
TRNAG-CCC_14,1
TRNAG-CCC_2,1
TRNAG-CCC_3,1
TRNAG-CCC_4,1
TRNAG-CCC_5,1
TRNAG-CCC_6,1
TRNAG-CCC_7,1
TRNAG-CCC_8,1
TRNAG-CCC_9,1
TRNAG-GCC,1
TRNAG-GCC_1,1
TRNAG-GCC_10,1
TRNAG-GCC_11,1
TRNAG-GCC_12,1
TRNAG-GCC_13,1
TRNAG-GCC_14,1
TRNAG-GCC_15,1
TRNAG-GCC_16,1
TRNAG-GCC_17,1
TRNAG-GCC_18,1
TRNAG-GCC_19,1
TRNAG-GCC_2,1
TRNAG-GCC_20,1
TRNAG-GCC_21,1
TRNAG-GCC_22,1
TRNAG-GCC_23,1
TRNAG-GCC_24,1
TRNAG-GCC_25,1
TRNAG-GCC_26,1
TRNAG-GCC_27,1
TRNAG-GCC_28,1
TRNAG-GCC_29,1
TRNAG-GCC_3,1
TRNAG-GCC_30,1
TRNAG-GCC_4,1
TRNAG-GCC_5,1
TRNAG-GCC_6,1
TRNAG-GCC_7,1
TRNAG-GCC_8,1
TRNAG-GCC_9,1
TRNAG-UCC,1
TRNAG-UCC_1,1
TRNAG-UCC_10,1
TRNAG-UCC_11,1
TRNAG-UCC_2,1
TRNAG-UCC_3,1
TRNAG-UCC_4,1
TRNAG-UCC_5,1
TRNAG-UCC_6,1
TRNAG-UCC_7,1
TRNAG-UCC_8,1
TRNAG-UCC_9,1
TRNAH-AUG,1
TRNAH-GUG,1
TRNAH-GUG_1,1
TRNAH-GUG_2,1
TRNAH-GUG_3,1
TRNAH-GUG_4,1
TRNAH-GUG_5,1
TRNAH-GUG_6,1
TRNAH-GUG_7,1
TRNAI-AAU,1
TRNAI-AAU_1,1
TRNAI-AAU_2,1
TRNAI-AAU_3,1
TRNAI-AAU_4,1
TRNAI-AAU_5,1
TRNAI-AAU_6,1
TRNAI-GAU,1
TRNAI-GAU_1,1
TRNAI-UAU,2
TRNAI-UAU_1,2
TRNAI-UAU_10,2
TRNAI-UAU_11,2
TRNAI-UAU_12,2
TRNAI-UAU_13,2
TRNAI-UAU_14,2
TRNAI-UAU_15,2
TRNAI-UAU_16,2
TRNAI-UAU_17,1
TRNAI-UAU_18,2
TRNAI-UAU_2,2
TRNAI-UAU_3,2
TRNAI-UAU_4,2
TRNAI-UAU_5,2
TRNAI-UAU_6,2
TRNAI-UAU_7,2
TRNAI-UAU_8,2
TRNAI-UAU_9,2
TRNAK-CUU,1
TRNAK-CUU_1,1
TRNAK-CUU_10,1
TRNAK-CUU_11,1
TRNAK-CUU_12,1
TRNAK-CUU_13,1
TRNAK-CUU_14,1
TRNAK-CUU_15,1
TRNAK-CUU_16,1
TRNAK-CUU_17,1
TRNAK-CUU_18,1
TRNAK-CUU_2,1
TRNAK-CUU_3,1
TRNAK-CUU_4,1
TRNAK-CUU_5,1
TRNAK-CUU_6,1
TRNAK-CUU_7,1
TRNAK-CUU_8,1
TRNAK-CUU_9,1
TRNAK-UUU,1
TRNAK-UUU_1,1
TRNAK-UUU_10,1
TRNAK-UUU_11,1
TRNAK-UUU_12,1
TRNAK-UUU_13,1
TRNAK-UUU_14,1
TRNAK-UUU_15,1
TRNAK-UUU_16,1
TRNAK-UUU_17,1
TRNAK-UUU_18,1
TRNAK-UUU_19,1
TRNAK-UUU_2,1
TRNAK-UUU_20,1
TRNAK-UUU_21,1
TRNAK-UUU_22,1
TRNAK-UUU_23,1
TRNAK-UUU_24,2
TRNAK-UUU_25,1
TRNAK-UUU_26,1
TRNAK-UUU_27,1
TRNAK-UUU_28,1
TRNAK-UUU_29,1
TRNAK-UUU_3,1
TRNAK-UUU_30,1
TRNAK-UUU_31,1
TRNAK-UUU_4,1
TRNAK-UUU_5,1
TRNAK-UUU_6,1
TRNAK-UUU_7,1
TRNAK-UUU_8,1
TRNAK-UUU_9,1
TRNAL-AAG,1
TRNAL-AAG_1,1
TRNAL-AAG_2,1
TRNAL-AAG_3,1
TRNAL-CAA,2
TRNAL-CAA_1,2
TRNAL-CAA_2,2
TRNAL-CAA_3,2
TRNAL-CAA_4,2
TRNAL-CAA_5,2
TRNAL-CAA_6,2
TRNAL-CAG,1
TRNAL-CAG_1,1
TRNAL-CAG_2,1
TRNAL-CAG_3,1
TRNAL-CAG_4,1
TRNAL-CAG_5,1
TRNAL-UAA,1
TRNAL-UAA_1,1
TRNAL-UAA_2,1
TRNAL-UAA_3,2
TRNAL-UAA_4,1
TRNAL-UAA_5,1
TRNAL-UAA_6,1
TRNAL-UAA_7,1
TRNAL-UAA_8,1
TRNAL-UAA_9,1
TRNAL-UAG,1
TRNAL-UAG_1,1
TRNAL-UAG_2,1
TRNAL-UAG_3,1
TRNAL-UAG_4,1
TRNAM-CAU,1
TRNAM-CAU_1,1
TRNAM-CAU_10,1
TRNAM-CAU_11,1
TRNAM-CAU_12,1
TRNAM-CAU_2,1
TRNAM-CAU_3,1
TRNAM-CAU_4,1
TRNAM-CAU_5,1
TRNAM-CAU_6,1
TRNAM-CAU_7,1
TRNAM-CAU_8,1
TRNAM-CAU_9,1
TRNAN-GUU,1
TRNAN-GUU_1,1
TRNAN-GUU_10,1
TRNAN-GUU_2,1
TRNAN-GUU_3,1
TRNAN-GUU_4,1
TRNAN-GUU_5,1
TRNAN-GUU_6,1
TRNAN-GUU_7,1
TRNAN-GUU_8,1
TRNAN-GUU_9,1
TRNAP-AGG,1
TRNAP-AGG_1,1
TRNAP-AGG_10,1
TRNAP-AGG_2,1
TRNAP-AGG_3,1
TRNAP-AGG_4,1
TRNAP-AGG_5,1
TRNAP-AGG_6,1
TRNAP-AGG_7,1
TRNAP-AGG_8,1
TRNAP-AGG_9,1
TRNAP-CGG,1
TRNAP-CGG_1,1
TRNAP-CGG_2,1
TRNAP-CGG_3,1
TRNAP-CGG_4,1
TRNAP-CGG_5,1
TRNAP-UGG,1
TRNAP-UGG_1,1
TRNAP-UGG_10,1
TRNAP-UGG_11,1
TRNAP-UGG_12,1
TRNAP-UGG_2,1
TRNAP-UGG_3,1
TRNAP-UGG_4,1
TRNAP-UGG_5,1
TRNAP-UGG_6,1
TRNAP-UGG_7,1
TRNAP-UGG_8,1
TRNAP-UGG_9,1
TRNAQ-CUG,1
TRNAQ-CUG_1,1
TRNAQ-CUG_10,1
TRNAQ-CUG_11,1
TRNAQ-CUG_12,1
TRNAQ-CUG_13,1
TRNAQ-CUG_14,1
TRNAQ-CUG_15,1
TRNAQ-CUG_16,1
TRNAQ-CUG_17,1
TRNAQ-CUG_2,1
TRNAQ-CUG_3,1
TRNAQ-CUG_4,1
TRNAQ-CUG_5,1
TRNAQ-CUG_6,1
TRNAQ-CUG_7,1
TRNAQ-CUG_8,1
TRNAQ-CUG_9,1
TRNAQ-UUG,1
TRNAQ-UUG_1,1
TRNAQ-UUG_10,1
TRNAQ-UUG_11,1
TRNAQ-UUG_12,1
TRNAQ-UUG_13,1
TRNAQ-UUG_14,1
TRNAQ-UUG_15,1
TRNAQ-UUG_16,1
TRNAQ-UUG_2,1
TRNAQ-UUG_3,1
TRNAQ-UUG_4,1
TRNAQ-UUG_5,1
TRNAQ-UUG_6,1
TRNAQ-UUG_7,1
TRNAQ-UUG_8,1
TRNAQ-UUG_9,1
TRNAR-ACG,1
TRNAR-ACG_1,1
TRNAR-ACG_10,1
TRNAR-ACG_11,1
TRNAR-ACG_12,1
TRNAR-ACG_13,1
TRNAR-ACG_14,1
TRNAR-ACG_15,1
TRNAR-ACG_2,1
TRNAR-ACG_3,1
TRNAR-ACG_4,1
TRNAR-ACG_5,1
TRNAR-ACG_6,1
TRNAR-ACG_7,1
TRNAR-ACG_8,1
TRNAR-ACG_9,1
TRNAR-CCG,1
TRNAR-CCG_1,1
TRNAR-CCG_2,1
TRNAR-CCG_3,1
TRNAR-CCG_4,1
TRNAR-CCG_5,1
TRNAR-CCU,1
TRNAR-CCU_1,1
TRNAR-CCU_10,1
TRNAR-CCU_11,1
TRNAR-CCU_12,1
TRNAR-CCU_2,1
TRNAR-CCU_3,1
TRNAR-CCU_4,1
TRNAR-CCU_5,1
TRNAR-CCU_6,1
TRNAR-CCU_7,1
TRNAR-CCU_8,1
TRNAR-CCU_9,1
TRNAR-GCG,1
TRNAR-UCG,1
TRNAR-UCG_1,1
TRNAR-UCG_2,1
TRNAR-UCG_3,1
TRNAR-UCG_4,1
TRNAR-UCG_5,1
TRNAR-UCG_6,1
TRNAR-UCU,2
TRNAR-UCU_1,2
TRNAR-UCU_10,2
TRNAR-UCU_11,1
TRNAR-UCU_12,1
TRNAR-UCU_2,2
TRNAR-UCU_3,2
TRNAR-UCU_4,2
TRNAR-UCU_5,2
TRNAR-UCU_6,2
TRNAR-UCU_7,2
TRNAR-UCU_8,1
TRNAR-UCU_9,2
TRNAS-AGA,1
TRNAS-AGA_1,1
TRNAS-AGA_10,1
TRNAS-AGA_2,1
TRNAS-AGA_3,1
TRNAS-AGA_4,1
TRNAS-AGA_5,1
TRNAS-AGA_6,1
TRNAS-AGA_7,1
TRNAS-AGA_8,1
TRNAS-AGA_9,1
TRNAS-CGA,1
TRNAS-CGA_1,1
TRNAS-GCU,1
TRNAS-GCU_1,1
TRNAS-GCU_10,1
TRNAS-GCU_11,1
TRNAS-GCU_12,1
TRNAS-GCU_13,1
TRNAS-GCU_14,1
TRNAS-GCU_15,1
TRNAS-GCU_16,1
TRNAS-GCU_17,1
TRNAS-GCU_18,1
TRNAS-GCU_19,1
TRNAS-GCU_2,1
TRNAS-GCU_20,1
TRNAS-GCU_3,1
TRNAS-GCU_4,1
TRNAS-GCU_5,1
TRNAS-GCU_6,1
TRNAS-GCU_7,1
TRNAS-GCU_8,1
TRNAS-GCU_9,1
TRNAS-UGA,1
TRNAS-UGA_1,1
TRNAS-UGA_10,1
TRNAS-UGA_2,1
TRNAS-UGA_3,1
TRNAS-UGA_4,1
TRNAS-UGA_5,1
TRNAS-UGA_6,1
TRNAS-UGA_7,1
TRNAS-UGA_8,1
TRNAS-UGA_9,1
TRNASTOP-UCA,1
TRNASTOP-UCA_1,1
TRNASTOP-UCA_2,1
TRNASTOP-UCA_3,1
TRNAT-AGU,1
TRNAT-AGU_1,1
TRNAT-AGU_10,1
TRNAT-AGU_11,1
TRNAT-AGU_12,1
TRNAT-AGU_13,1
TRNAT-AGU_14,1
TRNAT-AGU_15,1
TRNAT-AGU_16,1
TRNAT-AGU_17,1
TRNAT-AGU_18,1
TRNAT-AGU_19,1
TRNAT-AGU_2,1
TRNAT-AGU_20,1
TRNAT-AGU_21,1
TRNAT-AGU_22,1
TRNAT-AGU_23,1
TRNAT-AGU_24,1
TRNAT-AGU_25,1
TRNAT-AGU_26,1
TRNAT-AGU_27,1
TRNAT-AGU_28,1
TRNAT-AGU_29,1
TRNAT-AGU_3,1
TRNAT-AGU_30,1
TRNAT-AGU_31,1
TRNAT-AGU_4,1
TRNAT-AGU_5,1
TRNAT-AGU_6,1
TRNAT-AGU_7,1
TRNAT-AGU_8,1
TRNAT-AGU_9,1
TRNAT-CGU,1
TRNAT-CGU_1,1
TRNAT-CGU_2,1
TRNAT-CGU_3,1
TRNAT-CGU_4,1
TRNAT-CGU_5,1
TRNAT-UGU,1
TRNAT-UGU_1,1
TRNAT-UGU_10,1
TRNAT-UGU_11,1
TRNAT-UGU_12,1
TRNAT-UGU_13,1
TRNAT-UGU_14,1
TRNAT-UGU_15,1
TRNAT-UGU_16,1
TRNAT-UGU_17,1
TRNAT-UGU_18,1
TRNAT-UGU_19,1
TRNAT-UGU_2,1
TRNAT-UGU_20,1
TRNAT-UGU_3,1
TRNAT-UGU_4,2
TRNAT-UGU_5,1
TRNAT-UGU_6,1
TRNAT-UGU_7,1
TRNAT-UGU_8,1
TRNAT-UGU_9,1
TRNAV-AAC,1
TRNAV-AAC_1,1
TRNAV-AAC_2,1
TRNAV-AAC_3,1
TRNAV-AAC_4,1
TRNAV-AAC_5,1
TRNAV-CAC,1
TRNAV-CAC_1,1
TRNAV-CAC_2,1
TRNAV-CAC_3,1
TRNAV-CAC_4,1
TRNAV-CAC_5,1
TRNAV-GAC,1
TRNAV-UAC,1
TRNAV-UAC_1,1
TRNAV-UAC_2,1
TRNAW-CCA,1
TRNAW-CCA_1,1
TRNAW-CCA_10,1
