gene_id,num_transcript,num_exon,num_uniq_exon
ACSM3,2,27,16
ACTL7A,1,1,1
ALKAL1,3,16,7
ARGLU1,2,8,6
ARSG,4,48,17
AU129_gr01,1,1,1
AU129_gr02,1,1,1
AU129_gt01,1,1,1
AU129_gt02,1,1,1
AU129_gt03,1,1,1
AU129_gt04,1,1,1
AU129_gt05,1,1,1
AU129_gt06,1,1,1
AU129_gt07,1,1,1
AU129_gt08,1,1,1
AU129_gt09,1,1,1
AU129_gt10,1,1,1
AU129_gt11,1,1,1
AU129_gt12,1,1,1
AU129_gt13,1,1,1
AU129_gt14,1,1,1
AU129_gt15,1,1,1
AU129_gt16,1,1,1
AU129_gt17,1,1,1
AU129_gt18,1,1,1
AU129_gt19,1,1,1
AU129_gt20,1,1,1
AU129_gt21,1,1,1
AU129_gt22,1,1,1
BASP1,1,3,3
BBIP1,6,23,9
C15H10orf25,1,3,3
C15H10orf95,3,6,4
C20H8orf48,1,1,1
C27H1orf74,7,28,11
C2H1orf64,1,2,2
CCDC58,6,34,12
CDC42SE1,3,21,10
CDK2,2,15,9
CEND1,1,2,2
CERS1,1,6,6
CHKB,2,21,12
CHST4,2,4,3
CLDN2,2,4,4
CLEC12A,5,14,11
CMC4,7,20,9
CPLX1,1,4,4
CPLX2,1,4,4
CRB3,3,12,10
CRCT1,1,1,1
CRIPT,1,5,5
CTXN1,2,5,5
CYSTM1,2,6,5
DHFR,1,6,6
DNAH12,1,2,2
ELAC1,4,16,8
ELN,8,275,40
EME2,1,3,3
ESRP2,2,30,16
ETFRF1,5,14,8
EXO5,4,11,6
FAM122A,1,2,2
FAM19A4,1,5,5
FAM25A,1,3,3
FBXO36,1,4,4
FLYWCH2,1,3,3
FXYD7,6,34,14
G0S2,1,2,2
GDE1,6,38,12
GEN1,4,56,19
GNRH1,1,3,3
GPR160,7,33,11
GTSCR1,1,5,5
GYPC,1,3,3
HAT1,4,44,15
HHIPL2,1,5,5
HILPDA,1,2,2
HMGA1,4,21,11
HOMER3,1,6,6
HOXA6,3,11,6
HOXB4,1,2,2
HPDL,1,2,2
HYLS1,1,4,4
IL2RG,1,8,8
INAFM1,1,1,1
KCNRG,1,2,2
KCTD6,7,26,9
KIAA0040,5,12,5
LOC105854775,7,43,12
LOC105854776,1,3,3
LOC105854779,1,3,3
LOC105854780,2,8,6
LOC105854781,1,3,3
LOC105854782,1,3,3
LOC105854784,2,9,5
LOC105854785,1,1,1
LOC105854786,1,4,4
LOC105854803,1,2,2
LOC105854806,1,2,2
LOC105854808,1,3,3
LOC105854813,1,2,2
LOC105854815,1,2,2
LOC105854825,1,4,4
LOC105854827,1,3,3
LOC105854828,1,3,3
LOC105854829,1,2,2
LOC105854837,1,3,3
LOC105854838,1,2,2
LOC105854839,2,7,5
LOC105854840,1,2,2
LOC105854845,1,5,5
LOC105854846,4,25,9
LOC105854847,3,9,5
LOC105854856,1,1,1
LOC105854861,1,2,2
LOC105854870,2,6,4
LOC105854871,1,3,3
LOC105854874,1,2,2
LOC105854875,1,1,1
LOC105854876,1,3,3
LOC105854877,1,3,3
LOC105854883,1,2,2
LOC105854889,2,7,5
LOC105854891,1,1,1
LOC105854892,2,8,5
LOC105854893,1,3,3
LOC105854895,1,2,2
LOC105854897,1,1,1
LOC105854899,1,4,4
LOC105854900,2,8,5
LOC105854901,2,6,4
LOC105854902,1,3,3
LOC105854907,2,14,9
LOC105854908,1,5,5
LOC105854910,1,3,3
LOC105854922,2,10,6
LOC105854932,3,17,11
LOC105854934,4,33,10
LOC105854936,1,4,4
LOC105854941,1,3,3
LOC105854944,1,4,4
LOC105854945,1,5,5
LOC105854949,1,3,3
LOC105854958,1,1,1
LOC105854960,1,3,3
LOC105854962,3,11,7
LOC105854963,1,4,4
LOC105854964,1,1,1
LOC105854965,2,8,5
LOC105854968,6,19,7
LOC105855001,1,1,1
LOC105855002,1,4,4
LOC105855012,1,2,2
LOC105855020,1,3,3
LOC105855022,5,17,9
LOC105855034,1,3,3
LOC105855036,1,1,1
LOC105855044,1,2,2
LOC105855045,1,4,4
LOC105855046,2,6,4
LOC105855060,1,2,2
LOC105855081,1,2,2
LOC105855082,1,2,2
LOC105855109,1,3,3
LOC105855111,1,1,1
LOC105855114,1,2,2
LOC105855120,1,2,2
LOC105855122,1,3,3
LOC105855127,2,8,5
LOC105855130,1,1,1
LOC105855132,1,3,3
LOC105855136,1,1,1
LOC105855137,1,3,3
LOC105855148,1,2,2
LOC105855151,1,3,3
LOC105855152,1,2,2
LOC105855153,1,3,3
LOC105855158,1,1,1
LOC105855159,1,1,1
LOC105855167,1,1,1
LOC105855170,1,1,1
LOC105855171,1,2,2
LOC105855172,1,3,3
LOC105855177,3,9,5
LOC105855190,1,2,2
LOC105855196,2,7,5
LOC105855198,1,3,3
LOC105855199,1,3,3
LOC105855203,3,10,6
LOC105855215,2,7,5
LOC105855218,1,3,3
LOC105855219,1,3,3
LOC105855220,1,3,3
LOC105855222,2,15,8
LOC105855224,1,3,3
LOC105855235,1,3,3
LOC105855236,3,10,7
LOC105855238,1,2,2
LOC105855241,1,2,2
LOC105855245,5,32,12
LOC105855246,1,3,3
LOC105855247,1,3,3
LOC105855255,1,2,2
LOC105855257,1,1,1
LOC105855258,1,4,4
LOC105855263,1,3,3
LOC105855264,1,3,3
LOC105855265,1,3,3
LOC105855268,1,1,1
LOC105855271,2,6,4
LOC105855272,1,2,2
LOC105855277,1,3,3
LOC105855279,1,3,3
LOC105855280,2,8,5
LOC105855291,1,1,1
LOC105855296,1,1,1
LOC105855299,1,2,2
LOC105855305,1,1,1
LOC105855306,2,7,5
LOC105855311,1,3,3
LOC105855317,1,3,3
LOC105855318,1,3,3
LOC105855324,1,3,3
LOC105855329,1,3,3
LOC105855338,2,6,4
LOC105855339,1,3,3
LOC105855343,1,2,2
LOC105855346,1,3,3
LOC105855351,1,3,3
LOC105855354,1,4,4
LOC105855355,1,2,2
LOC105855358,1,2,2
LOC105855360,1,4,4
LOC105855379,1,2,2
LOC105855380,9,36,11
LOC105855381,1,5,5
LOC105855382,2,8,5
LOC105855384,1,3,3
LOC105855389,1,1,1
LOC105855399,1,3,3
LOC105855403,2,7,4
LOC105855404,1,3,3
LOC105855406,2,8,5
LOC105855413,1,1,1
LOC105855419,1,3,3
LOC105855420,4,19,9
LOC105855421,1,2,2
LOC105855422,1,4,4
LOC105855423,3,9,5
LOC105855424,2,5,4
LOC105855426,1,3,3
LOC105855433,10,47,15
LOC105855436,2,6,5
LOC105855437,1,6,6
LOC105855438,1,4,4
LOC105855443,2,8,5
LOC105855444,1,3,3
LOC105855449,2,11,7
LOC105855450,1,3,3
LOC105855451,4,23,8
LOC105855463,1,3,3
LOC105855467,1,3,3
LOC105855477,1,1,1
LOC105855478,1,3,3
LOC105855479,1,3,3
LOC105855483,1,1,1
LOC105855492,3,9,6
LOC105855500,1,5,5
LOC105855501,1,2,2
LOC105855503,1,1,1
LOC105855509,1,3,3
LOC105855514,1,4,4
LOC105855516,1,3,3
LOC105855520,1,3,3
LOC105855525,1,2,2
LOC105855526,2,8,5
LOC105855527,1,3,3
LOC105855539,1,3,3
LOC105855548,1,1,1
LOC105855549,1,3,3
LOC105855560,1,1,1
LOC105855564,1,2,2
LOC105855565,2,8,5
LOC105855568,1,3,3
LOC105855569,1,1,1
LOC105855570,1,1,1
LOC105855583,1,3,3
LOC105855591,1,7,7
LOC105855592,1,4,4
LOC105855597,1,2,2
LOC105855602,1,1,1
LOC105855608,1,4,4
LOC105855615,1,4,4
LOC105855617,1,8,8
LOC105855619,1,3,3
LOC105855620,1,3,3
LOC105855621,1,4,4
LOC105855622,1,2,2
LOC105855624,1,3,3
LOC105855629,2,9,5
LOC105855632,1,1,1
LOC105855633,1,3,3
LOC105855634,1,4,4
LOC105855635,1,4,4
LOC105855637,1,4,4
LOC105855639,11,40,13
LOC105855642,1,3,3
LOC105855643,1,3,3
LOC105855653,1,5,5
