gene_id,num_transcript,num_exon,num_uniq_exon
LOC112163687,4,36,14
LOC112163688,1,8,8
LOC112163689,1,3,3
LOC112163690,1,1,1
LOC112163691,1,3,3
LOC112163692,1,1,1
LOC112163693,1,1,1
LOC112163696,1,2,2
LOC112163697,1,8,8
LOC112163698,1,2,2
LOC112163699,1,1,1
LOC112163700,1,1,1
LOC112163702,1,1,1
LOC112163703,1,1,1
LOC112163706,1,2,2
LOC112163707,1,1,1
LOC112163708,1,1,1
LOC112163710,1,1,1
LOC112163712,1,4,4
LOC112163713,1,2,2
LOC112163717,1,1,1
LOC112163719,1,2,2
LOC112163723,1,1,1
LOC112163726,1,1,1
LOC112163728,1,7,7
LOC112163729,1,1,1
LOC112163730,1,3,3
LOC112163733,1,1,1
LOC112163738,1,3,3
LOC112163742,1,1,1
LOC112163743,2,14,9
LOC112163744,1,1,1
LOC112163745,4,15,7
LOC112163746,1,1,1
LOC112163749,1,1,1
LOC112163750,3,20,9
LOC112163751,1,7,7
LOC112163758,1,1,1
LOC112163759,1,5,5
LOC112163761,1,9,9
LOC112163762,1,6,6
LOC112163764,1,2,2
LOC112163766,1,2,2
LOC112163767,1,2,2
LOC112163771,1,1,1
LOC112163775,1,1,1
LOC112163776,1,3,3
LOC112163777,1,2,2
LOC112163778,1,1,1
LOC112163779,1,1,1
LOC112163781,1,1,1
LOC112163783,1,2,2
LOC112163786,1,6,6
LOC112163787,1,3,3
LOC112163789,1,1,1
LOC112163790,1,2,2
LOC112163791,6,46,15
LOC112163792,1,1,1
LOC112163794,1,1,1
LOC112163796,1,1,1
LOC112163797,1,1,1
LOC112163798,1,5,5
LOC112163808,1,1,1
LOC112163809,1,1,1
LOC112163810,1,8,8
LOC112163812,1,1,1
LOC112163813,1,2,2
LOC112163814,1,1,1
LOC112163815,1,1,1
LOC112163817,1,1,1
LOC112163820,1,1,1
LOC112163822,1,2,2
LOC112163824,1,2,2
LOC112163825,1,3,3
LOC112163826,1,6,6
LOC112163827,1,4,4
LOC112163829,1,2,2
LOC112163831,1,2,2
LOC112163836,1,1,1
LOC112163837,2,20,11
LOC112163838,1,3,3
LOC112163839,1,2,2
LOC112163840,15,56,19
LOC112163842,1,3,3
LOC112163844,1,2,2
LOC112163845,1,4,4
LOC112163846,1,4,4
LOC112163847,1,6,6
LOC112163849,1,3,3
LOC112163850,2,19,11
LOC112163852,1,1,1
LOC112163854,1,3,3
LOC112163859,1,1,1
LOC112163860,1,4,4
LOC112163861,1,4,4
LOC112163862,1,4,4
LOC112163863,1,7,7
LOC112163864,2,14,9
LOC112163865,5,39,14
LOC112163866,3,23,10
LOC112163875,1,4,4
LOC112163876,1,1,1
LOC112163882,1,1,1
LOC112163884,1,1,1
LOC112163886,1,5,5
LOC112163887,1,2,2
LOC112163888,3,9,6
LOC112163889,1,3,3
LOC112163891,1,1,1
LOC112163893,1,2,2
LOC112163896,1,3,3
LOC112163897,1,2,2
LOC112163901,1,1,1
LOC112163903,1,3,3
LOC112163907,1,1,1
LOC112163908,1,2,2
LOC112163909,1,13,13
LOC112163910,1,1,1
LOC112163913,1,6,6
LOC112163915,1,1,1
LOC112163917,1,12,12
LOC112163918,1,6,6
LOC112163920,1,2,2
LOC112163921,1,2,2
LOC112163922,6,27,8
LOC112163923,6,52,12
LOC112163924,1,4,4
LOC112163927,1,3,3
LOC112163929,1,3,3
LOC112163930,1,10,10
LOC112163931,1,1,1
LOC112163932,1,1,1
LOC112163933,1,8,8
LOC112163935,1,2,2
LOC112163939,1,2,2
LOC112163940,1,1,1
LOC112163945,1,3,3
LOC112163947,1,7,7
LOC112163948,1,1,1
LOC112163950,1,5,5
LOC112163951,1,4,4
LOC112163954,1,2,2
LOC112163955,1,12,12
LOC112163956,2,11,7
LOC112163958,1,1,1
LOC112163959,1,7,7
LOC112163960,1,3,3
LOC112163961,1,6,6
LOC112163963,1,6,6
